Job Title/Position,Date Posted,Location,Position Overview,Key Responsibilities,Required Qualifications,Security Clearance,Program Hints,Client Hints,Contract Vehicle Hints,Prime Contractor,Recruiter Contact,Technologies,Certifications Required,Matched Program,Match Confidence,Match Type,BD Priority Score,Priority Tier,Match Signals,Source,Source URL,Scraped At,Processed At
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/reliability-engineer-secret-clearance/job-478664/,,2026-01-13T00:31:29.950159
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/utah/sunset/top-secret-cleared-guidance-engineer/job-468267/,,2026-01-13T00:31:29.950195
,,,,,,,,,,,,,,NGEN (Legacy Reference),20%,inferred,54,🟡 Warm,"Location match (partial): Quantico, Virginia -> Integrated Strategic & Expeditionary Operations (DIA ISEO variant) via 'quantico va', Location match (partial): Quantico, Virginia -> Joint Staff J7 Support via 'quantico va', Location match (exact): Quantico, Virginia -> NGEN (Legacy Reference) via 'quantico', Location match (partial): Quantico, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/quantico/top-secret-isso/job-474049/,,2026-01-13T00:31:29.950231
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/massachusetts/lexington/secret-cleared-itsm-program-manager/job-471228/,,2026-01-13T00:31:29.950270
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/electrical-engineer-secret-clearance/job-461214/,,2026-01-13T00:31:29.950308
,,,,,,,,,,,,,,Navy Aegis Combat System Modernization,15%,inferred,53,🟡 Warm,"Location match (partial): Dahlgren, Virginia -> Navy Aegis Combat System Modernization via 'dahlgren va', Location match (partial): Dahlgren, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-azure-architect-ai-ml-/job-475544/,,2026-01-13T00:31:29.950345
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/utah/clearfield/secret-cleared-scar/job-475589/,,2026-01-13T00:31:29.950381
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/top-secret-satellite-systems-engineer/job-453521/,,2026-01-13T00:31:29.950421
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/north-carolina/camp-lejeune/secret-system-admin/job-478794/,,2026-01-13T00:31:29.950461
,,,,,,,,,,,,,,Navy Aegis Combat System Modernization,15%,inferred,53,🟡 Warm,"Location match (partial): Dahlgren, Virginia -> Navy Aegis Combat System Modernization via 'dahlgren va', Location match (partial): Dahlgren, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-automated-test-engineer/job-475546/,,2026-01-13T00:31:29.950525
,,,,,,,,,,,,,,EVMS - Earned Value Management Systems,15%,inferred,53,🟡 Warm,"Location match (partial): Ashburn, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/ashburn/top-secret-full-stack-developer/job-459846/,,2026-01-13T00:31:29.950563
,,,,,,,,,,,,,,Navy Aegis Combat System Modernization,15%,inferred,53,🟡 Warm,"Location match (partial): Dahlgren, Virginia -> Navy Aegis Combat System Modernization via 'dahlgren va', Location match (partial): Dahlgren, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-cisco-identify-services-engineer-ise-administrator/job-477325/,,2026-01-13T00:31:29.950601
,,,,,,,,,,,,,,Army IT Enterprise Mgmt Systems Solution,15%,inferred,53,🟡 Warm,"Location match (partial): Arlington, Virginia -> Army IT Enterprise Mgmt Systems Solution via 'arlington va', Location match (partial): Arlington, Virginia -> DoD JSP (Joint Service Provider) Pentagon IT & ICAM via 'pentagon arlington va', Location match (partial): Arlington, Virginia -> CANES - Consolidated Afloat Network Enterprise Services via 'norfolk va, sully va, mount vernon va, aiea hi, arlington va', Location match (partial): Arlington, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/arlington/top-secret-cleared-deputy-program-manager/job-474776/,,2026-01-13T00:31:29.950648
,,,,,,,,,,,,,,MHS GENESIS (DHMSM),20%,inferred,54,🟡 Warm,"Location match (exact): Jbsa Lackland, Texas -> MHS GENESIS (DHMSM) via 'san antonio', Location match (exact): Jbsa Lackland, Texas -> NTT Applications & BPS Support via 'texas'",unknown,https://insightglobal.com/jobs/find_a_job/texas/jbsa-lackland/secret-cleared-critical-facility-technician-electrical/job-471016/,,2026-01-13T00:31:29.950688
,,,,,,,,,,,,,,Defense Health Agency Desktop to Datacenter,20%,inferred,54,🟡 Warm,"Location match (exact): Pearl City, Hawaii -> Defense Health Agency Desktop to Datacenter via 'hawaii', Location match (exact): Pearl City, Hawaii -> GBS (Global Broadcast Service) via 'hawaii', Location match (exact): Pearl City, Hawaii -> Global Broadcast Service via 'hawaii', Location match (exact): Pearl City, Hawaii -> NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport) via 'hawaii'",unknown,https://insightglobal.com/jobs/find_a_job/hawaii/pearl-city/secret-cleared-windows-and-linux-admin/job-478431/,,2026-01-13T00:31:29.950731
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/pennsylvania/hampden/secret-cleared-facility-technician-electrical/job-472764/,,2026-01-13T00:31:29.950774
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/senior-systems-engineer-secret-clearance/job-460819/,,2026-01-13T00:31:29.950813
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/ohio/whitehall/secret-cleared-critical-facility-technician-journeyman-electrical/job-470916/,,2026-01-13T00:31:29.950852
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/top-secret-operations-support-engineer/job-459677/,,2026-01-13T00:31:29.950890
,,,,,,,,,,,,,,EVMS - Earned Value Management Systems,15%,inferred,53,🟡 Warm,"Location match (partial): Ashburn, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/ashburn/top-secret-computer-vision-specialist-sme/job-466321/,,2026-01-13T00:31:29.950927
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/pennsylvania/hampden/secret-cleared-facility-technician-mechanical-hvac/job-472765/,,2026-01-13T00:31:29.950966
,,,,,,,,,,,,,,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,15%,inferred,53,🟡 Warm,"Location match (partial): Tucson, Arizona -> Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment via 'tucson az (raytheon missile facilities)', Location match (partial): Tucson, Arizona -> DGFS (RTX) via 'tucson az + other sites', Location match (partial): Tucson, Arizona -> LRAAM (Long Range AAM) via 'tucson az'",unknown,https://insightglobal.com/jobs/find_a_job/arizona/tucson/senior-software-engineer-secret-clearance-/job-447166/,,2026-01-13T00:31:29.951004
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-test-engineer-secret-clearance/job-476824/,,2026-01-13T00:31:29.951046
,,,,,,,,,,,,,,Counterintelligence Field Activity,15%,inferred,53,🟡 Warm,"Location match (partial): Tacoma, Washington -> Counterintelligence Field Activity via 'washington dc', Location match (partial): Tacoma, Washington -> Counterintelligence Field Activity – Secondary Row via 'washington dc', Location match (partial): Tacoma, Washington -> DIA ISEO (IT Sustainment for DIA) via 'washington dc', Location match (partial): Tacoma, Washington -> Information Technology Sustainment for Enhanced Ops via 'washington dc', Location match (partial): Tacoma, Washington -> Integrated Strategic & Expeditionary Operations (DIA ISEO variant) via 'washington dc', Location match (partial): Tacoma, Washington -> OFAC Payment / Trade Ops Data System via 'washington dc', Location match (partial): Tacoma, Washington -> DIA ISEO via 'washington dc (bolling)'",unknown,https://insightglobal.com/jobs/find_a_job/washington/tacoma/top-secret-fsr-analyst-tacoma-wa-/job-467112/,,2026-01-13T00:31:29.951084
,,,,,,,,,,,,,,Counterintelligence Field Activity,15%,inferred,53,🟡 Warm,"Location match (partial): Washington, District Of Columbia -> Counterintelligence Field Activity via 'washington dc', Location match (partial): Washington, District Of Columbia -> Counterintelligence Field Activity – Secondary Row via 'washington dc', Location match (partial): Washington, District Of Columbia -> DIA ISEO (IT Sustainment for DIA) via 'washington dc', Location match (partial): Washington, District Of Columbia -> Information Technology Sustainment for Enhanced Ops via 'washington dc', Location match (partial): Washington, District Of Columbia -> Integrated Strategic & Expeditionary Operations (DIA ISEO variant) via 'washington dc', Location match (partial): Washington, District Of Columbia -> OFAC Payment / Trade Ops Data System via 'washington dc', Location match (partial): Washington, District Of Columbia -> DIA ISEO via 'washington dc (bolling)'",unknown,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-business-continuity-planner/job-472376/,,2026-01-13T00:31:29.951125
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/north-carolina/fayetteville/top-secret-fsr-analyst-auriga-tacoma-wa-/job-454382/,,2026-01-13T00:31:29.951166
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/utah/clearfield/secret-cleared-critical-facility-technician-journeyman-electrical/job-470942/,,2026-01-13T00:31:29.951209
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/information-systems-security-engineer-isse-top-secret/job-478767/,,2026-01-13T00:31:29.951254
