Data_Element,Column_Order,Datatype,Data_Format,Max_Length,Definition,Enumeration,Mandatory,Substitution,Sample_Values,Sensitivity_Level,Sensitivity_Level_2,Public,FOUO,Sensitive
PARTY PERFORMING CERTIFICATION POC TITLE,149,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,,Mr,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS ST ADD 1,150,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional,,123 Main Street,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS ST ADD 2,151,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional,,Floor 5,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS CITY ,152,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional,,Arlington,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS ZIP/POSTAL CODE,153,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA,99999,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS ZIP CODE +4,154,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional,,0001,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS COUNTRY CODE,155,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional,,USA,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC BUS STATE OR PROVINCE,156,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA or CAN,VA,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC U.S. PHONE,157,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC U.S. PHONE EXT,158,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional,,1111,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC NON-U.S. PHONE,159,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC FAX U.S. ONLY,160,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional,,9876543211,FOUO (CUI),2,,X,X
PARTY PERFORMING CERTIFICATION POC EMAIL,161,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional,,unclesam@sam.gov,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC FIRST NAME,162,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Sam,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC MIDDLE INITIAL,163,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC LAST NAME,164,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Merica,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC TITLE,165,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC U.S. PHONE,166,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC U.S. PHONE EXT,167,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC NON-U.S. PHONE,168,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC FAX U.S. ONLY,169,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
SOLE PROPRIETORSHIP POC EMAIL ,170,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,unclesam@sam.gov,FOUO (CUI),2,,X,X
IMMEDIATE PARENT LEGAL BUSINESS NAME,171,STRING,ALPHANUMERIC,150,This is the Legal Business Name of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,JOLLY COMPANY,FOUO (CUI),2,,X,X
IMMEDIATE PARENT UNIQUE ENTITY ID,172,STRING,ALPHANUMERIC,12,This is the UEI number of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,RA13ZADE4741,FOUO (CUI),2,,X,X
IMMEDIATE PARENT ST ADD 1,173,STRING,ALPHANUMERIC,150,This is the Street Address 1 of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,801 W YOUNG AVE,FOUO (CUI),2,,X,X
IMMEDIATE PARENT ST ADD 2,174,STRING,ALPHANUMERIC,150,This is the Street Address 2 of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,"214 TRYON ST, 27TH FLR",FOUO (CUI),2,,X,X
IMMEDIATE PARENT CITY,175,STRING,ALPHANUMERIC,40,This is the City of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,MINNEAPOLIS,FOUO (CUI),2,,X,X
IMMEDIATE PARENT POSTAL CODE,176,STRING,ALPHANUMERIC,50,This is the Postal Code of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,551111012,FOUO (CUI),2,,X,X
IMMEDIATE PARENT COUNTRY CODE,177,STRING,ALPHANUMERIC,3,This is the Country Code of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,USA,FOUO (CUI),2,,X,X
IMMEDIATE PARENT STATE OR PROVINCE,178,STRING,ALPHANUMERIC,55,This is the State or Province of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,MN,FOUO (CUI),2,,X,X
IMMEDIATE PARENT PHONE,179,STRING,ALPHANUMERIC,30,This is the Phone Number of the immediate parent entity of the registrant,,Optional (All Awards/Federal Assistance),,6123431567,FOUO (CUI),2,,X,X
HQ PARENT LEGAL BUSINESS NAME,180,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,JOLLY COMPANY,FOUO (CUI),2,,X,X
HQ PARENT UNIQUE ENTITY ID,181,STRING,ALPHANUMERIC,12,This is the UEI number of the hq parent entity of the registrant,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,RA13ZADE4741,FOUO (CUI),2,,X,X
BLANK (DEPRECATED),182,STRING,STRING,0,"Blank Spaces, formerly occupied by the prior HQ Parent Identifier ",,,,             ,FOUO (CUI),2,,X,X
HQ PARENT ST ADD 1,183,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,801 W YOUNG AVE,FOUO (CUI),2,,X,X
HQ PARENT ST ADD 2,184,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,"214 TRYON ST, 27TH FLR",FOUO (CUI),2,,X,X
HQ PARENT CITY,185,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,MINNEAPOLIS,FOUO (CUI),2,,X,X
HQ PARENT POSTAL CODE,186,STRING,Numeric,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,551111012,FOUO (CUI),2,,X,X
HQ PARENT COUNTRY CODE,187,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,USA,FOUO (CUI),2,,X,X
HQ PARENT STATE OR PROVINCE,188,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,MN,FOUO (CUI),2,,X,X
HQ PARENT PHONE,189,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,6123431567,FOUO (CUI),2,,X,X
DOMESTIC PARENT LEGAL BUSINESS NAME,190,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,JOLLY COMPANY,FOUO (CUI),2,,X,X
DOMESTIC PARENT UNIQUE ENTITY ID,191,STRING,ALPHANUMERIC,12,This is the UEI number of the domestic parent entity of the registrant,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,RA13ZADE4741,FOUO (CUI),2,,X,X
BLANK (DEPRECATED),192,STRING,STRING,0,"Blank Spaces, formerly occupied by the prior Domestic Parent Identifier ",,,,             ,FOUO (CUI),2,,X,X
DOMESTIC PARENT ST ADD 1,193,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,801 W YOUNG AVE,FOUO (CUI),2,,X,X
DOMESTIC PARENT ST ADD 2,194,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,"214 TRYON ST, 27TH FLR",FOUO (CUI),2,,X,X
DOMESTIC PARENT CITY,195,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,MINNEAPOLIS,FOUO (CUI),2,,X,X
DOMESTIC PARENT POSTAL CODE,196,STRING,Numeric,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,551111012,FOUO (CUI),2,,X,X
DOMESTIC PARENT COUNTRY CODE,197,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,USA,FOUO (CUI),2,,X,X
DOMESTIC PARENT STATE OR PROVINCE,198,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,MN,FOUO (CUI),2,,X,X
DOMESTIC PARENT PHONE,199,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,6123431567,FOUO (CUI),2,,X,X
ULTIMATE PARENT LEGAL BUSINESS NAME,200,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,JOLLY COMPANY,FOUO (CUI),2,,X,X
ULTIMATE PARENT UNIQUE ENTITY ID,201,STRING,ALPHANUMERIC,12,This is the UEI number of the ultimate parent entity of the registrant,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,RA13ZADE4741,FOUO (CUI),2,,X,X
BLANK (DEPRECATED),202,STRING,STRING,0,"Blank Spaces, formerly occupied by the prior Domestic Parent Identifier ",,,,             ,FOUO (CUI),2,,X,X
ULTIMATE PARENT ST ADD 1,203,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,801 W YOUNG AVE,FOUO (CUI),2,,X,X
ULTIMATE PARENT ST ADD 2,204,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,"214 TRYON ST, 27TH FLR",FOUO (CUI),2,,X,X
ULTIMATE PARENT CITY,205,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,MINNEAPOLIS,FOUO (CUI),2,,X,X
ULTIMATE PARENT POSTAL CODE,206,STRING,Numeric,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,551111012,FOUO (CUI),2,,X,X
ULTIMATE PARENT COUNTRY CODE,207,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,USA,FOUO (CUI),2,,X,X
ULTIMATE PARENT STATE OR PROVINCE,208,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,MN,FOUO (CUI),2,,X,X
ULTIMATE PARENT PHONE,209,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,6123431567,FOUO (CUI),2,,X,X
EVS OUT OF BUSINESS INDICATOR,210,STRING,Y or Null,1,See SAM Functional Data Dictionary,"Can be Y, N, or Null. Only Y indicates there is an EVS Out of Business Indicator.",Optional,,Y,FOUO (CUI),2,,X,X
EVS MONITORING LAST UPDATED,211,STRING,YYYYMMDD,10,See SAM Functional Data Dictionary,,Optional,,20120720,FOUO (CUI),2,,X,X
EVS MONITORING STATUS,212,STRING,0 or 1,1,See SAM Functional Data Dictionary,,Optional,,U,FOUO (CUI),2,,X,X
EVS MONITORING LEGAL BUSINESS NAME,213,STRING,STRING,120,See SAM Functional Data Dictionary,,Optional,,U.S. BANCORP,FOUO (CUI),2,,X,X
EVS MONITORING DBA,214,STRING,STRING,120,See SAM Functional Data Dictionary,,Optional,,U.S. BANK GOVERNMENT SERVICES,FOUO (CUI),2,,X,X
EVS MONITORING ADDRESS 1,215,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional,,800 NICOLLET MALL STE 1222213,FOUO (CUI),2,,X,X
EVS MONITORING ADDRESS 2,216,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional,,APT B,FOUO (CUI),2,,X,X
EVS MONITORING CITY,217,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional,,MINNEAPOLIS,FOUO (CUI),2,,X,X
EVS MONITORING POSTAL CODE,218,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,,111127222,FOUO (CUI),2,,X,X
EVS MONITORING COUNTRY CODE,219,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional,,USA,FOUO (CUI),2,,X,X
EVS MONITORING STATE OR PROVINCE,220,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional,,MN,FOUO (CUI),2,,X,X
EDI (Y/N),221,STRING,Y or N,1,See SAM Functional Data Dictionary,,Optional,,N,FOUO (CUI),2,,X,X
EDI VAN PROVIDER,222,STRING,STRING,20,See SAM Functional Data Dictionary,,Optional,,"Kleinschmidt, Inc",FOUO (CUI),2,,X,X
ISA QUALIFIER,223,STRING,STRING,2,See SAM Functional Data Dictionary,,Optional,,02,FOUO (CUI),2,,X,X
ISA IDENTIFIER,224,STRING,STRING,15,See SAM Functional Data Dictionary,,Optional,,NOAM,FOUO (CUI),2,,X,X
FUNCTIONAL GROUP IDENTIFIER,225,STRING,STRING,15,See SAM Functional Data Dictionary,,Optional,,NOAM,FOUO (CUI),2,,X,X
820S REQUEST FLAG,226,STRING,Yes/No,1,See SAM Functional Data Dictionary,,Optional,,N,FOUO (CUI),2,,X,X
EDI POC FIRST NAME,227,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional,,Sam,FOUO (CUI),2,,X,X
EDI POC MIDDLE INITIAL,228,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional,,A,FOUO (CUI),2,,X,X
EDI POC LAST NAME,229,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional,,Merica,FOUO (CUI),2,,X,X
EDI POC TITLE,230,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,,Mr,FOUO (CUI),2,,X,X
EDI POC U.S. PHONE,231,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
EDI POC U.S. PHONE EXT,232,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional,,1111,FOUO (CUI),2,,X,X
EDI POC NON-U.S. PHONE,233,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
EDI POC FAX U.S. ONLY,234,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional,,9876543211,FOUO (CUI),2,,X,X
EDI POC EMAIL ,235,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional,,unclesam@sam.gov,FOUO (CUI),2,,X,X
TAX IDENTIFIER TYPE,236,STRING,1  (SSN) or 2 (TIN),1,"Tax Identifier Type  - This data element identifies whether the Tax Identifier provided in the ""Tax Identifier Number"" column is either an SSN (1) or a TIN (2).  ","1 - SSN
2 - TIN",Mandatory for US Entities.  Optional for Foreign and IGT-only Entities,,1,Sensitive (CUI),3,,,X
TAX IDENTIFIER NUMBER,237,STRING,Numeric,9,See SAM Functional Data Dictionary,,Mandatory for US Entities.  Optional for Foreign and IGT-only Entities,,411112260,Sensitive (CUI),3,,,X
AVERAGE NUMBER OF EMPLOYEES,238,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional,Mandatory if purpose of registration is Z2,92267,FOUO (CUI),2,,X,X
AVERAGE ANNUAL REVENUE,239,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional,Mandatory if purpose of registration is Z2,1700000,FOUO (CUI),2,,X,X
FINANCIAL INSTITUTE,240,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,Mandatory to enter banking information if physical address Country is USA and purpose of registration is Z1 or Z2,CITIBANK NA,Sensitive (CUI),3,,,X
ACCOUNT NUMBER,241,STRING,STRING,20,See SAM Functional Data Dictionary,,Optional,Mandatory to enter banking information if physical address Country is USA and purpose of registration is Z1 or Z2,4722204555930011,Sensitive (CUI),3,,,X
ABA ROUTING ID,242,STRING,Numeric,50,See SAM Functional Data Dictionary,,Optional,Mandatory to enter banking information if physical address Country is USA and purpose of registration is Z1 or Z2,091000022,Sensitive (CUI),3,,,X
ACCOUNT TYPE,243,STRING,C or S,1,See SAM Functional Data Dictionary,,Optional,Mandatory to enter banking information if physical address Country is USA and purpose of registration is Z1 or Z2,C,Sensitive (CUI),3,,,X
LOCKBOX NUMBER,244,STRING,STRING,20,See SAM Functional Data Dictionary,,Optional,,1026310,Sensitive (CUI),3,,,X
AUTHORIZATION DATE,245,STRING,YYYYMMDD,8,See SAM Functional Data Dictionary,,Optional,,20120723,Sensitive (CUI),3,,,X
EFT WAIVER,246,STRING,Y or N,1,"The EFT Waiver Flag indicates whether banking information is required for the entity. “Y” indicates Yes, “N” indicates No.",,Mandatory,,N,Sensitive (CUI),3,,,X
ACH U.S. PHONE,247,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),"If banking information is entered, it is mandatory to enter at least one form of ACH contact: Email, Fax or Phone",6123431567,Sensitive (CUI),3,,,X
ACH NON-U.S. PHONE,248,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),"If banking information is entered, it is mandatory to enter at least one form of ACH contact: Email, Fax or Phone",5555-55555555555,Sensitive (CUI),3,,,X
ACH FAX,249,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),"If banking information is entered, it is mandatory to enter at least one form of ACH contact: Email, Fax or Phone",6112522219,Sensitive (CUI),3,,,X
ACH EMAIL,250,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),"If banking information is entered, it is mandatory to enter at least one form of ACH contact: Email, Fax or Phone",a@b.com,Sensitive (CUI),3,,,X
REMITTANCE NAME,251,STRING,STRING,120,See SAM Functional Data Dictionary,,Mandatory,,DANIEL FRAZIER,Sensitive (CUI),3,,,X
REMITTANCE ADDRESS LINE 1,252,STRING,STRING,150,See SAM Functional Data Dictionary,,Mandatory,,304 KORINNA CT,Sensitive (CUI),3,,,X
REMITTANCE ADDRESS LINE 2,253,STRING,STRING,150,See SAM Functional Data Dictionary,,Mandatory,,"214 TRYON ST, 27TH FLR",Sensitive (CUI),3,,,X
REMITTANCE CITY,254,STRING,STRING,40,See SAM Functional Data Dictionary,,Mandatory,,KANSAS CITY,Sensitive (CUI),3,,,X
REMITTANCE STATE OR PROVINCE,255,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA or CAN,MO,Sensitive (CUI),3,,,X
REMITTANCE ZIP/POSTAL CODE,256,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA,58125,Sensitive (CUI),3,,,X
REMITTANCE ZIP CODE +4,257,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional,,6313,Sensitive (CUI),3,,,X
REMITTANCE COUNTRY,258,STRING,STRING,3,See SAM Functional Data Dictionary,,Mandatory,,USA,Sensitive (CUI),3,,,X
ACCOUNTS RECEIVABLE POC FIRST NAME,259,STRING,STRING,65,See SAM Functional Data Dictionary,,Mandatory,,Sam,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC MIDDLE INITIAL,260,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional,,A,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC LAST NAME,261,STRING,STRING,65,See SAM Functional Data Dictionary,,Mandatory,,Merica,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC TITLE,262,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional,,Mr,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC U.S. PHONE,263,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC U.S. PHONE EXT,264,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional,,1111,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC NON-U.S. PHONE,265,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional,Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC FAX U.S. ONLY,266,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional,,9876543211,FOUO (CUI),2,,X,X
ACCOUNTS RECEIVABLE POC EMAIL ,267,STRING,STRING,80,See SAM Functional Data Dictionary,,Mandatory,,unclesam@sam.gov,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC FIRST NAME,268,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (IGT Only),,Sam,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC MIDDLE INITIAL,269,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (IGT Only),,A,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC LAST NAME,270,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (IGT Only),,Merica,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC TITLE,271,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (IGT Only),,Mr,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC ST ADD 1,272,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (IGT Only),,123 Main Street,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC ST ADD 2,273,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (IGT Only),,Floor 5,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC CITY,274,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (IGT Only),,Arlington,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC ZIP/POSTAL CODE,275,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,99999,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC ZIP CODE +4,276,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,0001,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC COUNTRY CODE,277,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (IGT Only),,USA,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC STATE OR PROVINCE,278,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA or CAN,VA,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC U.S. PHONE,279,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC U.S. PHONE EXT,280,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (IGT Only),,1111,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC NON-U.S. PHONE,281,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC FAX U.S. ONLY,282,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (IGT Only),,9876543211,FOUO (CUI),2,,X,X
ACCOUNTS PAYABLE POC EMAIL,283,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (IGT Only),,unclesam@sam.gov,FOUO (CUI),2,,X,X
MPIN,284,STRING,STRING,,No longer required,,Optional,,12345A789,Sensitive (CUI),3,,,X
NAICS EXCEPTION COUNTER,285,STRING,Numeric,4,Four digit identifier that provides the number of NAICS Exceptions to be provided in the NAICS Exception String.,,Mandatory,,0003,Public,1,X,X,X
NAICS EXCEPTION STRING,286,STRING,~ Separated,1100,"Tilde (~) delimited string that includes exception information for any NAICS Codes that the user has selected that has exceptions.  For more information on the NAICS Exception String, See the STRING Clarification TAB",See STRING Clarification Tab,Optional (All Awards),"If Counter is greater than ""0000"" string is mandatory",237990Y   ~541330Y   ~541712Y   ,Public,1,X,X,X
DEBT SUBJECT TO OFFSET FLAG,287,STRING,"Y, N, Null",1,See SAM Functional Data Dictionary,"Y - The entity has delinquent debt subject to offset.
N - The entity does not have delinquent debt subject to offset.
Null - SAM has not received information from the Treasury Offset Program (TOP) for this entity, or, this entity does not fall under the TOP. ",Optional,Only applies to entities which provide a Taxpayer Identification Number (TIN) during registration.,Y,Public,1,X,X,X
EXCLUSION STATUS FLAG,288,STRING,D or Null,1,"This flag indicates whether the entity has an active exclusion record. If this flag is set to “D”, this will indicate that the registrant has an exclusion record.  A null value indicates that this entity does not have an active exclusion record.",,Optional,,D,Public,1,X,X,X
SBA BUSINESS TYPES COUNTER,289,STRING,Numeric,4,Four digit identifier that provides the number of SBA Business Types to be provided in the SBA Business Types String.,,Mandatory,,0001,Public,1,X,X,X
SBA BUSINESS TYPES STRING,290,STRING,~ Separated,125,"Tilde (~) delimited string that includes SBA business type  and expiration information as provided to SAM by SBA.  For more information on the SBA Business Types String, See the STRING Clarification TAB",See STRING Clarification Tab,Optional (All Awards/Federal Assistance),"If Counter is greater than ""0000"" string is mandatory",A620191108~XX20191108,Public,1,X,X,X
SAM NUMERICS COUNTER,291,STRING,Numeric,4,Four digit identifier that provides the number of Numeric Types to be provided in the SAM Numerics Code String.,,Mandatory,,0002,FOUO (CUI),2,,X,X
