Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Subaward Count,Subaward Total,Recipient UEI,Recipient Name,City,State
Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,Northrop & L3Harris (co-primes),HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
MDA Tactical Embedded Systems,,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
Next Generation Interceptor,NGI,MDA,Northrop Grumman & Boeing,HQ085621C0003,"$2,395,436,919.18",234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,CHANDLER,ARIZONA
DTRA Integrated IT Support Services,I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",RESTON,VIRGINIA
DTRA Integrated IT Support Services,DTRA I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",RESTON,VIRGINIA
DTRA IT Support Modernization,I3TS,DoD,Leidos,70T04019C9DAP3006,"$862,620,736.01",222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",RESTON,VIRGINIA
Integrated Base Defense Security System,IBDS,Army,Leidos,70T04019C9DAP3006,"$862,620,736.01",222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",RESTON,VIRGINIA
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,Leidos,70T04019C9DAP3006,"$862,620,736.01",222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",RESTON,VIRGINIA
GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),N0003022C2001,"$421,512,821.00",172,"$39,158,009,924,318.03",JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,ANAHEIM,CALIFORNIA
Global Broadcast Service,GBS,DISA,L3Harris,N0003022C2001,"$421,512,821.00",172,"$39,158,009,924,318.03",JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,ANAHEIM,CALIFORNIA
16th Air Force Mission IT Support,16AF Mission IT,Air Force,ManTech,FA807519FA029,"$316,952,144.94",144,"$82,967,626.84",V9KKND8S1KJ3,MANTECH TSG-2 JOINT VENTURE,QUANTICO,VIRGINIA
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),47QFCA20F0015,"$600,708,181.07",138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,HERNDON,VIRGINIA
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,Peraton,47QFCA20F0015,"$600,708,181.07",138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,HERNDON,VIRGINIA
DFAS Enterprise Support,DFAS-Peraton,DoD,Peraton,47QFCA20F0015,"$600,708,181.07",138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,HERNDON,VIRGINIA
DIMS (Peraton),DIMS,Air Force,Peraton,47QFCA20F0015,"$600,708,181.07",138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,HERNDON,VIRGINIA
CENTCOM Comms Tech Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,"$308,757,507.34",114,"$322,311,557.38",D84JK2RNL7V4,"GOVCIO, LLC",COLUMBIA,MARYLAND
Comms Technical Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,"$308,757,507.34",114,"$322,311,557.38",D84JK2RNL7V4,"GOVCIO, LLC",COLUMBIA,MARYLAND
CTSS V (Expanded Listing),CTSS V,DoD,GovCIO,36C10B22N10030034,"$308,757,507.34",114,"$322,311,557.38",D84JK2RNL7V4,"GOVCIO, LLC",COLUMBIA,MARYLAND
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
CAAC (Peraton),CAAC,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
DC3 – Defense Cyber Crime Center,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
Defense Cyber Crime Center,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
NARSIL,NARSIL,DoD,Peraton (indicative),47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Peraton,47QFCA19F0033,"$487,767,432.14",100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,FORT GEORGE G MEADE,MARYLAND
Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton",36C10B21N10150056,"$1,139,008,033.13",94,"$202,413,792.65",GLGMWJ8EVMR9,LIBERTY IT SOLUTIONS LLC,HERNDON,VIRGINIA
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",RESTON,VIRGINIA
EUCOM/AFRICOM IT & Comms,,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",RESTON,VIRGINIA
JSP ETM (Pentagon IT),JSP ETM,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",RESTON,VIRGINIA
SCORPION (classified),SCORPION,DoD,CACI (context only),GSQ0017AJ0006,"$960,038,373.03",92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",RESTON,VIRGINIA
SSA IT Support Services Contract,ITSSC,CIA,Leidos / Accenture Federal (indicative),28321322FDS030130,"$1,062,905,628.31",85,"$276,743,216.28",MYKLJHTX3MM7,"LEIDOS, INC.",BALTIMORE,MARYLAND
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",83,"$44,444,302.06",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",ABERDEEN PROVING GROUND,MARYLAND
Joint Warfighting Cloud Capability,JWCC,DoD,AWS; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",83,"$44,444,302.06",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",ABERDEEN PROVING GROUND,MARYLAND
JWCC – ATAT Expansion Path,JWCC,DISA,AWS; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",83,"$44,444,302.06",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",ABERDEEN PROVING GROUND,MARYLAND
MOJAVE / ACADIA,,NGA,CACI (indicative),47QFCA20F0010,"$824,303,222.05",80,"$517,776,274.72",N3PBJAVNKF61,"CACI, INC. - FEDERAL",CHANTILLY,VIRGINIA
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,47QFCA24F0002,"$621,308,462.00",78,"$2,048,969,727.40",ZBPQEJVECCT4,PERATON INC.,TAMPA,FLORIDA
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,CACI,FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,CACI (via L-3 NSS acquisition),FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,CACI,FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
EITaaS (Pilot – USAF),EITaaS,Air Force,CACI (pilot),FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,CACI,FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
EUCOM/AFRICOM IT & Comms Support,,Air Force,CACI,FA882316C0004,"$600,725,818.08",68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",COLORADO SPRINGS,COLORADO
DGFS (RTX),DGFS,DoD,Raytheon (RTX),N0001918C1021,"$8,688,654,906.89",53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,EAST HARTFORD,CONNECTICUT
Future Operationally Resilient Ground Evolution,FORGE,Space Force,Raytheon (Mission Data Apps); BAE (C2),N0001918C1021,"$8,688,654,906.89",53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,EAST HARTFORD,CONNECTICUT
LATERALUS (IC Space ISR),LATERALUS,NSA,Raytheon,N0001918C1021,"$8,688,654,906.89",53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,EAST HARTFORD,CONNECTICUT
LATERALUS (Space ISR),LATERALUS,NSA,Raytheon,N0001918C1021,"$8,688,654,906.89",53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,EAST HARTFORD,CONNECTICUT
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,ManTech (TPVS/BISS); CACI (BISS follow-on),70B04C20F00001357,"$251,830,777.48",32,"$267,764,307.75",JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",HERNDON,VIRGINIA
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
GENMOD / VMOD (Network Modernization),GENMOD,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
INSCOM GILE Support,GILE,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
Intelligence Community Infrastructure Support,I2TS-Next,Army,Jacobs,140R4024C0013,"$263,095,350.76",16,"$249,531,897.96",WEBHVDKSC4T5,JACOBS PROJECT MANAGEMENT CO.,FARMINGTON,NEW MEXICO
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,CACI,W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
MPCO VMOD (Voice Modernization),VMOD,Army,CACI (indicative),W15QKN15C0049,"$733,720,754.55",16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",CHANTILLY,VIRGINIA
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,47QFCA22F0047,"$998,940,122.69",4,"$8,680,894.64",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,MCLEAN,VIRGINIA
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
CISA Enterprise Support (CACI),CISA-CACI,DHS,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,CACI (incumbent),47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
JSP Enterprise IT,JSP,DoD,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,CACI,47QFRA19F0011,"$708,253,079.87",2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",ARLINGTON,VIRGINIA
