clearances_at_location,functional_area,job_count_at_location,location,prime_contractor,program_acronym,program_name,sample_titles
Secret; Unknown,Engineering,1,"Windsor Mill, Maryland",Leidos,GCCS-J,Global Command and Control System – Joint (Variant),SENIOR POSTGRES DATABASE ENGINEER; ELECTRICAL ENGINEER
Secret,Engineering,1,"'Aiea, Hawaii",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),SECRET SECURITY ENGINEER (BOUNDARY); SR NETWORK DESIGN ENGINEER
Top Secret,Network/Infrastructure,1,"Grand Forks, North Dakota",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),TS/SCI SYSTEM ADMINISTRATOR
Secret,Engineering,1,"Montgomery, Alabama",Leidos,GSM-O II,Global Network Operations (DISA GSM-O II),SECRET SECURITY ENGINEER (BOUNDARY); SR NETWORK DESIGN ENGINEER
Secret; Unknown; Top Secret,Cybersecurity,1,"Albuquerque, New Mexico",Leidos,GSM-O II,Global Service Management – Operations II,HOSPITAL SECURITY OFFICER; SECRET ISSO; TSSCI CYBER ANALYST
Secret,PMO/Leadership,1,"Chambersburg, Pennsylvania",Leidos,GSM-O II,Global Service Management – Operations II,DEPUTY PROGRAM MANAGER
Top Secret,Network/Infrastructure,1,"Dayton, Ohio",Leidos,GSM-O II,Global Service Management – Operations II,KUBERNETES ADMINISTRATOR
Secret; Unknown; Top Secret,Cybersecurity,2,"Hampton, Virginia",Leidos,GSM-O II,Global Service Management – Operations II,HOSPITAL SECURITY OFFICER; SECRET ISSO; TSSCI CYBER ANALYST
Unknown; Secret,Engineering,3,"Huntsville, Alabama",Leidos,GSM-O II,Global Service Management – Operations II,DEVSECOPS ENGINEER - SECRET CLEARANCE; HARDWARE LAB STRING ENGINEER
Secret; Unknown,Other,3,"Huntsville, Alabama",Leidos,GSM-O II,Global Service Management – Operations II,STRUCTURAL WELDER; PROGRAM INTEGRATOR; BLASTER / PAINTER
Secret; Unknown,Other,3,"Kings Bay, Georgia",Leidos,GSM-O II,Global Service Management – Operations II,STRUCTURAL WELDER; PROGRAM INTEGRATOR; BLASTER / PAINTER
Unknown,Software Development,1,"New York, New York",Leidos,GSM-O II,Global Service Management – Operations II,COLDFUSION DEVELOPER
Unknown; Top Secret,Data/Analytics,1,"O'fallon, Illinois",Leidos,GSM-O II,Global Service Management – Operations II,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA; AIR MOBILITY OPERATIONS SME
Secret; Unknown; Top Secret,Cybersecurity,1,"Sterling Heights, Michigan",Leidos,GSM-O II,Global Service Management – Operations II,HOSPITAL SECURITY OFFICER; SECRET ISSO; TSSCI CYBER ANALYST
Secret; Unknown,Other,1,"Suffolk, Virginia",Leidos,GSM-O II,Global Service Management – Operations II,STRUCTURAL WELDER; PROGRAM INTEGRATOR; BLASTER / PAINTER
Secret; Unknown; Top Secret,Cybersecurity,1,"Tarpon Springs, Florida",Leidos,GSM-O II,Global Service Management – Operations II,HOSPITAL SECURITY OFFICER; SECRET ISSO; TSSCI CYBER ANALYST
Unknown; Top Secret,Data/Analytics,1,"Wilmington, Delaware",Leidos,GSM-O II,Global Service Management – Operations II,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA; AIR MOBILITY OPERATIONS SME
Unknown; Secret,Engineering,1,"Woburn, Massachusetts",Leidos,GSM-O II,Global Service Management – Operations II,DEVSECOPS ENGINEER - SECRET CLEARANCE; HARDWARE LAB STRING ENGINEER
Secret,Other,1,"Fort Bliss, Texas",Leidos,GSMO II,Global Solutions Management – Operations II,SECRET CLEARED SOLUTIONS ARCHITECT; SUPERINTENDENT - MILCON
Secret,Other,1,"Saint Louis, Missouri",Leidos,GSMO II,Global Solutions Management – Operations II,SECRET CLEARED SOLUTIONS ARCHITECT; SUPERINTENDENT - MILCON
Secret,Engineering,1,"Huntsville, Alabama",Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense,MECHANICAL ENGINEER - SECRET CLEARANCE
Unknown,Data/Analytics,1,"Tucson, AZ",Boeing (prime); Northrop & Raytheon (NGI),GMD,Ground-Based Midcourse Defense,Data Entry Specialist
Unknown,Data/Analytics,1,"Washington, VA",GDIT / SAIC (indicative),ASDR,HHS Advanced Secure Data Repository,Sr Business Systems Analyst (PPBE)
Unknown,Engineering,1,"Chandler, Arizona",Northrop & L3Harris (co-primes),HBTSS,Hypersonic & Ballistic Tracking Space Sensor,CLEARED GNC SR. PRINCIPAL ENGINEER
Unknown,Software Development,1,"Andover, MA",Raytheon,IAMD,Integrated Air & Missile Defense,JAVA/REACT Developer
Unknown; TS/SCI Poly,Network/Infrastructure,1,"Fort Belvoir, VA",Leidos,IBDS,Integrated Base Defense Security System,Sr Systems Administrator; Systems Administrator
Unknown,Engineering,1,"Jacksonville, NC",Leidos,IBDS,Integrated Base Defense Security System,Communications Network Engineer Mid (Norfolk); Network Switching Design Engineer Sr-Camp Lejeune; Sr Network Engineer
Unknown,Engineering,2,"Norfolk, VA",Leidos,IBDS,Integrated Base Defense Security System,Communications Network Engineer Mid (Norfolk); Network Switching Design Engineer Sr-Camp Lejeune; Sr Network Engineer
Unknown,Other,2,"Norfolk, VA",Leidos,IBDS,Integrated Base Defense Security System,Siemens OpsCenter Solutions Architect; Sr ISSE
Unknown,Engineering,3,"Reston, VA",Leidos,IBDS,Integrated Base Defense Security System,Communications Network Engineer Mid (Norfolk); Network Switching Design Engineer Sr-Camp Lejeune; Sr Network Engineer
Unknown; TS/SCI Poly,Network/Infrastructure,3,"Reston, VA",Leidos,IBDS,Integrated Base Defense Security System,Sr Systems Administrator; Systems Administrator
Unknown,Other,3,"Reston, VA",Leidos,IBDS,Integrated Base Defense Security System,Siemens OpsCenter Solutions Architect; Sr ISSE
Unknown,Software Development,1,"Washington, VA",Leidos,IBDS,Integrated Base Defense Security System,.NET Developer - Placement
Secret,Engineering,1,"Tucson, Arizona",Northrop Grumman,IDEE,Integrated Digital Engineering Environment,ELECTRICAL ENGINEER 4
TS/SCI Poly,Cybersecurity,1,"Jessup, Maryland",Leidos,ISEO,Intelligence Systems Enterprise Operations,TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST
Secret,Data/Analytics,1,"San Francisco, California",Leidos,ISEO,Intelligence Systems Enterprise Operations,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)"
Unknown,Engineering,1,"San Diego, CA",Northrop Grumman,inSITE,Intelligence Systems Infrastructure Tools & Enhancements,Engineering Manager
Top Secret,Engineering,1,"Chandler, AZ",Northrop Grumman,,MDA Tactical Embedded Systems,(VMS) Guidance Navigation &amp; Control Engineer
Secret,Engineering,1,"Norfolk, Virginia",Palantir,MSS,MSS Smart Systems (Palantir contract),DATA ENGINEER
Public Trust,Other,1,"Dhs, Virginia",GDIT,MPE / MPCO,Mission Partner Environment (Field Ops / MPCO),PROJECT CONTROLS
Unknown; Secret,Engineering,1,"Herndon, Virginia",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,SECRET DATABASE ENGINEER; SIMULATION SYSTEMS ENGINEER II
Secret,Data/Analytics,1,"O'fallon, Illinois",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,DATA ANALYST
Unknown; Secret,Engineering,1,"Suffolk, Virginia",Peraton,NARSIL,NARSIL – Advanced Research for System Intelligence & Learning,SECRET DATABASE ENGINEER; SIMULATION SYSTEMS ENGINEER II
Unknown,Other,1,"Washington, VA",Peraton,SENSE,NASA SENSE (Space Comms & Tracking),Oracle DBA
Secret; Unknown; Top Secret,Engineering,1,"Carlsbad, CA",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Secure Enterprise Engineer; TS/SCI SR. NETWORK ENGINEER; DIGITAL HARDWARE ENGINEER
Secret; Unknown; Top Secret,Engineering,1,"Fairfax, Virginia",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Secure Enterprise Engineer; TS/SCI SR. NETWORK ENGINEER; DIGITAL HARDWARE ENGINEER
Secret; Unknown; Top Secret,Engineering,1,"Greece, New York",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Secure Enterprise Engineer; TS/SCI SR. NETWORK ENGINEER; DIGITAL HARDWARE ENGINEER
Top Secret,Cybersecurity,1,"Lincoln, Massachusetts",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS
Secret; Unknown; Top Secret,Engineering,1,"Mount Vernon, Virginia",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Secure Enterprise Engineer; TS/SCI SR. NETWORK ENGINEER; DIGITAL HARDWARE ENGINEER
Unknown,Other,1,"St. Louis, MO",Leidos,NGEN-R SMIT,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Ops Tech II
Unknown,Engineering,1,"Fort Worth, TX",Lockheed Martin,AEGIS,Navy Aegis Combat System Modernization,IT System Engineer
Top Secret,Engineering,1,"Redondo Beach, California",Northrop Grumman,Next-Gen OPIR,Next-Gen OPIR (Ground + Payload),TS/SCI C++ SOFTWARE ENGINEER
Top Secret,Engineering,1,"El Segundo, California",Northrop Grumman,NG OPIR (classified),Next-Generation Overhead Persistent Infrared,VERIFICATION & VALIDATION ENGINEER
Unknown,Other,1,"Milford Mill, MD","11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",PRISM,PRISM Support Services (Consolidated),Microsoft Copilot Studio AI SME
Unknown,Cybersecurity,1,"Fort George G Meade, MD",Peraton,IAE,Peraton ARCYBER Information Advantage Enterprise,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am)
Top Secret,Other,1,"Charlottesville, VA",SAIC,PC,Project Convergence (JADC2 Experiments),Install Specialist / IT Certified Professional; TOP SECRET HARDWARE TECH
Top Secret,Engineering,1,"Huntsville, Alabama",SAIC,PC,Project Convergence (JADC2 Experiments),TOP SECRET OPERATIONS SUPPORT ENGINEER
Top Secret,Other,1,"Monroeville, Pennsylvania",SAIC,PC,Project Convergence (JADC2 Experiments),Install Specialist / IT Certified Professional; TOP SECRET HARDWARE TECH
Secret; Top Secret,Network/Infrastructure,7,"Montgomery, Alabama",SAIC,PC,Project Convergence (JADC2 Experiments),SECRET NETWORK ADMINISTRATOR II (DAYS); TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON); TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON)
Unknown,Other,1,"Juno Beach, FL",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,Project Management Consultant-Level 3 - Senior (11 - 15 Years)
Unknown,Help Desk/Service Desk,1,"Pensacola, FL",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,Deployed Support Specialist Mid- Pensacola
Secret,Engineering,1,"Tampa, Florida",Peraton,SITEC III,SITEC III – Enterprise Operations & Maintenance,SR PROJECT ENGINEER
Secret,Engineering,2,"Hill AFB, Utah",SAIC / LinQuest (indicative),SPICE,SPICE (Space Payload Integration & Cyber Eng),SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER; JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER
