Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,2,FA251822F0034,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),COLORADO SPRINGS,COLORADO,80912,UNITED STATES,2022-06-27,2026-06-28,2027-06-28,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541512,R425,8A,"$2,893,647.82","$3,720,056.52",75N98119D00001,IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
BOA (General Staff Augmentation),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
BOA (Northrop Surge),BOA,Other,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Business Operations & Analytics,BOA,DoD,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,Medium,1,W31P4Q20C0023,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),GRAND PRAIRIE,TEXAS,75051,UNITED STATES,2020-04-30,2033-09-30,2033-09-30,4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,336414,1410,NONE,"$10,449,280,456.95","$6,758,173,159.84",,,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE
CAAC (Peraton),CAAC,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1,47QFCA19F0033,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,2019-02-11,2024-02-11,2024-02-11,100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,541330,R499,,"$487,767,432.14","$1,594,002,704.48",GS00Q14OADU128,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,7,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
CBP Enterprise IT Support,CBP-Peraton,DHS,Peraton,GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2,GST0011AJ0025,"IS TO PROVIDE SUPPORT FOR THE CONTINUED OPERATIONS, MAINTENANCE AND EVOLUTION OF DEPARTMENT OF HOMELAND SECURITY (DHS) CLASSIFIED NETWORKS. DHS CLASSIFIED NETWORKS ARE A FEDERAL ENTERPRISE INFRASTRUCTURE FOR CLASSIFIED INFORMATION SHARING WHICH EXTEND EXISTING US GOVERNMENT CAPABILITIES NOT ONLY TO THE DEPARTMENT OF HOMELAND SECURITY AND ITS COMPONENTS, BUT TO OTHER FEDERAL GOVERNMENT AGENCIES, AND TO FIRST RESPONDERS AT THE STATE, LOCAL, AND TRIBAL LEVELS.",MC LEAN,VIRGINIA,22101,UNITED STATES,2011-02-02,2018-05-02,2018-05-02,315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,541512,R499,NONE,"$609,128,623.96","$1,114,022,610.00",GS00Q09BGD0056,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",,,
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,ManTech (TPVS/BISS); CACI (BISS follow-on),70B04C20F00001357,"$251,830,777.48",BUSINESS INTELLIGENCE SUPPORT SERVICES (BISS) CBP TARGETING,High,3,70B04C20F00001357,CUSTOM AND BORDER PROTECTION'S TARGETING AND ANALYSIS SYSTEMS PROGRAM DIRECTORATE (TASPD)'S BUSINESS INTELLIGENCE SUPPORT SERVICES (BISS) REQUIREMENTS CONTRACT,HERNDON,VIRGINIA,20171,UNITED STATES,2021-09-26,2026-09-25,2026-09-25,32,"$267,764,307.75",JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",541512,D399,,"$251,830,777.48","$272,525,309.00",47QTCK18D0031,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",INFORMATION TECHNOLOGY CONTRACTING DIVISION,U.S. Customs and Border Protection,OFFICE OF INFORMATION AND TECHNOLOGY
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,W911QX24F0053,"$292,680,689.24",AI ML PLATFORM DATA SERVICES MAVEN,Low,0,W911QX24F0053,TASK ORDER #1 FOR MAVEN SMART SYSTEM - USER INTERFACE/USER EXPERIENCE (UI/UX) PROTOTYPE,PALO ALTO,CALIFORNIA,94301,UNITED STATES,2024-06-18,2026-05-31,2026-05-31,,,HNN4F9JZWDY8,PALANTIR USG INC,541715,AC35,,"$292,680,689.24","$328,877,148.03",W911QX24D0012,MAVEN SMART SYSTEM (MSS) PRODUCTION FOLLOW-ON FEDERAL ACQUISITION REGULATION (FAR)-BASED CONTRACT FROM SUCCESSFUL OTHER TRANSACTION (OT) FOR PROTOTYPES,W6QK ACC-APG ADELPHI,Department of the Army,"OFFICE, CHIEF DIGITAL & AI OFFICER"
CENTCOM Comms Tech Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,"$308,757,507.34",HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT VA VETERANS,Medium,1,36C10B22N10030034,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,COLUMBIA,MARYLAND,21046,UNITED STATES,2022-08-23,2026-08-22,2027-08-22,114,"$322,311,557.38",D84JK2RNL7V4,"GOVCIO, LLC",541512,DF01,,"$308,757,507.34","$389,931,518.89",VA11816D1003,IGF::OT::IGF   TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) BASE CONTRACT,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B)
CENTCOM Enterprise IT Modernization,,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
CISA Enterprise Support (CACI),CISA-CACI,DHS,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
Cloud One,Cloud One,Air Force,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
Cloud One (USAF Cloud Program),Cloud One,Air Force,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,2,47QFCA20F0015,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.",HERNDON,VIRGINIA,20171,UNITED STATES,2019-12-18,2026-12-17,2026-12-17,138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,541512,D399,,"$600,708,181.07","$810,580,971.00",47QTCK18D0030,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,BUREAU OF CONSULAR AFFAIRS
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,Medium,1,W31P4Q20C0023,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),GRAND PRAIRIE,TEXAS,75051,UNITED STATES,2020-04-30,2033-09-30,2033-09-30,4183,"$5,133,266,343.94",XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,336414,1410,NONE,"$10,449,280,456.95","$6,758,173,159.84",,,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
"Command and Control, Battle Management, Communications",C2BMC,MDA,Lockheed Martin,DEAC0494AL85000,"$48,066,473,048.89",SANDIA NATIONAL LABORATORIES MANAGEMENT NUCLEAR WEAPONS,Medium,1,DEAC0494AL85000,,,NEW MEXICO,,UNITED STATES,1993-10-15,2017-04-30,2017-04-30,,,LUJEPCRRT377,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",561210,M181,,"$47,838,045,445.15","$48,207,126,519.46",,,,,
Common Open Operational Launch Range,COOLR,Space Force,Lockheed Martin (indicative),N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,FORT WORTH,TEXAS,76108,UNITED STATES,2017-11-17,2031-03-31,2031-03-31,12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,1510,NONE,"$35,135,514,910.20","$45,265,737,305.46",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
Comms Technical Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,"$308,757,507.34",HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT VA VETERANS,Medium,1,36C10B22N10030034,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,COLUMBIA,MARYLAND,21046,UNITED STATES,2022-08-23,2026-08-22,2027-08-22,114,"$322,311,557.38",D84JK2RNL7V4,"GOVCIO, LLC",541512,DF01,,"$308,757,507.34","$389,931,518.89",VA11816D1003,IGF::OT::IGF   TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) BASE CONTRACT,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B)
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,CACI (via L-3 NSS acquisition),FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,8,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,7,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
Conventional Prompt Strike,CPS,Army,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Medium,1,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,FORT WORTH,TEXAS,76108,UNITED STATES,2017-11-17,2031-03-31,2031-03-31,12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,1510,NONE,"$35,135,514,910.20","$45,265,737,305.46",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
CTSS V (Expanded Listing),CTSS V,DoD,GovCIO,36C10B22N10030034,"$308,757,507.34",HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT VA VETERANS,Low,0,36C10B22N10030034,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,COLUMBIA,MARYLAND,21046,UNITED STATES,2022-08-23,2026-08-22,2027-08-22,114,"$322,311,557.38",D84JK2RNL7V4,"GOVCIO, LLC",541512,DF01,,"$308,757,507.34","$389,931,518.89",VA11816D1003,IGF::OT::IGF   TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) BASE CONTRACT,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B)
Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2,GST0011AJ0025,"IS TO PROVIDE SUPPORT FOR THE CONTINUED OPERATIONS, MAINTENANCE AND EVOLUTION OF DEPARTMENT OF HOMELAND SECURITY (DHS) CLASSIFIED NETWORKS. DHS CLASSIFIED NETWORKS ARE A FEDERAL ENTERPRISE INFRASTRUCTURE FOR CLASSIFIED INFORMATION SHARING WHICH EXTEND EXISTING US GOVERNMENT CAPABILITIES NOT ONLY TO THE DEPARTMENT OF HOMELAND SECURITY AND ITS COMPONENTS, BUT TO OTHER FEDERAL GOVERNMENT AGENCIES, AND TO FIRST RESPONDERS AT THE STATE, LOCAL, AND TRIBAL LEVELS.",MC LEAN,VIRGINIA,22101,UNITED STATES,2011-02-02,2018-05-02,2018-05-02,315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,541512,R499,NONE,"$609,128,623.96","$1,114,022,610.00",GS00Q09BGD0056,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",,,
DC3 – Defense Cyber Crime Center,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1,47QFCA19F0033,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,2019-02-11,2024-02-11,2024-02-11,100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,541330,R499,,"$487,767,432.14","$1,594,002,704.48",GS00Q14OADU128,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1,47QFCA19F0033,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,2019-02-11,2024-02-11,2024-02-11,100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,541330,R499,,"$487,767,432.14","$1,594,002,704.48",GS00Q14OADU128,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND
Defense Cyber Crime Center,DC3,DoD,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1,47QFCA19F0033,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,2019-02-11,2024-02-11,2024-02-11,100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,541330,R499,,"$487,767,432.14","$1,594,002,704.48",GS00Q14OADU128,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND
Defense Enclave Services,DES,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
