Program Name,Acronym,Agency Owner,Program Type,Priority Level,Confidence Level,PTS Involvement,Contract Number,tango_piid,parent_piid,Contract Value,Contract Value (Consolidated),total_contract_value,Base Contract Value (FPDS),Base + Options Value (FPDS),obligated,subawards_total,subawards_count,Prime Contractor,Prime Contractor 1,Prime Contractor (Consolidated),recipient_name,recipient_uei,Key Subcontractors,Known Subcontractors,Period of Performance,Period of Performance (Original),PoP Start,PoP End,period_start,period_end,PoP Start (Consolidated),PoP End (Consolidated),ultimate_completion,Ultimate Completion (Consolidated),Recompete Date,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Key Locations,Performance Location (TANGO),Performance Location (FPDS),pop_city,pop_state,pop_zip,pop_country,NAICS Code (Consolidated),naics_code,FPDS NAICS Code,NAICS Description,PSC Code (Consolidated),psc_code,FPDS PSC Code,PSC Description,set_aside,Technical Stack,Tech Stack (Basic),Keywords/Signals,Functional Areas,Typical Roles,Job Titles,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status,Contract Vehicle Used,Contract Vehicle/Type,awarding_office,awarding_agency,funding_office,COR/COTR,Program Manager,Clearance Requirements,Security Requirements,Match Confidence,Match Score,Incumbent Score,Source Evidence,Notes,Pain Points,Related Jobs,tango_description,parent_description,Budget
CENTCOM Enterprise IT Modernization,,DoD,,High,High,,19AQMM18C0185,19AQMM18C0185,,$922M,$922M,"$2,447,737,874.85 ",,,"$1,495,085,754.52 ","$4,515,398,091.95 ",5952,,GDIT,GDIT,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,,AVI-SPL; IT staffing partners,,~2023–2029,2023,2029,6/19/2019,8/7/2029,6/19/2019,8/7/2029,8/7/2029,8/7/2029,,,,,,MacDill AFB; CENTCOM sites OCONUS,"SPRINGFIELD, VIRGINIA",,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,541614,541614,,,R706,R706,,,NONE,,,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,,Cloud architects; cyber engineers; legacy IT sustainment,,,,,,,,Not Queried,,Single Award,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY,,,"Secret, Top Secret",,Medium,1,,Program description,,,,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,,
CISA Enterprise Support (CACI),CISA-CACI,DHS,Cyber,Medium,Medium,,47QFRA19F0011,47QFRA19F0011,GS00Q09BGD0020,,"$1,026,717,176.60 ","$1,026,717,176.60 ",,,"$708,253,079.87 ","$10,015,496.00 ",2,,CACI,CACI,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,,,Ongoing,,Ongoing,5/8/2019,4/30/2024,5/8/2019,4/30/2024,4/30/2024,4/30/2024,,,,,,NCR,"ARLINGTON, VIRGINIA",,ARLINGTON,VIRGINIA,22202,UNITED STATES,541512,541512,,,7010,7010,,,,,,“CISA support”,,Cybersecurity; IT ops support,,,,,,,,Not Queried,,Services,GSA FAS AAS REGION 8,Federal Acquisition Service,,,,Secret,,Medium,1,,Program line,,,,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",
Cloud One,Cloud One,Air Force,,High,High,,FA877319FA023,FA877319FA023,GS00Q14OADS129,$727M,$727M,"$47,518,825.61 ",,,"$39,874,973.53 ",,,,SAIC,SAIC,MOSAIC TECHNOLOGIES GROUP LLC,K3XCTTC4VDR5,,,,~2020–2025,2020,2025,4/28/2019,10/27/2025,4/28/2019,10/27/2025,7/27/2026,7/27/2026,,,,,,Hanscom AFB; remote,"SAN ANTONIO, TEXAS",,SAN ANTONIO,TEXAS,78243,UNITED STATES,541330,541330,,,R425,R425,,,,,,“AF Cloud migration; Azure/AWS”,,Cloud engineers; DevSecOps; cyber,,,,,,,,Not Queried,,Single Award,FA8773 ACC 38 CONS,Department of the Air Force,67 CW,,,Secret,,Medium,1,,Cloud One value from program intel,,,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Cloud One (USAF Cloud Program),Cloud One,Air Force,,High,High,,FA877319FA023,FA877319FA023,GS00Q14OADS129,$727M,$727M,"$47,518,825.61 ",,,"$39,874,973.53 ",,,,SAIC,SAIC,MOSAIC TECHNOLOGIES GROUP LLC,K3XCTTC4VDR5,,Unnamed subcontractors,,2020–2025,2020,2025,4/28/2019,10/27/2025,4/28/2019,10/27/2025,7/27/2026,7/27/2026,,,,,,Hanscom AFB; remote,"SAN ANTONIO, TEXAS",,SAN ANTONIO,TEXAS,78243,UNITED STATES,541330,541330,,,R425,R425,,,,,,“USAF common multi-cloud environment”,,Cloud engineers; DevSecOps,,,,,,,,Not Queried,,Single Award,FA8773 ACC 38 CONS,Department of the Air Force,67 CW,,,Secret,,Medium,1,,Cloud One description,,,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,,Medium,Medium,,,,,,,,,,,,,,Multiple,Multiple,,,,Multiple subs,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,NAVWAR,,,,,,,,,,,,,,,,,,“Navy rapid C5ISR”,,Rapid C5ISR engineering; prototyping; integration,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,,,,NAVWAR program entry,,,,,,
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,Medium,Medium,,47QFCA20F0015,47QFCA20F0015,47QTCK18D0030,,"$810,580,971.00 ","$810,580,971.00 ",,,"$600,708,181.07 ","$271,638,793.42 ",138,,Peraton / SAIC (indicative),Peraton / SAIC (indicative),PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,,,,Ongoing,,Ongoing,12/18/2019,12/17/2026,12/18/2019,12/17/2026,12/17/2026,12/17/2026,,,,,,CMS,"HERNDON, VIRGINIA",,HERNDON,VIRGINIA,20171,UNITED STATES,541512,541512,,,D399,D399,,,,,,“CMS cloud”,,Cloud engineers; cloud ops,,,,,,,,Not Queried,,Services,GSA FAS AAS FEDSIM,Federal Acquisition Service,BUREAU OF CONSULAR AFFAIRS,,,Public Trust,,Medium,2,,Row entry,,,,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.","IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",
CMS FPS2,FPS2,DoD,,Low,Low,,,,,,,,,,,,,,,,,,,,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,CMS,,,,,,,,,,,,,,,,,,“FPS2”,,DevOps; developers,,,,,,,,,,CONTRACT,,,,,,Public Trust,,,,,Row entry,,,,,,
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,Medium,Medium,,HQ085621C0003,HQ085621C0003,,,"$3,936,086,486.00 ","$3,936,086,486.00 ",,,"$2,395,436,919.18 ","$1,607,946,416.57 ",234,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORPORATION,F9PAEKAAXGB6,,Parsons; Tetra Tech,,Multi-year,,,3/25/2021,12/31/2028,3/25/2021,12/31/2028,12/31/2028,12/31/2028,,,,,,Colorado Springs; Huntsville,"CHANDLER, ARIZONA",,CHANDLER,ARIZONA,85286,UNITED STATES,541715,541715,,,AC13,AC13,,,NONE,,,“C2BMC… software/network-centric”,,SW engineers; network engineers; cyber engineers,,,,,,,,Not Queried,,R&D,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA),,,"Secret, TS/SCI",,Medium,2,,Same dataset as earlier rows,,,,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",,
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,Medium,Medium,,W31P4Q20C0023,W31P4Q20C0023,,Multi-$B,Multi-$B,"$6,758,173,159.84 ",,,"$10,449,280,456.95 ","$5,133,266,343.94 ",4183,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,,"Northrop, Raytheon subs",,2024 award (Next),2024,,4/30/2020,9/30/2033,4/30/2020,9/30/2033,9/30/2033,9/30/2033,,,,,,Huntsville / Schriever,"GRAND PRAIRIE, TEXAS",,GRAND PRAIRIE,TEXAS,75051,UNITED STATES,336414,336414,,,1410,1410,,,NONE,,,Global missile defense C2,,"C2 SW, integration",,,,,,,,Not Queried,,FOLLOW-ON (NEXT),W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,"Secret, TS/SCI",,Medium,1,,,,,,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),,
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,,Medium,Medium,,HQ085621C0003,HQ085621C0003,,,"$3,936,086,486.00 ","$3,936,086,486.00 ",,,"$2,395,436,919.18 ","$1,607,946,416.57 ",234,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORPORATION,F9PAEKAAXGB6,,Parsons; Tetra Tech (support contracts cited),,Multi-year,,,3/25/2021,12/31/2028,3/25/2021,12/31/2028,12/31/2028,12/31/2028,,,,,,Colorado Springs CO; Huntsville AL,"CHANDLER, ARIZONA",,CHANDLER,ARIZONA,85286,UNITED STATES,541715,541715,,,AC13,AC13,,,NONE,,,“MDA C2BMC heavily software/network-centric; small biz partners sought”,,Software engineers; network engineers; cyber engineers,,,,,,,,Not Queried,,R&D,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA),,,"Secret, TS/SCI",,Medium,2,,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,,,,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",,
"Command and Control, Battle Management, Communications",C2BMC,MDA,,Medium,Medium,,DEAC0494AL85000,DEAC0494AL85000,,,"$48,207,126,519.46 ","$48,207,126,519.46 ",,,"$47,838,045,445.15 ",,,,Lockheed Martin,Lockheed Martin,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",LUJEPCRRT377,,,,,,,10/15/1993,4/30/2017,10/15/1993,4/30/2017,4/30/2017,4/30/2017,,,,,,Colorado Springs CO; Huntsville AL (indicative),,,,NEW MEXICO,,UNITED STATES,561210,561210,,,M181,M181,,,,,,“C2BMC”,,Systems engineers; software development/test; network engineers,,,,,,,,Not Queried,,,,,,,,"Secret, TS/SCI",,Medium,1,,“C2BMC”,,,,,,
Commercial Virtual Remote Collaboration (Legacy) – Secondary Row,CVR,DISA,Professional Services,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Remote CONUS,,,,,,,,,,,,,,IL5/IL6,,,,,,,,,,,,,,,,,,IT Ops / Cyber,,“CVR… Teams… O365 sunset”,,,,,,,,,,2020–2021,,,,,,Secret,,,,,Medium,,,,,,
Commercial Virtual Remote Collaboration Support (legacy),CVR,DISA,Professional Services,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Remote (all CONUS bases),,,,,,,,,,,,,,IL5 / IL6,,,,,,,,,,,,,,,,,,IT Ops / Cyber,,"“CVR, Teams, Remote Collaboration, O365 sunset, DOD365”",,,,,,,,,,2020–2021,,,,,,Secret,,,,,Medium,,,,,,
Common Open Operational Launch Range,COOLR,Space Force,,Medium,Medium,,N0001917C0001,N0001917C0001,,,"$45,265,737,305.46 ","$45,265,737,305.46 ",,,"$35,135,514,910.20 ","$19,006,059,279.59 ",12781,,Lockheed Martin (indicative),Lockheed Martin (indicative),LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,,,Ongoing,,Ongoing,11/17/2017,3/31/2031,11/17/2017,3/31/2031,3/31/2031,3/31/2031,,,,,,Ranges (test ranges),"FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,1510,1510,,,NONE,,,“Launch range C2”,,C2 / Range software engineers,,,,,,,,Not Queried,,R&D,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,Secret,,Low,0,,,,,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,
Comms Technical Support V,CTSS V,DoD,,High,High,,36C10B22N10030034,36C10B22N10030034,VA11816D1003,$865M,$865M,"$389,931,518.89 ",,,"$308,757,507.34 ","$322,311,557.38 ",114,,GovCIO (Salient CRGT),GovCIO (Salient CRGT),"GOVCIO, LLC",D84JK2RNL7V4,,Prior incumbent GDIT; AVI-SPL (A/V),,7 years,,,8/23/2022,8/22/2026,8/23/2022,8/22/2026,8/22/2027,8/22/2027,,,,,,SW Asia AOR + MacDill AFB reach-back,"COLUMBIA, MARYLAND",,COLUMBIA,MARYLAND,21046,UNITED STATES,541512,541512,,,DF01,DF01,,,,,,“OCONUS rotations”; “$865M… OCONUS support”,,Deployed comms techs; network eng; IT O&M technicians,,,,,,,,Not Queried,,,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),,,"Secret, Top Secret",,Medium,1,,Provided CTSS V details,,,,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,IGF::OT::IGF   TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) BASE CONTRACT,
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,High,High,,FA882316C0004,FA882316C0004,,$446M,$446M,"$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,CACI (via L-3 NSS acquisition),CACI (via L-3 NSS acquisition),"CACI NSS, LLC",L2TTR2QRV8H9,,L3Harris; KBR/FTI; LinQuest,,2017–2024 (+extensions),2017,2024,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)","COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,,Satellite tracking ops; RF techs; network engineers,,,,,,,,Not Queried,,Single Award,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Secret, Top Secret",,High,8,,CAMMO description as provided,,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,High,High,,FA882316C0004,FA882316C0004,,$446M,$446M,"$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,CACI,CACI,"CACI NSS, LLC",L2TTR2QRV8H9,,L3Harris; KBR; LinQuest,,2017–2024,2017,2024,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,Schriever SFB; worldwide tracking,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,“AFSCN O&M… merged contracts… CACI prime”,,Satellite controllers; RF techs; network ops,,,,,,,,Not Queried,,Single Award,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Secret, Top Secret",,High,7,,CAMMO reference,,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
Conventional Prompt Strike,CPS,Army,Weapon Systems,Medium,Medium,,N0001917C0001,N0001917C0001,,Multi-$B,Multi-$B,"$45,265,737,305.46 ",,,"$35,135,514,910.20 ","$19,006,059,279.59 ",12781,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,Northrop; others,,2019–,2019,,11/17/2017,3/31/2031,11/17/2017,3/31/2031,3/31/2031,3/31/2031,,,,,,Fleet & Army strategic sites,"FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,1510,1510,,,NONE,,,“Hypersonic missiles”,,Hypersonic engineers; test engineers; flight test support,,,,,,,,Not Queried,,Production,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,"Secret, Top Secret",,Medium,1,,,,,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,
Conventional Prompt Strike – Secondary Row,CPS,Navy,Weapon Systems,Medium,Medium,,,,,Multi-$B,Multi-$B,,,,,,,,Lockheed Martin,Lockheed Martin,,,,Northrop; subsystem providers,,2019–,2019,,,,2019,,,,,,,,,Fleet & Army,,,,,,,,,,,,,,,,,,“Hypersonic missiles”,,Hypersonic engineering; embedded software; flight test,,,,,,,,,,Production,,,,,,"Secret, Top Secret",,,,,Hypersonics notes,,,,,,
Counterintelligence Field Activity,CIFA,DIA,Intel,Low,Low,,,,,,,,,,,,,,CACI,CACI,,,,unknown,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,"“Counterintel, CIFA, CI Agent”",,HUMINT; CI analyst; intel support,,,,,,,,,,,,,,,,TS/SCI w/ Poly,,,,,Older PTS past performance notes,,,,,,
Counterintelligence Field Activity – Secondary Row,CIFA,DIA,Intel,Low,Low,,,,,,,,,,,,,,CACI,CACI,,,,unknown,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,“CIFA”,,HUMINT; CI agents; intel collection,,,,,,,,,,,,,,,,TS/SCI w/ Poly,,,,,PTS past performance notes,,,,,,
CRIP (Indicative Program),CRIP,DoD,Professional Services,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secret,,,,,,,,,,,,,,,,,,IT Ops,,“CRIP”,,,,,,,,,,PROGRAM,,,,,,Secret,,,,,Medium,,,,,,
CTSS V (Expanded Listing),CTSS V,DoD,,High,High,,36C10B22N10030034,36C10B22N10030034,VA11816D1003,$865M,$865M,"$389,931,518.89 ",,,"$308,757,507.34 ","$322,311,557.38 ",114,,GovCIO,GovCIO,"GOVCIO, LLC",D84JK2RNL7V4,,AVI-SPL; Trace Systems (likely),,7 years,,,8/23/2022,8/22/2026,8/23/2022,8/22/2026,8/22/2027,8/22/2027,,,,,,Qatar; Kuwait; Bahrain; Iraq; etc.,"COLUMBIA, MARYLAND",,COLUMBIA,MARYLAND,21046,UNITED STATES,541512,541512,,,DF01,DF01,,,,,,“Comprehensive comms & IT O&M across CENTCOM AOR”,,Comms techs; RF; SATCOM; network administrators,,,,,,,,Not Queried,,Task Order,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),,,"Secret, Top Secret",,Low,0,,CTSS V narrative,,,,HEALTH SERVICES PORTFOLIO TECHNICAL MANAGEMENT AND STRATEGIC SOLUTIONING SUPPORT,IGF::OT::IGF   TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) BASE CONTRACT,
CYBAR TRON (Recompete),CYBAR TRON,DoD,Cyber,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“CYBAR TRON”,,Cyber engineers; cyber analysts,,,,,,,,,,RECOMPETE,,,,,,Secret,,,,,Row entry,,,,,,
Data Center & Cloud Optimization,DCCO,DHS,,Medium,Medium,,GST0011AJ0025,GST0011AJ0025,GS00Q09BGD0056,,"$1,114,022,610.00 ","$1,114,022,610.00 ",,,"$609,128,623.96 ","$535,137,651.00 ",315,,Peraton / Leidos (indicative),Peraton / Leidos (indicative),NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,JER6HDF9APP1,,Multiple,,Ongoing,,Ongoing,2/2/2011,5/2/2018,2/2/2011,5/2/2018,5/2/2018,5/2/2018,,,,,,NCR,"MC LEAN, VIRGINIA",,MC LEAN,VIRGINIA,22101,UNITED STATES,541512,541512,,,R499,R499,,,NONE,,,“DHS cloud/DC”,,Cloud ops; DC ops,,,,,,,,Not Queried,,ENTERPRISE IT,,,,,,"Public Trust, Secret",,Medium,2,,Row text,,,,"IS TO PROVIDE SUPPORT FOR THE CONTINUED OPERATIONS, MAINTENANCE AND EVOLUTION OF DEPARTMENT OF HOMELAND SECURITY (DHS) CLASSIFIED NETWORKS. DHS CLASSIFIED NETWORKS ARE A FEDERAL ENTERPRISE INFRASTRUCTURE FOR CLASSIFIED INFORMATION SHARING WHICH EXTEND EXISTING US GOVERNMENT CAPABILITIES NOT ONLY TO THE DEPARTMENT OF HOMELAND SECURITY AND ITS COMPONENTS, BUT TO OTHER FEDERAL GOVERNMENT AGENCIES, AND TO FIRST RESPONDERS AT THE STATE, LOCAL, AND TRIBAL LEVELS.","THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",
DC3 – Defense Cyber Crime Center,DC3,DoD,Cyber,Medium,Medium,,47QFCA19F0033,47QFCA19F0033,GS00Q14OADU128,,"$1,594,002,704.48 ","$1,594,002,704.48 ",,,"$487,767,432.14 ","$712,544,395.30 ",100,,Peraton,Peraton,PERATON TECHNOLOGY SERVICES INC.,CJ38H41QMGA1,,,,Ongoing,,Ongoing,2/11/2019,2/11/2024,2/11/2019,2/11/2024,2/11/2024,2/11/2024,,,,,,Linthicum MD,"FORT GEORGE G MEADE, MARYLAND",,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,541330,541330,,,R499,R499,,,,,,“DC3”,,Forensics; malware; cyber intel,,,,,,,,Not Queried,,PROGRAM,GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND,,,TS/SCI,,Medium,1,,,,,,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,Cyber,Medium,Medium,,47QFCA19F0033,47QFCA19F0033,GS00Q14OADU128,,"$1,594,002,704.48 ","$1,594,002,704.48 ",,,"$487,767,432.14 ","$712,544,395.30 ",100,,Peraton,Peraton,PERATON TECHNOLOGY SERVICES INC.,CJ38H41QMGA1,,,,Linthicum MD,,,2/11/2019,2/11/2024,2/11/2019,2/11/2024,2/11/2024,2/11/2024,,,,,,TS/SCI,"FORT GEORGE G MEADE, MARYLAND",,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,541330,541330,,,R499,R499,,,,,,Cyber,,“DC3 forensics”,,,,,,,,Not Queried,,ONGOING,GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND,,,Secret,,Medium,1,,Medium,,,,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Defense Cyber Crime Center,DC3,DoD,Cyber,Medium,Medium,,47QFCA19F0033,47QFCA19F0033,GS00Q14OADU128,,"$1,594,002,704.48 ","$1,594,002,704.48 ",,,"$487,767,432.14 ","$712,544,395.30 ",100,,Peraton,Peraton,PERATON TECHNOLOGY SERVICES INC.,CJ38H41QMGA1,,,,Ongoing,,Ongoing,2/11/2019,2/11/2024,2/11/2019,2/11/2024,2/11/2024,2/11/2024,,,,,,Linthicum MD,"FORT GEORGE G MEADE, MARYLAND",,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,541330,541330,,,R499,R499,,,,,,“DC3”,,Digital forensics; malware analysis; cyber investigators,,,,,,,,Not Queried,,PROGRAM,GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND,,,TS/SCI,,Medium,1,,Row text,,,,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Defense Enclave Services,DES,DoD,,High,High,,HHSN261200800001E,HHSN261200800001E,,$11.5B,$11.5B,"$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos,Leidos,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,PTS (subcontractor),,needs-scrape,,,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Fort Belvoir VA (HQ),"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,“PTS is already on DES (Fort Belvoir placements)”,,Systems engineers; IT support; service desk; NOC staff,,,,,,,,Not Queried,,,,,,,,Secret,,Low,0,,BD evidence,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
