Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score
GENMOD / VMOD (Network Modernization),GENMOD,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
Global Broadcast Service,GBS,DISA,L3Harris,N0003022C2001,"$421,512,821.00",FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES NAVY RANGE,Medium,1
Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,1
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,Leidos,NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,1
Global Service Management – Operations II,GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1
Global Solutions Management – Operations II,GSMO II,DISA,Leidos,NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,1
GMD Weapon System (Ground C2),GWS (GMD),MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2
GMD Weapon System Modernization,GWS (GMD),MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,High,4
GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,FA880710C0001,"$4,398,059,466.01",GPS ADVANCED CONTROL SEGMENT OCX NEXT GENERATION OPERATIONAL CONTROL,High,6
GPS Operational Control System (sustainment),GPS OCX,Space Force,Raytheon,FA880710C0001,"$4,398,059,466.01",GPS ADVANCED CONTROL SEGMENT OCX NEXT GENERATION OPERATIONAL CONTROL,High,3
GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Low,0
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6
Ground-Based Interceptor,GBI,MDA,Boeing (lead),HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,High,3
Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE GMD,High,9
Ground-Based Strategic Deterrent,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,9
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6
HHS Advanced Secure Data Repository,ASDR,DoD,GDIT / SAIC (indicative),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
Hope 2.0 (prototype),Hope 2.0,Space Force,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Low,0
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,Northrop & L3Harris (co-primes),HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,Amentum,0004,"$7,377,629,917.55",LOGCAP IV SERVICES AFGHANISTAN LOGISTICS SUPPORT,Low,0
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
INSCOM GILE Support,GILE,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,GDIT,W56HZV19C0036,"$1,359,959,159.89",MOBILE PROTECTED FIREPOWER MPF EMD ARMORED VEHICLE,Medium,1
INSCOM IT Support Services III,I2TS-III,Army,GDIT,W56HZV19C0036,"$1,359,959,159.89",MOBILE PROTECTED FIREPOWER MPF EMD ARMORED VEHICLE,Medium,1
Integrated Air & Missile Defense,IAMD,Army,Raytheon,W31P4Q15C0022,"$5,608,431,752.51",PATRIOT FIRE UNITS MISSILE DEFENSE AIR DEFENSE,High,5
Integrated Base Defense Security System,IBDS,Army,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,2
Integrated Digital Engineering Environment,IDEE,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,3
Integrated Situational Awareness Environment,inSITE,Army,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Integrated Situational Awareness Tool Environment,inSITE,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,2
Intelligence Community Infrastructure Support,I2TS-Next,Army,Jacobs,140R4024C0013,"$263,095,350.76",SAN JUAN LATERAL WATER TREATMENT PLANT INFRASTRUCTURE,Medium,1
Intelligence Systems Enterprise Operations,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
JGLASS II – Shared Services,JGLASS II,DHS,Peraton / SAIC (indicative),GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2
Joint Staff J7 Support,JS J7,DoD,HII,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
Joint Tactical Ground Station Early Warning,JTAGS,Army,Northrop (prime/sub),N0001918C1037,"$8,447,894,780.67",E-2D ADVANCED HAWKEYE AIRCRAFT NAVY AIRBORNE EARLY WARNING,Medium,2
Joint Tactical Ground Stations,JTAGS,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,1
Joint Warfighting Cloud Capability,JWCC,DoD,AWS; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",GENERAL SERVICES JEDI JWCC CLOUD,High,5
JSP Enterprise IT,JSP,DoD,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1
JSP ETM (Pentagon IT),JSP ETM,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0
Justified (SAP Security),Justified,Air Force,SAIC (inferred),FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,Booz Allen Hamilton,47QFCA21F0018,"$1,379,603,153.12",ENTERPRISE LEVEL DATA OUSD(C) COMPTROLLER DEFENSE FINANCE,Low,0
JWCC – ATAT Expansion Path,JWCC,DISA,AWS; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",GENERAL SERVICES JEDI JWCC CLOUD,High,4
Kennedy Space Center BOSS,KSC BOSS,NASA,Jacobs / Amentum (past),NNK13MA14C,"$2,099,373,524.58",TEST AND OPERATIONS SUPPORT CONTRACT TOSC KENNEDY SPACE CENTER NASA,High,5
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,2
LANL/NNSA VTC Support,,NSA,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,2
LATERALUS (IC Space ISR),LATERALUS,NSA,Raytheon,N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0
LATERALUS (Space ISR),LATERALUS,NSA,Raytheon,N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0
LOGCAP V,LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,"$2,188,230,584.34",LOGISTIC CIVIL AUGMENTATION PROGRAM LOGCAP V EUCOM EUROPE,High,6
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,"$2,188,230,584.34",LOGISTIC CIVIL AUGMENTATION PROGRAM LOGCAP V EUCOM EUROPE,High,8
LRAAM (Long Range AAM),LRAAM,Air Force,Raytheon (indicative),FA861108C2896,"$3,648,685,783.01",F119 ENGINE LONG TERM SUSTAINMENT PROGRAM RAPTOR F-22,Medium,2
Managed IT Services (USTRANSCOM),MITS,DoD,SAIC,FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,1
Marine Corps Enterprise Network,MCEN,Marines,Leidos / GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
Mark 48 Heavyweight Torpedo,Mk-48,Navy,Raytheon (indicative),N0002422C5500,"$3,265,910,249.19",AN/SPY-6(V) HARDWARE PRODUCTION RADAR NAVY AEGIS,Medium,2
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Raytheon (indicative),N0002422C5500,"$3,265,910,249.19",AN/SPY-6(V) HARDWARE PRODUCTION RADAR NAVY AEGIS,Medium,2
MDA Tactical Embedded Systems,,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2
MHS GENESIS (DHMSM),DHMSM,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
Mission Partner Environment,MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
Mission Partner Environment (successor to BICES),MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,2
MOJAVE / ACADIA,,NGA,CACI (indicative),47QFCA20F0010,"$824,303,222.05",BEAGLE TASK ORDER AWARD BIOMETRICS,Medium,1
MPCO VMOD (Voice Modernization),VMOD,Army,CACI (indicative),W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2
MSS Smart Systems (Palantir contract),MSS,Army,Palantir,W911QX24F0113,"$70,668,314.50",MAVEN SMART SYSTEM MSS PRODUCTION LICENSES AI,High,6
Multi-Mission Command & Control,M2C2,MDA,Lockheed Martin / Raytheon,N0001902C3002,"$34,173,959,111.96",JSF AIRCRAFT F-35 JOINT STRIKE FIGHTER SYSTEM DEVELOPMENT,Medium,1
NARSIL,NARSIL,DoD,Peraton (indicative),47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Medium,1
NASA Enterprise Service Support Technology,NESST,NASA,SAIC / Leidos (indicative),NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,2
NASA SENSE (Space Comms & Tracking),SENSE,NASA,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,High,4
NASA Space Network Evolution,SENSE,NASA,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,High,5
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,Vertex Aerospace,NNK13MA14C,"$2,099,373,524.58",TEST AND OPERATIONS SUPPORT CONTRACT TOSC KENNEDY SPACE CENTER NASA,Medium,1
Navy Aegis Combat System Modernization,AEGIS,Navy,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Medium,1
Navy Enterprise Service Desk,NESD,Navy,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1
Next Generation Interceptor,NGI,MDA,Northrop Grumman & Boeing,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,High,11
NextGen GEO (Network/Ops),NGG,Space Force,Northrop Grumman,FA881018C0006,"$3,084,107,116.60",NEXT GENERATION OVERHEAD PERSISTENT INFRARED POLAR SPACE VEHICLES OPIR,Medium,1
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Northrop Grumman,FA881018C0006,"$3,084,107,116.60",NEXT GENERATION OVERHEAD PERSISTENT INFRARED POLAR SPACE VEHICLES OPIR,High,4
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Northrop Grumman,FA881018C0006,"$3,084,107,116.60",NEXT GENERATION OVERHEAD PERSISTENT INFRARED POLAR SPACE VEHICLES OPIR,High,5
NGA Enterprise Engineering,NEE,NGA,Peraton (Perspecta heritage),80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Medium,1
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,2
NGEN-R — Enterprise Network Program,NGEN-R,Navy,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,Jacobs,NNK13MA14C,"$2,099,373,524.58",TEST AND OPERATIONS SUPPORT CONTRACT TOSC NASA KSC,Medium,1
NRO Ground Systems DevOps (Seal Beach),,NRO,Boeing,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,2
NTT Applications & BPS Support,,DoD,NTT DATA,HHSN316201500016W,"$500,000,000.00",IT INFRASTRUCTURE SERVICES FEDERAL,Low,0
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,NTT DATA,HHSN316201500016W,"$500,000,000.00",IT INFRASTRUCTURE SERVICES FEDERAL,Low,0
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,LMI,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Low,0
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",47QFCA21F0018,"$1,379,603,153.12",ENTERPRISE LEVEL DATA OUSD(C) COMPTROLLER DEFENSE FINANCE,Medium,1
PAC-3 (Consolidated),PAC-3,Army,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,High,7
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,Lockheed Martin Missiles & Fire Control,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,High,5
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,High,4
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,Lockheed Martin,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION PATRIOT ADVANCED CAPABILITY MISSILE,Medium,2
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Peraton,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,High,6
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Medium,1
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,Raytheon & Northrop Grumman,W31P4Q15C0022,"$5,608,431,752.51",PATRIOT FIRE UNITS MISSILE DEFENSE AIR DEFENSE,Medium,2
PRISM Support Services (Consolidated),PRISM,DoD,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",47QFCA21F0018,"$1,379,603,153.12",ENTERPRISE LEVEL DATA OUSD(C) COMPTROLLER DEFENSE FINANCE,Low,0
Project Convergence (JADC2 Experiments),PC,Army,SAIC,W15QKN19F1290,"$39,320,458.07",OPS LABOR CAPABILITIES INTEGRATOR,Medium,1
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,L3Harris,F1962802C0010,"$2,226,709,932.96",BMEWS MAINTENANCE REPAIR BALLISTIC MISSILE EARLY WARNING SYSTEM RADAR,Low,0
Protected Tactical SatCom / Waveform,PTW,Space Force,L3Harris,F1962802C0010,"$2,226,709,932.96",BMEWS MAINTENANCE REPAIR BALLISTIC MISSILE EARLY WARNING SYSTEM RADAR,Low,0
RUSHMORE,RUSHMORE,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
RUSHMORE (Already normalized),RUSHMORE,Space Force,Northrop,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0
SCITLS,SCITLS,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
SCITLS (Already normalized),SCITLS,DoD,GDIT,SAQMMA12C0130,"$1,219,847,693.56",GLOBAL SUPPLY CHAIN MANAGEMENT LOGISTICS TECHNOLOGY DEVELOPMENT STATE GDIT,Medium,1
SCORPION (classified),SCORPION,DoD,CACI (context only),GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",DOCDG133E09CN0094,"$1,826,479,031.57",GOES-R GROUND SYSTEM GEOSTATIONARY SATELLITE WEATHER NOAA,Medium,1
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,7
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,7
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,9
Sentinel GBSD,GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,3
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,4
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,5
Sentinel ICBM / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,7
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,2
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,47QFCA24F0002,"$621,308,462.00",SITEC 3 EOM USSOCOM O&M SERVICES SPECIAL OPERATIONS IT,High,4
SOCOM Digital Applications Data Science Support,—,CIA,Iron Eagle X (now GDIT),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1
SOCOM Enterprise IT Support,—,SOCOM,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
SOCOM Software Solutions IDIQ,—,SOCOM,Iron Eagle X (now GDIT),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,SAIC / LinQuest (indicative),FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1
SSA IT Support Services Contract,ITSSC,CIA,Leidos / Accenture Federal (indicative),28321322FDS030130,"$1,062,905,628.31",ITSSC TASK ORDER FOR SYSTEMS SSA,High,5
STRATCOM Mission Readiness Support,SMORS,IC,Northrop Grumman (assumed),FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,1
STRATCOM SMORS,SMORS,DoD,BAE Systems,W56HZV08C0460,"$4,067,162,785.79",FAMILY OF MEDIUM TACTICAL VEHICLES FMTV TRUCK,Low,0
