Program Name,Acronym,Agency Owner,Budget,COR/COTR,Clearance (Original),Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Contract Vehicle Used,Contract Vehicle/Type,Incumbent Score,Key Locations,Key Subcontractors,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance,Period of Performance (Original),PoP End,PoP Start,Prime Contractor,Prime Contractor 1,Priority Level,Program Manager,Program Type,Program Type 1,Recompete Date,Related Jobs,Security Requirements,Source Evidence,Technical Stack,Typical Roles
BICES Defense Intelligence Agency Variant,BICES,DIA,,,TS/SCI,TS/SCI,Medium,$500M,,,IDIQ,,Offutt AFB; RAF Molesworth,,“USSTRATCOM; BICES; coalition networks”,,,,,,2019–2029,2029,2019,,CACI + Leidos + Peraton + SAIC (various subs),Medium,,Intel,Intel,,,,Prime TS BD Automation Playbook (L200–L220),,Network engineers; sysadmins; cyber analysts
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,,,Secret–TS/SCI,"Secret, TS/SCI",High,$881M,,,IDIQ,,EUCOM / CENTCOM / PACOM nodes,,“Coalition IT O&M; CDS”,Leidos; Capgemini,,,,,2015–2023; 2022–,2023,2015,,GDIT,High,,,C5ISR,,,,Program lineage notes,,Coalition IT O&M; CDS support
BIM (Indicative Program Entry),BIM,DoD,,,Secret,Secret,Medium,,,,PROGRAM,,,,“BIM”,,,,,,,,,,,Medium,,,IT Ops,,,,Placeholder entry,,IT; modernization
Blanket Order Agreement – Staff Augmentation,BOA (Northrop),Other,,,Secret / TS,"Secret, Top Secret",Medium,,,,BOA,,Roy UT; Colorado Springs CO; Hill AFB UT,,“BOA”; “surge support”; “staff augmentation”,Prime Technical Services; others,,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,Professional Services,Professional Services,,,,Prime NGC Past Performance,,ISSOs; testers; DevOps; logistics
Blanket Ordering Agreement,BOA,DoD,,,Secret / TS,"Secret, Top Secret",Low,,,,BOA,,Roy UT; Colorado Springs CO; Hill AFB UT,,“BOA surge support”,,,,,,Ongoing,Ongoing,,,,Low,,,IT Ops,,,,General BOA notes,,ISSOs; testers; DevOps; logistics
BOA (General Staff Augmentation),BOA,Other,,,Secret,Secret,High,,,,BOA,,Roy UT; Colorado Springs CO; Hill AFB,,“General surge & staff augmentation”,,,,,,Ongoing,Ongoing,,,Northrop Grumman,High,,,IT Ops,,,,BOA operations reference,,ISSOs; testers; DevOps; logistics
BOA (Northrop Surge),BOA,Other,,,Secret–TS,"Secret, Top Secret",Medium,,,,BOA,,Roy UT; Colorado Springs CO; Hill AFB,,“General surge & staff augmentation”,,,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,,IT Ops,,,,BOA support description,,ISSOs; testers; DevOps engineers; logistics
Business Operations & Analytics,BOA,DoD,,,Secret / TS,"Secret, Top Secret",Medium,Multi-$M,,,Services,,Roy UT; Hill AFB UT; Colorado Springs CO,,“Staff augmentation; BOA”,Insight Global; Apex Systems,,,,,Ongoing,Ongoing,,,Northrop Grumman,Medium,,,IT Ops,,,,“Northrop programs supported by Prime TS”,,ISSOs; DevOps; testers; logistics analysts
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,,,TS/SCI,TS/SCI,High,$5B,,,IDIQ,,Colorado Springs; Huntsville AL,,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,,,,,Ongoing,Ongoing,,,Lockheed Martin,High,,,C5ISR,,,,Multiple BD docs referencing C2BMC,,Software engineers; missile defense integrators; C2 / BMC3 engineers
C2BMC (placeholder row),C2BMC,Other,,,,,High,,,,,,,,Missile; BMDS; MDA,,,,,,,,,,,High,,Weapon Systems,Weapon Systems,,,,User knowledge list,,
CAAC (Peraton),CAAC,DoD,,,IT,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,Professional Services,Professional Services,,,,Medium,,“CAAC-PERATON”
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,,,Secret–TS/SCI,"Secret, TS/SCI",Medium,$446M,,,Single Award,,Worldwide SATCOM tracking stations,,“SATCOM O&M”,L3Harris; LinQuest (indicative),,,,,~2017–2024,2024,2017,,CACI,Medium,,,C5ISR,,,,Program line in sheet,,RF techs; schedulers; network ops; SATCOM operators
Castle Net (Recompete),Castle Net,DoD,,,Secret,Secret,Medium,,,,RECOMPETE,,,,“Recompete list”,,,,,,Upcoming,,,,,Medium,,,IT Ops,,,,Row entry,,IT ops; admins; engineers
CBP Enterprise IT Support,CBP-Peraton,DHS,,,Public Trust → Secret,"Public Trust, Secret",Medium,,,,Services,,CBP sites nationwide,,“Border IT”,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,,IT Ops,,,,Program line,,IT/cyber support staff; network engineers; help desk
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,,,Data scientists; data engineers; ML engineers; cloud engineers,TS/SCI,Medium,,,,~2020–2026,,TS (some SCI),,IT Ops / Analytics,,,,,,Ashburn VA,,,,ManTech (TPVS/BISS); CACI (BISS follow-on),Medium,,Professional Services,Professional Services,,,,Medium,,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,,,TS/SCI capable,TS/SCI,Medium,$100M,,,OTA,,DoD secure enclaves,,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,,,,,2025–2030,2030,2025,,Scale AI,Medium,,R&D,R&D,,,,Program description,,ML engineers; data labeling teams; AI DevOps
CDAO AI Tools OTA (Expanded),Donovan,DoD,,,TS/SCI,TS/SCI,Medium,$100M,,,OTA,,DoD secure enclaves,,“Scale AI… deployable AI tools up to TS/SCI”,,,,,,2025,,2025,,Scale AI,Medium,,R&D,R&D,,,,OTA notes,,AI engineers; data labelers; DevOps
CENTCOM Comms Tech Support V,CTSS V,DoD,,,Secret / TS (deployed),"Secret, Top Secret",High,$865M,,,Single Award,,20 countries (SW Asia AOR),,“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,,,,,~2023–2030,2030,2023,,GovCIO (Salient CRGT),High,,,C5ISR,,,,CTSS V entry in Top-20,,Deployable comms techs; RF engineers; SATCOM; network admins
CENTCOM Enterprise IT Modernization,,DoD,,,Secret / TS,"Secret, Top Secret",High,$922M,,,Single Award,,MacDill AFB; CENTCOM sites OCONUS,,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,,,,,~2023–2029,2029,2023,,GDIT,High,,,IT Ops,,,,Program description,,Cloud architects; cyber engineers; legacy IT sustainment
CISA Enterprise Support (CACI),CISA-CACI,DHS,,,Secret,Secret,Medium,,,,Services,,NCR,,“CISA support”,,,,,,Ongoing,Ongoing,,,CACI,Medium,,Cyber,Cyber,,,,Program line,,Cybersecurity; IT ops support
Cloud One,Cloud One,Air Force,,,Secret,Secret,High,$727M,,,Single Award,,Hanscom AFB; remote,,“AF Cloud migration; Azure/AWS”,,,,,,~2020–2025,2025,2020,,SAIC,High,,,IT Ops,,,,Cloud One value from program intel,,Cloud engineers; DevSecOps; cyber
Cloud One (USAF Cloud Program),Cloud One,Air Force,,,Secret,Secret,High,$727M,,,Single Award,,Hanscom AFB; remote,,“USAF common multi-cloud environment”,Unnamed subcontractors,,,,,2020–2025,2025,2020,,SAIC,High,,,IT Ops,,,,Cloud One description,,Cloud engineers; DevSecOps
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,,,Varied,Secret,Medium,,,,IDIQ,,NAVWAR,,“Navy rapid C5ISR”,Multiple subs,,,,,Ongoing,Ongoing,,,Multiple,Medium,,,C5ISR,,,,NAVWAR program entry,,Rapid C5ISR engineering; prototyping; integration
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,,Public Trust,Public Trust,Medium,,,,Services,,CMS,,“CMS cloud”,,,,,,Ongoing,Ongoing,,,Peraton / SAIC (indicative),Medium,,,IT Ops,,,,Row entry,,Cloud engineers; cloud ops
CMS FPS2,FPS2,DoD,,,Public Trust,Public Trust,Low,,,,CONTRACT,,CMS,,“FPS2”,,,,,,Ongoing,Ongoing,,,,Low,,,IT Ops,,,,Row entry,,DevOps; developers
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,,Secret/TS/SCI,"Secret, TS/SCI",Medium,,,,R&D,,Colorado Springs; Huntsville,,“C2BMC… software/network-centric”,Parsons; Tetra Tech,,,,,Multi-year,,,,Northrop Grumman,Medium,,,C5ISR,,,,Same dataset as earlier rows,,SW engineers; network engineers; cyber engineers
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,,Secret–TS/SCI,"Secret, TS/SCI",Medium,Multi-$B,,,FOLLOW-ON (NEXT),,Huntsville / Schriever,,Global missile defense C2,"Northrop, Raytheon subs",,,,,2024 award (Next),,2024,,Lockheed Martin,Medium,,,C5ISR,,,,,,"C2 SW, integration"
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,,,Secret / TS / SCI,"Secret, TS/SCI",Medium,,,,R&D,,Colorado Springs CO; Huntsville AL,,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),,,,,Multi-year,,,,Northrop Grumman,Medium,,,C5ISR,,,,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,,Software engineers; network engineers; cyber engineers
"Command and Control, Battle Management, Communications",C2BMC,MDA,,,Secret / TS / SCI (indicative),"Secret, TS/SCI",Medium,,,,,,Colorado Springs CO; Huntsville AL (indicative),,“C2BMC”,,,,,,,,,,Lockheed Martin,Medium,,,C5ISR,,,,“C2BMC”,,Systems engineers; software development/test; network engineers
Commercial Virtual Remote Collaboration (Legacy) – Secondary Row,CVR,DISA,,,O365 admins; cloud techs; migration staff,Secret,Medium,,,,2020–2021,,IL5/IL6,,IT Ops / Cyber,,,,,,Remote CONUS,,,,,Medium,,Professional Services,Professional Services,,,,Medium,,“CVR… Teams… O365 sunset”
Commercial Virtual Remote Collaboration Support (legacy),CVR,DISA,,,O365 admins; cloud technicians; remote collaboration support,Secret,Medium,,,,2020–2021,,IL5 / IL6,,IT Ops / Cyber,,,,,,Remote (all CONUS bases),,,,,Medium,,Professional Services,Professional Services,,,,Medium,,"“CVR, Teams, Remote Collaboration, O365 sunset, DOD365”"
Common Open Operational Launch Range,COOLR,Space Force,,,Secret,Secret,Medium,,,,R&D,,Ranges (test ranges),,“Launch range C2”,,,,,,Ongoing,Ongoing,,,Lockheed Martin (indicative),Medium,,,C5ISR,,,,,,C2 / Range software engineers
Comms Technical Support V,CTSS V,DoD,,,Secret–TS,"Secret, Top Secret",High,$865M,,,,,SW Asia AOR + MacDill AFB reach-back,,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),,,,,7 years,,,,GovCIO (Salient CRGT),High,,,C5ISR,,,,Provided CTSS V details,,Deployed comms techs; network eng; IT O&M technicians
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,,Secret / TS,"Secret, Top Secret",High,$446M,,,Single Award,,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",,“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,,,,,2017–2024 (+extensions),2024,2017,,CACI (via L-3 NSS acquisition),High,,,C5ISR,,,,CAMMO description as provided,,Satellite tracking ops; RF techs; network engineers
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,,Secret–TS,"Secret, Top Secret",High,$446M,,,Single Award,,Schriever SFB; worldwide tracking,,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,,,,,2017–2024,2024,2017,,CACI,High,,,C5ISR,,,,CAMMO reference,,Satellite controllers; RF techs; network ops
Conventional Prompt Strike,CPS,Army,,,Secret–TS,"Secret, Top Secret",Medium,Multi-$B,,,Production,,Fleet & Army strategic sites,,“Hypersonic missiles”,Northrop; others,,,,,2019–,,2019,,Lockheed Martin,Medium,,Weapon Systems,Weapon Systems,,,,,,Hypersonic engineers; test engineers; flight test support
Conventional Prompt Strike – Secondary Row,CPS,Navy,,,Secret–TS,"Secret, Top Secret",Medium,Multi-$B,,,Production,,Fleet & Army,,“Hypersonic missiles”,Northrop; subsystem providers,,,,,2019–,,2019,,Lockheed Martin,Medium,,Weapon Systems,Weapon Systems,,,,Hypersonics notes,,Hypersonic engineering; embedded software; flight test
Counterintelligence Field Activity,CIFA,DIA,,,TS/SCI + Poly,TS/SCI w/ Poly,Low,,,,,,Washington DC,,"“Counterintel, CIFA, CI Agent”",unknown,,,,,Ongoing,Ongoing,,,CACI,Low,,Intel,Intel,,,,Older PTS past performance notes,,HUMINT; CI analyst; intel support
Counterintelligence Field Activity – Secondary Row,CIFA,DIA,,,TS/SCI + Poly,TS/SCI w/ Poly,Low,,,,,,Washington DC,,“CIFA”,unknown,,,,,Ongoing,Ongoing,,,CACI,Low,,Intel,Intel,,,,PTS past performance notes,,HUMINT; CI agents; intel collection
CRIP (Indicative Program),CRIP,DoD,,,IT,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,,,,,,Medium,,Professional Services,Professional Services,,,,Medium,,“CRIP”
CTSS V (Expanded Listing),CTSS V,DoD,,,Secret / TS,"Secret, Top Secret",High,$865M,,,Task Order,,Qatar; Kuwait; Bahrain; Iraq; etc.,,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),,,,,7 years,,,,GovCIO,High,,,C5ISR,,,,CTSS V narrative,,Comms techs; RF; SATCOM; network administrators
CYBAR TRON (Recompete),CYBAR TRON,DoD,,,Secret,Secret,Medium,,,,RECOMPETE,,,,“CYBAR TRON”,,,,,,Upcoming,,,,,Medium,,Cyber,Cyber,,,,Row entry,,Cyber engineers; cyber analysts
Data Center & Cloud Optimization,DCCO,DHS,,,Public Trust–Secret,"Public Trust, Secret",Medium,,,,ENTERPRISE IT,,NCR,,“DHS cloud/DC”,Multiple,,,,,Ongoing,Ongoing,,,Peraton / Leidos (indicative),Medium,,,IT Ops,,,,Row text,,Cloud ops; DC ops
DC3 – Defense Cyber Crime Center,DC3,DoD,,,TS/SCI,TS/SCI,Medium,,,,PROGRAM,,Linthicum MD,,“DC3”,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,Cyber,Cyber,,,,,,Forensics; malware; cyber intel
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,,,Forensics; malware analysis; cyber exploitation,Secret,Medium,,,,ONGOING,,TS/SCI,,Cyber,,,,,,Linthicum MD,,,,Peraton,Medium,,Cyber,Cyber,,,,Medium,,“DC3 forensics”
Defense Cyber Crime Center,DC3,DoD,,,TS/SCI,TS/SCI,Medium,,,,PROGRAM,,Linthicum MD,,“DC3”,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,Cyber,Cyber,,,,Row text,,Digital forensics; malware analysis; cyber investigators
Defense Enclave Services,DES,DoD,,,Secret,Secret,High,$11.5B,,,,,Fort Belvoir VA (HQ),,“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),,,,,needs-scrape,,,,Leidos,High,,,IT Ops,,,,BD evidence,,Systems engineers; IT support; service desk; NOC staff
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,,,Secret,Secret,High,$11.5B,,,IDIQ,,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,,,,,2022–2030,2030,2022,,Leidos,High,,,IT Ops,,,,Provided row text,,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,,,Secret/TS,"Secret, Top Secret",High,$11.5B,,,IDIQ,,Fort Belvoir; multiple 4th Estate bases,,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,,,,,Multi-year (varies by TO),,,,Leidos,High,,,IT Ops,,,,DES intel lines,,Help desk; sysadmin; network/security ops
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,,,IL5 / IL6,Secret,High,,,,BLANKET PURCHASE AGREEMENT,,Crystal City VA; remote,,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,,,,,2021–Present,Ongoing,2021,,Microsoft,High,,Cyber,Cyber,,,,CVR/CCPO support references,,O365 admins; migration leads; help desk; Teams/Exchange engineers
Defense Enterprise Office Solutions,DEOS,DISA,,,Public Trust → Secret/TS,"Public Trust, Secret, Top Secret",Low,,,,ENTERPRISE CLOUD SAAS / UC CONTRACT,,DoD & federal offices CONUS/OCONUS,,“DEOS PMO referenced in DISA Hosting & Compute context”,,,,,,Multi-year,,,,CSRA / Leidos (team),Low,,,IT Ops,,,,Provided notes,,O365/Teams engineers; cloud architects; UC engineers; enterprise email support
Defense Health Agency Desktop to Datacenter,D2D,DoD,,,Secret,Secret,Medium,$4.3B,,,IDIQ,,San Antonio TX; NCR; Hawaii,,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,,,,,2020–2028,2028,2020,,GDIT,Medium,,,IT Ops,,,,“Top 20 DoD Programs”,,Desktop support; help desk; sysadmin; endpoint engineers
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,,,Public Trust / Secret,"Public Trust, Secret",Medium,$4.3B,,,IDIQ,,San Antonio TX; Falls Church VA,,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,,,,,2015–2026,2026,2015,,Leidos,Medium,,,IT Ops,,,,BD cross-reference,,Healthcare IT engineers; systems analysts; clinical/tech integration roles
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,,,Help desk; admin; finance; supply chain IT; network ops,Secret,Medium,,,,MULTI-YEAR,,Secret (indicative),,IT Ops,,,,,,Fort Belvoir; DLA CONUS,,,,Multiple (IDIQ pool),Medium,,Professional Services,Professional Services,,,,Medium,,“DLA JETS”
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,,,Secret,Secret,Medium,,,,SATCOM MODERNIZATION,,Colorado Springs; Fort Meade,,“DSCM Satellite”,,,,,,Multi-year,,,,CACI,Medium,,,C5ISR,,,,Row text,,SATCOM RF engineers; network engineers
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,,,Public Trust,Public Trust,Medium,,,,Services,,DFAS nationwide,,“Finance IT support”,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,,IT Ops,,,,Row listing,,Financial IT; ERP modernization
DFAS Enterprise Support,DFAS-Peraton,DoD,,,Public Trust,Public Trust,Medium,,,,Services,,DFAS sites,,“Finance IT”,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,,IT Ops,,,,,,Financial systems IT; ERP support
DGFS (RTX),DGFS,DoD,,,Secret,Secret,Medium,,,,PROGRAM,,Tucson AZ + other sites,,“DGFS RTX”,,,,,,Ongoing,Ongoing,,,Raytheon (RTX),Medium,,Weapon Systems,Weapon Systems,,,,,,Munitions engineers; missile specialists
DHA Enterprise IT Services BPA,EITSI,DoD,,,Public Trust–Secret,"Public Trust, Secret",Medium,$2B,,,BPA,,DHA sites,,“Health IT”,Multiple,,,,,2022–,,2022,,Peraton (Perspecta heritage),Medium,,,IT Ops,,,,Provided entry,,Service desk; modernization; health IT
DHA Enterprise IT Transformation,EITSI (BPA),DoD,,,Public Trust / Secret,"Public Trust, Secret",High,$2B,,,BPA,,DHA sites,,“Perspecta secures $2B BPA”,Multiple,,,,,2022+,,2022,,Peraton (Perspecta),High,,,IT Ops,,,,BPA news references,,Health IT desk; modernization engineers; cyber
DHS Cybersecurity Support Contract,,DHS,,,TS,Top Secret,Low,,,,Services,,DC Metro,,“He runs 100 people on a DHS DISA I think project”,,,,,,Ongoing,Ongoing,,,Five Star Technology Solutions,Low,,Cyber,Cyber,,,,Provided context,,Cybersecurity SMEs; program managers
DHS Data Center 2,DC2,DHS,,,Public Trust–Secret,"Public Trust, Secret",Medium,,,,DC HOSTING,,DC2 sites,,“DHS DC2”,Multiple,,,,,Ongoing,Ongoing,,,GDIT / Peraton (indicative),Medium,,,IT Ops,,,,,,DC engineers; ops; cloud
DHS Enterprise IT Services I,EITS I,DHS,,,Public Trust–Secret,"Public Trust, Secret",Medium,,,,Task Order,,DHS HQ,,“DHS HQ IT”,Multiple subs,,,,,Ongoing,Ongoing,,,Leidos / SAIC (indicative),Medium,,,IT Ops,,,,,,IT services; enterprise support
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,,,TS/SCI,TS/SCI,High,,,,IDIQ,,Offutt AFB NE; Stuttgart Germany,,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,,,,,Ongoing,Ongoing,,,CACI,High,,C5ISR,C5ISR,,,,DIA mapping examples,,Network engineers; sysadmins; cyber analysts
DIA EMERALD,EMERALD,NGA,,,Talent acquisition staff; cleared IT contractors; technical recruiters,Secret,Medium,,,,ONGOING,,TS/SCI,,Intel,,,,,,Springfield VA (likely),,,,Peraton (Perspecta heritage),Medium,,Professional Services,Professional Services,,,,Medium,,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”
DIA Information Systems Engineering Office,ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,IDIQ,,Reston VA; JBAB DC,,“DIA IT Sustainment”,Insight Global; TEKsystems,,,,,2020–2027,2027,2020,,Leidos,High,,,IT Ops,,,,AI-Generated playbook,,Sysadmin; help desk; desktop support
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,,,TS/SCI (some CI poly),TS/SCI w/ Poly,High,$401M,,,Task Order,,JBAB DC; Reston VA,,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,,,,,~2020–2025,2025,2020,,Leidos,High,,Intel,Intel,,,,Contract award notes,,Service desk; data center ops; mobile/IA teams
DIA Infrastructure Services Ops,ISEO,DIA,,,TS/SCI,TS/SCI,High,$401M,,,Single Award,,DIA HQ (DC) + field sites,,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),,,,,~2020–2025,2025,2020,,Leidos,High,,,IT Ops,,,,Award description,,Service desk; mobile support; IA & data center
DIA ISEO,ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,,,Washington DC (Bolling); remote sites,,“DIA ISEO – Leidos – TS/SCI IT workforce”,,,,,,Ongoing,Ongoing,,,Leidos,High,,,IT Ops,,,,Line from BD artifacts,,IT support; help desk; desktop support
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,,,Washington DC; Fort Meade MD,,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),,,,,Ongoing,Ongoing,,,Leidos,High,,Intel,Intel,,,,Notes in program extraction,,Help desk; desktop; surge staffing
DIA IT Sustainment & Engineering Office,ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,COST-PLUS / SUSTAINMENT,,Reston VA; JBAB DC,,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,,,,,Multi-year,,,,Leidos,High,,Intel,Intel,,,,BD Playbook examples,,Help desk; desktop; IT sustainment engineers
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,IDIQ,,JBAB DC; DIA field sites,,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,,,,,5+ years,,,,Leidos,High,,Intel,Intel,,,,Program line,,Tier 1–3 help desk; VIP support; network operations
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,IDIQ,,JBAB DC; Reston VA,,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,,,,,5+ years,,,,Leidos,High,,Intel,Intel,,,,Provided BD notes,,Desktop/VIP support; service desk; network ops
DIA IT Sustainment (ISEO),ISEO,DIA,,,TS/SCI,TS/SCI,High,$400M,,,,,Reston VA; Bolling AFB; CO,,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),,,,,Multi-year,,,,Leidos,High,,Sustainment,Sustainment,,,,BD notes,,Desktop; help desk; TS-cleared techs
DIA SITE III,SITE III,DIA,,,TS/SCI + poly,TS/SCI w/ Poly,Medium,$12.6B,,,IDIQ,,Worldwide CONUS/OCONUS,,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,,,,,2021–2031,2031,2021,,Leidos,Medium,,Intel,Intel,,,,Site III ecosystem notes,,DevSecOps; cyber; AI/ML; big data
DIA SITE III IDIQ,SITE III,DIA,,,TS/SCI,TS/SCI,High,,,,IDIQ,,National Harbor MD (conference note),,“PTS could position for subcontracting”,PTS (prospective sub),,,,,Ongoing,Ongoing,,,"Leidos, CACI, others",High,,Intel,Intel,,,,Program notes,,Cyber; IT infrastructure; systems engineering
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,,,TS/SCI,TS/SCI,High,$12.6B,,,IDIQ,,JBAB DC; DIA field sites,,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),,,,,2021–2031,2031,2021,,Multi-award primes,High,,Intel,Intel,,,,SITE III documentation,,Sys/Win/Linux Admin; Service Desk; SharePoint Admin
DIMS (Peraton),DIMS,Air Force,,,Data / IT nodes (undisclosed),Secret,Medium,,,,PROGRAM,,Secret,,“DIMS Peraton”,,,,,,Ongoing,Ongoing,,,Peraton,Medium,,Data,Data,,,,Program list reference,,Data analysts; IT sustainment; cloud/DB support
DISA ENCORE III,ENCORE III,DISA,,,Unclass → Secret,Secret,Medium,$17.5B,,,IDIQ,,DoD-wide,,“19 performance areas… network support… cyber”,Numerous small SB subs,,,,,2018–2028,2028,2018,,20 large + 20 small primes,Medium,,Professional Services,Professional Services,,,,IDIQ description,,IT modernization; software; cyber; net ops
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,,,TS/SCI,TS/SCI,Medium,$17.5B,,,IDIQ,,Fort Meade MD; Scott AFB IL,,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,,,,,2018–2028,2028,2018,,CACI,Medium,,Cyber,Cyber,,,,Program references,,Boundary protection; DevSecOps; PKI; cyber engineering
DISA Enterprise IT Support / Cloud Support BPA,,DISA,,,TS,Top Secret,Low,,,,BPA,,Crystal City VA; Fort Meade MD,,“DISA’s Cloud Support BPA”,,,,,,Active,,,,Multiple primes,Low,,,IT Ops,,,,BPA notes,,Cloud SMEs; security engineers; cloud ops
DISA Forecast to Industry (Event),,DISA,,,Public,Secret,Medium,,,,INDUSTRY EVENT / FORECAST,,Fort Meade MD,,“DISA Forecast… Networking Event… DoD Events Calendar L140–L150”,,,,,,Annual (Q4),,,,,Medium,,Event,Event,,,,Provided text,,BD reps; capture managers; PMs; cyber/IT vendors
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,,,Secret → TS/SCI,"Secret, TS/SCI",High,$6.52B,,,IDIQ,,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,,,,,2018–2028,2028,2018,,Leidos,High,,,IT Ops,,,,Provided text,,Network admin; boundary security; NOC; ServiceNow devs
DISA GSM-O II,GSM-O II,DISA,,,TS/SCI,TS/SCI,High,$6.52B,,,IDIQ,,Worldwide (DoDIN NOCs),,“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),,,,,2018–2028,2028,2018,,Leidos,High,,Cyber,Cyber,,,,GSM-O II program description,,Network ops center techs; cyber analysts; NOC engineers; JRSS staff
