program,program_rank,Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Project Convergence (JADC2 Experiments),5,Insight Global,456010,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),"Montgomery, Alabama",Secret,Contract-to-perm,15-Oct-25,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-wan-afternoons-/job-456010/
Project Convergence (JADC2 Experiments),5,Insight Global,479717,SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),"Montgomery, Alabama",Secret,Contract-to-perm,7-Jan-26,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-midnights-/job-479717/
Project Convergence (JADC2 Experiments),5,Insight Global,468922,SYSTEM ADMINISTRATOR II (BIG IP F5),"Montgomery, Alabama",Secret,Contract-to-perm,19-Nov-25,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/system-administrator-ii-big-ip-f5-/job-468922/
Project Convergence (JADC2 Experiments),5,Insight Global,459677,TOP SECRET OPERATIONS SUPPORT ENGINEER,"Huntsville, Alabama",Top Secret,Contract,24-Oct-25,Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/top-secret-operations-support-engineer/job-459677/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,482039,FPGA DESIGN ENGINEER - SECRET CLEARANCE,"Plymouth, Minnesota",Secret,"Contract,Perm Possible",13-Jan-26,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: engineering, integration, development",https://insightglobal.com/jobs/find_a_job/minnesota/plymouth/fpga-design-engineer-secret-clearance/job-482039/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,479796,TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California",TS/SCI,Contract-to-perm,7-Jan-26,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,8,Medium,"Keywords: engineering, integration, sustainment",https://insightglobal.com/jobs/find_a_job/california/el-segundo/transition-to-operations-engineer/job-479796/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,459815,MECHANICAL SYSTEMS ENGINEER,"New London, Connecticut",Secret,Contract-to-perm,24-Oct-25,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,11,High,"Keywords: engineering, integration, sustainment; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/new-london/mechanical-systems-engineer/job-459815/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,479781,SCHEDULER,"Colorado Springs, Colorado",TS/SCI,Contract-to-perm,7-Jan-26,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,16,High,"Keywords: engineering, integration, sustainment; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/scheduler/job-479781/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,239458,EMBEDDED SOFTWARE ENGINEER,"Broomfield, Colorado",TS/SCI,Perm,10-Nov-22,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: engineering, development; State: CO",https://insightglobal.com/jobs/find_a_job/colorado/broomfield/embedded-software-engineer/job-239458/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,350529,SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"Seattle, Washington",Top Secret,"Contract,Perm Possible",10-Apr-24,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: engineering, integration, development",https://insightglobal.com/jobs/find_a_job/washington/seattle/senior-mechanical-equipment-tool-engineer/job-350529/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,483792,SECRET SOFTWARE ENGINEER,"Colorado Springs, Colorado",Top Secret,Contract,16-Jan-26,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,14,High,"Keywords: engineering, integration, development; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-software-engineer/job-483792/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,314201,CLEARED ELECTRONIC WARFARE ENGINEER,"Manchester, New Hampshire",Top Secret,Perm,29-Sep-23,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,8,Medium,"Keywords: engineering, integration, sustainment",https://insightglobal.com/jobs/find_a_job/new-hampshire/manchester/cleared-electronic-warfare-engineer/job-314201/
"EDIS – Engineering, Development, Integration & Sustainment",6,Insight Global,437999,TS/SCI - GCCS SYSTEMS ENGINEER,"Colorado Springs, Colorado",TS/SCI,Contract-to-perm,4-Aug-25,"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,12,High,"Keywords: sustainment, development; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-gccs-systems-engineer/job-437999/
Advanced Battle Management System,7,Apex Systems,2091995,VDI Systems Administrator,"Savannah, GA",TS/SCI,Contract,10/13/2025,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: system, advanced, management",https://www.apexsystems.com/job/2091995_usa/vdi-systems-administrator
Advanced Battle Management System,7,Insight Global,483185,PRICING ANALYST - SECRET CLEARANCE,"Colorado Springs, Colorado",Secret,Perm,15-Jan-26,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,14,High,"Keywords: system, advanced, management; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/pricing-analyst-secret-clearance/job-483185/
Advanced Battle Management System,7,Insight Global,483170,SECRET SENIOR ELASTIC ENGINEER,"Colorado Springs, Colorado",Top Secret,Contract-to-perm,15-Jan-26,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,12,High,"Keywords: advanced, management; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-senior-elastic-engineer/job-483170/
Advanced Battle Management System,7,Insight Global,239366,SALES ENGINEER,"Colorado Springs, Colorado",,Perm,10-Nov-22,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,10,High,Keywords: system; State: CO; City: COLORADO SPRINGS,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/sales-engineer/job-239366/
Advanced Battle Management System,7,Insight Global,479845,TOP SECRET RESEARCH PHYSICIST 1,"Washington, District Of Columbia",Top Secret,Contract-to-perm,7-Jan-26,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: system, advanced; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-research-physicist-1/job-479845/
Advanced Battle Management System,7,Insight Global,467119,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)","Washington, District Of Columbia",Top Secret,Contract,13-Nov-25,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: system, advanced; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-fsr-analyst-washington-dc-ft-campbell-ky-/job-467119/
Advanced Battle Management System,7,Insight Global,478431,SECRET CLEARED WINDOWS AND LINUX ADMIN,"Pearl City, Hawaii",Secret,Contract-to-perm,5-Jan-26,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: system, advanced, management",https://insightglobal.com/jobs/find_a_job/hawaii/pearl-city/secret-cleared-windows-and-linux-admin/job-478431/
Advanced Battle Management System,7,Insight Global,471236,ONSITE PLM APPLICATION ANALYST,"East Hartford, Connecticut",,Perm,25-Nov-25,Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: system, advanced; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/east-hartford/onsite-plm-application-analyst/job-471236/
Integrated Base Defense Security System,8,Apex Systems,3013295,.NET Developer - Placement,"Washington, VA",,Contract,12/2/2025,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,7,Medium,"Keywords: security, defense; State: VA",https://www.apexsystems.com/job/3013295_usa/net-developer---placement
Integrated Base Defense Security System,8,Apex Systems,3015532,Sr Systems Administrator,"Reston, VA",,Contract,1/7/2026,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,12,High,"Keywords: system, security; State: VA; City: RESTON",https://www.apexsystems.com/job/3015532_usa/sr-systems-administrator
Integrated Base Defense Security System,8,Apex Systems,3016673,Communications Network Engineer Mid (Norfolk),"Norfolk, VA",,Contract,1/7/2026,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,9,Medium,"Keywords: base, security, integrated; State: VA",https://www.apexsystems.com/job/3016673_usa/communications-network-engineer-mid-norfolk
Integrated Base Defense Security System,8,Apex Systems,3017458,Siemens OpsCenter Solutions Architect,"Norfolk, VA",,Contract,1/16/2026,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,9,Medium,"Keywords: system, security, defense; State: VA",https://www.apexsystems.com/job/3017458_usa/siemens-opscenter-solutions-architect
Integrated Base Defense Security System,8,Apex Systems,3017552,Network Switching Design Engineer Sr-Camp Lejeune,"Jacksonville, NC",,Contract,1/13/2026,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,8,Medium,"Keywords: system, base, security",https://www.apexsystems.com/job/3017552_usa/network-switching-design-engineer-sr-camp-lejeune
Integrated Base Defense Security System,8,Apex Systems,3009212,Systems Administrator,"Fort Belvoir, VA",TS/SCI with active POLY,Contract,10/20/2025,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,7,Medium,"Keywords: system, security; State: VA",https://www.apexsystems.com/job/3009212_usa/systems-administrator
Integrated Base Defense Security System,8,Apex Systems,3012876,Sr ISSE,"Reston, VA",,Contract,1/7/2026,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,14,High,"Keywords: system, security, integrated; State: VA; City: RESTON",https://www.apexsystems.com/job/3012876_usa/sr-isse
Integrated Base Defense Security System,8,Apex Systems,3013828,Sr Network Engineer,"Reston, VA",,Contract,12/2/2025,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,12,High,"Keywords: system, security; State: VA; City: RESTON",https://www.apexsystems.com/job/3013828_usa/sr-network-engineer
Air Force Advanced Battle Management System,9,Apex Systems,3014010,EVMS Lead Program Control Consultant,"Herndon, VA",,FullTime,12/3/2025,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,10,High,Keywords: management; State: VA; City: HERNDON,https://www.apexsystems.com/job/3014010_usa/evms-lead-program-control-consultant
Air Force Advanced Battle Management System,9,Apex Systems,3012188,IT Specialist Senior,"Quantico, VA",,Contract,11/19/2025,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,9,Medium,"Keywords: system, advanced, management; State: VA",https://www.apexsystems.com/job/3012188_usa/it-specialist-senior
Air Force Advanced Battle Management System,9,Insight Global,451448,ESS HELPDESK TECHNICIAN,"Braddock, Virginia",Secret,Contract-to-perm,2-Oct-25,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,7,Medium,"Keywords: system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/braddock/ess-helpdesk-technician/job-451448/
Air Force Advanced Battle Management System,9,Insight Global,480429,SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia",Secret,Contract-to-perm,8-Jan-26,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,9,Medium,"Keywords: system, advanced, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-windows-systems-administrator/job-480429/
Air Force Advanced Battle Management System,9,Insight Global,477171,SOFTWARE ARCHITECT,"Alexandria, Virginia",Secret,Contract,18-Dec-25,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,7,Medium,"Keywords: system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/alexandria/software-architect/job-477171/
Air Force Advanced Battle Management System,9,Insight Global,481235,ISSO- TOP SECRET- ON SITE,"Oakton, Virginia",Top Secret,Contract-to-perm,12-Jan-26,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,7,Medium,"Keywords: system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/oakton/isso-top-secret-on-site/job-481235/
Air Force Advanced Battle Management System,9,Insight Global,447457,TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,"Alexandria, Virginia",TS/SCI,Contract-to-perm,23-Sep-25,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,9,Medium,"Keywords: force, system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/alexandria/ts-sci-comply-to-connect-endpoint-policy-analyst/job-447457/
Army Enterprise Service Management Framework,10,Insight Global,468846,MODEL BASED DEFINITION ENGINEER,"Middletown, Connecticut",,Contract,19-Nov-25,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,7,Medium,"Keywords: service, management; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/middletown/model-based-definition-engineer/job-468846/
Army Enterprise Service Management Framework,10,Insight Global,483609,BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",Secret,Perm,16-Jan-26,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,12,High,"Keywords: service, management; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/buyers-technical-writer-secret/job-483609/
Army Enterprise Service Management Framework,10,Insight Global,480693,SECRET DEVOPS ENGINEER,"Goose Creek, South Carolina",Secret,Perm,9-Jan-26,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,8,Medium,"Keywords: framework, service, enterprise",https://insightglobal.com/jobs/find_a_job/south-carolina/goose-creek/secret-devops-engineer/job-480693/
Army Enterprise Service Management Framework,10,Insight Global,482591,MAINTENANCE DATA SPECIALIST,"Atlanta, Georgia",,Contract,14-Jan-26,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,6,Medium,"Keywords: service, enterprise, management",https://insightglobal.com/jobs/find_a_job/georgia/atlanta/maintenance-data-specialist/job-482591/
Army Enterprise Service Management Framework,10,Insight Global,483336,TOP SECRET SPLUNK ENGINEER,"Vienna, Virginia",Top Secret,Contract,15-Jan-26,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,8,Medium,"Keywords: framework, service, enterprise",https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-splunk-engineer/job-483336/
Army Enterprise Service Management Framework,10,Insight Global,480203,TS/SCI CI POLY SOFTWARE ENGINEER,"Colorado Springs, Colorado",TS/SCI Poly,Contract,8-Jan-26,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,12,High,"Keywords: framework, service; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-ci-poly-software-engineer/job-480203/
Army Enterprise Service Management Framework,10,Insight Global,481938,CYBER SECURITY ENGINEER,"Groton, Connecticut",,Contract-to-perm,13-Jan-26,Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,9,Medium,"Keywords: service, enterprise, management; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/groton/cyber-security-engineer/job-481938/
Army IT Enterprise Mgmt Systems Solution,11,Apex Systems,3013125,Security Control Assessor,"Arlington, VA",,Contract,11/24/2025,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,12,High,"Keywords: enterprise, systems; State: VA; City: ARLINGTON",https://www.apexsystems.com/job/3013125_usa/security-control-assessor
Army IT Enterprise Mgmt Systems Solution,11,Apex Systems,3018571,Senior Cyber Security Specialist,"Fort Belvoir, VA",,Contract,1/16/2026,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,9,Medium,"Keywords: army, enterprise, systems; State: VA",https://www.apexsystems.com/job/3018571_usa/senior-cyber-security-specialist
Army IT Enterprise Mgmt Systems Solution,11,Apex Systems,3012964,Software Developer,"Bossier City, LA","secret clearance OR previously held secret clearance preferred, must have ability to obtain",Contract,11/20/2025,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,4,Low,"Keywords: enterprise, systems",https://www.apexsystems.com/job/3012964_usa/software-developer
Army IT Enterprise Mgmt Systems Solution,11,Insight Global,432633,CLEARED MARINE ELECTRICIAN,"Norfolk, Virginia",Secret,Contract-to-perm,28-Mar-25,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,5,Medium,Keywords: systems; State: VA,https://insightglobal.com/jobs/find_a_job/virginia/norfolk/cleared-marine-electrician/job-432633/
Army IT Enterprise Mgmt Systems Solution,11,Insight Global,479003,FULL STACK ENGINEER,"Arlington, Virginia",TS/SCI,Contract-to-perm,6-Jan-26,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,10,High,Keywords: systems; State: VA; City: ARLINGTON,https://insightglobal.com/jobs/find_a_job/virginia/arlington/full-stack-engineer/job-479003/
Army IT Enterprise Mgmt Systems Solution,11,Insight Global,453512,SECRET APPLICATION DEVELOPER,"Fairfax, Virginia",Secret,Contract-to-perm,9-Oct-25,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,9,Medium,"Keywords: enterprise, solution, systems; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-application-developer/job-453512/
Army IT Enterprise Mgmt Systems Solution,11,Insight Global,480870,TOP SECRET .NET DEVELOPER,"Ashburn, Virginia",Top Secret,Contract-to-perm,9-Jan-26,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,7,Medium,"Keywords: solution, systems; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/ashburn/top-secret-net-developer/job-480870/
CMS Enterprise Cloud Infrastructure Services,12,Apex Systems,3012821,Cloud Engineer,"Fayetteville, NC",active Secret Clearance eligible for upgrade.,Contract,11/20/2025,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,6,Medium,"Keywords: infrastructure, cloud, services",https://www.apexsystems.com/job/3012821_usa/cloud-engineer
CMS Enterprise Cloud Infrastructure Services,12,Insight Global,482086,SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",Secret,Contract-to-perm,13-Jan-26,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,7,Medium,"Keywords: infrastructure, cloud; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-full-stack-developer/job-482086/
CMS Enterprise Cloud Infrastructure Services,12,Insight Global,480900,TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia",Top Secret,Contract-to-perm,9-Jan-26,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, enterprise, services; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-virtualization-storage-engineer/job-480900/
CMS Enterprise Cloud Infrastructure Services,12,Insight Global,478414,TOP SECRET AWS ENGINEER,"Vienna, Virginia",Top Secret Poly,Contract,5-Jan-26,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, services; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-aws-engineer/job-478414/
CMS Enterprise Cloud Infrastructure Services,12,Insight Global,482180,SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",TS/SCI Poly,Perm,13-Jan-26,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, enterprise; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/sully/sr-software-engineer-w-polygraph/job-482180/
CMS Enterprise Cloud Infrastructure Services,12,Insight Global,436233,SECRET DATACENTER SME,"Suffolk, Virginia",Secret,Contract-to-perm,20-Aug-25,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, enterprise; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/
CMS Enterprise Cloud Infrastructure Services,12,Insight Global,449101,CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia",Top Secret,Perm,26-Sep-25,CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, services; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/broad-run/cbp-gcp-platform-engineer-mid-level-/job-449101/
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",13,Apex Systems,3014403,Ops Tech II,"St. Louis, MO",,Contract,12/16/2025,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: transport, service, network",https://www.apexsystems.com/job/3014403_usa/ops-tech-ii
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",13,Apex Systems,3012589,Secure Enterprise Engineer,"Carlsbad, CA",,FullTime,11/19/2025,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, network, enterprise",https://www.apexsystems.com/job/3012589_usa/secure-enterprise-engineer
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",13,Insight Global,458210,TS/SCI SR. NETWORK ENGINEER,"Mount Vernon, Virginia",TS/SCI,Contract,24-Oct-25,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: next, generation, service",https://insightglobal.com/jobs/find_a_job/virginia/mount-vernon/ts-sci-sr-network-engineer/job-458210/
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",13,Insight Global,482978,DIGITAL HARDWARE ENGINEER,"Greece, New York",,Perm,15-Jan-26,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: next, integration, generation",https://insightglobal.com/jobs/find_a_job/new-york/greece/digital-hardware-engineer/job-482978/
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",13,Insight Global,455231,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,"Lincoln, Massachusetts",Top Secret,Contract,14-Oct-25,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: integration, service, network",https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/cyber-systems-network-operations-specialist-ts/job-455231/
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",13,Insight Global,481972,SECRET NETWORK ENGINEER,"Fairfax, Virginia",Secret,Contract-to-perm,13-Jan-26,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: next, generation, service",https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-network-engineer/job-481972/
Aegis Ballistic Missile Defense / Aegis Program,14,Insight Global,461214,ELECTRICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,29-Oct-25,Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,6,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/electrical-engineer-secret-clearance/job-461214/
