Job Title,BD Priority,BD Score,Clearance,Confidence,DCGS Relevance,Job URL,Location,Prime Contractor,Program,Scraped Date,State,Task Order / Site
Communication Operator SME - TS,🟠 High,80,Top Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/communication-operator-sme-ts/job-455231/,"Lincoln, Massachusetts",MIT LL,MIT Lincoln Lab,"December 19, 2025",MA,DoD R&D Support
TOP SECRET Senior Help Desk Specialist,🟠 High,80,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-senior-help-desk-specialist/job-474378/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Secret Software Integrator,🟡 Medium,75,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-software-integrator/job-474939/,"Colorado Springs, Colorado",Raytheon / Northrop,Space Force (SBIRS/FORGE/GMD),"December 19, 2025",CO,Schriever/Peterson SFB
TS/SCI - Weapons and Tactics Specialist,🟠 High,80,TS/SCI,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/georgia/warner-robins/ts-sci-weapons-and-tactics-specialist/job-464692/,"Warner Robins, Georgia",Multiple,AFMC / Robins AFB,"December 19, 2025",GA,Air Logistics Complex
Top Secret Computer Vision Specialist SME,🟡 Medium,75,Top Secret,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/ashburn/top-secret-computer-vision-specialist-sme/job-466321/,"Ashburn, Virginia",Multiple,IC Data Centers,"December 19, 2025",VA,IC Cloud/AI
Secret - IT Specialist Senior,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/arlington/secret-it-specialist-senior/job-474549/,"Arlington, Virginia",Multiple,Pentagon IT / DISA,"December 19, 2025",VA,DoD Enterprise IT
Secret Systems Engineer II,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-systems-engineer-ii/job-462548/,"Suffolk, Virginia",Multiple,JFCOM / Army TRADOC,"December 19, 2025",VA,Joint Forces Support
TS SD-WAN Network Architect,🟠 High,80,Unknown,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/ts-sd-wan-network-architect/job-435377/,"Alexandria, Virginia",Multiple,DIA / NGA / DoD,"December 19, 2025",VA,Pentagon Area IT
Secret .Net/Angular Developer,🟡 Medium,75,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-net-angular-developer/job-440730/,"Dahlgren, Virginia",Multiple (SAIC/Leidos/GDIT),NSWC Dahlgren,"December 19, 2025",VA,Naval Surface Warfare
Geospatial Programmer - TSSCI w/ Poly,🟠 High,80,TS/SCI,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/mclean/geospatial-programmer-tssci-w-poly/job-473159/,"Mclean, Virginia",Multiple,IC Support (NGA/CIA/ODNI),"December 19, 2025",VA,IC Enterprise IT
Hardware and Circuit Board Design Lead,🟡 Medium,75,Unknown,High,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/california/san-diego/hardware-and-circuit-board-design-lead/job-438681/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
Secret Software Technical Writer,🟢 Low,70,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/secret-software-technical-writer/job-473731/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Secret Cleared SCAR,🟢 Low,70,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/utah/clearfield/secret-cleared-scar/job-475589/,"Clearfield, Utah",Multiple,Hill AFB Support,"December 19, 2025",UT,AFMC Depot
Integration Engineer,🟡 Medium,75,Unknown,High,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/integration-engineer/job-435368/,"San Antonio, Texas",GDIT / Peraton,AF 16th Air Force / DISA,"December 19, 2025",TX,JBSA / Lackland
Systems Administrator,🟡 Medium,75,Unknown,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/california/san-diego/systems-administrator/job-450628/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
Mechanical Design Engineer,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/mechanical-design-engineer/job-473394/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
HR Administrator,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/hr-administrator/job-472616/,"Lincoln, Massachusetts",MIT LL,MIT Lincoln Lab,"December 19, 2025",MA,DoD R&D Support
Technical Lead Engineering System,🟡 Medium,75,Unknown,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/virginia/norfolk/technical-lead-engineering-system/job-476051/,"Norfolk, Virginia",Leidos / BAE Systems,Navy DCGS-N,"December 19, 2025",VA,Fleet Intel Operations
Secret Cleared Director,🟢 Low,70,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/arlington/secret-cleared-director/job-469943/,"Arlington, Virginia",Multiple,Pentagon IT / DISA,"December 19, 2025",VA,DoD Enterprise IT
Embedded Systems and Controls Architect,🟡 Medium,75,Unknown,High,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/california/san-diego/embedded-systems-and-controls-architect/job-438701/,"San Diego, California",GDIT / BAE Systems,AF DCGS PACAF / Navy DCGS-N,"December 19, 2025",CA,PACAF Node / NIWC Pacific
Software Systems Engineer,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-systems-engineer/job-473013/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
REMOTE Military Trainer/Curriculum Developer,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/remote-military-trainer-curriculum-developer/job-476650/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
UI/UX Designer - TSSCI w/ Poly,🟡 Medium,75,TS/SCI with Polygraph,Low,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/dranesville/ui-ux-designer-tssci-w-poly/job-477359/,"Dranesville, Virginia",Unknown,IC Enterprise Programs,"December 19, 2025",VA,TBD
Mechanical Systems Engineer,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/connecticut/new-london/mechanical-systems-engineer/job-459815/,"New London, Connecticut",GDEB,Naval Submarine Base,"December 19, 2025",CT,Sub Base New London
TS/SCI CI Poly Sr. Consultant: OpenShift & RHEL,🟡 Medium,75,TS/SCI with Polygraph,Low,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/hunter-mill/ts-sci-ci-poly-sr-consultant-openshift-rhel/job-474126/,"Hunter Mill, Virginia",Unknown,IC Enterprise Programs,"December 19, 2025",VA,TBD
Secret Datacenter SME,🟢 Low,70,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/,"Suffolk, Virginia",Multiple,JFCOM / Army TRADOC,"December 19, 2025",VA,Joint Forces Support
TS Reverse Engineer,🟡 Medium,75,Top Secret,High,Direct DCGS,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/ts-reverse-engineer/job-446539/,"Aberdeen Proving Ground, Maryland",BAE Systems / GDIT (Sub),Army DCGS-A / C5ISR Center,"December 19, 2025",MD,Aberdeen Proving Ground
System Administrator II (Big IP F5),🟡 Medium,75,Unknown,High,Related Intel,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/system-administrator-ii-big-ip-f5-/job-468922/,"Montgomery, Alabama",GDIT,DISA N-JRSS / CENTCOM IT,"December 19, 2025",AL,Maxwell AFB / Gunter Annex
Top Secret Business Continuity Planner,🟡 Medium,75,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-business-continuity-planner/job-472376/,"Washington, District Of Columbia",Multiple,Pentagon / OSD,"December 19, 2025",DC,DoD HQ Support
Electrical Engineer 4,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/arizona/tucson/electrical-engineer-4/job-453153/,"Tucson, Arizona",Raytheon,Raytheon Missile Systems,"December 19, 2025",AZ,Missile Programs
Secret Cleared Critical Facility Technician - Journeyman Electrical,🟢 Low,70,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/utah/clearfield/secret-cleared-critical-facility-technician-journeyman-electrical/job-470942/,"Clearfield, Utah",Multiple,Hill AFB Support,"December 19, 2025",UT,AFMC Depot
Construction Manager - MILCON,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/texas/fort-bliss/construction-manager-milcon/job-475829/,"Fort Bliss, Texas",Northrop,Army IBCS / Air Defense,"December 19, 2025",TX,1st Armored Division
Secret Cleared CAD/Visio Designer/Field Technician,🟡 Medium,75,Secret,High,General DoD,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/secret-cleared-cad-visio-designer-field-technician/job-472534/,"San Antonio, Texas",GDIT / Peraton,AF 16th Air Force / DISA,"December 19, 2025",TX,JBSA / Lackland
C++ Software Engineer,🟡 Medium,75,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/c-software-engineer/job-470275/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Secret Amphibious Raids Instructor,🟢 Low,70,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/north-carolina/jacksonville/secret-amphibious-raids-instructor/job-462446/,"Jacksonville, North Carolina",Multiple,Camp Lejeune / MARSOC,"December 19, 2025",NC,Marine Corps Support
Power Platform Developer,🟢 Low,70,Unknown,Moderate,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/power-platform-developer/job-464764/,"Alexandria, Virginia",Multiple,DIA / NGA / DoD,"December 19, 2025",VA,Pentagon Area IT
Data Analyst Support,🟢 Low,70,Unknown,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/arlington/data-analyst-support/job-470387/,"Arlington, Virginia",Multiple,Pentagon IT / DISA,"December 19, 2025",VA,DoD Enterprise IT
AV Design Engineer,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/north-carolina/fayetteville/av-design-engineer/job-473367/,"Fayetteville, North Carolina",GDIT / Peraton,USASOC / XVIII Airborne,"December 19, 2025",NC,Fort Liberty Support
Jr. Security Analyst,🟢 Low,70,Unknown,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/arlington/jr-security-analyst/job-474949/,"Arlington, Virginia",Multiple,Pentagon IT / DISA,"December 19, 2025",VA,DoD Enterprise IT
Waterfront Mechanical Engineer,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/chesapeake/waterfront-mechanical-engineer/job-429200/,"Chesapeake, Virginia",HII / BAE,Navy Shipbuilding,"December 19, 2025",VA,Shipyard Support
Value Stream Specialist,🟢 Low,70,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/value-stream-specialist/job-472927/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
2nd Shift CNC Machinist Level 5,🟢 Low,70,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/2nd-shift-cnc-machinist-level-5/job-472901/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Software Engineer - Java/AI/ML Developer,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/pennsylvania/state-college/software-engineer-java-ai-ml-developer/job-473015/,"State College, Pennsylvania",Penn State,Penn State ARL,"December 19, 2025",PA,DoD R&D
TS RMF Manager,🟢 Low,70,Top Secret,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/ts-rmf-manager/job-477179/,"Suffolk, Virginia",Multiple,JFCOM / Army TRADOC,"December 19, 2025",VA,Joint Forces Support
Secret Cleared Facility Technician - Mechanical/HVAC,🟢 Low,65,Secret,Low,General DoD,https://insightglobal.com/jobs/find_a_job/pennsylvania/hampden/secret-cleared-facility-technician-mechanical-hvac/job-472765/,"Hampden, Pennsylvania",Multiple,Defense Logistics,"December 19, 2025",PA,DLA Support
Deputy Program Manager,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/pennsylvania/chambersburg/deputy-program-manager/job-474162/,"Chambersburg, Pennsylvania",Multiple,Letterkenny Army Depot,"December 19, 2025",PA,Army Depot Support
Mechanical Engineer,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/maryland/indian-head/mechanical-engineer/job-451825/,"Indian Head, Maryland",Multiple,NSWC Indian Head,"December 19, 2025",MD,Energetics
Assistant Project Manager,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/madison/assistant-project-manager/job-467168/,"Madison, Alabama",Northrop,MDA / Army PEO Missiles,"December 19, 2025",AL,Cummings Research Park
Program Contract Manager,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/pennsylvania/chambersburg/program-contract-manager/job-474163/,"Chambersburg, Pennsylvania",Multiple,Letterkenny Army Depot,"December 19, 2025",PA,Army Depot Support
Embedded Software Engineer,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/colorado/broomfield/embedded-software-engineer/job-239458/,"Broomfield, Colorado",Ball / Lockheed,Space Programs,"December 19, 2025",CO,Ball/Lockheed Space
TS Senior Linux Architect,🟢 Low,70,Top Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/ts-senior-linux-architect/job-463580/,"Dahlgren, Virginia",Multiple (SAIC/Leidos/GDIT),NSWC Dahlgren,"December 19, 2025",VA,Naval Surface Warfare
Helicopter Modification Specialist - Secret Clearance,🟢 Low,65,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/wyoming/fe-warren-afb/helicopter-modification-specialist-secret-clearance/job-458757/,"Fe Warren AFB, Wyoming",Northrop,AFGSC / ICBM Support,"December 19, 2025",WY,Missile Field Support
Information System Security Engineer (ISSE),🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-system-security-engineer-isse-/job-426475/,"Sterling Heights, Michigan",GDLS / BAE,Army TACOM/GVSC,"December 19, 2025",MI,Ground Vehicle Systems
Welder,🟢 Low,70,Unknown,High,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/welder/job-452489/,"Huntsville, Alabama",Northrop / Lockheed,MDA (GMD/IBCS/HBTSS),"December 19, 2025",AL,Redstone Arsenal / MDA HQ
Linux Systems Engineer (TS),🟢 Low,70,Top Secret,Moderate,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/virginia/chantilly/linux-systems-engineer-ts-/job-448756/,"Chantilly, Virginia",Multiple,NRO Support,"December 19, 2025",VA,NRO IT/Cyber
Business Process Analyst - CBP Cleared,🟢 Low,70,Unknown,Moderate,Related Intel,https://insightglobal.com/jobs/find_a_job/virginia/arlington/business-process-analyst-cbp-cleared/job-472169/,"Arlington, Virginia",Multiple,Pentagon IT / DISA,"December 19, 2025",VA,DoD Enterprise IT
Secret Cleared Facility Technician - Electrical,🟢 Low,65,Secret,Low,General DoD,https://insightglobal.com/jobs/find_a_job/pennsylvania/hampden/secret-cleared-facility-technician-electrical/job-472764/,"Hampden, Pennsylvania",Multiple,Defense Logistics,"December 19, 2025",PA,DLA Support
"Information System Security Manager (ISSM) - Warren, Michigan",🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-system-security-manager-issm-warren-michigan/job-474958/,"Sterling Heights, Michigan",GDLS / BAE,Army TACOM/GVSC,"December 19, 2025",MI,Ground Vehicle Systems
System Administrator,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/washington/keyport/system-administrator/job-476303/,"Keyport, Washington",Multiple,NUWC Keyport,"December 19, 2025",WA,Naval Undersea Warfare
Chemical Engineer,🟢 Low,70,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/maryland/indian-head/chemical-engineer/job-474841/,"Indian Head, Maryland",Multiple,NSWC Indian Head,"December 19, 2025",MD,Energetics
Help Desk Support Spec I,🟢 Low,60,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/michigan/detroit/help-desk-support-spec-i/job-239418/,"Detroit, Michigan",Unknown,Unknown - Requires Research,"December 19, 2025",MI,TBD
Lead Mission Systems Engineer,🟢 Low,65,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/missouri/berkeley/lead-mission-systems-engineer/job-477210/,"Berkeley, Missouri",Boeing,Boeing Defense,"December 19, 2025",MO,St. Louis Defense
REMOTE- Tech Lead/ Senior Developer (React/ Python),🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/alabama/homewood/remote-tech-lead-senior-developer-react-python-/job-474857/,"Homewood, Alabama",Unknown,Unknown - Requires Research,"December 19, 2025",AL,TBD
Service Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/maryland/chevy-chase/service-engineer/job-471120/,"Chevy Chase, Maryland",Unknown,DC Area IT Support,"December 19, 2025",MD,Commercial/Gov
Senior Integration Specialist,🟢 Low,65,Unknown,Low,DCGS Adjacent,https://insightglobal.com/jobs/find_a_job/virginia/manassas/senior-integration-specialist/job-461572/,"Manassas, Virginia",Multiple,IC Support,"December 19, 2025",VA,Northern VA IT
Embedded Software Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/georgia/atlanta/embedded-software-engineer/job-333487/,"Atlanta, Georgia",Unknown,Defense Electronics,"December 19, 2025",GA,Atlanta Defense Hub
CAD Designer,🟢 Low,60,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/arizona/chandler/cad-designer/job-468803/,"Chandler, Arizona",Unknown,Defense Manufacturing,"December 19, 2025",AZ,Phoenix Defense Hub
CBP GCP Platform Engineer (Mid-Level),🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/broad-run/cbp-gcp-platform-engineer-mid-level-/job-449101/,"Broad Run, Virginia",Multiple,CBP IT Programs,"December 19, 2025",VA,DHS/CBP Support
Sr. RF Engineer - Lead,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/california/yorba-linda/sr-rf-engineer-lead/job-473559/,"Yorba Linda, California",Unknown,Defense Electronics,"December 19, 2025",CA,OC Defense Contractors
Camera Test Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/texas/austin/camera-test-engineer/job-473404/,"Austin, Texas",Unknown,Defense Electronics,"December 19, 2025",TX,Austin Defense Hub
Information Systems Security Officer (ISSO),🟢 Low,65,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-systems-security-officer-isso-/job-438003/,"Sterling Heights, Michigan",GDLS / BAE,Army TACOM/GVSC,"December 19, 2025",MI,Ground Vehicle Systems
Office Manager,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/florida/palm-beach-gardens/office-manager/job-475675/,"Palm Beach Gardens, Florida",Unknown,Unknown - Requires Research,"December 19, 2025",FL,TBD
Cleared Electronic Warfare Engineer,🟢 Low,65,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/new-hampshire/manchester/cleared-electronic-warfare-engineer/job-314201/,"Manchester, New Hampshire",BAE Systems,BAE Systems EW,"December 19, 2025",NH,Electronic Warfare
ESS Helpdesk Technician,🟢 Low,60,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/braddock/ess-helpdesk-technician/job-451448/,"Braddock, Virginia",Unknown,Unknown - Requires Research,"December 19, 2025",VA,TBD
Part-time QC Inspector,🟢 Low,60,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/stafford/part-time-qc-inspector/job-474766/,"Stafford, Virginia",Unknown,Unknown - Requires Research,"December 19, 2025",VA,TBD
Aeromechanical Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/california/solana-beach/aeromechanical-engineer/job-476039/,"Solana Beach, California",Unknown,Defense Aerospace,"December 19, 2025",CA,San Diego Defense
Systems Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/florida/deerfield-beach/systems-engineer/job-473926/,"Deerfield Beach, Florida",Unknown,Unknown - Requires Research,"December 19, 2025",FL,TBD
Mid-Level RF Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/california/yorba-linda/mid-level-rf-engineer/job-473564/,"Yorba Linda, California",Unknown,Defense Electronics,"December 19, 2025",CA,OC Defense Contractors
Program Manager,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/florida/deerfield-beach/program-manager/job-473918/,"Deerfield Beach, Florida",Unknown,Unknown - Requires Research,"December 19, 2025",FL,TBD
Secret Cleared Critical Facility Technician - Journeyman Electrical,🟢 Low,65,Secret,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/ohio/whitehall/secret-cleared-critical-facility-technician-journeyman-electrical/job-470916/,"Whitehall, Ohio",Multiple,DLA Logistics,"December 19, 2025",OH,DSCC Columbus
Marine Welder,🟢 Low,65,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/chesapeake/marine-welder/job-430621/,"Chesapeake, Virginia",HII / BAE,Navy Shipbuilding,"December 19, 2025",VA,Shipyard Support
Maintenance Availability Budget Planner,🟢 Low,65,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/virginia/portsmouth/maintenance-availability-budget-planner/job-474692/,"Portsmouth, Virginia",Multiple,Norfolk Naval Shipyard,"December 19, 2025",VA,Ship Maintenance
Contracts Administrator,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/florida/deerfield-beach/contracts-administrator/job-474012/,"Deerfield Beach, Florida",Unknown,Unknown - Requires Research,"December 19, 2025",FL,TBD
Electrical Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/maryland/cockeysville/electrical-engineer/job-313138/,"Cockeysville, Maryland",Unknown,Defense Electronics,"December 19, 2025",MD,Baltimore Defense Hub
Senior Mechanical Equipment & Tool Engineer,🟢 Low,65,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/washington/seattle/senior-mechanical-equipment-tool-engineer/job-350529/,"Seattle, Washington",Unknown,Defense Manufacturing,"December 19, 2025",WA,PNW Defense Hub
Vulnerability Scanner,🟢 Low,60,Unknown,Moderate,General DoD,https://insightglobal.com/jobs/find_a_job/illinois/shiloh-valley/vulnerability-scanner/job-476687/,"Shiloh Valley, Illinois",Multiple,Scott AFB / USTRANSCOM,"December 19, 2025",IL,TRANSCOM IT
Construction Surveillance Technician (CST) I,🟢 Low,60,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/hawaii/wailuku/construction-surveillance-technician-cst-i/job-476770/,"Wailuku, Hawaii",Unknown,Pacific Military Construction,"December 19, 2025",HI,PACAF Support
Die Maintenance Coordinator,🟢 Low,60,Unknown,Low,General DoD,https://insightglobal.com/jobs/find_a_job/georgia/rockmart/die-maintenance-coordinator/job-476555/,"Rockmart, Georgia",Unknown,Defense Manufacturing,"December 19, 2025",GA,GA Industrial
