award_amount,award_id,awarding_agency,awarding_sub_agency,competitor_match,description,end_date,extraction_date,piid,pop_city,pop_state,recipient_name,recipient_uei,start_date
72312.24,CONT_AWD_H9240419F0041_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,ACQUISITION SYSTEM ANALYSIS - LABOR,2019-06-30,2026-01-21,H9240419F0041,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2019-02-01
68499.07,CONT_AWD_0019_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,None,2006-11-30,2026-01-21,0019,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-01-17
66069.69,CONT_AWD_0007_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,CLERK II HIRE FOR ANACOSTIA SITE,2010-08-16,2026-01-21,0007,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2009-08-17
65048.0,CONT_AWD_0004_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,PROGRAM ANALYST,2009-09-28,2026-01-21,0004,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2008-09-22
58486.31,CONT_AWD_0030_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-07-20,2026-01-21,0030,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-12-01
52992.04,CONT_AWD_0044_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,SUPPLIES AND SERVICES,2010-11-30,2026-01-21,0044,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2010-09-29
44860.82,CONT_AWD_0026_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0026,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
43632.67,CONT_AWD_0038_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0038,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-10-01
42754.0,CONT_AWD_0033_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR TWO,2008-09-30,2026-01-21,0033,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-09-28
40507.68,CONT_AWD_0002_9700_N4008008D7162_9700,Department of Defense,Department of the Navy,BELCAN,BASE YEAR - DELIVERY ORDER 0002,2009-02-19,2026-01-21,0002,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2008-02-20
29248.0,CONT_AWD_FA873021F0138_9700_GS35F0537L_4730,Department of Defense,Department of the Air Force,BELCAN,TWO CODING IT FORWARD FELLOWS KESSEL RUN SUMMER FELLOWSHIP,2021-08-13,2026-01-21,FA873021F0138,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2021-04-16
20193.62,CONT_AWD_0027_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2006-12-31,2026-01-21,0027,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2006-10-01
5176.25,CONT_AWD_H9240419F0043_9700_GS06F0711Z_4732,Department of Defense,U.S. Special Operations Command,BELCAN,DCGS SOF JIRA TRAINING,2019-02-14,2026-01-21,H9240419F0043,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2019-01-15
5000.0,CONT_AWD_W52P1J18F0168_9700_W52P1J18DA133_9700,Department of Defense,Department of the Army,BELCAN,ITES-3S GUARANTEED MINIMUM.,2019-01-04,2026-01-21,W52P1J18F0168,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-09-25
3000.0,CONT_AWD_HR001118F0040_9700_HR001118D0006_9700,Department of Defense,Defense Advanced Research Projects Agency,BELCAN,TECHNICAL AND ANALYTICAL SUPPORT SERVICES (TASS) - POST-AWARD ORIENTATION BRIEFING,2018-11-19,2026-01-21,HR001118F0040,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2018-08-20
2501.0,CONT_AWD_0001_9700_N0017814D7967_9700,Department of Defense,Department of the Navy,BELCAN,SEAPORT ENHANCED,2019-12-31,2026-01-21,0001,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2013-11-19
1000.0,CONT_AWD_FA865622FA034_9700_FA865622DA036_9700,Department of Defense,Department of the Air Force,BELCAN,EWAAC - ON RAMP,2022-05-31,2026-01-21,FA865622FA034,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2022-04-29
500.0,CONT_AWD_N0017821F9404_9700_N0017821D9404_9700,Department of Defense,Department of the Navy,BELCAN,SEAPORT NXG MINIMUM OBLIGATION TASK ORDER,2029-01-01,2026-01-21,N0017821F9404,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2021-07-14
97.0,CONT_AWD_0032_9700_W91ZLK05D0030_9700,Department of Defense,Department of the Army,BELCAN,OPTION YEAR ONE,2007-09-30,2026-01-21,0032,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2007-04-12
0.0,CONT_AWD_W15P7T19F0315_9700_W15P7T19D0131_9700,Department of Defense,Department of the Army,BELCAN,THIS TASK ORDER IS ESTABLISHED TO MEET THE MINIMUM GUARANTEE IN ACCORDANCE WITH CLAUSE H.2 OF THE RS3 BASE CONTRACT.,2019-09-30,2026-01-21,W15P7T19F0315,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2018-10-18
0.0,CONT_AWD_N6523618F0314_9700_N6523618D4810_9700,Department of Defense,Department of the Navy,BELCAN,IGF::OT::IGF OBLIGATION OF MINIMUM GUARANTEE,2023-03-01,2026-01-21,N6523618F0314,,,"SCHAFER GOVERNMENT SERVICES, LLC",QVLFZJZZEXB6,2018-03-02
40221737.64,CONT_AWD_FA301625F0062_9700_FA301624D0007_9700,Department of Defense,Department of the Air Force,KFORCE,LACKLAND FULL FOOD SERVICES. INCREMENTALLY FUNDED TASK ORDER.,2025-12-31,2026-01-21,FA301625F0062,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2025-01-01
38615808.41,CONT_AWD_FA301624F0080_9700_FA301624D0007_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA-LACKLAND FULL FOOD SERVICE,2024-12-31,2026-01-21,FA301624F0080,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2024-01-01
38319366.52,CONT_AWD_FA301623F0132_9700_FA301623D0004_9700,Department of Defense,Department of the Air Force,KFORCE,DFAC FULL FOOD SERVICES,2023-12-31,2026-01-21,FA301623F0132,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2023-02-01
36089794.18,CONT_AWD_FA301621F0407_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,FULL FOOD SERVICE JBSA LACKLAND TX,2022-07-31,2026-01-21,FA301621F0407,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2021-08-01
29684837.46,CONT_AWD_FA301620F0324_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,"FULL FOOD SERVICES JBSA LACKLAND TX, FUNDING OPTION TO",2021-07-31,2026-01-21,FA301620F0324,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-08-01
26406254.56,CONT_AWD_FA301619FA299_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA LACKLAND FULL FOOD SERVICE FUND OPTION YEAR TWO.,2020-07-31,2026-01-21,FA301619FA299,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2019-07-25
25325062.75,CONT_AWD_FA301618F0442_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA FULL FOOD SERVICE CONTRACT,2019-07-31,2026-01-21,FA301618F0442,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-08-01
24499921.22,CONT_AWD_0001_9700_HDTRA110D0001_9700,Department of Defense,Defense Threat Reduction Agency,KFORCE,BUDGET AND FINANCE SUPPORT SERVICES,2015-04-11,2026-01-21,0001,,,"MANTECH MGS, INC.",LPANPM31AFZ1,2009-11-05
23827264.64,CONT_AWD_W74V8H04F1165_9700_GS23F9837H_4730,Department of Defense,Department of the Army,KFORCE,200412!004720!2100!W74V8H!DEF. CONTRACT. CMD. - WASHINGTON!GS23F9837H     !C!N! !N!W74V8H04F1165!      !20040930!20041231!101310399!101310399!101310399!N!BRADSON CORPORATION           !1725 JEFFERSON DAVIS HIGHW!ARLINGTON           !VA!22202!27200!610!51!FALLS CHURCH        !FALLS CHURCH (CITY)   !V,2009-06-30,2026-01-21,W74V8H04F1165,,,"MANTECH MGS, INC.",LPANPM31AFZ1,2004-09-30
22455512.33,CONT_AWD_FA301622F0332_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,FUNDING ACTION FOR EXTENSION OF FULL FOOD SERVICES IAW 52.217-8 FOR SIX (6) MONTHS,2023-08-31,2026-01-21,FA301622F0332,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-08-01
21582268.86,CONT_AWD_FA301617F0092_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,IGF::OT::IGF BLDG 6582 - DCF1 WEEKDAY,2018-07-31,2026-01-21,FA301617F0092,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2017-09-01
19992863.44,CONT_AWD_FA301624F0143_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FY24 FSH FULL FOOD SERVICE (01APR-30APR 2024),2025-03-31,2026-01-21,FA301624F0143,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2024-04-01
14712953.55,CONT_AWD_W81K0022C0002_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,KFORCE,FOOD SERVICE WORKER,2026-10-31,2026-01-21,W81K0022C0002,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-04-01
11518143.15,CONT_AWD_FA301617C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,KFORCE,IGF::OT::IGF FSH FOOD SERVICE,2017-08-31,2026-01-21,FA301617C0003,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2016-11-01
10778484.76,CONT_AWD_FA301619FA028_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FT SAM HOUSTON FULL FOOD SERVICES.,2019-09-30,2026-01-21,FA301619FA028,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-12-31
9588305.14,CONT_AWD_FA301625F0154_9700_FA301625D0011_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA-FORT SAM HOUSTON FOOD SERVICE,2025-09-30,2026-01-21,FA301625F0154,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2025-04-01
9523360.49,CONT_AWD_HDTRA106F0116_9700_GS23F9837H_4730,Department of Defense,Defense Threat Reduction Agency,KFORCE,FINANCE AND ACCOUNTING SUPPORT SERVICE,2009-12-31,2026-01-21,HDTRA106F0116,,,"MANTECH MGS, INC.",LPANPM31AFZ1,2006-09-08
9142700.57,CONT_AWD_8Z01_9700_N0017805D4222_9700,Department of Defense,Defense Threat Reduction Agency,KFORCE,PROGRAM AND BUDGET SUPPORT,2013-09-30,2026-01-21,8Z01,,,BRADSON,E4HAGGTN8M55,2009-04-01
8674349.88,CONT_AWD_M0026404C0005_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,KFORCE,200409!000186!1700!F0264 !MARINE CORPS COMBAT DEVELOPMENT !M0026404C0005  !A!N! !N!             !      !20040614!20041231!101310399!101310399!101310399!N!BRADSON CORPORATION           !1725 JEFFERSON DAVIS HIGHW!ARLINGTON           !VA!22202!65120!153!51!QUANTICO            !PRINCE WILLIAM        !V,2009-03-31,2026-01-21,M0026404C0005,,,BRADSON,E4HAGGTN8M55,2004-06-14
7647935.86,CONT_AWD_FA301617C0049_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,KFORCE,IGF::OT::IGF FULL FOOD SERVICES,2018-03-31,2026-01-21,FA301617C0049,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2017-09-01
7320476.74,CONT_AWD_W9124J20F0076_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,"FULL FOOD SERVICE AT FORT BLISS, TEXAS",2021-07-31,2026-01-21,W9124J20F0076,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-07-30
7289600.78,CONT_AWD_FA301618C0020_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,KFORCE,FULL FOOD SERVICES FOR FT SAM HOUSTON AND CAMP BULLIS DINING FACILITIES.,2018-11-02,2026-01-21,FA301618C0020,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-03-30
6599950.0,CONT_AWD_0001_9700_W900KK14D0004_9700,Department of Defense,Department of the Army,KFORCE,TRAUMATIC AMPUTATION TASK TRAINER,2015-05-11,2026-01-21,0001,,,"MANTECH MGS, INC.",LPANPM31AFZ1,2014-09-11
6515283.42,CONT_AWD_W911SG18F00B7_9700_W911SG14D0445_9700,Department of Defense,Department of the Army,KFORCE,BLDG 9436 FFS 2000-3999,2019-09-28,2026-01-21,W911SG18F00B7,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-09-26
5805751.49,CONT_AWD_0001_9700_W911SG14D0445_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE FOR 2 DINING FACILITIES ON FT BLISS,2015-09-30,2026-01-21,0001,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2014-09-30
5708136.7,CONT_AWD_FA301624F0029_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FULL FOOD SERVICES,2024-01-31,2026-01-21,FA301624F0029,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2023-10-01
5579867.38,CONT_AWD_0004_9700_W9124P11D0004_9700,Department of Defense,Department of the Army,KFORCE,IGF::CT::IGF LABOR,2016-04-24,2026-01-21,0004,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2014-08-18
5338695.2,CONT_AWD_0002_9700_W9124P11D0004_9700,Department of Defense,Department of the Army,KFORCE,OPTION YEAR 1 - LABOR COST,2013-09-26,2026-01-21,0002,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2012-09-27
5259098.14,CONT_AWD_FA301622F0177_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FULL FOOD SERVICES,2022-07-31,2026-01-21,FA301622F0177,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-04-01
5204797.29,CONT_AWD_HS002123F0047_9700_GS02F0235X_4732,Department of Defense,Defense Counterintelligence and Security Agency,KFORCE,EMPLOYMENT VERIFICATION SERVICES,2026-05-31,2026-01-21,HS002123F0047,,,EQUIFAX WORKFORCE SOLUTIONS LLC,HYKURWCMHQJ5,2023-06-21
5178832.0,CONT_AWD_W911SG23F0041_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE,2023-07-31,2026-01-21,W911SG23F0041,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2023-03-01
5109939.26,CONT_AWD_0011_9700_HDTRA115D0004_9700,Department of Defense,Defense Threat Reduction Agency,KFORCE,BUDGET AND FINANCE SUPPORT SERVICES IGF::OT::IGF,2020-03-31,2026-01-21,0011,,,"MANTECH MGS, INC.",LPANPM31AFZ1,2017-03-21
4930107.6,CONT_AWD_0010_9700_W911SG14D0445_9700,Department of Defense,Department of the Army,KFORCE,IGF::CT::IGF BLDG 9436 FFS 2000-3999,2017-11-30,2026-01-21,0010,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2017-02-28
4874117.93,CONT_AWD_0001_9700_W9124P11D0004_9700,Department of Defense,Department of the Army,KFORCE,PROGRAM MANAGEMENT/FACILITIES SUPPORT SERVICES,2012-09-26,2026-01-21,0001,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2011-09-27
4782566.59,CONT_AWD_0002_9700_W912DR10D0017_9700,Department of Defense,Department of the Army,KFORCE,LOGISTICS AND ASSET MANAGEMENT,2011-09-28,2026-01-21,0002,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2010-09-28
4483878.92,CONT_AWD_FA301626F0007_9700_FA301625D0011_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA-FORT SAM HOUSTON FOOD SERVICE,2026-09-30,2026-01-21,FA301626F0007,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2025-10-01
4399054.75,CONT_AWD_W911SG19F9207_9700_W911SG19D0004_9700,Department of Defense,Department of the Army,KFORCE,DINING FACILITY ATTENDANT SERVICES,2020-09-27,2026-01-21,W911SG19F9207,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2019-09-27
4253692.41,CONT_AWD_FA301621F0324_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FORT SAM HOUSTON FOOD SERVICES,2021-09-30,2026-01-21,FA301621F0324,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2021-06-30
4119226.01,CONT_AWD_W911SG18F0012_9700_W911SG14D0445_9700,Department of Defense,Department of the Army,KFORCE,BLDG 9436 FFS 2000-3999,2018-09-29,2026-01-21,W911SG18F0012,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-03-01
3834826.25,CONT_AWD_HC102811P0135_9700_-NONE-_-NONE-,Department of Defense,Defense Information Systems Agency,KFORCE,COMMVAULT,2011-12-15,2026-01-21,HC102811P0135,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2010-12-15
3560000.0,CONT_AWD_0003_9700_W9124P11D0004_9700,Department of Defense,Department of the Army,KFORCE,OPTION YEAR 2 - LABOR,2014-09-26,2026-01-21,0003,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2013-09-11
3541928.82,CONT_AWD_FA301621F0092_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FULL FOOD SERVICES,2021-03-31,2026-01-21,FA301621F0092,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-12-31
3500711.05,CONT_AWD_W911SG19F0118_9700_W911SG14D0445_9700,Department of Defense,Department of the Army,KFORCE,BLDGS 906  AND 9436 FFS,2020-03-29,2026-01-21,W911SG19F0118,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2019-09-25
3484379.29,CONT_AWD_0003_9700_W9124E12D0002_9700,Department of Defense,Department of the Army,KFORCE,TASK ORDER FOR FULL FOOD SERVICE ISO DINING FACILITY 7303A FROM 1 AUGUST - 31 OCTOBER 2012.,2013-05-25,2026-01-21,0003,,,LOUISIANA WORKFORCE COMMISSION,L24VTNX3ABU1,2012-07-27
3480327.43,CONT_AWD_0014_9700_HDTRA110D0008_9700,Department of Defense,Defense Threat Reduction Agency,KFORCE,KNOWLEDGE WALL EQUIPMENT / MATERIAL,2015-10-30,2026-01-21,0014,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2014-09-30
3467734.62,CONT_AWD_FA820124C0024_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,KFORCE,HILL AIR FORCE BASE DINING FACILITY (DFAC) FULL FOOD SERVICE,2025-10-31,2026-01-21,FA820124C0024,,,UTAH DEPARTMENT OF WORKFORCE SERVICE,LLLDJCCYZKQ7,2024-09-30
3428123.02,CONT_AWD_FA301621F0190_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA FT SAM HOUSTON FULL FOOD SERVICES,2021-06-30,2026-01-21,FA301621F0190,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2021-04-01
3368384.87,CONT_AWD_FA301619F0039_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA FT SAM HOUSTON FULL FOOD SERVICES,2018-12-31,2026-01-21,FA301619F0039,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-10-02
3321765.0,CONT_AWD_W911SG24F0119_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE BLDG 906,2024-10-26,2026-01-21,W911SG24F0119,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2024-08-01
3305988.49,CONT_AWD_FA301620F0401_9700_FA301617D0012_9700,Department of Defense,Department of the Air Force,KFORCE,COVID-19 LAK FOOD SERVICES FOR FUNDING OF PERMANENT BMT KP REMOVAL,2021-07-31,2026-01-21,FA301620F0401,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-09-03
3269145.5,CONT_AWD_0029_9700_W9124E12D0002_9700,Department of Defense,Department of the Army,KFORCE,"IGF::CT::IGF, TASK ORDER 29 FOR GARRISON FULL FOOD SERVICES, BUILDING 7303A.",2016-05-09,2026-01-21,0029,,,LOUISIANA WORKFORCE COMMISSION,L24VTNX3ABU1,2015-05-10
3230773.37,CONT_AWD_HC102811P0108_9700_-NONE-_-NONE-,Department of Defense,Defense Information Systems Agency,KFORCE,LABOR,2013-09-19,2026-01-21,HC102811P0108,,,SAVA WORKFORCE SOLUTIONS LLC,PQVNSJMA2FU3,2010-12-01
3227105.6,CONT_AWD_0012_9700_W9124E12D0002_9700,Department of Defense,Department of the Army,KFORCE,"FULL FOOD SERVICE FOR 1ST OPT PERIOD, 10 MAY 13 - 30 SEP 13.",2014-05-09,2026-01-21,0012,,,LOUISIANA WORKFORCE COMMISSION,L24VTNX3ABU1,2013-05-10
3154812.1,CONT_AWD_0019_9700_W9124E12D0002_9700,Department of Defense,Department of the Army,KFORCE,IGF::CT::IGF CONTRACTOR PREPARING FOOD FOR SOLDIERS AT ALL DFACS ON THE INSTALLATION.,2015-05-09,2026-01-21,0019,,,LOUISIANA WORKFORCE COMMISSION,L24VTNX3ABU1,2014-04-11
3073148.31,CONT_AWD_FA301624F0092_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA FSH FOOD SERVICES,2024-03-31,2026-01-21,FA301624F0092,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2024-02-01
3068919.79,CONT_AWD_W911SG18F0085_9700_W911SG17D0001_9700,Department of Defense,Department of the Army,KFORCE,DFA SERVICE,2019-09-27,2026-01-21,W911SG18F0085,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2018-09-28
2882886.5,CONT_AWD_W911SG24F0027_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE BLDG 906,2024-03-27,2026-01-21,W911SG24F0027,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2023-12-21
2813396.5,CONT_AWD_W911SG22F0103_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE,2022-07-31,2026-01-21,W911SG22F0103,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-05-12
2712720.6,CONT_AWD_W911SG20F9225_9700_W911SG19D0004_9700,Department of Defense,Department of the Army,KFORCE,DINING FACILITY ATTENDANT SERVICES,2021-06-27,2026-01-21,W911SG20F9225,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-08-27
2678136.42,CONT_AWD_FA301622F0422_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,FULL FOOD SERVICES,2022-09-30,2026-01-21,FA301622F0422,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-07-30
2672689.83,CONT_AWD_0066_9700_W9124E06D0003_9700,Department of Defense,Department of the Army,KFORCE,"FULL FOOD SERVICE/DINING FACILITY ATTENDANT SERVICES FOR JANUARY 2012 FOR SOUTH FORT DINING FACILITIES (1162, 2382&7303A)",2012-06-30,2026-01-21,0066,,,"WORKFORCE COMMISSION, LOUISIANA",KXSDX86UKGV8,2011-12-22
2615405.0,CONT_AWD_W911SG25F0020_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE BLDG 906,2025-03-31,2026-01-21,W911SG25F0020,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2025-01-27
2529404.97,CONT_AWD_FA301620F0207_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,DIRECT SUPPORT TO COVID-19: COVID 19 EXTENDED MEAL HOURS AND EXPENDABLE SUPPLIES. JBSA FT SAM HOUSTON FULL FOOD SERVICE,2020-07-31,2026-01-21,FA301620F0207,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-06-01
2520978.0,CONT_AWD_W911SG25F0001_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE BLDG 906,2024-11-26,2026-01-21,W911SG25F0001,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2024-10-25
2518022.0,CONT_AWD_W911SG22F0118_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,FULL FOOD SERVICE,2022-09-30,2026-01-21,W911SG22F0118,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-07-29
2455657.69,CONT_AWD_W9133L24F3001_9700_47QREB21D0043_4732,Department of Defense,Department of the Army,KFORCE,NATIONAL GUARD YOUTH CHALLENGE PROGRAM INSPECTION AND ASSISTANCE SERVICES,2026-02-28,2026-01-21,W9133L24F3001,,,WORKFORCE INNOVATIONS JV,G4XEWJFFT3K3,2024-02-23
2440258.16,CONT_AWD_FA301620F0293_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,DIRECT SUPPORT TO COVID-19: COVID 19 EXTENDED MEAL HOURS AND EXPENDABLE SUPPLIES. JBSA FT SAM HOUSTON FULL FOOD SERVICE,2020-09-30,2026-01-21,FA301620F0293,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2020-07-29
2435611.81,CONT_AWD_0003_9700_HDTRA115D0004_9700,Department of Defense,Defense Threat Reduction Agency,KFORCE,BUDGET AND FINANCE SUPPORT SERVICES IGF::OT::IGF,2020-03-31,2026-01-21,0003,,,"MANTECH MGS, INC.",LPANPM31AFZ1,2015-03-30
2423740.0,CONT_AWD_W911SG25FA061_9700_W9124J20D0012_9700,Department of Defense,Department of the Army,KFORCE,"INCREMENTAL FUNDING FOR FULL FOOD SERVICE, SEP - OCT 2025",2025-10-31,2026-01-21,W911SG25FA061,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2025-09-01
2420767.11,CONT_AWD_FA301622F0118_9700_FA301618D0009_9700,Department of Defense,Department of the Air Force,KFORCE,JBSA FSH FULL FOOD SERVICE,2022-03-31,2026-01-21,FA301622F0118,,,TEXAS WORKFORCE COMMISSION,QGAGLVKBM6C6,2022-01-28
