Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
PROJECT MANAGER,"Madison, Alabama",,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/alabama/madison/project-manager/job-436063/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Madison.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Madison"
SECRET CLEARED SOLUTIONS ARCHITECT,"Saint Louis, Missouri",Secret,Global Solutions Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/missouri/saint-louis/secret-cleared-solutions-architect/job-296131/,"PTS has strong Leidos relationships. For Global Solutions Management – , we specialize in Secret talent in Saint Louis.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Saint Louis"
SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia",Top Secret,Data Center & Cloud Optimization,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/manassas/senior-integration-specialist/job-461572/,"PTS has strong Leidos relationships. For Data Center & Cloud Optimizati, we specialize in Top Secret talent in Manassas.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Manassas"
TSSCI CYBER ANALYST,"Hampton, Virginia",TS/SCI,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-cyber-analyst/job-483067/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in TS/SCI talent in Hampton.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Hampton"
ISSO- TOP SECRET- ON SITE,"Oakton, Virginia",Top Secret,Air Force Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/oakton/isso-top-secret-on-site/job-481235/,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in Top Secret talent in Oakton.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Oakton"
TSSCI CYBER CAPABILITIES TRAINER,"Hampton, Virginia",TS/SCI,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-cyber-capabilities-trainer/job-483098/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in TS/SCI talent in Hampton.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Hampton"
HARDWARE LAB STRING ENGINEER,"Woburn, Massachusetts",,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/massachusetts/woburn/hardware-lab-string-engineer/job-479181/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Woburn.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Woburn"
UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",Secret,DISA Global Service Mgmt – Ops II,4,Low,https://insightglobal.com/jobs/find_a_job/alabama/meridianville/uh-60-sheet-metal-aircraft-mechanic-iiii/job-482651/,"PTS has strong Leidos relationships. For DISA Global Service Mgmt – Ops, we specialize in Secret talent in Meridianville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Meridianville"
DEPUTY PROGRAM MANAGER,"Chambersburg, Pennsylvania",Secret,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/pennsylvania/chambersburg/deputy-program-manager/job-474162/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Secret talent in Chambersburg.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Chambersburg"
"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN","Sterling Heights, Michigan",,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-system-security-manager-issm-warren-michigan/job-474958/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Sterling Heights.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Sterling Heights"
CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",Top Secret,DIA Information Systems Engineering Office,4,Low,https://insightglobal.com/jobs/find_a_job/hawaii/wailuku/construction-surveillance-technician-cst-i/job-476770/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Top Secret talent in Wailuku.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Wailuku"
SHIPFITTER,"Kings Bay, Georgia",,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/shipfitter/job-477098/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in Kings Bay.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Kings Bay"
QUALITY ENGINEER,"Cleveland, Ohio",,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/ohio/cleveland/quality-engineer/job-483144/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in  talent in Cleveland.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Cleveland"
SECRET SATELLITE SYSTEMS ENGINEER,"Grand Forks, North Dakota",Secret,DIA Information Systems Engineering Office,6,Medium,https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/top-secret-satellite-systems-engineer/job-453521/,"PTS has strong Leidos relationships. For DIA Information Systems Engine, we specialize in Secret talent in Grand Forks.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Grand Forks"
"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)","San Francisco, California",Secret,Intelligence Systems Enterprise Operations,8,Medium,https://insightglobal.com/jobs/find_a_job/california/san-francisco/secret-fsr-analyst-washington-dc-/job-454385/,"PTS has strong Leidos relationships. For Intelligence Systems Enterpris, we specialize in Secret talent in San Francisco.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND San Francisco"
AIR MOBILITY OPERATIONS SME,"O'fallon, Illinois",Top Secret,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/illinois/ofallon/air-mobility-operations-sme/job-483590/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Top Secret talent in O'fallon.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND O'fallon"
SUPERINTENDENT - MILCON,"Fort Bliss, Texas",Secret,Global Solutions Management – Operations II,9,Medium,https://insightglobal.com/jobs/find_a_job/texas/fort-bliss/superintendent-milcon/job-475841/,"PTS has strong Leidos relationships. For Global Solutions Management – , we specialize in Secret talent in Fort Bliss.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Fort Bliss"
CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,"Lincoln, Massachusetts",Top Secret,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",10,High,https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/cyber-systems-network-operations-specialist-ts/job-455231/,"PTS has strong Leidos relationships. For NGEN-R SMIT – Navy Next Genera, we specialize in Top Secret talent in Lincoln.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Lincoln"
CAPTURE MANAGER,"Huntsville, Alabama",Secret,Global Service Management – Operations II,8,Medium,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/capture-manager/job-478759/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in Secret talent in Huntsville.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Huntsville"
SECRET NETWORK ENGINEER,"Fairfax, Virginia",Secret,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",10,High,https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-network-engineer/job-481972/,"PTS has strong Leidos relationships. For NGEN-R SMIT – Navy Next Genera, we specialize in Secret talent in Fairfax.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Fairfax"
COLDFUSION DEVELOPER,"New York, New York",,Global Service Management – Operations II,6,Medium,https://insightglobal.com/jobs/find_a_job/new-york/new-york/coldfusion-developer/job-476455/,"PTS has strong Leidos relationships. For Global Service Management – Op, we specialize in  talent in New York.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND New York"
TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,"Alexandria, Virginia",TS/SCI,Air Force Advanced Battle Management System,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/alexandria/ts-sci-comply-to-connect-endpoint-policy-analyst/job-447457/,"PTS has strong Leidos relationships. For Air Force Advanced Battle Mana, we specialize in TS/SCI talent in Alexandria.","Talent Acquisition, Program Manager, HR Director, Recruiting Manager","""Talent Acquisition"" OR ""Recruiting"" AND Leidos AND Alexandria"
