piid,description,obligated,fiscal_year,awarding_agency,awarding_department,funding_agency,funding_department,dod_match_reason,prime_contractor,period_start,period_end,ultimate_completion,performance_city,performance_state,target_firms,naics_code
47QFCA25F0009,SYSTEM SOFTWARE LIFECYCLE ENGINEERING SSLE,331930674,2025,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,3/13/2025,9/14/2026,3/12/2030,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
FA863423F0400,F-15 CD&I OFP,340810299.3,2023,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,9/30/2022,7/31/2027,7/31/2027,SAINT LOUIS,MISSOURI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
N6523621F3024,"ENGINEERING/TECHNICAL SERVICES AND MANAGEMENT SUPPORT SERVICES TO EXECUTE TECHNICAL, READINESS AND IMPLEMENTATION SERVICES IN SUPPORT OF USCG.",165245480,2021,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,CHUGACH TECHNICAL SOLUTIONS LLC,4/30/2021,4/28/2026,4/28/2026,NORTH CHARLESTON,SOUTH CAROLINA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
HQ085122C0001,FY22 US AURS,807517103,2022,Missile Defense Agency,Department of Defense,Missile Defense Agency,Department of Defense,DoD Awarding,RAYTHEON COMPANY,6/14/2022,12/31/2026,12/31/2026,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
N0002422C5522,"DDG 1000 AS&M SUPPORT FOR: 1.) MISSION SYSTEMS AND TSCEI EQUIPMENT 2.) ENGINEERING SERVICES SUPPORTING COMBAT SYSTEM INSTALLATION, INTEGRATION, DEVELOPMENT, TESTING, CORRECTION, MAINTENANCE, AND MODERNIZATION OF ZUMWALT CLASS MISSION SYSTEMS AND MSE.",547437585,2022,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,4/24/2022,4/23/2027,4/23/2027,TEWKSBURY,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334511
N0002421C5401,MK 144 MOD 3 GUIDED MISSILE LAUNCHER,282445946.7,2021,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,12/22/2020,4/30/2026,4/30/2026,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
N0002423C5401,FY23 DESIGN AGENT SUPPORT,180839791,2023,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,7/12/2023,12/29/2028,12/29/2028,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W58RGZ21F0186,ENGINEERING SERVICES FY19 - 23 FOR GRAY EAGLE AIRCRAFT SYSTEM,113765688,2021,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",12/22/2020,3/31/2026,3/31/2026,POWAY,CALIFORNIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
W15QKN23F0612,UKRAINE: PRODUCE AND DELIVER M1128 METAL PARTS.  THE GOVERNMENT COMPETED THE AWARD AND MADE A SINGLE AWARD TO AID AND SUPPORT THE CONFLICT IN UKRAINE.,128989084.2,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS INC,9/13/2023,8/31/2027,8/31/2027,SCRANTON,PENNSYLVANIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
47QFCA23F0036,THE PURPOSE OF THIS ACTION IS TO AWARD A TASK ORDER - JOINT NETWORK OF ENGINEERING AND EMERGING OPERATIONS (JNEEO),682445141,2023,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,HII MISSION TECHNOLOGIES CORP,7/7/2023,8/31/2026,7/6/2028,MCLEAN,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W15QKN24F0527,"MANUFACTURE, ASSEMBLY, INSPECTION, PACKAGE, AND DELIVERY OF THE 155MM ARTILLERY M795 PROJECTILE BODY ASSEMBLY IN SUPPORT OF UKRAINE.",700062444,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"GENERAL DYNAMICS OTS (WILKES BARRE), LLC",9/27/2024,2/28/2028,2/28/2028,WILKES BARRE,PENNSYLVANIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
W31P4Q24C0022,"EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY PROVIDING INCIDENTAL SERVICES, HARDWARE, FACILITIES, EQUIPMENT, AND TECHNICAL, PLANNING, MANAGEMENT, AND MANUFACTURING EFFORTS.",7747657817,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,6/28/2024,12/31/2029,12/31/2029,GRAND PRAIRIE,TEXAS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
W31P4Q21F0052,"SINGLE AWARD TO AGAINST GSA OASIS SB R POOL 5B FOR HWIL MISSILE TO ACQUIRE SOFTWARE/SYSTEMS/SIMULATION ENGINEERING AND COMPUTER RESOURCE ENGINEERING FOR THE AVIATION AND MISSILE CENTER, S3IDIRECTORATE, HWIL /VIRTUAL SIMULATORS MISSION AREA.",306739077.5,2021,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,TORCH TECHNOLOGIES INC,2/1/2021,7/21/2027,5/9/2028,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
FA867523C0037,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOT 37,2498141296,2023,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,RAYTHEON COMPANY,6/20/2023,12/30/2030,12/30/2030,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
N0002423C5408,SM DLMF/ILMF REPAIRS & MAINTENANCE,467198161.9,2023,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,9/29/2023,3/31/2030,3/31/2030,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
W58RGZ23F0140,"REQUIREMENT TO PROVIDE FOR THE PERSONNEL, MATERIALS, FACILITIES, SERVICES, AND SUPPORT REQUIRED TO DESIGN, MODIFY, VERIFY, AND DOCUMENT SYSTEM PERFORMANCE AND AIRWORTHINESS TO DELIVER UH-60M AIRCRAFT FOR THE COMMONWEALTH OF AUSTRALIA.",149520630,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,DEFENSE SYSTEMS AND SOLUTIONS,3/30/2023,2/28/2031,2/28/2031,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336413
W912CH25F0096,THE BRADLEY A4 FOLLOW-ON PRODUCTION EFFORT WILL DELIVER M2A4 AND M7A4 VEHICLES FROM VARIOUS INDUCTED LEGACY SOURCE VARIANTS BASED ON THE TDP DEVELOPED UNDER CONTRACT W56HZV-12-C-0358 BRADLEY A4 ECP AND THE TOP-LEVEL VEHICLE DRAWINGS.,1074724305,2025,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,BAE SYSTEMS LAND & ARMAMENTS L.P.,12/11/2024,2/29/2028,2/29/2028,YORK,PENNSYLVANIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336992
HQ085022C0007,SDA TRANCHE 1 OPERATIONS AND INTEGRATION,803243805.2,2022,Space Development Agency,Department of Defense,Space Development Agency,Department of Defense,DoD Awarding,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",5/26/2022,9/30/2029,9/30/2029,SCOTTSDALE,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
N0001924C0032,LOT 24-26 PRODUCTION - FMS,2037514988,2024,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,9/27/2024,6/29/2029,7/31/2029,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
N0003921F3015,"SYSTEMS ENGINEERING, LOGISTICS, AND CYBERSECURITY (SELOCY)  THE NAVY HAS A REQUIREMENT FOR PROFESSIONAL, PERFORMANCE-BASED SERVICES IN SUPPORT OF THE PMW 240 SEA WARRIOR PROGRAM AND PMW 250 ENTERPRISE SYSTEMS AND SERVICES PROGRAM.",153712626.8,2021,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,MILLENNIUM CORPORATION,9/9/2021,9/9/2026,3/9/2027,ARLINGTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
HQ086220C0001,SUSTAINMENT OF THAAD RADAR AND DELIVERY OF ONE PPU,547945828.2,2020,Missile Defense Agency,Department of Defense,Missile Defense Agency,Department of Defense,DoD Awarding,RAYTHEON COMPANY,10/1/2020,2/28/2028,2/28/2028,WOBURN,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,811219
W31P4Q24F0030,INTEGRATED BATTLE COMMAND SYSTEM (IBCS) HARDWARE LOW RATE  INITIAL PRODUCTION/FULL RATE PRODUCTION (LRIP/FRP).,256148545.7,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,NORTHROP GRUMMAN SYSTEMS CORPORATION,5/10/2024,8/19/2025,9/30/2026,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
W31P4Q23C0026,TUBE-LAUNCHED OPTICALLY TRACKED WIRELESS-GUIDED (TOW) MISSILE PRODUCTION FOR THE UKRAINE AND US CUSTOMERS.,701376811.9,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,RAYTHEON COMPANY,8/15/2023,10/31/2028,10/31/2028,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
47QFCA24F0003,SPACE SYSTEMS COMMAND (SSC) GROUND SYSTEMS ENGINEERING AND INTEGRATION SUPPORT (GSIS) TASK ORDER AWARD.,127715563,2024,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,BOOZ ALLEN HAMILTON INC,11/7/2023,11/6/2026,11/6/2028,EL SEGUNDO,CALIFORNIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFCA23F0024,BOLD VENTURE,442552213.6,2023,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,PARSONS GOVERNMENT SERVICES INC.,4/27/2023,4/26/2026,4/26/2028,ARLINGTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
W52P1J19F0400,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V SUPPORT SERVICES IN KUWAIT,2200203790,2019,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,VECTRUS SYSTEMS LLC,4/12/2019,6/30/2026,6/30/2026,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,561210
47QFCA23F0014,ENGINEERING DEVELOPMENT INTEGRATION AND TECHNOLOGYBASED SOLUTIONS EDITS,371443085,2023,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,BOOZ ALLEN HAMILTON INC,2/20/2023,2/23/2027,2/23/2028,MCLEAN,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
W31P4Q23C0008,"THIS UCA IS FOR A PARTIAL STATEMENT OF WORK (SOW) SCOPE LIMITED TO PROCURING LONG LEAD ITEMS (LLI), PROGRAM MANAGEMENT, AND SYSTEMS ENGINEERING ASSOCIATED WITH BATTERY 2 FOR A SIX-MONTH PERIOD OF PERFORMANCE.",486573111.8,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,2/28/2023,2/28/2028,2/28/2028,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
N0002423C2307,CONSTRUCTION OF DDG 51 SHIPS FY23-27,6959415037,2023,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,HUNTINGTON INGALLS INCORPORATED,8/1/2023,2/28/2034,2/28/2034,PASCAGOULA,MISSISSIPPI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336611
FA862118F6260,C-130H AIRCREW TRAINING SYSTEM,330042185.4,2018,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,CAE USA INC.,8/28/2018,8/24/2026,8/24/2026,TAMPA,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336413
47QFMA24F0014,ENTERPRISE LEVEL IT EXPERTISE ELITE,404927966.9,2024,Federal Acquisition Service,General Services Administration,Defense Finance and Accounting Service,Department of Defense,DoD Funding,"CACI, INC. - FEDERAL",3/1/2024,5/31/2029,5/31/2029,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
FA863420F0018,EAGLE TALON II/FULL RATE PRODUCTION 6-8 FISCAL YEAR 19-21,434295291.8,2020,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,12/11/2019,9/30/2026,9/30/2026,SAINT LOUIS,MISSOURI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
W15QKN23F0560,"UKRAINE- THE M1128 LAP IS FOR THE MANUFACTURE, TEST, PACKAGING, AND DELIVERY OF THE 155MM M1128 PROJECTILE.",201845799.8,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"GENERAL DYNAMICS OTS (NICEVILLE), INC.",9/27/2023,8/31/2027,7/31/2030,NICEVILLE,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
47QFCA24F0006,INFORMATION ADVANTAGE ENTERPRISE IAE,326085592.7,2024,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,PERATON INC.,1/5/2024,1/4/2027,1/4/2029,FORT GORDON,GEORGIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFCA22F0051,"THE PURPOSE OF THIS TO IS TO PROVIDE RESEARCH, DESIGN, DEVELOPMENT, INTEGRATION, T&E, INITIAL FIELDING AND OPERATION, LOGISTICS, MAINTENANCE, SUSTAINMENT, AND TRAINING FOR APPLICABLE C5ISR SYSTEMS.",707412101.1,2022,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"Leidos, Inc.",9/14/2022,9/13/2026,9/13/2027,RESTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFCA20F0019,THE PURPOSE OF THIS ACTION IS TO AWARD THIS TASK ORDER FOR INTEGRATED MULTI-DOMAIN COMMAND AND CONTROL (IMDC2) TECHNICAL SUPPORT.,475357874.6,2020,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,9/18/2020,3/17/2026,3/17/2026,WASHINGTON,DISTRICT OF COLUMBIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
N0002424F6216,BLQ-10 TI-24 FY24 PRODUCTION,130315765,2024,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,Lockheed Martin Corporation,9/26/2024,11/30/2027,11/30/2027,LIVERPOOL,NEW YORK,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334511
47QFPA21F0018,DEVELOPMENT CORPS STS3,173615506.7,2021,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,AXIENT LLC,3/29/2021,3/28/2026,9/28/2026,EL SEGUNDO,CALIFORNIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
FA875023F0501,"INTELLIGENCE SYSTEMS INFRASTRUCTURE, TOOLS, AND ENHANCEMENTS (INSITE)",253433047,2023,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,NORTHROP GRUMMAN SYSTEMS CORPORATION,12/5/2022,12/3/2027,12/3/2027,MCLEAN,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W912DS24C0022,J PLANT RENOVATION,327336443.6,2024,Department of the Army,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,SERCO INC,8/1/2024,7/29/2028,7/29/2028,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,236210
W519TC24F0400,"ORDER W51TC24F0400 IS FOR THE CONTRACTOR TO LOAD, ASSEMBLE, AND PACK A QUANTITY OF 346,678 155MM M795 TNT LOADED PROJECTILES.",159667456.7,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"GENERAL DYNAMICS OTS (NICEVILLE), INC.",9/24/2024,9/30/2026,9/30/2026,NICEVILLE,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
47QFCA22F0025,DC3 TABO AWARD,346769435,2022,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,PERATON ENTERPRISE SOLUTIONS LLC,4/26/2022,4/25/2026,4/25/2027,LINTHICUM HEIGHTS,MARYLAND,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
47QFCA24F0049,"THE PURPOSE OF THIS AWARD IS TO PROVIDE COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, CYBER-DEFENSE, COMBAT SYSTEMS, INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE (C6ISR) CAPABILITIES TO SUPPORT US SPECIAL OPERATIONS COMMAND PACIFIC MISSIONS.",712112913,2024,Federal Acquisition Service,General Services Administration,Department of the Navy,Department of Defense,DoD Funding,"SMARTRONIX, LLC",9/25/2024,1/31/2027,9/24/2031,CAMP H M SMITH,HAWAII,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541990
47QFCA21F0058,OPERATIONAL PLANNING IMPLEMENTATION AND ASSESSMENT SERVICES (OPIAS) BASE AWARD.,775386921.3,2021,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,PERATON INC.,7/6/2021,7/5/2026,7/5/2026,TAMPA,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFMA21F0003,ENTERPRISE MISSION INFORMATION TECHNOLOGY SERVICES (EMITS),583600327.7,2021,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",11/1/2020,1/31/2026,1/31/2026,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
47QFCA22F0056,ALECS TASK ORDER AWARD,701129174.5,2022,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",9/20/2022,9/19/2026,9/19/2027,ABERDEEN PROVING GROUND,MARYLAND,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,488999
N0002422C5500,AN/SPY-6(V) HARDWARE PRODUCTION,3265910249,2022,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,3/31/2022,9/30/2028,9/30/2028,ANDOVER,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334511
FA868224CB001,LONG RANGE ANTI-SHIP MISSILE/JOINT AIR-TO-SURFACE STANDOFF MISSILE LARGE LOT PROCUREMENT,5346348092,2024,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,9/27/2024,7/31/2029,7/31/2029,ORLANDO,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
140D0423F0623,PERSONAL FINANCIAL COUNSELORS,111744103,2023,Departmental Offices,Department of the Interior,Department of Defense Education Activity,Department of Defense,DoD Funding,"Magellan Federal, Inc.",5/16/2023,5/14/2026,5/14/2028,ARLINGTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541611
HQ085621C0001,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",4149507771,2021,Missile Defense Agency,Department of Defense,Missile Defense Agency,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,3/25/2021,3/31/2031,3/31/2031,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
N0002425C4127,AN/SPS-73 PRODUCTION UNIT FY24 (OPN),156836513.6,2025,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,ULTRA ELECTRONICS OCEAN SYSTEMS INC.,12/13/2024,9/30/2027,9/30/2027,BRAINTREE,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334511
