award_id,piid,recipient_name,recipient_uei,award_amount,description,awarding_agency,sub_agency,start_date,end_date,pop_city,pop_state,naics_code,psc_code,fiscal_year
N0002411C2301,,"AUSTAL USA, LLC",RG6LJJM6JBS3,4462893976.64,BASIC CONTRACT,Department of Defense,Department of the Navy,2010-12-29,2024-03-28,,AL,,,2024
HQ014719C0004,,THE BOEING COMPANY,SML4NN2CT556,4438727467.75,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,Department of Defense,Missile Defense Agency,2019-03-18,2025-12-31,,AL,,,2024
FA862511C6597,,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,4410630126.34,C-130J FIVE YEAR OPTION CONTRACT (FYOC) IV,Department of Defense,Defense Contract Management Agency,2011-02-01,2020-08-31,,GA,,,2024
FA880710C0001,,RAYTHEON COMPANY,JLWLJXQ3M995,4401448778.9,GPS ADVANCED CONTROL SEGMENT (OCX) PHASE B BLOCKS 1 AND 2,Department of Defense,Department of the Air Force,2010-02-25,2026-03-31,,CO,,,2024
N0002409C2116,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,4386431994.83,CVN79 CONSTRUCTION PREPARATION EFFORTS FY09,Department of Defense,Department of the Navy,2009-01-15,2025-07-31,,VA,,,2024
W58RGZ08C0098,,THE BOEING COMPANY,E466BXU4KJH8,4379037328.25,CH-47F MULTI-YEAR CONTRACT FOR NEW BUILD AND REMANUFACTURE AIRCRAFTS,Department of Defense,Department of the Army,2008-08-26,2015-12-31,,PA,,,2024
HT940216C0001,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,51242733558.09,IGF::OT::IGF,Department of Defense,Defense Health Agency,2016-08-01,2025-12-31,,KY,,,2023
N0001917C0001,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,35135514910.2,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,Department of Defense,Department of the Navy,2017-11-17,2031-03-31,,TX,,,2023
N0002417C2100,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,34650315216.0,SSN 802 AND 803 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,2017-02-14,2036-06-02,,CT,,,2023
N0001902C3002,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,34173959111.96,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,Department of Defense,Defense Contract Management Agency,2001-10-26,2022-12-16,,TX,,,2023
N0001920C0009,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,30113035808.93,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING,Department of Defense,Defense Contract Management Agency,2019-11-26,2027-12-31,,TX,,,2023
FA862511C6600,,THE BOEING COMPANY,WZWRLY4G3PL8,29485980901.28,KC-X MODERNIZATION PROGRAM,Department of Defense,Department of the Air Force,2011-02-24,2027-07-31,,WA,,,2023
N0001923C0003,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,24499534829.0,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",Department of Defense,Department of the Navy,2022-12-23,2030-09-30,,TX,,,2023
N0002417C2117,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,24313811834.0,COLUMBIA CLASS DESIGN COMPLETION,Department of Defense,Department of the Navy,2017-09-21,2031-12-31,,CT,,,2023
HT940216C0002,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,23493303927.12,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,Department of Defense,Defense Health Agency,2016-08-01,2025-12-31,,CA,,,2023
HT940211C0003,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,20451127096.53,T3 MANAGED CARE SUPPORT CONTRACT FOR SOUTH REGION,Department of Defense,Defense Health Agency,2011-03-03,2019-03-27,,KY,,,2023
N0002412C2115,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,19613746246.0,SSN 792 LONG LEAD TIME MATERIAL,Department of Defense,Department of the Navy,2012-04-13,2026-01-31,,CT,,,2023
HT940210C0002,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",Department of Defense,Defense Health Agency,2010-05-13,2025-08-25,,CA,,,2023
HQ000601C0001,,THE BOEING COMPANY,SML4NN2CT556,18762686627.49,200112!000108!9700!ZD60 !BALLISTIC MISSILE DEFENSE ORG. !HQ000601C0001 !A!N!*!N! !20001222!20080930!848025649!848025649!009256819!N!THE BOEING COMPANY !3370 E MIRALOMA AVE !ANAHEIM !CA!92806!37000!089!01!HUNTSVILLE !MADISON !ALABAMA !+000383571022!N!N!000000000000!AD93!RDTE/OTHER DEFENSE-ADV TECH DEV !S1 !SERVICES !1CAA!BALLISTIC MISSILE DEFENSE SYS !541710!*!*!3! ! ! !*!*!*!B!*!*!A! !A !U!R!2!001,Department of Defense,Defense Contract Management Agency,2000-12-22,2015-12-31,,AL,,,2023
N0001914C0067,,THE BOEING COMPANY,WZWRLY4G3PL8,18129749821.79,USN P-8A FRP II LONG LEAD MATERIAL,Department of Defense,Defense Contract Management Agency,2014-08-14,2026-06-22,,WA,,,2023
N0002409C2104,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,16238775949.0,CONSTRUCTION OF VIRGINIA CLASS BLOCK III SUBMARINES.,Department of Defense,Department of the Navy,2008-12-22,2023-08-31,,CT,,,2023
N0002418C2130,,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,12644083637.5,NAVAL NUCLEAR LABORATORY,Department of Defense,Department of the Navy,2018-07-12,2028-09-30,,PA,,,2023
0005,,"FLUOR INTERCONTINENTAL, INC",XMJWLE5WFT29,12568636130.95,LOGCAP IV SERVICES AFGHANISTAN,Department of Defense,Department of the Army,2009-07-07,2025-09-30,,,,,2023
W58P0522C0001,,PFIZER INC,MHBQULRMEEJ5,12549999847.5,AWARD OF 10M TREATMENT COURSES OF ORAL PROTEASE INHIBITOR PF-07321332,Department of Defense,Department of the Army,2021-11-17,2023-03-31,,NY,,,2023
N0001916C0033,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,12269145508.23,LRIP 11 AAC,Department of Defense,Department of the Navy,2015-12-21,2031-03-31,,TX,,,2023
W58RGZ12C0008,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,11602480135.21,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUDE SAUDI ARABIAN NATIONAL GUARD (SANG), TAIWAN, THAILAND AND ROYAL AUSTRALIAN NAVY (RAN).",Department of Defense,Department of the Army,2012-06-06,2023-07-21,,CT,,,2023
FA863412C2651,,THE BOEING COMPANY,JJM4FRDZJDX1,11204226412.65,RSAF F-15 FLEET MODERNIZATION PROGRAM,Department of Defense,Department of the Air Force,2012-03-08,2023-05-31,,MO,,,2023
W15QKN21C0012,,PFIZER INC,MHBQULRMEEJ5,11110134065.68,COVID-19 VACCINE PRODUCTION,Department of Defense,Department of the Army,2020-12-22,2023-06-30,,NY,,,2023
FA861404C2004,,THE BOEING COMPANY,UEGFHX6R6KJ1,11086769499.68,None,Department of Defense,Defense Contract Management Agency,2003-10-02,2017-10-31,,CA,,,2023
N0002416C2116,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,11067479370.85,CVN 80 ENGINEERING EFFORTS AND STEEL,Department of Defense,Department of the Navy,2016-05-23,2036-06-02,,VA,,,2023
N0001907C0001,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,11040980157.1,MV-22 AIRCRAFT - FY08 (LOT 12)*,Department of Defense,Defense Contract Management Agency,2007-04-02,2018-08-06,,TX,,,2023
FA821920C0006,,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,10801259923.19,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),Department of Defense,Department of the Air Force,2020-09-08,2029-03-10,,UT,,,2023
N0001915C0003,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,10550927664.07,LRIP 10 AAC,Department of Defense,Defense Contract Management Agency,2015-05-26,2032-12-31,,TX,,,2023
W31P4Q20C0023,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,10475203569.62,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),Department of Defense,Department of the Army,2020-04-30,2033-09-30,,TX,,,2023
F4261098C0001,,NORTHROP GRUMMAN SYSTEMS CORPORATION,G7LEFNAN9J74,10009419769.13,200506!000026!5700!FA8214!OO-ALC/PKME/LMKE                !F4261098C0001  !A!N! !Y!             !P01502!20041213!20050701!001563738!004179453!016435559!N!NORTHROP GRUMMAN SPACE & MISSI!888 S 2000 E              !CLEARFIELD          !UT!84015!13850!011!49!CLEARFIELD          !DAVIS                 !UTAH      !-000001960000!N!N!000000000000!L014!TECH REP SVCS/GUIDED MISSILES                     !A2 ,Department of Defense,Defense Contract Management Agency,1998-07-01,2025-11-30,,UT,,,2023
W58RGZ08C0003,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,9971085290.49,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,Department of Defense,Department of the Army,2007-12-12,2016-09-30,,CT,,,2023
FA881113C0003,,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,9499338750.87,IGF::CT::IGF EELV FY13 + PHASE I BUY,Department of Defense,Defense Contract Management Agency,2013-06-26,2022-12-02,,CO,,,2023
F0470195C0017,,LOCKHEED MISSILES & SPACE COMP,YVH9AL7JT6Y3,9458382765.59,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CALIFORNIA!+000003570337!N!N!000000000000!AC23!RDTE/MISSILE AND SPACE SYSTEMS-ADV TECH DEV       !A2 ,Department of Defense,Department of the Air Force,1995-11-08,2021-10-29,,CA,,,2023
N0002403C2101,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,9397332305.22,None,Department of Defense,Department of the Navy,2003-08-14,2025-05-06,,CT,,,2023
F0470102C0002,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,9032712307.12,200207!000021!5700!CZ62  !SMC/PKJ LOS ANGELES AFB         !F0470102C0002  !A!N! !N!                   !20011116!20070630!872978978!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CALIFORNIA!+000012250000!N!N!000000000000!AR92!RDTE/SPACE - OTHER - APPLIED RESEARCH             !A2 !,Department of Defense,Defense Contract Management Agency,2001-11-16,2021-01-31,,CA,,,2023
0159,,"KBR SERVICES, LLC",YSQMHRS4HSC5,8949368388.58,FOLLOW ON TASK ORDER TO 139 IS NOW TASK ORDER 159,Department of Defense,Department of the Army,2008-09-24,2012-09-30,,,,,2023
FA861108C2897,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,8828579157.39,FOLLOW-ON AGILE SUSTAINMENT TO THE RAPTOR (FASTER),Department of Defense,Defense Contract Management Agency,2008-01-01,2023-12-31,,TX,,,2023
N0001918C1021,,RTX CORPORATION,QN1BCFY7JDJ5,8688654906.89,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,Department of Defense,Department of the Navy,2018-03-23,2024-12-30,,CT,,,2023
HQ014717C0032,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,8680225958.82,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,Department of Defense,Missile Defense Agency,2017-03-27,2028-11-30,,TX,,,2023
N0001918C1037,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,8447894780.67,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),Department of Defense,Department of the Navy,2018-02-15,2030-02-01,,FL,,,2023
W911QY20C0100,,"MODERNATX, INC.",WJYNZ8AK2D47,8204906278.12,100M SARS-COV-2 MRNA-1273 VACCINE DOSES,Department of Defense,Department of the Army,2020-08-11,2023-08-10,,MA,,,2023
N0001921C0020,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,7953264130.5,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,Department of Defense,Defense Contract Management Agency,2020-12-31,2027-12-30,,TX,,,2023
0139,,"KBR SERVICES, LLC",YSQMHRS4HSC5,7865825758.15,"200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DRY          !HOUSTON             !TX!77020!00000!   !IZ!                    !                      !IRAQ      !+000400000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !S",Department of Defense,Department of the Army,2006-08-22,2012-12-30,,,,,2023
N0001904C3146,,THE BOEING COMPANY,WZWRLY4G3PL8,7633729888.76,None,Department of Defense,Department of the Navy,2004-06-29,2026-08-31,,WA,,,2023
FA880219C0001,,THE AEROSPACE CORPORATION,YA8LJBJCND19,7631436146.72,FY19 ENGINEERING SERVICES,Department of Defense,Department of the Air Force,2018-10-01,2026-01-20,,CA,,,2023
FA861106C2899,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,7581647887.33,200610!000027!5700!FA8611!ASC/YFK                         !FA861106C2899  !A!N! !N!             !      !20051223!20060512!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!49756!067!13!MARIETTA            !COBB                  !GEORGIA   !+000193874000!N!N!000193874000!1510!AIRCRAFT FIXED WING                               !A1A,Department of Defense,Department of the Air Force,2005-12-23,2016-02-27,,TX,,,2023
N0001920C0011,,RTX CORPORATION,QN1BCFY7JDJ5,7498943172.37,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,Department of Defense,Department of the Navy,2020-03-23,2030-10-15,,CT,,,2023
W58RGZ16C0023,,THE BOEING COMPANY,LAJJQWA1PF31,7396745719.31,"W58RGZ-16-C-0023 IS FOR THE AWARD OF ADVANCE PROCUREMENT IN THE AMOUNT OF $184,930,000.00 TO SUPPORT LOT 7 FULL RATE PRODUCTION LONG LEAD ITEMS.",Department of Defense,Defense Contract Management Agency,2016-03-21,2027-08-31,,AZ,,,2023
0004,,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,7377629917.55,LOGCAP IV SERVICES IN AFGHANISTAN,Department of Defense,Department of the Army,2009-07-07,2022-06-30,,,,,2023
N0001912C2001,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,7337457221.95,PROCUREMENT OF V-22 LOT 17 LONG LEAD-TIME ITEMS,Department of Defense,Defense Contract Management Agency,2011-12-29,2021-09-30,,TX,,,2023
FA862506C6456,,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,7261932653.67,None,Department of Defense,Defense Contract Management Agency,2006-02-28,2018-09-20,,GA,,,2023
N0001909C0019,,THE BOEING COMPANY,JJM4FRDZJDX1,7246510577.74,F/A-18 AIRCRAFT,Department of Defense,Department of the Navy,2008-12-04,2022-10-31,,MO,,,2023
N0001911C0083,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,7185242552.16,F-35 LIGHTNING II JOINT STRIKE FIGHTER (JSF) LOW RATE INITIAL PRODUCTION (LRIP) LOT 6 ADVANCE ACQUISITION CONTRACT,Department of Defense,Defense Contract Management Agency,2011-08-08,2023-05-31,,TX,,,2023
DAAE0703CS023,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,7052768924.82,"200502!000833!2100!W56HZV!TACOM - WARREN                  !DAAE0703CS023  !A!N! !N!             !P00031!20041101!20081115!557414000!557414000!007932783!N!STEWART & STEVENSON TACTICAL V!5000 INTERSTATE 10 HWY    !SEALY               !TX!77474!66464!015!48!SEALY               !AUSTIN                !TEXAS     !+000000569789!N!N!000000000000!2320!TRUCKS AND TRUCK TRACTORS, WHEELED                !A4B",Department of Defense,Defense Contract Management Agency,2003-04-17,2009-11-30,,TX,,,2023
FA881018C0005,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,7027481120.54,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,Department of Defense,Department of the Air Force,2018-08-14,2029-07-31,,CA,,,2023
N0001914C0002,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,6998362070.51,LRIP 9 AIRCRAFT AAC,Department of Defense,Department of the Navy,2014-03-19,2025-07-31,,TX,,,2023
N0002423C2307,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,6959418742.2,CONSTRUCTION OF DDG 51 SHIPS FY23-27,Department of Defense,Department of the Navy,2023-08-01,2034-02-28,,MS,,,2023
FA863418C2701,,THE BOEING COMPANY,JJM4FRDZJDX1,6842350752.72,"F-15, FMS, F-15QA AIR VEHICLE DEVELOPMENT",Department of Defense,Department of the Air Force,2017-12-22,2027-08-31,,MO,,,2023
N0002418C2307,,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,6703793714.37,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,Department of Defense,Department of the Navy,2018-09-27,2032-07-09,,MS,,,2023
N0002408C2110,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,6620467288.99,CVN 78 SHIP CONSTRUCTION,Department of Defense,Department of the Navy,2008-08-01,2022-09-30,,VA,,,2023
N0001917C0015,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,6568172820.67,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,Department of Defense,Department of the Navy,2016-12-28,2028-01-31,,TX,,,2023
HQ014712C0004,,THE BOEING COMPANY,SML4NN2CT556,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",Department of Defense,Missile Defense Agency,2011-12-30,2025-12-31,,AL,,,2023
W56HZV15C0095,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,6104259192.82,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",Department of Defense,Department of the Army,2015-08-25,2025-09-25,,WI,,,2023
N0001906C0081,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,6103285531.96,None,Department of Defense,Department of the Navy,2006-01-03,2025-12-31,,CT,,,2023
0059,,"KBR SERVICES, LLC",YSQMHRS4HSC5,6062897262.53,None,Department of Defense,Department of the Army,2003-08-12,2014-09-30,,,,,2023
N0001913C0008,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,6035358369.47,F-35 LRIP 8 AAC,Department of Defense,Department of the Navy,2013-02-28,2100-12-31,,TX,,,2023
FA862914C2403,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,5958207617.6,ACAT 1D - CRH,Department of Defense,Department of the Air Force,2014-06-26,2026-09-13,,CT,,,2023
FA862514C6450,,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,5934097111.63,FY13 ADVANCE PROCUREMENT FUNDS FOR FY14 C-130J AIRCRAFT,Department of Defense,Department of the Air Force,2013-12-09,2020-07-31,,GA,,,2023
HQ014707C0196,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,5817859453.93,THAAD COMPONENTS FOR FIRE UNITS,Department of Defense,Missile Defense Agency,2006-12-22,2023-03-31,,CA,,,2023
N0002416C2229,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,5812593038.64,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,Department of Defense,Department of the Navy,2016-06-30,2028-03-22,,CA,,,2023
N0001909C0022,,THE BOEING COMPANY,WZWRLY4G3PL8,5699021641.13,P-8A LRIP I LONG LEAD MATERIAL,Department of Defense,Defense Contract Management Agency,2009-04-13,2018-07-31,,WA,,,2023
N0002405C5346,,RAYTHEON COMPANY,LWF3QUSCDNG1,5668542889.12,None,Department of Defense,Department of the Navy,2005-05-25,2019-09-29,,MA,,,2023
W31P4Q15C0022,,RAYTHEON COMPANY,XSV6AZJ6SDJ7,5608431752.51,TEN FIRE UNITS FOR QATAR,Department of Defense,Department of the Army,2014-12-19,2025-05-31,,MA,,,2023
N0001912C0004,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5597451611.0,LONG LEAD-TIME ITEMS,Department of Defense,Department of the Navy,2012-06-15,2026-02-28,,TX,,,2023
W58RGZ17C0009,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,5584342574.87,W58RGZ-17-C-0009 MY IX BLACK HAWK PRODUCTION CONTRACT AWARD.,Department of Defense,Department of the Army,2017-06-22,2025-10-31,,CT,,,2023
N0001912C0112,,THE BOEING COMPANY,WZWRLY4G3PL8,5544117634.23,P-8A FRP LOT I LONG LEAD MATERIAL,Department of Defense,Defense Contract Management Agency,2012-08-31,2031-10-13,,WA,,,2023
N0001918C1046,,THE BOEING COMPANY,JJM4FRDZJDX1,5496533530.53,F/A-18E AIRCRAFT,Department of Defense,Department of the Navy,2018-05-08,2028-08-31,,MO,,,2023
N0001913C9999,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,5369740355.12,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),Department of Defense,Department of the Navy,2013-05-13,2026-12-31,,FL,,,2023
N0002418C2305,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,5302697771.86,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,Department of Defense,Department of the Navy,2018-09-27,2030-12-20,,ME,,,2023
FA861520F0001,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,5286196424.87,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,Department of Defense,Defense Contract Management Agency,2020-08-14,2028-12-31,,TX,,,2023
N0003904C2009,,LOCKHEED MARTIN CORP,ZFN2JJXBLZT3,5178428982.51,None,Department of Defense,Defense Contract Management Agency,2004-09-24,2022-08-18,,CA,,,2023
N0002423C2305,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,5023910450.0,CONSTRUCTION OF DDG 51 SHIPS FY23-27,Department of Defense,Department of the Navy,2023-08-01,2034-02-28,,ME,,,2023
FA862507C6471,,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,4996841729.22,ADVANCE PROCUREMENT OF LONG LEAD FOR LRIP FOR C-5M RERP,Department of Defense,Department of the Air Force,2007-04-30,2019-01-31,,GA,,,2023
N0001910C0002,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,4993929468.3,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,Department of Defense,Defense Contract Management Agency,2010-07-06,2022-05-04,,TX,,,2023
N0002411C2300,,LOCKHEED MARTIN CORPORATION,MJENSFHZJP11,4981515210.15,BASIC AWARD,Department of Defense,Department of the Navy,2010-12-29,2026-12-31,,MD,,,2023
W52P1J09C0013,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",DS75LBB3UZJ6,4980576178.6,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",Department of Defense,Department of the Army,2009-03-19,2028-04-03,,KY,,,2023
N0002413C2305,,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,4904473850.56,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,Department of Defense,Department of the Navy,2013-06-03,2026-12-01,,ME,,,2023
N0001993C0006,,BELL HELICOPTER TEXTRON INC,HW7JDAG1UYU5,4885212163.54,None,Department of Defense,Defense Contract Management Agency,1992-10-15,2017-06-30,,TX,,,2023
N0001921C0011,,RTX CORPORATION,QN1BCFY7JDJ5,4865962075.84,FY21 PBL2,Department of Defense,Department of the Navy,2020-12-01,2030-02-28,,CT,,,2023
