program_name,program_acronym,location_type,city,state,zip_code,site_name,team_function,headcount_estimate,prime_contractor,subcontractors,data_sources,confidence_level,extraction_date
ARCYBER Information Advantage / Mission Support (general),ARCYBER,Unknown,Salem,MASSACHUSETTS,,ARCYBER - Salem,Other,1,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),,Existing Data,Medium,2026-01-21
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Unknown,Sully,VIRGINIA,,BIM TO2 - Sully,Help Desk/Service Desk,1,CACI,,Existing Data,Medium,2026-01-21
Army Integrated Battle Command System,IBCS,Unknown,Hazelwood,MO,,IBCS - Hazelwood,Software Development,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
Army Missile & Space R&D Support (Huntsville),,Unknown,Huntsville,ALABAMA,, - Huntsville,Engineering,1,Dynetics; Northrop teams,,Existing Data,Medium,2026-01-21
Cloud One (USAF Cloud Program),Cloud One,Unknown,Dayton,OHIO,,Cloud One - Dayton,Engineering,1,SAIC,,Existing Data,Medium,2026-01-21
"Command and Control, Battle Management & Communications (MDA)",C2BMC,Unknown,Redstone Arsenal,AL,,C2BMC - Redstone Arsenal,Software Development,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
Defense Enclave Services,DES,Unknown,Sainte-Anne-De-Bellevue,QUEBEC,,DES - Sainte-Anne-De-Bellevue,Software Development,1,Leidos,,Existing Data,Medium,2026-01-21
Distributed Common Ground System (AF),DCGS,Unknown,Hampton,VA,,DCGS - Hampton,Help Desk/Service Desk,1,BAE; multiple,,Existing Data,Medium,2026-01-21
DTRA IAC-MAC Research & Analysis,IAC-MAC,Unknown,Bossier City,LA,,IAC-MAC - Bossier City,Software Development,1,CACI,,Existing Data,Medium,2026-01-21
GMD Weapon System (Ground C2),GWS (GMD),Unknown,Tucson,ARIZONA,,GWS (GMD) - Tucson,Engineering,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
GPS Operational Control System (sustainment),GPS OCX,Unknown,Vandenberg Space Force Base,CA,,GPS OCX - Vandenberg Space Force Base,Engineering,1,Raytheon,,Existing Data,Medium,2026-01-21
HHS Advanced Secure Data Repository,ASDR,Unknown,Washington,VA,,ASDR - Washington,Data/Analytics,1,GDIT / SAIC (indicative),,Existing Data,Medium,2026-01-21
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,Unknown,Chandler,ARIZONA,,HBTSS - Chandler,Engineering,1,Northrop & L3Harris (co-primes),,Existing Data,Medium,2026-01-21
Integrated Air & Missile Defense,IAMD,Unknown,Andover,MA,,IAMD - Andover,Software Development,1,Raytheon,,Existing Data,Medium,2026-01-21
Integrated Digital Engineering Environment,IDEE,Unknown,Tucson,ARIZONA,,IDEE - Tucson,Engineering,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,Unknown,San Diego,CA,,inSITE - San Diego,Engineering,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
MDA Tactical Embedded Systems,,Unknown,Chandler,AZ,, - Chandler,Engineering,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Unknown,Dhs,VIRGINIA,,MPE / MPCO - Dhs,Other,1,GDIT,,Existing Data,Medium,2026-01-21
MSS Smart Systems (Palantir contract),MSS,Unknown,Norfolk,VIRGINIA,,MSS - Norfolk,Engineering,1,Palantir,,Existing Data,Medium,2026-01-21
NASA SENSE (Space Comms & Tracking),SENSE,Unknown,Washington,VA,,SENSE - Washington,Other,1,Peraton,,Existing Data,Medium,2026-01-21
Navy Aegis Combat System Modernization,AEGIS,Unknown,Fort Worth,TX,,AEGIS - Fort Worth,Engineering,1,Lockheed Martin,,Existing Data,Medium,2026-01-21
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Unknown,Redondo Beach,CALIFORNIA,,Next-Gen OPIR - Redondo Beach,Engineering,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Unknown,El Segundo,CALIFORNIA,,NG OPIR (classified) - El Segundo,Engineering,1,Northrop Grumman,,Existing Data,Medium,2026-01-21
Peraton ARCYBER Information Advantage Enterprise,IAE,Unknown,Fort George G Meade,MD,,IAE - Fort George G Meade,Cybersecurity,1,Peraton,,Existing Data,Medium,2026-01-21
PRISM Support Services (Consolidated),PRISM,Unknown,Milford Mill,MD,,PRISM - Milford Mill,Other,1,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",,Existing Data,Medium,2026-01-21
