Job Title,Program,Prime,Location,Hiring Manager Search,Program Manager Search,Recruiter Search,Subcontracts Search,HR BP Search
SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,GPS Next-Gen Operational Control System,Raytheon Intelligence & S,"Aurora, Colorado","""Hiring Manager"" AND ""Raytheon Intelligence & Space"" AND ""Aurora""","""Program Manager"" AND ""Raytheon Intelligence & Space"" AND ""Aurora""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Raytheon Intelligence & Space"" AND ""Aurora""","(""Subcontracts"" OR ""Supplier Management"") AND ""Raytheon Intelligence & Space""","""HR Business Partner"" AND ""Raytheon Intelligence & Space"" AND ""Aurora"""
SYSTEMS ADMINISTRATOR,GBS (Global Broadcast Service),L3Harris,"San Diego, California","""Hiring Manager"" AND ""L3Harris"" AND ""San Diego""","""Program Manager"" AND ""L3Harris"" AND ""San Diego""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""San Diego""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""San Diego"""
TOP SECRET SYSTEM ADMIN,Battlefield Information Collection & Exp,GDIT,"Niskayuna, New York","""Hiring Manager"" AND ""GDIT"" AND ""Niskayuna""","""Program Manager"" AND ""GDIT"" AND ""Niskayuna""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Niskayuna""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Niskayuna"""
SECRET DEPLOYED SUPPORT SPECIALIST,Battlefield Information Collection & Exp,GDIT,"Norfolk, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Norfolk""","""Program Manager"" AND ""GDIT"" AND ""Norfolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Norfolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Norfolk"""
FIELD ENGINEER (CENTRAL US),GRASP (Raytheon/Peraton),Peraton,"Salt Lake City, Utah","""Hiring Manager"" AND ""Peraton"" AND ""Salt Lake City""","""Program Manager"" AND ""Peraton"" AND ""Salt Lake City""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Salt Lake City""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Salt Lake City"""
ESS HELPDESK TECHNICIAN,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Braddock, Virginia","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Braddock""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Braddock""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Braddock""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Braddock"""
SECRET FULL STACK DEVELOPER,CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Dahlgren, Virginia","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Dahlgren""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Dahlgren""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Dahlgren""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Dahlgren"""
INFORMATION SYSTEMS SECURITY OFFICER (ISSO),DIA Information Systems Engineering Offi,Leidos,"Sterling Heights, Michigan","""Hiring Manager"" AND ""Leidos"" AND ""Sterling Heights""","""Program Manager"" AND ""Leidos"" AND ""Sterling Heights""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Sterling Heights""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Sterling Heights"""
BUYER'S TECHNICAL WRITER - SECRET,Army Enterprise Service Management Frame,SAIC,"Colorado Springs, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Colorado Springs"""
SECRET SENIOR ELASTIC ENGINEER,Advanced Battle Management System,Multi,"Colorado Springs, Colorado","""Hiring Manager"" AND ""Multi"" AND ""Colorado Springs""","""Program Manager"" AND ""Multi"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Colorado Springs"""
TS/SCI SR. NETWORK ENGINEER,NGEN-R SMIT – Navy Next Generation Enter,Leidos,"Mount Vernon, Virginia","""Hiring Manager"" AND ""Leidos"" AND ""Mount Vernon""","""Program Manager"" AND ""Leidos"" AND ""Mount Vernon""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Mount Vernon""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Mount Vernon"""
SECRET MICROSOFT SYSTEMS ENGINEER,CDAO Advanced AI Tools (Scale AI OTA),Scale AI,"Goose Creek, South Carolina","""Hiring Manager"" AND ""Scale AI"" AND ""Goose Creek""","""Program Manager"" AND ""Scale AI"" AND ""Goose Creek""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Scale AI"" AND ""Goose Creek""","(""Subcontracts"" OR ""Supplier Management"") AND ""Scale AI""","""HR Business Partner"" AND ""Scale AI"" AND ""Goose Creek"""
SECRET NETWORK ADMINISTRATOR II (DAYS),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
SALES ENGINEER,Advanced Battle Management System,Multi,"Colorado Springs, Colorado","""Hiring Manager"" AND ""Multi"" AND ""Colorado Springs""","""Program Manager"" AND ""Multi"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Colorado Springs"""
SECRET WINDOWS SYSTEMS ADMINISTRATOR,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Dahlgren, Virginia","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Dahlgren""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Dahlgren""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Dahlgren""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Dahlgren"""
SECRET DEVOPS ENGINEER,Army Enterprise Service Management Frame,SAIC,"Goose Creek, South Carolina","""Hiring Manager"" AND ""SAIC"" AND ""Goose Creek""","""Program Manager"" AND ""SAIC"" AND ""Goose Creek""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Goose Creek""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Goose Creek"""
TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,DIA Information Systems Engineering Offi,Leidos,"Wilmington, Massachusetts","""Hiring Manager"" AND ""Leidos"" AND ""Wilmington""","""Program Manager"" AND ""Leidos"" AND ""Wilmington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Wilmington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Wilmington"""
SR PROJECT ENGINEER,SITEC III – Enterprise Operations & Main,Peraton,"Tampa, Florida","""Hiring Manager"" AND ""Peraton"" AND ""Tampa""","""Program Manager"" AND ""Peraton"" AND ""Tampa""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""Tampa""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""Tampa"""
TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Dahlgren, Virginia","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Dahlgren""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Dahlgren""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Dahlgren""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Dahlgren"""
TS/SCI SOFTWARE ENGINEER (AFSIM),DIA Information Systems Engineering Offi,Leidos,"Beavercreek, Ohio","""Hiring Manager"" AND ""Leidos"" AND ""Beavercreek""","""Program Manager"" AND ""Leidos"" AND ""Beavercreek""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Beavercreek""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Beavercreek"""
CLEARED MS&A DEVELOPER,Aegis Ballistic Missile Defense / Aegis ,Lockheed Martin,"Sunset, Utah","""Hiring Manager"" AND ""Lockheed Martin"" AND ""Sunset""","""Program Manager"" AND ""Lockheed Martin"" AND ""Sunset""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Lockheed Martin"" AND ""Sunset""","(""Subcontracts"" OR ""Supplier Management"") AND ""Lockheed Martin""","""HR Business Partner"" AND ""Lockheed Martin"" AND ""Sunset"""
TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,Intelligence Systems Enterprise Operatio,Leidos,"Jessup, Maryland","""Hiring Manager"" AND ""Leidos"" AND ""Jessup""","""Program Manager"" AND ""Leidos"" AND ""Jessup""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Jessup""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Jessup"""
SECRET RF SYSTEM ENGINEER,DIA Information Systems Engineering Offi,Leidos,"Salt Lake City, Utah","""Hiring Manager"" AND ""Leidos"" AND ""Salt Lake City""","""Program Manager"" AND ""Leidos"" AND ""Salt Lake City""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Salt Lake City""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Salt Lake City"""
MAINTENANCE DATA SPECIALIST,Army Enterprise Service Management Frame,SAIC,"Atlanta, Georgia","""Hiring Manager"" AND ""SAIC"" AND ""Atlanta""","""Program Manager"" AND ""SAIC"" AND ""Atlanta""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Atlanta""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Atlanta"""
REGISTERED NURSE,DISA Global Service Mgmt – Ops II,Leidos,"Muscatine, Iowa","""Hiring Manager"" AND ""Leidos"" AND ""Muscatine""","""Program Manager"" AND ""Leidos"" AND ""Muscatine""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Muscatine""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Muscatine"""
SECRET TECHNICAL EDITOR,Army Integrated Battle Command System Su,Northrop Grumman,"Rivanna, Virginia","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Rivanna""","""Program Manager"" AND ""Northrop Grumman"" AND ""Rivanna""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Rivanna""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Rivanna"""
"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)",Air Force Cyber Operations / Platform On,SAIC,"Colorado Springs, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Colorado Springs"""
PYTHON TESTER - V&V,Defense Enclave Services,Leidos,"Sainte-Anne-De-Bellevue, Quebec","""Hiring Manager"" AND ""Leidos"" AND ""Sainte-Anne-De-Bellevue""","""Program Manager"" AND ""Leidos"" AND ""Sainte-Anne-De-Bellevue""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Sainte-Anne-De-Bellevue""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Sainte-Anne-De-Bellevue"""
HOSPITAL SECURITY OFFICER,Global Service Management – Operations I,Leidos,"Tarpon Springs, Florida","""Hiring Manager"" AND ""Leidos"" AND ""Tarpon Springs""","""Program Manager"" AND ""Leidos"" AND ""Tarpon Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Tarpon Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Tarpon Springs"""
TRANSITION TO OPERATIONS ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"El Segundo, California","""Hiring Manager"" AND ""SAIC"" AND ""El Segundo""","""Program Manager"" AND ""SAIC"" AND ""El Segundo""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""El Segundo""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""El Segundo"""
SOFTWARE ENGINEER (C++),DIA Information Systems Engineering Offi,Leidos,"Dayton, Ohio","""Hiring Manager"" AND ""Leidos"" AND ""Dayton""","""Program Manager"" AND ""Leidos"" AND ""Dayton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Dayton""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Dayton"""
PROGRAM MANAGER,Battlefield Information Collection & Exp,GDIT,"Deerfield Beach, Florida","""Hiring Manager"" AND ""GDIT"" AND ""Deerfield Beach""","""Program Manager"" AND ""GDIT"" AND ""Deerfield Beach""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Deerfield Beach""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Deerfield Beach"""
KUBERNETES ADMINISTRATOR,Global Service Management – Operations I,Leidos,"Dayton, Ohio","""Hiring Manager"" AND ""Leidos"" AND ""Dayton""","""Program Manager"" AND ""Leidos"" AND ""Dayton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Dayton""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Dayton"""
SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,Global Service Management – Operations I,Leidos,"Wilmington, Delaware","""Hiring Manager"" AND ""Leidos"" AND ""Wilmington""","""Program Manager"" AND ""Leidos"" AND ""Wilmington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Wilmington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Wilmington"""
NONDESTRUCTIVE EVALUATION ENGINEER (NDE),DIA Information Systems Engineering Offi,Leidos,"Berkeley, Missouri","""Hiring Manager"" AND ""Leidos"" AND ""Berkeley""","""Program Manager"" AND ""Leidos"" AND ""Berkeley""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Berkeley""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Berkeley"""
C++ SOFTWARE ENGINEER,Battlefield Information Collection & Exp,GDIT,"Huntsville, Alabama","""Hiring Manager"" AND ""GDIT"" AND ""Huntsville""","""Program Manager"" AND ""GDIT"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Huntsville"""
TOP SECRET HARDWARE TECH,Project Convergence (JADC2 Experiments),SAIC,"Monroeville, Pennsylvania","""Hiring Manager"" AND ""SAIC"" AND ""Monroeville""","""Program Manager"" AND ""SAIC"" AND ""Monroeville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Monroeville""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Monroeville"""
VERIFICATION & VALIDATION ENGINEER,Next-Generation Overhead Persistent Infr,Northrop Grumman,"El Segundo, California","""Hiring Manager"" AND ""Northrop Grumman"" AND ""El Segundo""","""Program Manager"" AND ""Northrop Grumman"" AND ""El Segundo""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""El Segundo""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""El Segundo"""
WELDER,DISA Global Service Mgmt – Ops II,Leidos,"Huntsville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Huntsville""","""Program Manager"" AND ""Leidos"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Huntsville"""
SPECIAL EDUCATION PARAPROFESSIONAL,ARCYBER Information Advantage / Mission ,Peraton / others,"Salem, Massachusetts","""Hiring Manager"" AND ""Peraton / others"" AND ""Salem""","""Program Manager"" AND ""Peraton / others"" AND ""Salem""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / others"" AND ""Salem""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / others""","""HR Business Partner"" AND ""Peraton / others"" AND ""Salem"""
MARINE ELECTRICIAN,DIA Information Systems Engineering Offi,Leidos,"Kings Bay, Georgia","""Hiring Manager"" AND ""Leidos"" AND ""Kings Bay""","""Program Manager"" AND ""Leidos"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Kings Bay"""
STRUCTURAL WELDER,Global Service Management – Operations I,Leidos,"Kings Bay, Georgia","""Hiring Manager"" AND ""Leidos"" AND ""Kings Bay""","""Program Manager"" AND ""Leidos"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Kings Bay"""
SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,SPICE (Space Payload Integration & Cyber,SAIC / LinQuest,"Hill AFB, Utah","""Hiring Manager"" AND ""SAIC / LinQuest"" AND ""Hill AFB""","""Program Manager"" AND ""SAIC / LinQuest"" AND ""Hill AFB""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC / LinQuest"" AND ""Hill AFB""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC / LinQuest""","""HR Business Partner"" AND ""SAIC / LinQuest"" AND ""Hill AFB"""
2ND SHIFT CNC MACHINIST LEVEL 5,DIA Information Systems Engineering Offi,Leidos,"Huntsville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Huntsville""","""Program Manager"" AND ""Leidos"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Huntsville"""
IDENTITY ACCESS MANAGER / SME ARCHITECT,Aegis Ballistic Missile Defense / Aegis ,Lockheed Martin,"Austin, Texas","""Hiring Manager"" AND ""Lockheed Martin"" AND ""Austin""","""Program Manager"" AND ""Lockheed Martin"" AND ""Austin""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Lockheed Martin"" AND ""Austin""","(""Subcontracts"" OR ""Supplier Management"") AND ""Lockheed Martin""","""HR Business Partner"" AND ""Lockheed Martin"" AND ""Austin"""
COPY - TOP SECRET IAM ARCHITECT,BICES Defense Intelligence Agency Varian,CACI + Leidos + Peraton +,"Washington, District Of Columbia","""Hiring Manager"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington""","""Program Manager"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI + Leidos + Peraton + SAIC""","""HR Business Partner"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington"""
"MECHANICAL ENGINEER, PE - DESIGNER",Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas","""Hiring Manager"" AND ""SAIC"" AND ""San Antonio""","""Program Manager"" AND ""SAIC"" AND ""San Antonio""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""San Antonio""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""San Antonio"""
PIPEFITTER,Global Command and Control System – Join,Northrop Grumman,"Kings Bay, Georgia","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Kings Bay""","""Program Manager"" AND ""Northrop Grumman"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Kings Bay"""
GNC ENGINEER (FIXED WING),Army Missile & Space R&D Support (Huntsv,Dynetics,"Huntsville, Alabama","""Hiring Manager"" AND ""Dynetics"" AND ""Huntsville""","""Program Manager"" AND ""Dynetics"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Dynetics"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Dynetics""","""HR Business Partner"" AND ""Dynetics"" AND ""Huntsville"""
MECHANICAL SYSTEMS ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"New London, Connecticut","""Hiring Manager"" AND ""SAIC"" AND ""New London""","""Program Manager"" AND ""SAIC"" AND ""New London""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""New London""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""New London"""
PROGRAM INTEGRATOR,Global Service Management – Operations I,Leidos,"Huntsville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Huntsville""","""Program Manager"" AND ""Leidos"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Huntsville"""
UT INSPECTOR,DIA Information Systems Engineering Offi,Leidos,"Kings Bay, Georgia","""Hiring Manager"" AND ""Leidos"" AND ""Kings Bay""","""Program Manager"" AND ""Leidos"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Kings Bay"""
TOP SECRET ICAM ARCHITECT,BICES Defense Intelligence Agency Varian,CACI + Leidos + Peraton +,"Washington, District Of Columbia","""Hiring Manager"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington""","""Program Manager"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI + Leidos + Peraton + SAIC""","""HR Business Partner"" AND ""CACI + Leidos + Peraton + SAIC"" AND ""Washington"""
TOP SECRET ISSO,Battlefield Information Collection & Exp,GDIT,"Quantico, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Quantico""","""Program Manager"" AND ""GDIT"" AND ""Quantico""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Quantico""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Quantico"""
TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
TOP SECRET RESEARCH PHYSICIST 1,Advanced Battle Management System,Multi,"Washington, District Of Columbia","""Hiring Manager"" AND ""Multi"" AND ""Washington""","""Program Manager"" AND ""Multi"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Washington"""
PRICING MANAGER,DISA Global Service Mgmt – Ops II,Leidos,"Huntsville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Huntsville""","""Program Manager"" AND ""Leidos"" AND ""Huntsville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Huntsville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Huntsville"""
SECRET SECURITY ENGINEER (BOUNDARY),Global Network Operations (DISA GSM-O II,Leidos,"Montgomery, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Montgomery""","""Program Manager"" AND ""Leidos"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Montgomery"""
OPERATING ENGINEER 2,Battlefield Information Collection & Exp,GDIT,"Springfield, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Springfield""","""Program Manager"" AND ""GDIT"" AND ""Springfield""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Springfield""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Springfield"""
