Program Name,Acronym,Agency,BD Priority,Prime Contractor,Contract Value,Recompete Date,Period of Performance,Key Locations,Contract Number
Marine Corps Enterprise Network,MCEN,Marines,,Leidos / GDIT,"$1,495,085,754.52",,,Marine bases,19AQMM18C0185
Mark 48 Heavyweight Torpedo,Mk-48,Navy,,Raytheon (indicative),"$3,265,910,249.19",,,Middletown RI; Navy weapons centers,N0002422C5500
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Medium,Raytheon (indicative),"$3,265,910,249.19",,,NSWC Crane; NSWC Newport; Middletown RI,N0002422C5500
MDA Tactical Embedded Systems,,MDA,Medium,Northrop Grumman,"$2,395,436,919.18",,,"Redstone Arsenal, Huntsville AL",HQ085621C0003
MHS GENESIS (DHMSM),DHMSM,DoD,,Leidos,$4.3B,,,NCR; San Antonio; Remote,HHSN261200800001E
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,,Leidos,"$4,813,063,024.90",,,MHS sites CONUS / OCONUS,HHSN261200800001E
Mission Partner Environment,MPE,DoD,,GDIT,$5.6B,,,Global coalition sites,19AQMM18C0185
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Medium,GDIT,"$1,495,085,754.52",,,Secret → TS/SCI,19AQMM18C0185
Mission Partner Environment (successor to BICES),MPE,DoD,,GDIT,$5.6B,,,Global (coalition networks),19AQMM18C0185
MOJAVE / ACADIA,,NGA,,CACI (indicative),"$824,303,222.05",,,Springfield VA; St. Louis MO,47QFCA20F0010
MPCO VMOD (Voice Modernization),VMOD,Army,Medium,CACI (indicative),$382M,,"January 1, 2023 → January 1, 2028",CONUS Army posts,W15QKN15C0049
MSS Smart Systems (Palantir contract),MSS,Army,,Palantir,"$70,668,314.50",,,Classified CONUS/OCONUS,W911QX24F0113
Multi-Mission Command & Control,M2C2,MDA,,Lockheed Martin / Raytheon,"$34,173,959,111.96",,,Aurora CO; Huntsville AL; Colorado Springs CO,N0001902C3002
NARSIL,NARSIL,DoD,,Peraton (indicative),"$487,767,432.14",,,TS/SCI,47QFCA19F0033
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,🟠 High,Peraton,"$1,414,704,681.90",,,NCR; Dayton OH (indicative),80GSFC19C0063
NASA Enterprise Service Support Technology,NESST,NASA,Low,SAIC / Leidos (indicative),"$1,306,805,321.14",,,NASA centers,NNJ09HD46C
NASA SENSE (Space Comms & Tracking),SENSE,NASA,,Peraton,$1.8B,,,Near-Earth network (TDRS),80GSFC19C0063
NASA Space Network Evolution,SENSE,NASA,,Peraton,$1.8B,,,NASA SCaN Global,80GSFC19C0063
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,,Vertex Aerospace,"$2,099,373,524.58",,,Pax River MD,NNK13MA14C
Navy Aegis Combat System Modernization,AEGIS,Navy,,Lockheed Martin,"$35,135,514,910.20",,,Dahlgren VA; Moorestown NJ; shipyards,N0001917C0001
Navy Enterprise Service Desk,NESD,Navy,,Leidos,$2.5B,,,Norfolk VA; San Diego CA; distributed Navy NOCs,89243318CFE000003
Next Generation Interceptor,NGI,MDA,,Northrop Grumman & Boeing,$13B,,,Huntsville AL; Promontory UT; test ranges,HQ085621C0003
NextGen GEO (Network/Ops),NGG,Space Force,,Northrop Grumman,"$3,084,107,116.60",,,Boulder CO,FA881018C0006
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Medium,Northrop Grumman,Multi-$B,,,El Segundo CA; Colorado Springs CO,FA881018C0006
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Medium,Northrop Grumman,"$3,084,107,116.60",,,SSC / Los Angeles; Colorado Springs,FA881018C0006
NGA Enterprise Engineering,NEE,NGA,,Peraton (Perspecta heritage),$824M,,,Springfield VA; St. Louis MO,80GSFC19C0063
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,,CACI,$500M,,,Springfield VA; St. Louis MO,47QFRA19F0011
NGEN-R — Enterprise Network Program,NGEN-R,Navy,,Leidos,$7.7B,,,Norfolk; San Diego; global Navy/USMC,HHSN261200800001E
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,,Leidos,$7.7B,,,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),89243318CFE000003
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,,Leidos,$7.7B,,,Navy/USMC worldwide,HHSN261200800001E
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,,Northrop Grumman,Multi-$B,,,SSC; Colorado Springs,FA821920C0006
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,,Jacobs,$455M,,,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,NNK13MA14C
NRO Ground Systems DevOps (Seal Beach),,NRO,,Boeing,"$10,801,259,923.19",,,Seal Beach CA,FA821920C0006
NTT Applications & BPS Support,,DoD,,NTT DATA,"$500,000,000.00",,,Texas; remote CONUS,HHSN316201500016W
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,,NTT DATA,"$500,000,000.00",,,U.S. – Heredia CR; Atlanta GA; remote,HHSN316201500016W
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,,LMI,$116.7M,,,Pentagon; Mark Center; Crystal City,N0001917C0001
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",$1.8B,,,Pentagon / NCR / CONUS,47QFCA21F0018
PAC-3 (Consolidated),PAC-3,Army,,Lockheed Martin,Multi-$B,,,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,W31P4Q20C0023
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,,Lockheed Martin Missiles & Fire Control,$10B,,,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,W31P4Q20C0023
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,,Lockheed Martin,$9.8B,,,Camden AR; Grand Prairie TX; Huntsville AL,W31P4Q20C0023
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,High,Lockheed Martin,$9.8B,,"January 1, 2024 → January 1, 2031",Grand Prairie TX; Camden AR; Huntsville AL,W31P4Q20C0023
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,,Peraton,$889M,,,Fort Eisenhower GA; Fort Meade MD,47QFCA19F0033
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,,Peraton,$1B,,,Reston VA; Fort Meade MD,80GSFC19C0063
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,,Raytheon & Northrop Grumman,$4.8B,,,Poland; Huntsville AL labs,W31P4Q15C0022
PRISM Support Services (Consolidated),PRISM,DoD,,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",$1.8B,,,Pentagon; NCR; CONUS,47QFCA21F0018
Project Convergence (JADC2 Experiments),PC,Army,,SAIC,"$39,320,458.07",,,Yuma Proving Ground; Austin TX; labs,W15QKN19F1290
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,,L3Harris,"$2,226,709,932.96",,,Colorado Springs (indicative),F1962802C0010
Protected Tactical SatCom / Waveform,PTW,Space Force,,L3Harris,"$2,226,709,932.96",,,CO (indicative),F1962802C0010
RUSHMORE,RUSHMORE,Space Force,,Northrop Grumman,"$10,801,259,923.19",,,Aurora CO (Buckley SFB),FA821920C0006
RUSHMORE (Already normalized),RUSHMORE,Space Force,High,Northrop,"$10,801,259,923.19",,,Aurora CO,FA821920C0006
SCITLS,SCITLS,DoD,,GDIT,"$1,495,085,754.52",,,CONUS,19AQMM18C0185
SCITLS (Already normalized),SCITLS,DoD,Medium,GDIT,"$1,219,847,693.56",,,Secret,SAQMMA12C0130
SCORPION (classified),SCORPION,DoD,Medium,CACI (context only),"$960,038,373.03",,,,GSQ0017AJ0006
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,,"Multiple primes (Lockheed, York, SpaceX, L3Harris)","$1,826,479,031.57",,,SDA Ops Center (likely),DOCDG133E09CN0094
Sentinel / GBSD,GBSD,Air Force,High,Northrop Grumman,"$10,801,259,923.19",,"January 1, 2020 → January 1, 2036",Roy UT; Hill AFB; Ogden UT; SLC UT; CO Springs; Huntsville AL; Vandenberg; Redondo Beach CA; Brigham City UT,FA821920C0006
Sentinel / GBSD,GBSD,Air Force,,Northrop Grumman,$13B,,,Hill AFB; Roy UT; Ogden UT,FA821920C0006
Sentinel GBSD,GBSD,Air Force,,Northrop Grumman,$13.3B,,,Ogden; Roy; Hill AFB,FA821920C0006
Sentinel GBSD,GBSD,Air Force,High,Northrop Grumman,"$10,801,259,923.19",,,Roy; Hill AFB; Ogden; Redondo Beach; CO Springs; Huntsville; El Segundo; Promontory; Elkton,FA821920C0006
Sentinel GBSD,GBSD / Sentinel,Air Force,,Northrop Grumman,$13.3B,,,Roy; Hill; Ogden; Promontory; CO Springs,FA821920C0006
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,High,Northrop Grumman,$13.3B,,"January 1, 2020 → January 1, 2039",Roy; Huntsville; Ogden; Hill AFB,FA821920C0006
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,,Northrop Grumman,"$10,801,259,923.19",,,Roy; Hill; Ogden; Redondo Beach; El Segundo; CO Springs; Huntsville; Promontory; Elkton,FA821920C0006
Sentinel ICBM / GBSD,GBSD,Air Force,,Northrop Grumman,$85B,,,Ogden; Hill; Promontory; Remote,FA821920C0006
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,,Northrop Grumman,"$10,801,259,923.19",,,Ogden; Hill AFB,FA821920C0006
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,High,Peraton,$2.8B,,,MacDill AFB; Component Commands; OCONUS deployment,47QFCA24F0002
SOCOM Digital Applications Data Science Support,—,CIA,,Iron Eagle X (now GDIT),"$1,495,085,754.52",,,Tampa FL (MacDill AFB),19AQMM18C0185
SOCOM Enterprise IT Support,—,SOCOM,,GDIT,"$1,495,085,754.52",,,Tampa FL; Remote,19AQMM18C0185
SOCOM Software Solutions IDIQ,—,SOCOM,High,Iron Eagle X (now GDIT),"$1,495,085,754.52",,,Tampa FL + SOF sites,19AQMM18C0185
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,,SAIC / LinQuest (indicative),"$39,874,973.53",,,LA / Colorado,FA877319FA023
SSA IT Support Services Contract,ITSSC,CIA,Medium,Leidos / Accenture Federal (indicative),"$1,062,905,628.31",,,SSA HQ,28321322FDS030130
STRATCOM Mission Readiness Support,SMORS,IC,🟠 High,Northrop Grumman (assumed),"$10,801,259,923.19",,,Colorado Springs; Offutt AFB,FA821920C0006
STRATCOM SMORS,SMORS,DoD,,BAE Systems,"$4,067,162,785.79",,,Offutt AFB,W56HZV08C0460
SMORS – STRATCOM Mission Readiness Sustainment,SMORS,DoD,High,Northrop Grumman,"$10,009,419,769.13",,,Colorado Springs CO; Offutt AFB NE,F4261098C0001
