Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Insight Global,480693,SECRET DEVOPS ENGINEER,"Goose Creek, South Carolina",Secret,Perm,"Jan 09, 2026",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,8,Medium,"Keywords: framework, service, enterprise",https://insightglobal.com/jobs/find_a_job/south-carolina/goose-creek/secret-devops-engineer/job-480693/
Insight Global,476947,TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,"Wilmington, Massachusetts",TS/SCI,Contract-to-perm,"Dec 18, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/massachusetts/wilmington/ts-sci-senior-optical-systems-engineer/job-476947/
Insight Global,478024,SR PROJECT ENGINEER,"Tampa, Florida",Secret,Perm,"Jan 02, 2026",SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,"TAMPA, FLORIDA",47QFCA24F0002,8,Medium,State: FL; City: TAMPA,https://insightglobal.com/jobs/find_a_job/florida/tampa/sr-project-engineer/job-478024/
Insight Global,480900,TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia",Top Secret,Contract-to-perm,"Jan 09, 2026",CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, enterprise, services; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/top-secret-virtualization-storage-engineer/job-480900/
Insight Global,483878,TS/SCI SOFTWARE ENGINEER (AFSIM),"Beavercreek, Ohio",TS/SCI,Contract-to-perm,"Jan 16, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/beavercreek/ts-sci-software-engineer-afsim-/job-483878/
Insight Global,480804,CLEARED MS&A DEVELOPER,"Sunset, Utah",Top Secret,"Contract,Perm Possible","Jan 09, 2026",Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,8,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/utah/sunset/cleared-msa-developer/job-480804/
Insight Global,421667,TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,"Jessup, Maryland",TS/SCI Poly,Contract,"Jun 25, 2025",Intelligence Systems Enterprise Operations,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,9,Medium,"Keywords: intelligence, operations, systems; State: MD",https://insightglobal.com/jobs/find_a_job/virginia/reston/ts-sci-with-poly-cyber-network-defense-and-exploitation-analyst/job-421667/
Insight Global,477411,SECRET RF SYSTEM ENGINEER,"Salt Lake City, Utah",Secret,Contract,"Dec 18, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/secret-rf-system-engineer/job-477411/
Insight Global,482591,MAINTENANCE DATA SPECIALIST,"Atlanta, Georgia",,Contract,"Jan 14, 2026",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,6,Medium,"Keywords: service, enterprise, management",https://insightglobal.com/jobs/find_a_job/georgia/atlanta/maintenance-data-specialist/job-482591/
Insight Global,481991,REGISTERED NURSE,"Muscatine, Iowa",,Contract,"Jan 13, 2026",DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/iowa/muscatine/registered-nurse/job-481991/
Insight Global,481690,SECRET TECHNICAL EDITOR,"Rivanna, Virginia",Top Secret,Contract-to-perm,"Jan 12, 2026",Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),"CHANTILLY, VIRGINIA",W15QKN15C0049,7,Medium,"Keywords: army, system; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/rivanna/secret-technical-editor/job-481690/
Insight Global,476216,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)","Colorado Springs, Colorado",Top Secret,Contract-to-perm,"Dec 16, 2025",Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),"COLORADO SPRINGS, COLORADO",FA882316C0004,12,High,"Keywords: operations, cyber; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-linux-system-administrator-co-springs-co-/job-476216/
Insight Global,482242,PYTHON TESTER - V&V,"Sainte-Anne-De-Bellevue, Quebec",,Contract,"Jan 13, 2026",Defense Enclave Services,DES,DoD,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,10,High,Acronym: DES,https://insightglobal.com/jobs/find_a_job/quebec/sainte-anne-de-bellevue/python-tester-vv/job-482242/
Insight Global,371817,HOSPITAL SECURITY OFFICER,"Tarpon Springs, Florida",,Contract-to-perm,"Jul 30, 2024",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/florida/tarpon-springs/hospital-security-officer/job-371817/
Insight Global,479796,TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California",TS/SCI,Contract-to-perm,"Jan 07, 2026","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,8,Medium,"Keywords: engineering, integration, sustainment",https://insightglobal.com/jobs/find_a_job/california/el-segundo/transition-to-operations-engineer/job-479796/
Insight Global,456635,SOFTWARE ENGINEER (C++),"Dayton, Ohio",,Contract-to-perm,"Oct 16, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/dayton/software-engineer-c-/job-456635/
Insight Global,473918,PROGRAM MANAGER,"Deerfield Beach, Florida",Secret,Perm,"Dec 05, 2025",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,6,Medium,"Keywords: system, information, collection",https://insightglobal.com/jobs/find_a_job/florida/deerfield-beach/program-manager/job-473918/
Insight Global,480397,KUBERNETES ADMINISTRATOR,"Dayton, Ohio",TS/SCI,Contract-to-perm,"Jan 08, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/ohio/dayton/kubernetes-administrator/job-480397/
Insight Global,483118,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,"Wilmington, Delaware",,Contract-to-perm,"Jan 15, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/delaware/wilmington/senior-analyst-it-capital-financial-management-intl-india/job-483118/
Insight Global,480826,NONDESTRUCTIVE EVALUATION ENGINEER (NDE),"Berkeley, Missouri",,Contract-to-perm,"Jan 09, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: engineering, information",https://insightglobal.com/jobs/find_a_job/missouri/berkeley/nondestructive-evaluation-engineer-nde-/job-480826/
Insight Global,470275,C++ SOFTWARE ENGINEER,"Huntsville, Alabama",Secret,Contract-to-perm,"Nov 21, 2025",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,4,Low,"Keywords: system, information",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/c-software-engineer/job-470275/
Insight Global,478314,TOP SECRET HARDWARE TECH,"Monroeville, Pennsylvania",Top Secret,Contract-to-perm,"Jan 05, 2026",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/pennsylvania/monroeville/top-secret-hardware-tech/job-478314/
Insight Global,479791,VERIFICATION & VALIDATION ENGINEER,"El Segundo, California",TS/SCI,Contract-to-perm,"Jan 07, 2026",Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Northrop Grumman,"REDONDO BEACH, CALIFORNIA",FA881018C0006,13,High,"Keywords: next, generation, overhead; State: CA",https://insightglobal.com/jobs/find_a_job/california/el-segundo/verification-validation-engineer/job-479791/
Insight Global,452489,WELDER,"Huntsville, Alabama",Secret,Perm,"Oct 07, 2025",DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/welder/job-452489/
Insight Global,480530,SPECIAL EDUCATION PARAPROFESSIONAL,"Salem, Massachusetts",,Perm,"Jan 08, 2026",ARCYBER Information Advantage / Mission Support (general),ARCYBER,Army,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),"FORT GEORGE G MEADE, MARYLAND",47QFCA19F0033,6,Medium,"Keywords: mission, information, general",https://insightglobal.com/jobs/find_a_job/massachusetts/salem/special-education-paraprofessional/job-480530/
Insight Global,477052,MARINE ELECTRICIAN,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: information, systems",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/marine-electrician/job-477052/
Insight Global,477076,STRUCTURAL WELDER,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/structural-welder/job-477076/
Insight Global,470335,SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",Secret,Contract,"Nov 24, 2025",SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,SAIC / LinQuest (indicative),"SAN ANTONIO, TEXAS",FA877319FA023,14,High,"Acronym: SPICE; Keywords: spice, integration",https://insightglobal.com/jobs/find_a_job/utah/hill-afb/senior-nuclear-hardness-electrical-engineer/job-470335/
Insight Global,479486,2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",Secret,Perm,"Jan 07, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: engineering, information",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/2nd-shift-cnc-machinist-level-5/job-479486/
Insight Global,466413,IDENTITY ACCESS MANAGER / SME ARCHITECT,"Austin, Texas",TS/SCI Poly,Perm,"Nov 12, 2025",Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,7,Medium,"Keywords: program, defense; State: TX",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-iam-architect/job-466413/
Insight Global,481890,COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,Perm,"Jan 13, 2026",BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: defense, agency; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/copy-top-secret-iam-architect/job-481890/
Insight Global,479148,"MECHANICAL ENGINEER, PE - DESIGNER","San Antonio, Texas",,Perm,"Jan 06, 2026",Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/mechanical-engineer-pe-designer/job-479148/
Insight Global,477111,PIPEFITTER,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,"ROY, UTAH",FA821920C0006,6,Medium,"Keywords: system, global, joint",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/pipefitter/job-477111/
Insight Global,479487,GNC ENGINEER (FIXED WING),"Huntsville, Alabama",Secret,Perm,"Jan 07, 2026",Army Missile & Space R&D Support (Huntsville),,Army,Dynetics; Northrop teams,"ROY, UTAH",F4261098C0001,4,Low,"Keywords: huntsville, space",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/gnc-engineer-fixed-wing-/job-479487/
Insight Global,459815,MECHANICAL SYSTEMS ENGINEER,"New London, Connecticut",Secret,Contract-to-perm,"Oct 24, 2025","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,11,High,"Keywords: engineering, integration, sustainment; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/new-london/mechanical-systems-engineer/job-459815/
Insight Global,482968,PROGRAM INTEGRATOR,"Huntsville, Alabama",Secret,Contract-to-perm,"Jan 15, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/program-integrator/job-482968/
Insight Global,476961,UT INSPECTOR,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/ut-inspector/job-476961/
Insight Global,481903,TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,Perm,"Jan 13, 2026",BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: defense, agency; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-icam-architect/job-481903/
Insight Global,474049,TOP SECRET ISSO,"Quantico, Virginia",Top Secret,Contract-to-perm,"Dec 05, 2025",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,9,Medium,"Keywords: system, exploitation, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/quantico/top-secret-isso/job-474049/
Insight Global,455774,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,Contract-to-perm,"Oct 15, 2025",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455774/
Insight Global,479845,TOP SECRET RESEARCH PHYSICIST 1,"Washington, District Of Columbia",Top Secret,Contract-to-perm,"Jan 07, 2026",Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: system, advanced; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-research-physicist-1/job-479845/
Insight Global,481941,PRICING MANAGER,"Huntsville, Alabama",Secret,Perm,"Jan 13, 2026",DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/pricing-manager/job-481941/
Insight Global,467723,SECRET SECURITY ENGINEER (BOUNDARY),"Montgomery, Alabama",Secret,Contract-to-perm,"Nov 15, 2025",Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, network, operations",https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-security-engineer-boundary-/job-467723/
Insight Global,478776,OPERATING ENGINEER 2,"Springfield, Virginia",,"Contract,Perm Possible","Jan 05, 2026",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,10,High,Keywords: information; State: VA; City: SPRINGFIELD,https://insightglobal.com/jobs/find_a_job/virginia/springfield/operating-engineer-2/job-478776/
Insight Global,469723,TS/SCI SYSTEMS ADMINISTRATOR,"Dayton, Ohio",TS/SCI,Contract-to-perm,"Nov 20, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: office, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/dayton/ts-sci-systems-administrator/job-469723/
Insight Global,479894,SECRET CUSTOMER SUPPORT ADMIN,"Vista, California",Secret,Contract-to-perm,"Jan 07, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/vista/secret-customer-support-admin/job-479894/
Insight Global,482552,RUST DEVELOPER,"Camden, New Jersey",Secret,"Contract,Perm Possible","Jan 14, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/new-jersey/camden/rust-developer/job-482552/
Insight Global,482978,DIGITAL HARDWARE ENGINEER,"Greece, New York",,Perm,"Jan 15, 2026","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: next, integration, generation",https://insightglobal.com/jobs/find_a_job/new-york/greece/digital-hardware-engineer/job-482978/
Insight Global,474207,SENIOR POSTGRES DATABASE ENGINEER,"Windsor Mill, Maryland",,Contract,"Dec 08, 2025",Global Command and Control System – Joint (Variant),GCCS-J,DISA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,7,Medium,"Keywords: system, global; State: MD",https://insightglobal.com/jobs/find_a_job/maryland/windsor-mill/senior-postgres-database-engineer/job-474207/
Insight Global,483547,SALES SUPPORT SPECIALIST,"Sully, Virginia",Public Trust,Contract,"Jan 16, 2026",Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,CACI,"CHANTILLY, VIRGINIA",W15QKN15C0049,5,Medium,Keywords: order; State: VA,https://insightglobal.com/jobs/find_a_job/virginia/sully/sales-support-specialist/job-483547/
Insight Global,455777,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,Contract-to-perm,"Oct 15, 2025",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455777/
Insight Global,455721,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),"Montgomery, Alabama",TS/SCI,Contract-to-perm,"Oct 15, 2025",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-day-shift-/job-455721/
Insight Global,478637,SECRET ISSO,"Albuquerque, New Mexico",Secret,Perm,"Jan 05, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/new-mexico/albuquerque/secret-isso/job-478637/
Insight Global,477119,BLASTER / PAINTER,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/blaster-painter/job-477119/
Insight Global,448756,LINUX SYSTEMS ENGINEER (TS),"Chantilly, Virginia",Top Secret,Contract-to-perm,"Sep 25, 2025",Army Integrated Battle Command System Support,IBCS,Army,Northrop Grumman (prime); CACI (support),"CHANTILLY, VIRGINIA",W15QKN15C0049,10,High,Keywords: system; State: VA; City: CHANTILLY,https://insightglobal.com/jobs/find_a_job/virginia/chantilly/linux-systems-engineer-ts-/job-448756/
Insight Global,482299,DATA ENGINEER,"Norfolk, Virginia",Secret,Contract-to-perm,"Jan 13, 2026",MSS Smart Systems (Palantir contract),MSS,Army,Palantir,"PALO ALTO, CALIFORNIA",W911QX24F0113,14,High,"Acronym: MSS; Keywords: palantir, systems",https://insightglobal.com/jobs/find_a_job/virginia/norfolk/data-engineer/job-482299/
Insight Global,471207,TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,"Hanover, Maryland",TS/SCI Poly,Contract-to-perm,"Nov 25, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,7,Medium,"Keywords: information, systems; State: MD",https://insightglobal.com/jobs/find_a_job/maryland/hanover/ts-sci-poly-cleared-linux-admin-test-engineer/job-471207/
Insight Global,476051,TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,"Norfolk, Virginia",Top Secret,Contract-to-perm,"Dec 15, 2025",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: system, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/norfolk/top-secret-technical-lead-engineering-system/job-476051/
Insight Global,480435,TOP SECRET SOFTWARE ENGINEER,"Washington, District Of Columbia",Top Secret,Contract,"Jan 08, 2026",Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),"COLORADO SPRINGS, COLORADO",FA882316C0004,7,Medium,"Keywords: platform, operations; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-software-engineer/job-480435/
Insight Global,476874,SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,"Palmdale, California",Secret,Contract-to-perm,"Dec 18, 2025",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/palmdale/secret-non-destructive-test-technician-2-3/job-476874/
Insight Global,456010,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),"Montgomery, Alabama",Secret,Contract-to-perm,"Oct 15, 2025",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-wan-afternoons-/job-456010/
Insight Global,480030,SUPPLY CHAIN SYSTEMS ENGINEER,"Mclean, Virginia",,Perm,"Jan 07, 2026",Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,"MCLEAN, VIRGINIA",47QFCA22F0047,8,Medium,State: VA; City: MCLEAN,https://insightglobal.com/jobs/find_a_job/virginia/mclean/supply-chain-systems-engineer/job-480030/
Insight Global,479781,SCHEDULER,"Colorado Springs, Colorado",TS/SCI,Contract-to-perm,"Jan 07, 2026","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,16,High,"Keywords: engineering, integration, sustainment; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/scheduler/job-479781/
Insight Global,464764,POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Secret,Contract-to-perm,"Nov 06, 2025",Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,7,Medium,"Keywords: center, data; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/alexandria/power-platform-developer/job-464764/
Insight Global,478959,TS/SCI ENGINEERING TECHNICIAN,"San Antonio, Texas",TS/SCI,Contract-to-perm,"Jan 06, 2026",Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-engineering-technician/job-478959/
Insight Global,483058,SOFTWARE ENGINEER,"Dayton, Ohio",,Contract-to-perm,"Jan 15, 2026",Cloud One (USAF Cloud Program),Cloud One,Air Force,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,4,Low,"Keywords: program, cloud",https://insightglobal.com/jobs/find_a_job/ohio/dayton/software-engineer/job-483058/
Insight Global,483246,TSSCI TIER 1 NETWORK MONITOR (EAST COAST),"Hampton, Virginia",TS/SCI,Contract-to-perm,"Jan 15, 2026",Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: system, information; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-tier-1-network-monitor-east-coast-/job-483246/
Insight Global,480214,TS/SCI LOGISTICS SPECIALIST,"San Antonio, Texas",TS/SCI,Contract-to-perm,"Jan 08, 2026",Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,12,High,"Keywords: army, service; State: TX; City: SAN ANTONIO",https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-logistics-specialist/job-480214/
Insight Global,483336,TOP SECRET SPLUNK ENGINEER,"Vienna, Virginia",Top Secret,Contract,"Jan 15, 2026",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,8,Medium,"Keywords: framework, service, enterprise",https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-splunk-engineer/job-483336/
Insight Global,478414,TOP SECRET AWS ENGINEER,"Vienna, Virginia",Top Secret Poly,Contract,"Jan 05, 2026",CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, services; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/vienna/top-secret-aws-engineer/job-478414/
