program_name,full_name,agency,piid,recipient_name,award_amount,description,start_date,end_date,awarding_agency,awarding_sub_agency,source,urgency
CMMC,Cybersecurity Maturity Model Certification,DoD,HQ003425FE065,"CYBERMEDIA TECHNOLOGIES, LLC",215918.6,"ASSIST DEFENSE ACQUISITION UNIVERSITY WITH REQUIREMENTS ANALYSIS, DESIGN, DEVELOPMENT OR REVISION, AND DELIVERY OF LEARNING ASSETS TO TRAIN THE CYBERSECURITY MATURITY MODEL CERTIFICATION WORKFORCE.",2025-04-08,2026-03-31,Department of Defense,Washington Headquarters Services,USAspending,CRITICAL - 90 days
DISA,Defense Information Systems Agency,DoD,HC104723F2000,BUSINESS COMPUTERS MANAGEMENT CONSULTING GROUP (BCMC) LLC,40961441.92,"THIS TASK ORDER SEEKS TO PROVIDE SUPPORT FOR USE OF SERVICENOW THROUGHOUT THE DEFENSE INFORMATION SYSTEMS AGENCY. IT PROVIDES BACK-OFFICE BUSINESS SUPPORT, INFORMATION TECHNOLOGY, FINANCE, AND PAYROLL APPLICATIONS FOR USING SERVICE NOW.",2023-04-03,2026-04-03,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
GBSD,Ground Based Strategic Deterrent,DoD,FA820422C0001,"DARK WOLF SOLUTIONS, LLC",38589043.54,ADVERSARY ASSESSMENT AND PENETRATION TESTING SERVICES FOR GBSD NETWORKS,2022-04-11,2026-04-10,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
SeaPort,SeaPort Next Generation,DoD,N6600124F3504,"TACTICAL ENGINEERING & ANALYSIS, INC.",8423392.84,"SEAPORT TASK ORDER ADVANCED TACTICAL DATA LINKS (ATDL) ENGINEERING, TEST & EVALUATION, AND SUSTAINMENT",2024-04-12,2026-04-14,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
STRATCOM,Strategic Command,DoD,HC104724F4027,RAYTHEON COMPANY,6057772.95,"TASK ORDER 4 FOR THE NUCLEAR COMMAND CONTROL AND COMMUNICATIONS OPERATIONAL ASSESSMENTS REQUIREMENT FOR THE NC3 ENTERPRISE CENTER, UNITED STATES STRATEGIC COMMAND. TASK ORDER COMPRISES OF STRATEGIC, THEATER ASSESSMENTS, AND PAUL REVERE ASSESSMENT.",2024-09-16,2026-04-14,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
STRATCOM,Strategic Command,DoD,70CMSD24FR0000011,METAPHASE CONSULTING LLC,5416026.46,STRATEGIC COMMUNICATIONS (STRATCOM) SUPPORT SERVICES,2024-04-15,2026-04-14,Department of Homeland Security,U.S. Immigration and Customs Enforcement,USAspending,CRITICAL - 90 days
F-35,Joint Strike Fighter Program,DoD,4Y01,"AMERICAN ELECTRONICS, INC.",116915514.6,"IGF::OT::IGF THE F-35 JOINT PROGRAM OFFICE (JPO) IS REQUESTING INFORMATION PERTAINING TO PROGRAM MANAGEMENT (PM) AND OPERATIONS KNOWLEDGE BASED SERVICES SUPPORT REQUIREMENT FOR THE F-35 JOINT STRIKE FIGHTER (JSF) PROGRAM AND ASSOCIATED SYSTEMS FOR A TWELVE MONTH BASE PERIOD OF PERFORMANCE AND FOUR, ONE-YEAR OPTION PERIODS.",2015-09-28,2026-04-15,Department of Defense,Department of the Navy,USAspending,CRITICAL - 90 days
JLTV,Joint Light Tactical Vehicle,DoD,W56HZV23F0239,DERIVATIVE LLC,6216348.67,ENGINEERING AND OPERATIONS SUPPORT FOR JPO JLTV AND PM FP,2023-04-19,2026-04-19,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
ITES,Information Technology Enterprise Solutions,DoD,W912CH25FA024,"DH TECHNOLOGIES, INC.",459536.5,ATLASSIAN SOFTWARE PURCHASED ON A FIRM-FIXED-PRICE (FFP) TASK ORDER UNDER THE ARMY COMPUTER HARDWARE ENTERPRISE SOFTWARE AND SOLUTIONS (CHESS) INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS.,2025-04-21,2026-04-21,Department of Defense,Department of the Army,USAspending,CRITICAL - 90 days
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,15M10424FA4700033,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,73632435.11,"THE U.S. MARSHALS SERVICE (USMS) INFORMATION TECHNOLOGY DIVISION (ITD), FUNCTIONAL OPERATIONS AND RESOURCES FOR CORE ENTERPRISE SERVICES (FORCE). ALL TERMS AND CONDITIONS OF NITAAC CIO-SP3 GWAC #HHSN316201200007W IDIQ APPLY. SAF 52.232-18.",2024-09-23,2026-04-22,Department of Justice,U.S. Marshals Service,USAspending,CRITICAL - 90 days
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,68HERD24F0055,BOOZ ALLEN HAMILTON INC,17069633.63,"THE SERVICES FOR THIS TASK ORDER ARE IN ACCORDANCE WITH THE NITAAC CIO-SP3 RFP NO. C-115303 SUPERFUND ENTERPRISE MANAGEMENT SYSTEM (SEMS) APPLICATION SUPPORT, AND BOOZ ALLEN HAMILTON INC. PROPOSAL DATED JANUARY 19, 2024.",2024-04-22,2026-04-23,Environmental Protection Agency,Environmental Protection Agency,USAspending,CRITICAL - 90 days
INDOPACOM,Indo-Pacific Command,DoD,FA489025F0056,"NEXT EVOLUTION WATER SOLUTIONS, INC.",1299859.91,FISCAL YEAR 24 TRANCHE 3 UNITED STATES INDO-PACIFIC COMMAND TAIWAN PHASE II UNMANNED AERIAL SYSTEMS,2025-06-27,2026-04-23,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
SOUTHCOM,Southern Command,DoD,47QFCA25F0024,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",75440779.0,THE UNITED STATES SOUTHERN COMMAND (USSOUTHCOM) CYBER INFORMATION TECHNOLOGY (IT) ENTERPRISE SERVICES 2 (SCITES 2) TASK ORDER PROVIDES COMPREHENSIVE ENTERPRISE-LEVEL CYBER AND DATA-INFORMED IT SERVICES FOR USSOUTHCOM AND MISSION PARTNERS.,2025-08-08,2026-04-24,General Services Administration,Federal Acquisition Service,USAspending,CRITICAL - 90 days
SEWP,Solutions for Enterprise-Wide Procurement V,NASA,36C10B22F0130,"THUNDERCAT TECHNOLOGY, LLC",51252119.02,NASA SEWP AWARD OF TALENT MANAGEMENT SYSTEM 2.0 SUSTAINMENT SERVICES,2022-05-13,2026-04-24,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,CRITICAL - 90 days
ABMS,Advanced Battle Management System,DoD,FA861223FB016,RAFT LLC,20982706.82,ABMS CBC2 COMMS BROKER,2023-02-13,2026-04-24,Department of Defense,Department of the Air Force,USAspending,CRITICAL - 90 days
INSCOM,Intelligence and Security Command,DoD,HC102823F0384,MICROSOFT CORPORATION,6688597.11,HQ INSCOM G6/GISA MICROSOFT UNIFIED SUPPORT (UNIFIED SUPPORT),2023-04-24,2026-04-24,Department of Defense,Defense Information Systems Agency,USAspending,CRITICAL - 90 days
SOCOM,Special Operations Command,DoD,47QFLA21F0102,SIGMA DEFENSE SYSTEMS LLC,15088990.76,JOINT AISR INTEGRATION AND SUSTAINMENT TO1 SOCOM,2021-04-26,2026-04-25,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
INDOPACOM,Indo-Pacific Command,DoD,SPE8EJ25F221M,ENVISION XPRESS INC,2218838.86,8511661270!INDOPACOM PCJ3 CONFERENCE ROO,2025-09-26,2026-04-26,Department of Defense,Defense Logistics Agency,USAspending,HIGH - 6 months
Zero Trust,Zero Trust Architecture Initiative,DoD,70SBUR24C00000005,"ASRC FEDERAL TECHNOLOGY SOLUTIONS, LLC",9912814.26,THIS IS A FIRM-FIXED PRICE DIRECT 8(A) AWARD FOR ZERO TRUST INTEGRATION SERVICES (ZTIS) FOR OIT OCDO.,2024-10-30,2026-04-29,Department of Homeland Security,U.S. Citizenship and Immigration Services,USAspending,HIGH - 6 months
SEWP,Solutions for Enterprise-Wide Procurement V,NASA,36C10B23F0125,"EMERGENT, LLC",149986487.39,NASA SEWP DELIVERY ORDER AWARD FOR ORACLE ENTERPRISE LICENSE AGREEMENT 2023,2023-05-05,2026-04-30,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,HIGH - 6 months
SEWP,Solutions for Enterprise-Wide Procurement V,NASA,80TECH22FA001,HALVIK CORP,114250000.0,"E014042 NASA SITSS-THE SCOPE OF SERVICES SUPPORT SOLUTIONS FOR ENTERPRISE-WIDE PROCUREMENT (SEWP): BUSINESS SUPPORT, PROGRAM LEVEL SUPPORT, CUSTOMER SUPPORT, CONTRACT HOLDER RELATIONSHIP MANGEMENT, PROCUREMENT/ ACQUISITION, AND TECHNICAL SUPPORT.",2021-12-01,2026-04-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,HIGH - 6 months
Sentinel,LGM-35A Sentinel ICBM,DoD,80NM0018F0655,CALIFORNIA INSTITUTE OF TECHNOLOGY,91741086.16,"SENTINEL-6 MISSION-PHASE C/D  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY (CONTRACTOR), A PRIVATE NONPROFIT EDUCATIONAL INSTITUTION, WHICH ESTABLISHES THE RELATIONSHIP FOR THE OPERATION OF THE FEDERALLY FUNDED RESEARCH AND DEVELOPMENT CENTER (FFRDC) KNOWN AS THE JET PROPULSION LABORATORY. THE CONTRACTOR, JPL, IS REQUIRED TO PERFORM WORK THAT IS DESIGNATED IN TASK ORDERS ISSUED BY THE NASA MAN",2018-10-01,2026-04-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,HIGH - 6 months
INDOPACOM,Indo-Pacific Command,DoD,HC104723F0032,SOS INTERNATIONAL LLC,80393063.97,MISSION PARTNER ENVIRONMENT (MPE) NETWORK ENGINEERING SERVICES FOR UNITED STATES INDO-PACIFIC COMMAND (INDOPACOM),2023-08-30,2026-04-30,Department of Defense,Defense Information Systems Agency,USAspending,HIGH - 6 months
AFRICOM,Africa Command,DoD,W900KK24F0087,CSA GLOBAL LLC,28197894.01,AWARD A TASK ORDER FOR THE JOINT MULTINATIONAL SIMULATIONS CENTER U.S. ARMY EUROPE AFRICA COMMAND ON THE MISSION TRAINING COMPLEX CAPABILITIES SUPPORT (MTCCS) II MULTIPLE AWARD CONTRACT (MAC) FOR MISSION COMMAND TRAINING.,2024-07-01,2026-04-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
Sentinel,LGM-35A Sentinel ICBM,DoD,W9128F25FA032,"TETRA TECH, INC.",25216117.98,A-E SERVICES FOR 2025 SENTINEL ENVIRONMENTAL PERMITTING AND COMPLIANCE SUPPORT,2025-03-31,2026-04-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
JWCC,Joint Warfighting Cloud Capability,DoD,HC102823F0383,"CHICKASAW STRATEGIC POINTE, LLC",12554945.67,JWCC ENGINEERING AND PMO SUPPORT,2023-05-01,2026-04-30,Department of Defense,Defense Information Systems Agency,USAspending,HIGH - 6 months
JLTV,Joint Light Tactical Vehicle,DoD,W56HZV23FL081,BOOZ ALLEN HAMILTON INC,6703404.86,JOINT PROGRAM OFFICE JOINT LIGHT TACTICAL VEHICLE LABOR TASK 2 AND 3,2023-05-01,2026-04-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
Zero Trust,Zero Trust Architecture Initiative,DoD,2032H525F00125,"NOBLIS, INC.",6648748.49,"TASK ORDER AWARD FOR COUNTER INSIDER THREAT CYBERSECURITY AND COUNTER INSIDER THREAT FRAUD ANALYTICS (CYCLOPS & CFAM) BRIDGE, SUPPORTS COMPLIANCE WITH ZERO TRUST ARCHITECTURE (ZTA) AND THE SIGNIFICANT THREATS THE IRS FACES.",2025-04-30,2026-04-30,Department of the Treasury,Internal Revenue Service,USAspending,HIGH - 6 months
JLTV,Joint Light Tactical Vehicle,DoD,W912CH25F0008,AM GENERAL LLC,6320945.31,JLTV STS WD 0008-013 FSR TEST SUPPORT,2025-05-05,2026-04-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
ABMS,Advanced Battle Management System,DoD,FA861223CB007,"HYPERGIANT GALACTIC SYSTEMS, INC.",50328417.01,ABMS CBC2 USER INTERFACE/USER EXPERIENCE DEVELOPMENT,2023-03-29,2026-05-04,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
GBSD,Ground Based Strategic Deterrent,DoD,FA462624C0004,PCI SUPPORT SERVICES LLC,23819524.48,"REQUIREMENT FOR A SECURE, PREFABRICATED, 26,000 SF TEMPORARY FACILITY, TO SATISFY THE NEED FOR ADDITIONAL OFFICE SPACE FOR GBSD PROJECT PERSONNEL. THIS CONTRACT WILL PERFORM ALL SITE PREPARATION AND PROVIDE SYSTEM FURNITURE.  SBA ID# IG1705413131U",2024-10-01,2026-05-04,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
INDOPACOM,Indo-Pacific Command,DoD,47QFLA23F0158,SIGMA DEFENSE SYSTEMS LLC,9814954.17,DISA INDOPACOM  CDS UPDATE HIGH SPEED GUARDS STING TO 73,2023-08-21,2026-05-04,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
STRATCOM,Strategic Command,DoD,N0001425FT262,THE CNA CORPORATION,675000.0,US STRATEGIC COMMAND FIELD REPRESENTATIVE; 0007.6070.W367.01,2025-05-09,2026-05-08,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
SeaPort,SeaPort Next Generation,DoD,N6833520F3001,EAGLE SYSTEMS INC,13748374.96,SEAPORT AAI ENGINEERING AND TECHNICAL SERVICES,2020-05-08,2026-05-10,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
GBSD,Ground Based Strategic Deterrent,DoD,FA821921F0002,LOCKHEED MARTIN CORP,9198063.12,THE GBSD WEAPONS SYSTEM INTEGRATION EFFORT WILL PROVIDE SUPPORT TO THE GBSD FUZE PROGRAM OFFICE IN ITS EFFORTS TO INTEGRATE THE FUZE ON THE GBSD WEAPONS SYSTEM.,2021-05-11,2026-05-10,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
ECMA,Enterprise Cloud Management Agency,DoD,W519TC25FA023,SHI INTERNATIONAL CORP,375570.0,"THE U.S. ARMY CONTRACTING COMMAND - ROCK ISLAND HAS A BRAND NAME REQUIREMENT IN SUPPORT OF HEADQUARTERS DEPARTMENT OF THE ARMY, ENTERPRISE CLOUD MANAGEMENT AGENCY (ECMA) FOR ATLASSIAN JIRA AND CONFLUENCE SOFTWARE LICENSES.",2025-05-11,2026-05-10,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
ECMA,Enterprise Cloud Management Agency,DoD,W519TC25FA014,ACCELGOV LLC,3484277.26,PROVIDE CLOUD CYBERSECURITY SUPPORT SERVICES TO THE ENTERPRISE CLOUD MANAGEMENT AGENCY (ECMA).,2025-03-14,2026-05-11,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
CYBERCOM,Cyber Command,DoD,N0018921F3017,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",19600785.36,"(JS) J6 REQUIREMENT FOR ENGINEERING SERVICES TO THE DEPUTY DIRECTOR, CYBER COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS (C5) INTEGRATION (DDC5I), IN SUPPORT OF THE COALITION INTEROPERABILITY AND ASSURANCE VALIDATION (CIAV).",2021-05-14,2026-05-13,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
Zero Trust,Zero Trust Architecture Initiative,DoD,HC102824F3000,"INNOVATION EVOLUTION TECHNOLOGIES JV, LLC",4622367.5,ZERO TRUST ARCHITECTURE (ZTA) SUPPORT,2024-05-28,2026-05-13,Department of Defense,Defense Information Systems Agency,USAspending,HIGH - 6 months
DARPA,Defense Advanced Research Projects Agency,DoD,HR001121F0012,BOOZ ALLEN HAMILTON INC,130627339.19,DARPA ENTERPRISE SUPPORT SERVICES,2021-05-22,2026-05-21,Department of Defense,Defense Advanced Research Projects Agency,USAspending,HIGH - 6 months
SOUTHCOM,Southern Command,DoD,W52P1J19F0404,AMENTUM PARSONS LOGISTICS SERVICES LLC,77793380.89,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR SOUTHCOM-SOTO CANO.,2019-04-12,2026-05-21,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
SeaPort,SeaPort Next Generation,DoD,N6426721F3002,ASR INTERNATIONAL CORP.,13643552.63,"LOGISTIC SUPPORT SERVICES IN, BUT NOT LIMITED TO, MATERIAL RECEIPT & INSPECTION, MATERIAL STORAGE, WAREHOUSING, ISSUING, DISPOSITION SUPPORT, INVENTORY MANAGEMENT, & CUSTOMER SERVICE SUPPORT TO NSLC-SOUTHERN REGIONS UNDER SEAPORT NXG NSWC CORONA.",2021-05-24,2026-05-23,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
DISA,Defense Information Systems Agency,DoD,47QFLA23F0097,SIGMA DEFENSE SYSTEMS LLC,9224774.77,DEFENSE INFORMATION SYSTEMS AGENCY (DISA) & DEPARTMENT OF DEFENSE (DOD)  CHIEF INFORMATION OFFICER (CIO) ADVISE & ASSIST SUPPORT,2023-05-24,2026-05-23,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
INSCOM,Intelligence and Security Command,DoD,W9128A23F0033,"INSIGHT PACIFIC, LLC",8726600.0,REPAIR AND RENOVATION OF INSCOM BLDG 1543,2023-09-20,2026-05-24,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
SeaPort,SeaPort Next Generation,DoD,N6426724F3003,VSOLVIT LLC,31336490.14,"THE NSWC, CORONA DIVISION, ANTICIPATES A TASK ORDER REQUIREMENT UNDER THE SEAPORT NXG MAC TO PROVIDE INFORMATION TECHNOLOGY SUPPORT SERVICES TO THE ACQUISITION AND READINESS (AR) AND PERFORMANCE ASSESSMENT (PA) DEPARTMENTS.",2024-05-30,2026-05-29,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
EUCOM,European Command,DoD,FA254125FB015,"GLOBAL ENTERPRISE SOLUTIONS, INC.",969921.0,UNITES STATES AIR FORCES IN EUROPE (USAFE) AIRBORNE INTELLIGENCE SURVEILLANCE AND RECONNAISSANCE (AISR) EUROPEAN COMMAND (EUCOM).,2025-05-30,2026-05-29,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
VC-25B,Air Force One Replacement,DoD,FA864124CB002,HONEYWELL INTERNATIONAL INC.,275834.0,"PROPOSAL # PCOL-2023006-69, CONTRACT # FA8641-24-C-B002, RED AUXILIARY POWER UNIT (APU) AND GROUND SUPPORT EQUIPMENT (GSE) FOR TRAINING USE FOR THE VC-25B PROGRAM",2024-05-31,2026-05-29,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
EIS,Enterprise Infrastructure Solutions,GSA,W58RGZ20C0037,THE BOEING COMPANY,135989028.96,UNDEFINITIZED CONTRACT ACTION FOR NON-RECURRING ENGINEERING AND LONG LEAD ITEMS IN SUPPORT OF THE STATEMENT OF WORK FOR EIGHT AH-6 AIRCRAFT FOR THE ROYAL THAILAND ARMY.,2020-09-25,2026-05-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
CH-53K,CH-53K King Stallion,DoD,N0001921F0810,RAYTHEON COMPANY,56042328.12,"CH-53K LRIP LOT 4 AND 5, OPTIONS LOTS 6-8",2021-09-27,2026-05-31,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
AEGIS,AEGIS Combat System,DoD,N0002423F8037,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,35727503.0,AEGIS COMBAT SYSTEMS PROGRAM-BFC38,2023-06-01,2026-05-31,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
DEOS,Defense Enterprise Office Solutions,DoD,47QFSA23F0047,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",11342007.5,DEOS TENANT TO TENANT T2T USER DATA MIGRATION SUPPORT,2023-06-01,2026-05-31,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
SOUTHCOM,Southern Command,DoD,FA489024F0054,ADVANCED DECISION VECTORS LLC,1193961.56,"UNITED STATES SOUTHERN COMMAND, SUPPORT SERVICES",2024-06-01,2026-05-31,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
JWCC,Joint Warfighting Cloud Capability,DoD,HC105025F0019,"AMAZON WEB SERVICES, INC.",1020116.67,TRANSITION PACKAGE 2 IL5 AND IL6 CLOUD TO JWCC,2025-04-18,2026-05-31,Department of Defense,Defense Information Systems Agency,USAspending,HIGH - 6 months
SOCOM,Special Operations Command,DoD,47QFLA20F0282,"L3 TECHNOLOGIES, INC.",20717150.91,L3 SOLE SOURCE IDIQ TO2 SOCOM RPA PRT AND SRVT SUSTAINMENT REQUIREMENTS,2020-09-21,2026-06-01,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
NASA,National Aeronautics and Space Administration,NASA,80KSC019C0013,"BECHTEL NATIONAL, INC.",1474889354.01,DESIGN AND CONSTRUCTION OF THE NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).,2019-07-01,2026-06-05,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,HIGH - 6 months
SLS,Space Launch System,NASA,80KSC019C0013,"BECHTEL NATIONAL, INC.",1474889354.01,DESIGN AND CONSTRUCTION OF THE NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).,2019-07-01,2026-06-05,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,HIGH - 6 months
TRANSCOM,Transportation Command,DoD,HC105025F0031,MICROSOFT CORPORATION,1623530.59,UNITED STATES TRANSPORTATION COMMAND (USTRANSCOM) ANYWHERE (TCA) PHASE II,2025-06-06,2026-06-05,Department of Defense,Defense Information Systems Agency,USAspending,HIGH - 6 months
DEOS,Defense Enterprise Office Solutions,DoD,HC104723F0021,BOOZ ALLEN HAMILTON INC,27676432.49,PROVIDES ENGINEERING AND TEST SUPPORT FOR DEFENSE ENTERPRISE OFFICE SOLUTIONS SYSTEM,2023-06-07,2026-06-06,Department of Defense,Defense Information Systems Agency,USAspending,HIGH - 6 months
CH-53K,CH-53K King Stallion,DoD,N0042124F0634,ITC DEFENSE CORP,2451051.8,TO FOR PMA 261 ISRAEL CH-53K,2024-06-07,2026-06-06,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
ABMS,Advanced Battle Management System,DoD,FA861223FB017,BRAINGU LLC,21093135.74,ADVANCED BATTLE MANAGEMENT SYSTEMS,2023-06-08,2026-06-07,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
ECMO,Enterprise Cloud Management Office,DoD,75A50124C00048,"NYTRICX, INC.",745973.0,"NYTRICX, INC.  R&D FOR PREVENTION OF ECMO CIRCUIT THROMBOSIS AND INFECTION BY SURFACE RELEASE OF NITRIC OXIDE (NO) AOI #19",2024-09-03,2026-06-09,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending,HIGH - 6 months
EIS,Enterprise Infrastructure Solutions,GSA,34300021F0018,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",5837945.03,GSA - ENTERPRISE INFRASTRUCTURE SOLUTIONS (GSA EIS) TELECOMMUNICATIONS- VOICE AND DATA,2021-06-14,2026-06-13,International Trade Commission,International Trade Commission,USAspending,HIGH - 6 months
Zero Trust,Zero Trust Architecture Initiative,DoD,2032H524F00357,"FOUR POINTS TECHNOLOGY, L.L.C.",5611718.14,"THIS IS A DELIVERY ORDER TO DEVELOP A STRATEGY IN SUPPORT OF THE AUTHENTICATION, AUTHORIZATION AND ACCESS (EA3), OMNICHANNEL SOLUTION THAT IS ZERO TRUST (ZT) COMPLIANT.",2024-06-12,2026-06-13,Department of the Treasury,Internal Revenue Service,USAspending,HIGH - 6 months
ABMS,Advanced Battle Management System,DoD,FA222625F0003,EXPANSIA GROUP LLC,472467.0,ADVANCED BATTLE MANAGEMENT SYSTEMS INTEGRATED DIGITAL ENVIRONMENT,2025-06-16,2026-06-15,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
DEOS,Defense Enterprise Office Solutions,DoD,47QTCF26F0001,"MINBURN TECHNOLOGY GROUP, LLC",17081942.0,AF O365X AND ADDP2 DEOS LICENSES,2025-11-01,2026-06-19,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
ITES,Information Technology Enterprise Solutions,DoD,W519TC23F2304,"SUPERLATIVE TECHNOLOGIES, LLC",2550960.36,"INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3  SERVICES (ITES-3S) VISA PASSPORT SERVICES (VPAS) DELIVERY ORDER, PERIOD OF PERFORMANCE 19JUN23-19JUN24.",2023-05-16,2026-06-19,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,75N91025F00001,"INFORMATION MANAGEMENT SERVICES, INC.",13807726.0,TASK ORDER AWARD AGAINST THE NITAAC CIO-SP3 (SMALL BUSINESS) IDIQ,2025-06-21,2026-06-20,Department of Health and Human Services,National Institutes of Health,USAspending,HIGH - 6 months
ECMO,Enterprise Cloud Management Office,DoD,75A50124C00019,INFLO MEDICAL INC,747397.6,THE OVERALL OBJECTIVE OF THIS CONTRACT IS TO IMPROVE THE SAFETY METRICS FOR EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO) THROUGH THE REDUCTION OF ANTICOAGULANT USAGE WITH THE RETENTION OF PERFORMANCE THROUGH THE USE OF A HIGHLY BIO-COMPATIBLE ECMO CIRC,2024-05-22,2026-06-21,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending,HIGH - 6 months
CYBERCOM,Cyber Command,DoD,N6600124F3511,"CLEAR RIDGE DEFENSE, LLC",31417557.63,SUPPORT OF U.S. MARINE CORPS FORCES CYBERSPACE COMMAND AND ITS SUBORDINATE MARINE CORPS CYBERSPACE WARFARE GROUP MCCYWG AND JOINT FORCES HEADQUARTERS CYBER COMMANDS.,2024-06-24,2026-06-23,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,91003122F0006,A SQUARE GROUP LLC,3397548.64,BASE:NIH CIO-SP3 GWAC FSA IS ACQUIRING CONTRACT SERVICES TO PROVIDE SUBJECT MATTER EXPERT (SME) SERVICES AND SKILL SETS WITH THE TECHNICAL ABILITIES TO ASSIST FSA WITH TECHNICAL DESIGN OVERSIGHT SERVICES (TDOS),2022-06-25,2026-06-24,Department of Education,Department of Education,USAspending,HIGH - 6 months
CIO-SP3,Chief Information Officer-Solutions and Partners 3,HHS,91003122F0004,NOLIJ CONSULTING LLC,1672623.51,BASE:NIH CIO-SP3 SMALL BUSINESS GWAC FSA IT PORTFOLIO MANAGEMENT (ITPFM)OBJECTIVE IS TO PROVIDE FSA WITH A WELL-PLANNED AND EFFECTIVELY MANAGED IT PORTFOLIO MANAGEMENT AND GOVERNANCE PROCESS.,2022-06-25,2026-06-24,Department of Education,Department of Education,USAspending,HIGH - 6 months
NASA,National Aeronautics and Space Administration,NASA,36C10B23F0172,"V3GATE, LLC",576889048.72,AWARD NASA SEWP FOR SALESFORCE,2023-06-26,2026-06-25,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,HIGH - 6 months
SEWP,Solutions for Enterprise-Wide Procurement V,NASA,36C10B23F0172,"V3GATE, LLC",576889048.72,AWARD NASA SEWP FOR SALESFORCE,2023-06-26,2026-06-25,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,HIGH - 6 months
