search_keyword,award_id,recipient,amount,description,awarding_agency,start_date,end_date,state
cloud,36C10B19N10020013,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,141683156.47,"TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TO FOR  ON-SITE PROFESSIONAL AND TECHNICAL SUPPORT SERVICES FOR THE VA FINANCIAL SERVICES CENTER (FSC), FINANCIAL TECHNOLOGY SERVICE (FTS), FORMERLY THE INFORMATION TECHNOLOGY SERVICE, AND ITS SUBDIVISIONS.  SPECIFICALLY, UNDER THIS EFFORT, THE CONTRACTOR SHALL PROVIDE SERVICES TO SUPPORT THE IT INFRASTRUCTURE, OPERATIONS, FSC PROJECTS, AND VARIOUS INITIATIVES SUPPORTED BY FSC, ON BEHALF OF VA, AND OTHER GOVERNMENT AGENCIES (OGAS).  FURTHER, THE CONTRACTOR SHALL PROVIDE SUPPORT SERVICES AND DEVELOP DELIVERABLES FOR FSC PROJECTS INCLUDING NEW SOFTWARE PROJECTS, MAINTENANCE RELEASES, AND EMERGENCY SOFTWARE RELEASES.  THE CONTRACTOR SHALL PERFORM RESOURCE PLANNING IN SUPPORT OF NEW SOFTWARE PROJECTS, MAINTENANCE RELEASES, AND EMERGENCY SOFTWARE RELEASES.  THE CONTRACTOR SHALL MANAGE RESOURCE LEVELS AND COORDINATE WITH FSC PROJECT MANAGERS TO UNDERSTAND SCHEDULE TIMELINES.  THE INCLUDED OPTIONAL TASKS SHALL PROVIDE FOR PRIVACY SERVICES, CLOUD SERVICES - CLOUD CENTER OF EXCELLENCE, AND ONE 45-DAY PHASE OUT TRANSITION TASK.  THE PERIOD OF PERFORMANCE (POP) FOR THIS EFFORT SHALL BE ONE (1) TWELVE (12) MONTH BASE PERIOD, WITH FOUR (4) TWELVE (12) MONTH OPTION PERIODS, AND THREE OPTIONAL TASKS. THE TOTAL TASK ORDER (TO) POP SHALL NOT EXCEED 60 MONTHS.",Department of Veterans Affairs,2019-05-14,2024-07-31,
cloud,2032H524F00353,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,125764362.71,THIS ORDER PROVIDES CLOUD SERVICES FOR THE DEPARTMENT OF TREASURY (TCLOUD),Department of the Treasury,2024-06-20,2026-01-21,
cloud,47QFDA20F0076,DELOITTE CONSULTING LLP,121868141.2,GINNE MAE IT INTEGRATED CLOUD DEDICATED CLOUD MIGRATION,General Services Administration,2020-09-14,2026-09-13,
cloud,140D0418F0366,"SMARTRONIX, LLC",111126614.81,IGF::OT::IGF DOI ENTERPRISE CASE MANAGEMENT SERVICES (SAAS),Department of the Interior,2018-09-28,2025-10-29,
cloud,75N94022F00002,HIGHRISE CONSULTING INC,107995049.45,"THE GOALS OF THIS PROCUREMENT ARE TWO-FOLD: (1) TO PROVIDE ERA SYSTEM ENGINEERING SUPPORT SERVICES FOR THE ERA CLOUD COMPUTING PLATFORM AND ON-PREMISE ENVIRONMENTS FOR ALL PROGRAM AREAS (SOFTWARE MAINTENANCE, NEW FUNCTIONALITY, AND INTEGRATION OF HHS",Department of Health and Human Services,2022-09-16,2025-09-15,
cloud,36C10B23N10010013,COGNOSANTE MVH LLC,106532299.82,TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY PROGRAM (T4NG) - CLOUD OPERATIONS AND MIGRATION SERVICES,Department of Veterans Affairs,2023-08-09,2026-08-08,
cloud,19AQMM21C0118,KONIAG MANAGEMENT SOLUTIONS LLC,104750340.74,CLOUD PROGRAM MANAGEMENT OFFICE STAFFING AND SUPPORT,Department of State,2021-07-28,2025-02-28,
cloud,N6523622F3000,NEXGEN DATA SYSTEMS INC,103861283.77,DATA CENTER AND CLOUD HOSTING SERVICES (DC2HS) ALIGNED SUPPORT FOR THE DC2HS DIVISION WITHIN THE ENTERPRISE SYSTEMS (ES) DEPARTMENT AT NAVAL INFORMATION WARFARE CENTER (NIWC) ATLANTIC.,Department of Defense,2021-10-27,2025-08-30,
cloud,1332KP22FNEEA0040,"GAMA-1 TECHNOLOGIES, LLC",98851524.33,NCCF SUBJECT MATTER EXPERTISE FOR CLOUD DEVELOPMENT AND INNOVATION INITIATIVES,Department of Commerce,2022-09-09,2027-09-08,
DevSecOps,36C10B20F0172,ACCENTURE FEDERAL SERVICES LLC,341114477.94,"LOAN GUARANTY SERVICE(LGY)DEVELOPMENT, SECURITY AND OPERATIONS DEVSECOPS)",Department of Veterans Affairs,2020-06-16,2026-02-02,
DevSecOps,36C10B22N10280026,VETERANS EZ INFO INC.,266944443.07,"THIS TO IS FOR HEALTH MIDDLEWARE AND DATA MANAGEMENT (HMDM) DEVELOPMENT, SECURITY, AND OPERATIONS (DEVSECOPS) SUPPORT",Department of Veterans Affairs,2022-09-28,2027-01-05,
DevSecOps,36C10B21N10010010,COGNOSANTE MVH LLC,242370911.11,SUPPLY CHAIN MANAGEMENT PRODUCT LINE DEVSECOPS AND INTEGRATION,Department of Veterans Affairs,2021-09-14,2026-09-13,
DevSecOps,W56JSR23F0062,DELOITTE CONSULTING LLP,237096969.56,"THIS ORDER IS FOR DEPUTY ASSISTANT SECRETARY OF THE ARMY DATA, ENGINEERING AND SOFTWARE TO PROVIDE HUMAN CENTERED DESIGN, DEVSECOPS, DATA MANAGEMENT, DATA MESH ARCHITECTURES, DATA SCIENCE, DIGITAL ENGINEERING, SYSTEMS ENGINEERING AND CYBERSECURITY.",Department of Defense,2023-05-22,2026-05-21,
DevSecOps,70SBUR22F00000113,DV UNITED LLC,149769862.87,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,Department of Homeland Security,2022-09-25,2026-03-24,
DevSecOps,36C10B21N10110004,CIVITASDX LLC,119752756.87,SERVICES TO SUPPORT IT LEGACY SUSTAINMENT APPLICATIONS AND DEVSECOPS FOR CORP PORTFOLIO PRODUCT LINES.,Department of Veterans Affairs,2021-09-29,2026-03-23,
DevSecOps,70SBUR24F00000103,INTERNATIONAL BUSINESS MACHINES CORPORATION,92648677.23,"DEVELOPMENT, SECURITY, AND OPERATIONS (DEVSECOPS) SERVICES TO SUPPORT UNITED STATES CITIZENSHIP AND IMMIGRATION SERVICES(USCIS) INFORMATION TECHNOLOGY (IT) SYSTEM DELIVERY PRIMARILY VIS (VERIFICATION INFORMATION SYSTEM). FALCON",Department of Homeland Security,2024-05-20,2026-09-10,
DevSecOps,70SBUR22F00000112,"ADG-REI TECHNOLOGY VENTURES, LLC",89987281.1,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,Department of Homeland Security,2022-09-25,2026-03-24,
DevSecOps,70SBUR22F00000197,ALPHA OMEGA INTEGRATION LLC,86490050.8,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,Department of Homeland Security,2022-09-01,2026-04-30,
DevSecOps,N0001922F1207,BOOZ ALLEN HAMILTON INC,55705583.21,SOFTWARE DEVSECOPS SERVICES,Department of Defense,2021-01-15,2026-01-14,
DevSecOps,FA820422F0001,ACCENTURE FEDERAL SERVICES LLC,55005114.59,DEVSECOPS SERVICES FOR GBSD FENCES ENVIRONMENT EO14042,Department of Defense,2021-10-28,2026-10-27,
DevSecOps,36C10B24F0305,VETERANS EZ INFO INC.,51964061.54,"COMMUNITY CARE DEVELOPMENT, SECURITY, AND OPERATIONS (DEVSECOPS) SUPPORT",Department of Veterans Affairs,2024-12-09,2026-12-08,
DevSecOps,70CTD021FR0000235,"ALETHIX, LLC",46705748.4,DHS ICE REQUIRES DEVSECOPS SERVICES FOR THE HOMELAND SECURITY INVESTIGATIONS (HSI) REPOSITORY FOR ANALYTICS IN VIRTUALIZED ENVIRONMENT (RAVEN) PROGRAM.,Department of Homeland Security,2021-09-29,2025-06-29,
DevSecOps,47QFLA21F0284,REVACOMM INC,46110686.21,CMS DEVSECOPS,General Services Administration,2021-09-30,2024-09-29,
DevSecOps,N6600122F3511,"ODME SOLUTIONS, LLC",40701140.84,"COMMAND AND CONTROL DIVISION, MARITIME AND EXPEDITIONARY COMMAND AND CONTROL CAPABILITY-BASED IN-SERVICE SYSTEMS ENGINEERING ACTIVITY (CB-ISEA) DEVELOPMENT, SECURITY, AND OPERATIONS (DEVSECOPS)",Department of Defense,2022-09-26,2026-09-25,
DevSecOps,FA880625FB002,"SYSTEMS PLANNING AND ANALYSIS, INC.",38605000.8,"TO DELIVER SECURITY-CLASSIFICATION-SPECIFIC INFRASTRUCTURE, PLATFORM, NETWORKS AND SUPPORT LAYERS TO ENABLE DEVELOPMENT, INTEGRATION, TEST AND FIELDING FOR SPACE C2 SW DEVELOPED USING AN AGILE-BASED DEVSECOPS RAPID DELIVERY FRAMEWORK.",Department of Defense,2025-01-01,2029-12-31,
DevSecOps,W519TC23F0169,"SEED INNOVATIONS, LLC",31397869.22,"ADVANA EDGE SUPPORT SERVICES. THE OVERARCHING OBJECTIVE OF THE ADVANA EDGE EFFORT IS TO AGGRESSIVELY GROW THE INITIAL AI DEVSECOPS CAPABILITIES TO A FULL-SCALE ENTERPRISE CAPABILITY, OPERATING IN BOTH CLOUD AND EDGE ENVIRONMENTS.",Department of Defense,2023-05-18,2025-05-17,
DevSecOps,FA830721F0035,ACCENTURE FEDERAL SERVICES LLC,27219258.6,JASC DEVSECOPS SYSTEM ADMINISTRATION JOINT APPLICATIONS SUPPORT CONTRACT TEAM 5,Department of Defense,2021-02-25,2025-07-24,
DevSecOps,N0001925F0067,"AUGUST SCHELL ENTERPRISES, INC.",27094593.82,"TO ACQUIRE SOFTWARE LICENSES TO FACILITATE THE DEVELOPMENT, SECURITY, AND OPERATIONS (DEVSECOPS) SYSTEMS DEVELOPMENT LIFE CYCLE (SDLC) OF THE F-35 LIGHTNING II JOINT PROGRAM OFFICE (JPO).",Department of Defense,2024-10-16,2026-11-11,
DevSecOps,47QFLA22F0251,REVACOMM INC,26970511.36,CENTERS FOR MEDICARE  MEDICAID SERVICES CMS ENTERPRISE DEVELOPMENT SECURITY AND OPERATIONS DEVSECOPS EFFORT,General Services Administration,2022-09-30,2024-09-29,
DevSecOps,70SBUR22F00000114,SOFTRAMS LLC,24455816.65,OUTCOME-BASED DELIVERY AND DEVSECOPS SERVICES (ODOS) III,Department of Homeland Security,2022-12-13,2026-06-12,
DevSecOps,N0018924F3099,"INFORMATION SYSTEMS SOLUTIONS, INC.",20928867.42,"DEVSECOPS SERVICES SUPPORTING THE JOINT STAFF J-7, ENVIRONMENT OPERATIONS DIVISION",Department of Defense,2024-09-20,2026-06-19,
DevSecOps,47QFLA21F0117,REVACOMM INC,20331691.6,SBIR PHASE III DOD ENTERPRISE DEVSECOPS ONBOARDING DEVSECOPS SOFTWARE SERVICES AND DIGITAL DNA,General Services Administration,2021-05-12,2024-11-11,
DevSecOps,75FCMC22F0001,NAVA PBC,20201632.28,"CMS NEEDS A TEAM TO LEAD THE MEDICARE MODERNIZATION PROGRAM IN THE AREAS OF DEVSECOPS, INFRASTRUCTURE SUPPORT, AND TECHNICAL COORDINATION WITH SEVERAL APPLICATION DEVELOPMENT ORGANIZATION (ADO) TEAMS.  MANAGEMENT OF VIRTUAL PRIVATE CLOUDS, NETWORKS,",Department of Health and Human Services,2022-09-23,2025-09-22,
DevSecOps,70SBUR23F00000138,CAPITAL TECHNOLOGY GROUP LLC,20103333.31,ACCOUNTS PUBLIC AND IDPROOFING SERVICES (APIS) THE TRANSFORMATION DATA SCIENCE SERVICES (TDSS) IV TEAM WILL BE PART OF A DEVSECOPS ECOSYSTEM WORKING WITH THE TRANSFORMATION DELIVERY DIVISIONS BUSINESS COMPONENTS AND OTHER DEVSECOPS CONTRACTOR TEAMS T,Department of Homeland Security,2023-06-16,2026-12-15,
IT services,47QFCA21F0001,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1070681053.89,THE SCOPE OF THE TO IS TO PROVIDE ENTERPRISE IT SERVICES FOR THE USACE.,General Services Administration,2020-11-30,2026-06-27,
IT services,8402,NORTHROP GRUMMAN SYSTEMS CORPORATION,579217436.05,"IGF::OT::IGF  MDA INFORMATION TECHNOLOGY (IT) SERVICES PROVIDES DESIGN, IMPLEMENTATION AND MAINTENANCE SERVICES FOR MDAS CLASSIFIED AND UNCLASSIFIED WORKSTATIONS AND NETWORK INFRASTRUCTURE.  IN ADDITION, IT SERVICES PROVIDES COMPUTER NETWORK DEFENSE, INFORMATION ASSURANCE, SERVICE DESK, PORTAL SERVICES AND BUSINESS AUTOMATION TOOLS AND IT IMPLEMENTATION SERVICES FOR MDA 2LTR DISCRETE PROJECT REQUESTS.",Department of Defense,2014-06-30,2018-05-04,
IT services,HQ085722F8003,"AMENTUM TECHNOLOGY, INC.",525641138.18,"DELIVER INFORMATION MANAGEMENT AND IT SERVICES TO MDA FOR UNCLASSIFIED AND CLASSIFIED NETWORKS. UTILIZING THE CUSTOMER-FOCUSED SERVICE MODEL, ITIL METHOD. PERFORM BREAK-FIX, MAINTENANCE AND CYBERSECURITY OF CIO MANAGED NETWORKS WITHIN MDA.",Department of Defense,2022-09-05,2025-09-01,
IT services,47QFCA21F0019,"CACI, INC. - FEDERAL",283699517.0,"TASK ORDER AWARD OF WBSCM 3. THE PURPOSE OF THIS TO IS TO ACQUIRE INFORMATION TECHNOLOGY (IT) SERVICES TO OPERATE, MAINTAIN, AND PROVIDE CONTINUOUS IMPROVEMENTS FOR THE USDA AND USAID WBSCM SYSTEM AND ITS RELATED SUBSYSTEMS.",General Services Administration,2021-02-01,2027-01-31,
IT services,NSFDACS12T1578,BOOZ ALLEN HAMILTON INC,281438274.09,IGF::OT::IGF OTHER FUNCTIONS   IT SERVICES,National Science Foundation,2012-12-15,2019-11-26,
IT services,47QFCA20F0018,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",272780123.9,"INITIAL TASK ORDER AWARD.  CONTRACTOR WILL PROVIDE THE USG PROGRAM OFFICE WITH A FULL RANGE OF SOF ENTERPRISE IT SERVICES, O&M AND SUPPORT SERVICES TO SITEC J MISSION CAPABILITIES TO INCLUDE SOF IT ENTERPRISE.",General Services Administration,2020-08-05,2025-08-04,
IT services,49100419F1088,BOOZ ALLEN HAMILTON INC,254534977.92,IT SERVICES,National Science Foundation,2019-07-16,2025-01-15,
IT services,70RTAC21FC0000006,"CACI NSS, LLC",215294876.58,THE PURPOSE OF THIS BPA CALL IS TO PROCURE SERVICES TO PROVIDE CONTINUOUS SUPPORT FOR DHS HEADQUARTERS OPERATIONS DIVISION (HOD) PROJECTS AND IT SERVICE DELIVERY IN ACCORDANCE WITH ATTACHMENT 2 STATEMENT OF WORK (SOW-67 PAGES) AND ATTACHMENT 3 TERMS,Department of Homeland Security,2021-03-02,2026-03-01,
IT services,GSQ0015AJ0022,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,185248205.53,"THIS TASK ORDER SUPPORTS GENERAL SERVICES ADMINISTRATION INFORMATION TECHNOLOGY (GSA IT)IN MANAGING AND EVOLVING IT SERVICE DELIVERY TO THE GSA ENTERPRISE. THIS SOLUTION WILL SUPPORT A MOBILE WORKFORCE AND DELIVER PRODUCTIVITY ENHANCING IT SERVICES TO THOSE WORKERS ANYWHERE, AT ANY TIME, AND ON ANY DEVICE. IGF::OT::IGF",General Services Administration,2015-09-29,2018-10-26,
IT services,2032H325F00025,"COUNTERTRADE PRODUCTS, INC.",182442070.23,IT - SERVICENOW,Department of the Treasury,2024-12-16,2028-12-15,
IT services,HHSP23337001,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,165850874.88,NEXT GENERATION IT SERVICES (NGITS) OPERATIONS TASK ORDER SERVICES,Department of Health and Human Services,2018-01-08,2026-07-02,
IT services,SAQMMA15C0138,COMMUNICATIONS RESOURCE INC,161228261.26,"IGF::OT::IGF PHYSICAL SECURITY INFORMATION MANAGEMENT SYSTEM (PSIM) INCLUDING IT, SERVICES, SOFTWARE, HARDWARE AND TRAINING FOR WORLDWIDE SYSTEM DEPLOYMENT. HYBRID FIRM, FIXED PRICE (APPROXIMATELY 47%) TIME AND MATERIALS (APPROXIMATELY 53%)",Department of State,2015-09-28,2026-08-31,
IT services,HT001524F0070,PERATON ENTERPRISE SOLUTIONS LLC,149336718.63,ENTERPRISE IT SERVICES INTEGRATOR,Department of Defense,2024-04-01,2026-07-31,
IT services,CC06,INTERNATIONAL BUSINESS MACHINES CORPORATION,148168063.0,"IGF::OT::IGF LOGISTICS INFORMATION TECHNOLOGY ENTERPRISE SERVICES.  IT SERVICES INCLUDE APPLICATION/SYSTEM DEVELOPMENT, ADMINISTRATION, OPERATIONS, MAINTENANCE AND SUSTAINMENT; SYSTEMS ANALYSIS, DESIGN AND DEVELOPMENT; PROGRAMMING AND CONFIGURATION MANAGEMENT; NETWORK SUPPORT; INFORMATION ASSURANCE ACTIVITIES AND PROGRAMS.",Department of Defense,2017-06-22,2020-10-30,
IT services,W91RUS17C0010,VECTRUS SYSTEMS LLC,145395214.44,"IGF::CT::IGF IT SERVICE AND SUPPORT OPERATION, MAINTENANCE, SUPPLY - EUROPE",Department of Defense,2017-03-27,2024-08-31,
IT services,47QFCA19F0038,"INNOVATIVE MANAGEMENT CONCEPTS, INC",127057736.87,"OPERATIONS, MODERNIZATION, EXPANSION, AND FURTHER EVOLUTION OF THE IT SERVICES FOR THE ARNG NCR DOIM.",General Services Administration,2018-12-10,2025-08-09,
IT services,HT001523F0011,PERATON ENTERPRISE SOLUTIONS LLC,126170566.25,ENTERPRISE IT SERVICES INTEGRATOR,Department of Defense,2022-12-16,2024-04-30,
IT services,36C10B19N10190017,BY LIGHT PROFESSIONAL IT SERVICES LLC,123034091.1,IGF::OT::IGF IDENTITY AND ACCESS MANAGEMENT PROGRAM SUPPORT SERVICES,Department of Veterans Affairs,2019-05-24,2024-07-04,
IT services,SAQMMA13C0052,"CACI TECHNOLOGY INSIGHTS, LLC.",113548957.44,IT SERVICES SUPPORT DOS  DS/CTO IGF::OT::IGF,Department of State,2013-02-28,2021-06-07,
IT services,89603024F0002,ACCENTURE FEDERAL SERVICES LLC,108815582.55,CORE IT SERVICES - CBOSS BPA,Department of Energy,2024-01-01,2026-11-30,
IT services,W911QX19F0075,"AGILE DEFENSE, LLC",107146741.66,IT SERVICE OPERATIONS,Department of Defense,2019-09-27,2025-11-27,
IT services,FA701424F0287,"LEIDOS, INC.",106609633.57,AFNCR-ITS SERVICES - FOLLOW ON - FA7014424D0007,Department of Defense,2024-09-01,2025-08-31,
IT services,N0017821F3009,"BOWHEAD PROGRAM MANAGEMENT & OPERATIONS, LLC",106442925.33,CORPORATE IT SERVICES,Department of Defense,2021-10-27,2025-10-26,
IT services,89603021F0004,ACCENTURE FEDERAL SERVICES LLC,105757052.34,CORE IT SERVICES - CBOSS BPA,Department of Energy,2020-12-01,2025-07-31,
IT services,75N97022F00002,DELOITTE CONSULTING LLP,100199240.42,IT SERVICES,Department of Health and Human Services,2021-12-16,2026-09-11,
software development,NNJ09HD46C,LEIDOS INC,1306805321.14,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEVELOPMENT, MODIFICATION, SUSTAINING. MAINTENANCE, RECONFIGURATION, AND OPERATIONS FOR THE PURPOSE OF REDUCING COST WITHOUT COMPROMISING FACILITY FUNCTIONALITY AND PERFORMANCE. NASA WILL COLLABORATE WITH THE CONTRACTOR ON DEVELOPING PROCEDURAL AND TECHNICAL INNOVATIONS THAT IMPROVE QUALITY, ENSURE CUSTOMER SATISFACTION AND REDUCE COST.  MISSION OPERATIONS FACILITIES CURRENTLY SUPPORT THE SPACE SHUTTLE PROGRAMAND THE INTERNATIONAL SPACE STATION PROGRA, INCLUDING INTERNATIONAL PARTNER AND COMMMERCIAL VISITING VEHICLES. MISSION OPERATIONS FACILITIES SUPPORTING THE CNSTELLATION PROGRAM(CXP) ARE CONTINUOUSLY UNDER DEVELOPMENT IN CONCERT WITH CXP FORMULATION AND IMPLEMENTATION. FDOC APPLIES TO THE FACILITIES OF THESE THREE PROGRAMS, AND ANY OTHER HSF PROGRAM REQUIRING MISSION OPERATIONS FACILITY SUPPORT. IN ADDITION, FUTURE MISSION OPERATIONS FACILITIES AND CAPABILITIES ARE WITHIN THE TECHNICAL SCOPE OF THIS SOW, AND FDOC WORLK ASSOCIATED WITH THESE FACILITIES WILL BE ENABLED THROUGH IDIQ.",National Aeronautics and Space Administration,2008-11-07,2018-02-28,
software development,NNG09DA01C,PERATON INC.,1200320663.04,"NASA GODDARD SPACE FLIGHT CENTER'S (GSFC) GOAL FOR THE SPACE COMMUNICATIONS NETWORKS SERVICES CONTRACT (SCNS) IS TO ENABLE MISSION SUCCESS FOR EVERY CUSTOMER USING SCNS SERVICES. KEY OBJECTIVES OF THE SCNS CONTRACT ARE TO DECREASE COST AND MAINTAIN OR IMPROVE OPERATIONAL EFFICIENCY AND RELIABILITY, WHILE MAINTAINING AN ACCEPTABLE LEVEL OF RISK AND PROVIDING FOR SAFE OPERATION OF THE MISSIONS. THE CONTRACTOR SHALL IMPLEMENT A SAFETY, HEALTH, AND MISSION ASSURANCE PROGRAM THAT PROVIDES A SAFE AND HEALTHY WORK ENVIRONMENT, MINIMIZES PROGRAM RISK, AND MAXIMIZES NASA MISSION SUCCESS. THE CONTRACTOR SHALL BE RESPONSIBLE AND ACCOUNTABLE FOR ACHIEVING THE REQUIRED RESULTS. CORE REQUIREMENT FUNCTIONS, SUCH AS CONFIGURATION MANAGEMENT, QUALITY ASSURANCE, ETC. ARE REQUIRED TO SUPPORT IDIQ TASK ORDERS. THE SPACE NETWORK (SN) IS COMPRISED OF A FLEET OF ON-ORBIT TRACKING AND DATA RELAY SATELLITES (TDRS) AND ASSOCIATED GROUND SYSTEMS THAT PROVIDE TELECOMMUNICATIONS SERVICES. THE NATURE OF THE SN ARCHITECTURE, I.E., EXTREMELY LARGE CAPITAL INVESTMENT, CONTRACTOR OPERATED FACILITIES, CONTINUOUS 24X7 REQUIREMENTS, ETC., LENDS ITSELF TO A CORE REQUIREMENTS APPROACH. THE GROUND NETWORK (GN) CONSISTS OF AN ORBITAL TRACKING NETWORK AND THE SATELLITE LASER RANGING NETWORK. THE NATURE OF THE GROUND NETWORK ARCHITECTURE, I.E., DIVERSE MIX OF COMMERCIAL AND GOVERNMENT ASSETS, EVOLVING GEOGRAPHIC AND TECHNICAL CUSTOMER REQUIREMENTS, AND LEGACY SYSTEMS, ETC. LENDS ITSELF TO AN IDIQ APPROACH. OTHER ACTIVITIES, I.E., VERY LONG BASELINE INTERFEROMETRY NETWORK OPERATIONS AND MAINTENANCE (O&M), ELECTRONIC SYSTEM TEST LABORATORY, REQUIREMENTS DEVELOPMENT, HARDWARE AND SOFTWARE DEVELOPMENT, ETC. ARE BEST SUITED TO AN IDIQ APPROACH IN THE RESOURCE-CONSTRAINED ENVIRONMENT THAT NASA OPERATES IN.",National Aeronautics and Space Administration,2008-10-11,2019-10-08,
software development,HQ085622F0001,NORTHROP GRUMMAN SYSTEMS CORPORATION,560215072.26,"GWS SOFTWARE DEVELOPMENT (GFC, IDT, GSS,",Department of Defense,2022-07-29,2027-09-30,
software development,NNG08HZ00C,LOCKHEED MARTIN CORPORATION,486224471.0,"TAS::80 0110::TAS GEOSTATIONARY LIGHTNING MAPPER (GLM) INSTRUMENT THE FOR GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES (GOES) R.  THE CONTRACTOR SHALL PROVIDE THE PERSONNEL, MATERIALS, FACILITIES AND OTHER RESOURCES TO DESIGN, DEVELOP, DELIVER (TO THE DESIGNATED DESTINATION) AND SUPPORT UNDER THE BASIC CONTRACT: A) PARTS AND MATERIALS FOR AN ENGINEERING DEVELOPMENT UNIT (EDU) AND 4 FLIGHT MODELS B) ONE GLM ENGINEERING DEVELOPMENT UNIT (EDU) C) ONE GLM PROTO-FLIGHT MODEL (PFM) DESIGNATED FLIGHT MODEL-1 (FM-1) D) THREE SETS OF THE ELECTRICAL SYSTEM TEST EQUIPMENT (ESTE) E) TWO GLM EMULATORS (GLME) F) TWO FLIGHT SOFTWARE DEVELOPMENT ENVIRONMENTS (FSDES) G) ONE GROUND PROCESSING DEMONSTRATION SYSTEM (GPDS) H) SPARES FOR THE FOUR FMS I) ALL ADDITIONAL GLM MECHANICAL AND ELECTRICAL GROUND SUPPORT EQUIPMENT (MGSE AND EGSE) CALLED OUT ELSEWHERE IN THIS DOCUMENT J) ALL ITEMS AND DOCUMENTS SPECIFIED IN ALL CONTRACT DOCUMENTS",National Aeronautics and Space Administration,2007-12-13,2039-06-25,
software development,NNG07HW20C,LOCKHEED MARTIN CORPORATION,325409715.0,"TAS::80 0114::TAS SOLAR ULTRAVIOLET IMAGER (SUVI) INSTRUMENT.  THIS CONTRACT IS FOR THE DESIGN, ANALYZE, DEVELOP, FABRICATE, INTEGRATE, TEST, EVALUATE AND SUPPORT LAUNCH OF THE SOLAR ULTRAVIOLET IMAGER (SUVI) INSTRUMENT, SUPPLY AND MAINTAIN THE INSTRUMENT GROUND SUPPORT EQUIPMENT (GSE), AND SUPPORT THE SATELLITE OPERATIONS CONTROL CENTER (SOCC).  THE SUVI IS CLASSIFIED AS A NON-PRIMARY INSTRUMENT ON THE GOES-R SATELLITE AND HAS A RISK CLASSIFICATION OF B. THE SUVI INSTRUMENT PROVIDES A BROADBAND IMAGING IN THE EXTREME ULTRAVIOLET WAVELENGTH RANGE TO MONITOR THE ENTIRE DYNAMIC RANGE OF SOLAR FEATURES, FROM CORONAL HOLES TO FLARES, AS WELL AS THE ESTIMATE OF TEMPERATURE AND EMISSION MEASURE.  THESE DATA ARE USED FOR GEOMAGNETIC STORM FORECASTS AND FORECASTS OF SOLAR ENERGETIC PARTICLE EVENTS RELATED TO FLARES.  THE CONTRACTOR SHALL PROVIDE THE PERSONNEL, MATERIALS, FACILITIES AND OTHER RESOURCES TO DESIGN, DEVELOP, DELIVER AND SUPPORT UNDER THE BASIC CONTRACT: A) PARTS AND MATERIALS FOR 4 FLIGHT MODELS B) ONE SUVI FLIGHT MODEL (FM) C) THREE SETS OF THE ELECTRICAL SYSTEM TEST EQUIPMENT (ESTE) D) TWO SUVI EMULATORS (SUVIES) E) TWO FLIGHT SOFTWARE DEVELOPMENT ENVIRONMENTS (FSDES) F) ONE GROUND PROCESSING DEVELOPMENT SYSTEM (GPDS) G) SPARES FOR THE FOUR FMS H) ALL ADDITIONAL SUVI MECHANICAL AND ELECTRICAL GROUND SUPPORT EQUIPMENT (MGSE AND EGSE) CALLED OUT ELSEWHERE IN THIS DOCUMENT I) ALL ITEMS AND DOCUMENTS SPECIFIED IN ALL CONTRACT DOCUMENTS",National Aeronautics and Space Administration,2007-09-24,2039-04-30,
software development,HQ085221F0006,LOCKHEED MARTIN CORPORATION,290437985.11,"SPIRAL 8.2-7 SOFTWARE DEVELOPMENT - DEVELOP AND DEPLOY THE COMMAND AND CONTROL, BATTLE MANAGEMENT AND COMMUNICATIONS (C2BMC) CAPABILITY IN MULTIPLE PHASES THROUGH FY 2024 AND PLANNING FOR FUTURE BMDS INCREMENTS.",Department of Defense,2021-04-09,2026-09-30,
