program_name,piid,recipient_name,award_amount,description,agency,sub_agency,start_date,end_date
DISA,75ACF121C00023,"MVM, INC.",369516064.71,"CONTRACTOR WILL PROVIDE STAFFING AND RESOURCES NECESSARY TO ARRANGE TRAVEL AND ESCORT FOR UC IN ORR CUSTODY.     SERVICES WILL BE NEEDED TO SUPPORT UC HOUSED AT TWO SITES IN DALLAS, TX FOR UP TO 2,600",Department of Health and Human Services,Administration for Children and Families,2021-03-25,2025-11-30
DISA,EDIES13C0019,"WESTAT, INC.",344388515.0,"""CRITICAL FUNCTIONS"" IGF::CT::IGF THE SAMPLING AND DATA COLLECTION CONTRACTOR DESIGNS AND CONDUCTS THE SAMPLING AND DATA COLLECTION ACTIVITIES AND PREPARES THE SAMPLING AND VARIANCE ESTIMATION WEIGHTS",Department of Education,Department of Education,2013-03-07,2019-07-31
DISA,W912DR08C0012,HENSEL PHELPS CONSTRUCTION CO,276710950.0,CONSTRUCT DISA HEADQUARTERS FACILITY (SA NOTE:  THIS IS A FFP ACTION ORIGINALLY(EC)),Department of Defense,Department of the Army,2008-02-29,2011-04-01
DISA,W912PL12C0005,TURNER CONSTRUCTION COMPANY,236243158.2,"CONSTRUCT A REPLACEMENT HOSPITAL AT FORT IRWIN, CA TO PROVIDE NEW TERTIARY CARE, EMERGENCY MEDICINE, CLINICAL SUPPORT ACTIVITIES, AND RENOVATION OF EXISTING MARY WALKER CLINIC. VACATED FACILITIES WILL",Department of Defense,Department of the Army,2012-05-09,2021-07-23
DISA,75ACF121C00089,THE PROVIDENCIA GROUP LLC,191299809.0,"THE SCOPE OF WORK (SOW) INCLUDES PROGRAM MANAGEMENT AND OPERATIONAL READINESS TO SUPPORT CASE MANAGEMENT SERVICES, SPONSOR ASSESSMENTS AND VERIFICATION, AS WELL AS TIMELY UC REUNIFICATION.",Department of Health and Human Services,Administration for Children and Families,2021-08-26,2023-06-15
DISA,NNG12FA45C,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",182059178.88,"PHASE A THROUGH F - ICON.  THIS CONTRACT IS FOR THE UNIVERSITY OF CALIFORNIA (UCB) AT BERKELEY SPACE SCIENCES LABORATORY, THE PRIME CONTRACTUAL INTERFACE FOR NASA FOR THE IONOSPHERIC CONNECTION EXPLOR",National Aeronautics and Space Administration,National Aeronautics and Space Administration,2012-01-11,2026-06-30
DISA,0057,"INSIGHT PUBLIC SECTOR, INC.",151708068.53,MICROSOFT BELOW-THE-LINE FOR DISA,Department of Defense,Defense Information Systems Agency,2013-11-05,2014-10-31
DISA,0171,"INSIGHT PUBLIC SECTOR, INC.",151708068.5,MICROSOFT BELOW-THE-LINE FOR DISA,Department of Defense,Defense Information Systems Agency,2014-10-30,2015-10-31
DISA,0254,"INSIGHT PUBLIC SECTOR, INC.",151707285.95,MICROSOFT BELOW-THE-LINE FOR DISA,Department of Defense,Defense Information Systems Agency,2015-10-31,2016-10-31
DISA,EPW05049,CDM FEDERAL PROGRAMS CORPORATION,145863709.03,"THIS REMEDIAL ACTION CONTRACT 2 FULL SERVICE (RAC 2 FS) FOR EPA'S REGION 8 PROVIDES PROFESSIONAL ARCHITECT/ENGINEER, TECHNICAL, AND MANAGEMENT SERVICES TO SUPPORT REMEDIAL RESPONSE, ENFORCEMENT OVERSI",Environmental Protection Agency,Environmental Protection Agency,2005-10-01,2020-11-24
DISA,W912PL24C0019,KORTE CONSTRUCTION COMPANY,144207474.75,DISASTER RESILIENCY PROGRAM (DRP) PHASE 1,Department of Defense,Department of the Army,2024-10-10,2027-04-30
DISA,W56HZV14C0146,AM GENERAL LLC,132941765.32,"RECAPITALIZE THE ARMY NATIONAL GUARD S (ARNG) AGING FLEET OF HIGH MOBILITY MULTI-WHEELED VEHICLE (HMMWV) M1152A1B2 AND M1165A1B3 VARIANTS.  AMG WILL RECAP HMMWVS TO CURRENT HMMWV CONFIGURATION, IN A L",Department of Defense,Defense Contract Management Agency,2014-06-11,2015-06-30
DISA,75ACF121C00025,RAPID DEPLOYMENT INC,126121929.11,WRAP AROUND SERVICES,Department of Health and Human Services,Administration for Children and Families,2021-03-31,2021-06-30
DISA,47QFCA22C0003,LIFE SCIENCE LOGISTICS LLC,123818689.0,EO14042 MANAGED SERVICES SUPPORT FOR GOVERNMENT-OWNED PHARMACEUTICAL MEDICAL SUPPLIES AND MEDICAL EQUIPMENT SITE M,General Services Administration,Federal Acquisition Service,2021-11-05,2026-11-04
DISA,NNG10FE01C,"PRIMUS SOLUTIONS, LLC",111428006.42,"GODDARD UNIFIED ENTERPRISE SERVICES AND TECHNOLOGY (GUEST) CONTRACT.  IN ORDER TO DEVELOP, INTEGRATE, SUSTAIN, AND MANAGE IT INFRASTRUCTURE AND SYSTEMS, GSFC REQUIRES SUPPORT SERVICES IN THE AREAS OF ",National Aeronautics and Space Administration,National Aeronautics and Space Administration,2010-05-16,2016-11-15
DISA,W912PL25C0037,KORTE CONSTRUCTION COMPANY,106114818.0,DISASTER RESILIENCY PROGRAM (DRP) PHASE 2 CREECH AFB NEVADA,Department of Defense,Department of the Army,2025-10-10,2027-10-10
DISA,72012124C00001,DOMESTIC AWARDEES (UNDISCLOSED),98416960.31,"THE USAID/UKRAINE HARVEST ACTIVITY AIMS TO ENABLE GRAIN AND OILSEED FARMERS, INCLUDING THOSE FROM MARGINALIZED AND UNDERSERVED GROUPS, AND WITH A SPECIAL FOCUS ON DISADVANTAGED FEMALE FARMERS, TO RETU",Agency for International Development,Agency for International Development,2024-03-30,2028-09-30
