program,piid,recipient,amount,description,agency,start_date,end_date
AEGIS,HQ085121C0002,LOCKHEED MARTIN CORPORATION,1392863801.29,AEGIS BASELINE 5.4.1 (BMD 4.2),Department of Defense,2020-11-01,2027-12-31
AEGIS,N0002414C5114,LOCKHEED MARTIN CORPORATION,1339010249.77,AEGIS WEAPON MK 7 MULTIYEAR PROCUREMENT,Department of Defense,2013-12-27,2024-12-31
AEGIS,N0002423C5123,LOCKHEED MARTIN CORPORATION,954155583.05,AEGIS F&S CONTRACT AWARD,Department of Defense,2023-01-01,2029-12-31
AEGIS,N0002416C5103,LOCKHEED MARTIN CORPORATION,540380878.7,AEGIS FOREIGN MILITARY SALES (FMS) LIFETIME SUPPORT (LTS),Department of Defense,2016-06-24,2024-08-02
AEGIS,N0002416C5144,RAYTHEON COMPANY,483202632.02,"FMS AND US AEGIS PRODUCTION (FCS AND SPY TRANSMITTER), PTC SUPPORT, AND ENGINEERING SUPPORT REQUIREMENTS.",Department of Defense,2016-05-27,2027-12-31
AEGIS,N0002420C5105,LOCKHEED MARTIN CORPORATION,430832700.0,INTERNATIONAL AEGIS FIRE CONTROL LOOP,Department of Defense,2019-12-20,2029-12-31
AEGIS,N0002418C5103,LOCKHEED MARTIN CORPORATION,425604311.78,AEGIS DEVELOPMENT AND TEST SITES OPERATION AND MAINTENANCE,Department of Defense,2018-06-20,2024-08-26
F-35,N0001921C0020,LOCKHEED MARTIN CORPORATION,7953264130.5,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,Department of Defense,2020-12-31,2027-12-30
F-35,N0001911C0083,LOCKHEED MARTIN CORPORATION,7185242552.16,F-35 LIGHTNING II JOINT STRIKE FIGHTER (JSF) LOW RATE INITIAL PRODUCTION (LRIP) LOT 6 ADVANCE ACQUISITION CONTRACT,Department of Defense,2011-08-08,2023-05-31
F-35,N0001913C0008,LOCKHEED MARTIN CORPORATION,6035358369.47,F-35 LRIP 8 AAC,Department of Defense,2013-02-28,2100-12-31
F-35,N0001923F0002,LOCKHEED MARTIN CORPORATION,2039748721.6,JPO F-35 CY23 MODS AND RETROFIT PROGRAM SUPPORT,Department of Defense,2023-01-01,2029-12-31
F-35,N0001920C0032,LOCKHEED MARTIN CORPORATION,1824077667.02,"SUPPORT EQUIPMENT, AUTONOMIC LOGISTICS INFORMATION SYSTEM HARDWARE, TRAINING SYSTEMS, SITE ACTIVATIONS, INTEGRATED CONTRACTOR SUPPORT, AND THE RELIABILITY AND MAINTAINABILITY IMPROVEMENT PROGRAM FOR T",Department of Defense,2020-07-17,2029-12-30
F-35,N0001922C0041,LOCKHEED MARTIN CORPORATION,1548368728.9,"F-35 DEVELOPMENTAL FOUNDATION CONTRACT 3 - THIS CONTRACT PROVIDES A FOUNDATION, IN SUPPORT OF F-35 DEVELOPMENTAL FLIGHT TEST AT EDWARDS AIR FORCE BASE, NAVAL AIR STATION PATUXENT RIVER, AND F-35 DEVEL",Department of Defense,2022-05-17,2027-03-31
F-35,N0001917C0045,LOCKHEED MARTIN CORPORATION,1443726578.57,FY17A F-35 SUSTAINMENT - FMS,Department of Defense,2017-03-01,2021-04-30
F-35,N0001920F0571,LOCKHEED MARTIN CORPORATION,1008210264.71,F-35 MODS AND RETROFIT ANNUAL SUPPORT,Department of Defense,2020-05-01,2031-01-31
F-35,N0001918F0584,LOCKHEED MARTIN CORPORATION,894388941.72,F-35 LIGHTNING II COMMON SPARES PARTS,Department of Defense,2018-03-08,2027-08-13
F-35,N0001923C0058,LOCKHEED MARTIN CORPORATION,635797370.0,"INTEGRATION EFFORTS FOR AN F-35 FOREIGN MILITARY SALES (FMS) CUSTOMER INCLUDING PROGRAM MANAGEMENT, NON-RECURRING UNIQUE REQUIREMENTS, AND TRAINING.",Department of Defense,2023-08-17,2027-12-31
NRO,FA881818F0004,ORBITAL SCIENCES LLC,45674550.0,IGF::CT::IGF  NRO L-129 MISSION TO,Department of Defense,2017-12-21,2020-09-28
NRO,NRCHQ12T420015,"LEIDOS, INC.",16572869.8,"IGF::OT::IGF MOM FA2 IT OPERATIONS AND MAINTENANCE; ""TASK ORDER 15,"" NRO ENTERPRISE PROJECT MANAGEMENT (EPM) OPERATIONS AND MAINTENANCE",Nuclear Regulatory Commission,2012-03-12,2021-08-25
NRO,INA13PC00200,MERIDIAN ENGINEERING CO,13021374.28,"IGF::OT::IGF  DOT, NRO, PROJECT N55(2)2&4. ALAMO PROJECT",Department of the Interior,2013-09-23,2017-05-31
NRO,N6321318F0009,STANFORD LELAND JUNIOR UNIVERSITY,10320200.0,IGF::OT::IGF TUITION AND FEES FOR 6 STUDENTS IN WINTER QTR FY18 ON A NROTC SCHOLARSHIP ATTENDING STANFORD UNIVERSITY,Department of Defense,2018-01-16,2018-01-30
NRO,N6321318F0012,STANFORD LELAND JUNIOR UNIVERSITY,9000200.0,IGF::OT::IGF TUITION AND FEES FOR 5 STUDENTS IN SPRING SEM FY18 ON A NROTC SCHOLARSHIP ATTENDING STANFORD UNIVERSITY,Department of Defense,2018-03-07,2018-03-08
NRO,N6321318F0011,"UNIVERSITY OF CALIFORNIA, DAVIS",7000200.0,IGF::OT::IGF TUTION AND FEES FOR 9 STUDENTS IN SPRING QTR FY18 ON A NROTC SCHOLARSHIP ATTENDING UC DAVIS,Department of Defense,2018-03-08,2018-03-08
NRO,FA881822F0020,ASRC FEDERAL SYSTEM SOLUTIONS LLC,6177076.0,NROL-174 MISSION,Department of Defense,2022-03-18,2025-08-07
NRO,15BNAS21F00000030,"NTT DATA FEDERAL SERVICES, INC.",4484510.38,NRO HRM MARKETING & BRANDING PHASE II,Department of Justice,2021-06-21,2022-07-31
NRO,W912PL18F0121,CMCS - T SIMONS JV,3230682.0,IGF::OT::IGF NRO B3000 ROOF&DOORS REFUBISHMENT,Department of Defense,2018-09-12,2019-09-24
NRO,N3560A25FB063,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,3045019.0,SPRING 2025 NROTC MIDSHIPMEN TUITION AND ALLOWABLE FEES,Department of Defense,2025-03-06,2025-05-14
TRANSCOM,HQ042321F0004,SIKICH CPA LLC,26935574.64,AUDIT OF THE UNITED STATES TRANSPORTATION COMMAND (TRANSCOM) WORKING CAPITAL FUND (WCF) FY21-FY25,Department of Defense,2021-01-01,2025-12-31
TRANSCOM,HTC71116FD024,BOOZ ALLEN HAMILTON INC,26882776.26,IGF::OT::IGF TRANSCOM MEDICAL REGULATING AND COMMAND&CONTROL EVACUATION SYSTEM,Department of Defense,2016-06-01,2021-11-30
TRANSCOM,HQ042317F0071,SIKICH CPA LLC,19355212.83,IGF::CT::IGF AUDIT OF THE UNITED STATES TRANSPORTATION COMMAND (TRANSCOM) WORKING CAPITAL FUND (WCF) FY18-FY21,Department of Defense,2017-06-01,2020-12-31
TRANSCOM,HTC71113CD001,"TRI-COR INDUSTRIES, INC",12313546.26,IGF::OT::IGF TRANSCOM REFERENCE DATA MANAGEMENT,Department of Defense,2013-06-01,2018-03-31
TRANSCOM,47QFSA22F0026,DELL MARKETING L.P.,8647275.36,TRANSCOM O365 LICENSE,General Services Administration,2021-11-01,2024-10-31
TRANSCOM,HTC71123FD009,FEDTEC LLC,5901463.8,TRANSCOM REFERENCE DATA MANAGEMENT (TRDM),Department of Defense,2022-10-27,2026-09-30
TRANSCOM,12A2,"CACI-ISS, LLC",5593162.05,US TRANSCOM AND COMPONENT COMMAND ENGINEERING AND DEVELOPMENT SUPPORT.,Department of Defense,2012-02-27,2014-09-30
TRANSCOM,FA701423F0001,GRANT THORNTON PUBLIC SECTOR LLC,2449216.0,PKS-WILLIAMS-BERISH-AFSTS TASK ORDER TRANSCOM CIVIL RESERVE FLEET  BUSINESS CASE ANALYSIS,Department of Defense,2022-10-03,2023-12-01
TRANSCOM,47PG0224F0035,RB CONSTRUCTION COMPANY,2433073.47,"THIS GENERAL SERVICES ADMINISTRATION PROJECT IS REBUILD SPACE FOR UNITED STATES TRANSCOM OFFICE LOCATED AT THE ROBERT A YOUNG FEDERAL BUILDING, 1222 SPRUCE STREET, ST. LOUIS, MISSOURI 63103.",General Services Administration,2024-04-22,2025-09-19
TRANSCOM,89303218FEM400008,"MA-CHIS LOWER CREEK INDIAN TRIBE ENTERPRISES, INC.",2018011.82,FY2018 FUNDING TO PROVIDE THE EXECUTION OF THE MANAGEMENT AND OPERATIONS SERVICES FOR THE CARLSBAD FIELD OFFICE TRANSPORTATION TRACKING AND COMMUNICATION (TRANSCOM) COMMUNICATIONS CENTER.,Department of Energy,2018-02-15,2019-08-15
JWCC,W519TC25FA004,"AMAZON WEB SERVICES, INC.",62681935.71,"TASK ORDER AWARD AGAINST JWCC MULTIPLE-AWARD IDIQ CONTRACT HC105023D0005 TO AMAZON WEB SERVICES, INC. FOR AWS SECRET IL 4, 5, AND 6 (SECRET) CLOUD COMPUTE AND STORAGE SERVICES FOR THE ENTERPRISE CLOUD",Department of Defense,2024-11-22,2028-04-21
JWCC,HC102823F0383,"CHICKASAW STRATEGIC POINTE, LLC",12554945.67,JWCC ENGINEERING AND PMO SUPPORT,Department of Defense,2023-05-01,2026-04-30
JWCC,HS002124F0043,SALIENT FEDERAL-SGIS INC,11065956.24,JWCC AMAZON WEB SERVICES,Department of Defense,2024-09-05,2026-09-04
JWCC,W519TC25FA214,GOOGLE PUBLIC SECTOR LLC,3685628.12,"TASK ORDER AWARD AGAINST JWCC MULTIPLE-AWARD IDIQ CONTRACT HC105023D0002 TO GOOGLE PUBLIC SECTOR LLC FOR GOOGLE IL 2, 4, 5, AND 6 (SECRET)  CLOUD PLATFORM CLOUD COMPUTING SERVICES.",Department of Defense,2025-09-12,2026-09-11
JWCC,HC105023F0009,"AMAZON WEB SERVICES, INC.",1307721.83,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) SANDBOX TASK ORDER,Department of Defense,2023-03-23,2026-03-23
JWCC,SP470123F0224,"ORACLE AMERICA, INC",1239565.24,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) TASK ORDER FOR ORACLE CLOUD INFRASTRUCTURE SERVICES FOR ICAM PROGRAM MANAGEMENT SUPPORT SERVICES,Department of Defense,2023-09-29,2026-09-28
JWCC,HC105025F0019,"AMAZON WEB SERVICES, INC.",1020116.67,TRANSITION PACKAGE 2 IL5 AND IL6 CLOUD TO JWCC,Department of Defense,2025-04-18,2026-05-31
JWCC,SP470125F0006,"AMAZON WEB SERVICES, INC.",847634.66,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) TASK ORDER FOR AMAZON WEB SERVICES (AWS),Department of Defense,2024-11-01,2027-10-31
JWCC,HC105023F0006,GOOGLE PUBLIC SECTOR LLC,830216.69,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) SANDBOX TASK ORDER,Department of Defense,2023-03-23,2026-03-23
JWCC,HC105023F0008,"ORACLE AMERICA, INC",761204.48,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) SANDBOX TASK ORDER,Department of Defense,2023-03-23,2026-03-23
DARPA,HR001124C0304,LOCKHEED MARTIN CORPORATION,407392312.16,DARPA RESEARCH PROJECT,Department of Defense,2023-10-17,2027-01-16
DARPA,HR001120C0074,LOCKHEED MARTIN CORPORATION,386556612.0,DARPA RESEARCH PROJECT,Department of Defense,2020-09-25,2025-12-31
DARPA,HR001115F0002,"AGILE DEFENSE, LLC",225175186.04,IGF::CT::IGF DARPA MISSION SYSTEMS OFFICE INFORMATION TECHNOLOGY DIRECTORATE IT SYSTEMS SERVICES AND SUPPORT TASK ORDER.,Department of Defense,2015-02-13,2021-09-14
DARPA,HR001125F0008,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,202144148.0,DARPA RESEARCH PROGRAM SUPPORT SERVICES,Department of Defense,2025-01-16,2026-02-15
DARPA,HR001116C0001,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",183771355.97,IGF::CT::IGF CLASSIFIED NETWORK SUPPORT SERVICES FOR THE DEFENSE ADVANCED RESEARCH PROJECTS AGENCY (DARPA) MISSION SERVICES OFFICE (MSO).,Department of Defense,2016-03-01,2021-09-14
DARPA,HR001106C0052,"HRL LABORATORIES, LLC",167784695.95,"200611!600383!9700!HR0011!DARPA CONTRACT MANAGEMENT DIR.  !HR001106C0052  !A!N! !N!             !      !20060613!20061110!836301622!836301622!836301622!N!HRL LABORATORIES, LLC         !3011 MALIBU CAN",Department of Defense,2006-06-13,2014-12-31
DARPA,HR001110C0140,NORTHROP GRUMMAN SYSTEMS CORPORATION,136410515.77,DARPA RESEARCH PROJECT,Department of Defense,2010-07-08,2017-12-31
DARPA,HR001121F0012,BOOZ ALLEN HAMILTON INC,130627339.19,DARPA ENTERPRISE SUPPORT SERVICES,Department of Defense,2021-05-22,2026-05-21
DARPA,HR001120C0038,LOCKHEED MARTIN CORPORATION,116315934.0,"THE CONTRACTOR SHALL SUPPORT THE DARPA'S OPERATIONAL FIRES (OPFIRES)PHASE 3 PROGRAM TO ENABLE CAPABILITIES FOR A MOBILE, GROUND-LAUNCHED TACTICAL WEAPON DELIVERY SYSTEM CAPABLE OF CARRYING A VARIETY O",Department of Defense,2020-01-10,2024-05-03
DARPA,HR001112C0086,"LEIDOS, INC.",104893180.91,"THE CONTRACTOR WILL PERFORM PHASES 2-4 OF THE ANTI-SUBMARINE WARFARE (ASW) CONTINUOUS TRAIL UNMANNED VESSEL (ACTUV) PROGRAM. THE CONTRACTOR WILL DESIGN, CONSTRUCT, AND DEMONSTRATE A PROTOTYPE ACTUV VE",Department of Defense,2012-08-14,2020-06-30
SLS,80KSC019C0013,"BECHTEL NATIONAL, INC.",1474889354.01,DESIGN AND CONSTRUCTION OF THE NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).,National Aeronautics and Space Administration,2019-07-01,2026-06-05
SLS,NNM12AA82C,THE BOEING COMPANY,1218636376.0,INTERIM CRYOGENIC PROPULSION STAGE FOR SLS,National Aeronautics and Space Administration,2012-10-01,2027-12-31
SLS,70B01C26F00000029,SLS FEDERAL SERVICES LLC,664774000.0,VERTICAL BARRIER CONSTRUCTION,Department of Homeland Security,2025-12-16,2028-08-31
SLS,W912PP19C0018,"SLSCO, LTD.",601796833.49,"EL PASO SECTOR WALL REPLACEMENT, EL PASO SECTOR, NM",Department of Defense,2019-04-09,2021-09-02
SLS,70B01C23F00001236,"SLSCO, LTD.",381066064.96,BORDER INFRASTRUCTURE CONSTRUCTION,Department of Homeland Security,2023-09-28,2027-09-30
SLS,70B01C26F00000003,SLS FEDERAL SERVICES LLC,372832130.0,DEL RIO TEXAS-3 CARRIZO SPRINGS WATERBORNE & VERTICAL BARRIERS AND ATTRIBUTES DESIGN BUILD CONSTRUCTION PROJECT,Department of Homeland Security,2025-11-21,2028-08-30
SLS,N6274225C1308,"SLSCO, LTD.",327270000.0,"FY23 MCON P-923 AIRCRAFT PARKING APRON, ROYAL AUSTRALIAN AIR FORCE BASE, DARWIN, AUSTRALIA",Department of Defense,2025-03-31,2028-05-29
SLS,NNM16AA12C,"AEROJET ROCKETDYNE, INC.",280651371.42,"EXPLORATION UPPER STAGE ENGINES  MSFC WILL PROCURE TEN (10) RL10 FLIGHT ENGINES FROM AEROJET ROCKETDYNE, INC. TO SUPPORT THE SPACE LAUNCH SYSTEM (SLS) EXPLORATION MISSIONS 2 AND 3 (EM-2 AND EM-3). EAC",National Aeronautics and Space Administration,2016-04-01,2028-12-31
SLS,W9126G19C0011,"SLSCO, LTD.",260161221.67,"CALIFORNIA PRIMARY AND SECONDARY PEDESTRIAN FENCE REPLACEMENTS, 30 FOOT HIGH SDC SECONDARY FENCE, DEPARTMENT OF HOMELAND SECURITY CUSTOMS AND BORDER PROTECTION",Department of Defense,2018-12-20,2022-12-20
SLS,W50UW820F0010,"SLSCO, LTD.",232387238.65,EL PASO C/D (34.97 MILES) PRIMARY AND SECONDARY BARRIER WALL REPLACEMENT PROJECT,Department of Defense,2020-04-22,2021-09-02
Alliant,0018,ALLIANT TECHSYSTEMS OPERATIONS LLC,668091298.47,SMALL CALIBER AMMUNITION,Department of Defense,2008-01-02,2012-08-31
Alliant,0002,ALLIANT TECHSYSTEMS OPERATIONS LLC,648867601.24,SMALL CAL REQUIREMENTS,Department of Defense,2009-10-27,2013-09-14
Alliant,0003,ALLIANT TECHSYSTEMS OPERATIONS LLC,584249510.9,OBLIGATE FUNDING FOR THE IMPROVED 5.56MM COMMERCIAL PACK PHASE III (PROJECT EXECUTION PHASE).,Department of Defense,2010-11-10,2013-09-30
Alliant,0001,ALLIANT TECHSYSTEMS OPERATIONS LLC,582218089.41,"SMALL CALIBER AMMUNITION (5.56MM, 7.62MM, CAL .22, CAL. 30, CAL .45, CAL .50)",Department of Defense,2009-03-24,2013-09-30
Alliant,N0001919C0050,ALLIANT TECHSYSTEMS OPERATIONS LLC,562154534.59,SYSTEMS ENGINEERING AND DEVELOPMENT,Department of Defense,2019-03-07,2025-07-30
Alliant,0004,ALLIANT TECHSYSTEMS OPERATIONS LLC,416878259.36,DELIVERY ORDER 0004 BASIC AWARD (.50 CAL),Department of Defense,2011-09-23,2015-09-30
Alliant,N0001917C0005,ALLIANT TECHSYSTEMS OPERATIONS LLC,370008784.39,AGM-88E AARGM ALL UP ROUND (AUR),Department of Defense,2017-08-31,2021-10-31
Alliant,N0001919C0049,ALLIANT TECHSYSTEMS OPERATIONS LLC,351258060.84,AGM-88E AARGM ALL UP ROUND (AUR),Department of Defense,2019-07-29,2026-12-31
Alliant,0001,ALLIANT TECHSYSTEMS OPERATIONS LLC,310813439.87,"LCAAP PRODUCTION CONTRACT, DELIVERY ORDER 0001 - INITIAL AWARD.",Department of Defense,2012-10-01,2015-03-31
Alliant,2032H520F00200,BOOZ ALLEN HAMILTON INC,305453250.98,"THE INTERNAL REVENUE SERVICE (IRS), OFFICE OF INFORMATION TECHNOLOGY OFFICE, ISSUES THIS ORDER UNDER GSA ALLIANT 2 (UNRESTRICTED).  ENTERPRISE CASE MANAGEMENT (ECM) SOLUTION INTEGRATION SERVICES",Department of the Treasury,2020-04-16,2025-10-15
SOCOM,HC101318F0179,"GLOBAL ENTERPRISE SOLUTIONS, INC.",103191482.68,BRIDGE TASK ORDER FOR SOCOM DEPLOYED OPERATIONS COMSATCOM SUPPORT,Department of Defense,2018-07-01,2019-06-30
SOCOM,W912HV15C0004,"NISHIMATSU CONSTRUCTION CO.,LTD.",63212743.03,"IGF::OT::IGF  FY14 SOCOM PN 78024, SPECIAL OPERATION FORCES (SOF) AUGMENTATION FACILITY, TORII STATION, OKINAWA, JAPAN",Department of Defense,2015-06-09,2018-12-06
SOCOM,0003,"LEIDOS, INC.",55893039.45,U.S. SOCOM SITEC SPECIALTY SERVICES,Department of Defense,2012-07-15,2018-03-14
SOCOM,GSQ0017AJ0065,HII MISSION TECHNOLOGIES CORP,48243447.38,IGF::OT::IGF  THIS TASK ORDER PROVIDES C5ISR PROFESSIONAL SUPPORT TO THE US SOCOM.,General Services Administration,2017-09-28,2020-09-28
SOCOM,H9240420F0203,CIPHER TECH SOLUTIONS INC,35331354.48,TECHEX CUSTOMIZED COMMERCIAL IT SOLUTIONS FOR SOCOM,Department of Defense,2020-08-17,2026-02-16
SOCOM,W912DR21C0056,MANHATTAN CONSTRUCTION COMPANY LLC,34581681.0,SOCOM HUMPHREYS ENGINEER CENTER TRAINING SUPPORT FACILITY,Department of Defense,2021-09-30,2025-05-31
SOCOM,0002,PERATON ENTERPRISE SOLUTIONS LLC,31492480.96,U.S. SOCOM SITEC DATA CENTER,Department of Defense,2012-04-01,2024-01-29
SOCOM,47QFLA20F0233,"L3 TECHNOLOGIES, INC.",26249829.82,ID05190069001 L3 SOLE SOURCE IDIQ TO1 SOCOM CONUS OCONUS SNR TECHNICIANS,General Services Administration,2020-08-19,2025-08-18
SOCOM,W912DR22C0009,"COAKLEY & WILLIAMS CONSTRUCTION, INC.",22653396.19,SOCOM MSF HEC,Department of Defense,2022-02-04,2024-07-31
SOCOM,47QFLA20F0282,"L3 TECHNOLOGIES, INC.",20717150.91,L3 SOLE SOURCE IDIQ TO2 SOCOM RPA PRT AND SRVT SUSTAINMENT REQUIREMENTS,General Services Administration,2020-09-21,2026-06-01
