program_name,program_full_name,category,mention_count
He is the Program Manager on the Executive Fleet,He is the Program Manager on the Executive Fleet,General,1
25B program but may of other opportunities on the other,25B program but may of other opportunities on the other,General,1
VC-25B,VC-25B,General,1
Under the SLS,Under the SLS,General,1
The SLS,The SLS,General,1
She is involved with the Artemis Programs and the Starlight,She is involved with the Artemis Programs and the Starlight,General,1
KC-46,KC-46 Pegasus Tanker,Defense Program,1
Collin and Casey are the original creators of the SLS,Collin and Casey are the original creators of the SLS,General,1
ARCYBER-,ARCYBER-,General,1
Teams Meeting with Bryan to discuss Prime Story and how we can continue to support his DISA,Teams Meeting with Bryan to discuss Prime Story and how we can continue to support his DISA,General,1
ISRO,ISRO,General,1
met with Sean to discuss the ADVANA program and he is currently rolling off of the,met with Sean to discuss the ADVANA program and he is currently rolling off of the,General,1
I only have 6 subcontractors on the,I only have 6 subcontractors on the,General,1
contract just renewed and this is their,contract just renewed and this is their,General,1
their a mod to the GSA Alliant II,their a mod to the GSA Alliant II,General,1
NSA portfolio for the past,NSA portfolio for the past,General,1
t fall under the GSA Alliant,t fall under the GSA Alliant,General,1
ICHC,ICHC,General,1
which is kind of exciting to get them to change their mental models in how they see contractors and,which is kind of exciting to get them to change their mental models in how they see contractors and,General,1
DEIA,DEIA,General,1
s 3 years into the program and has only used a sub once for 1 position and that,s 3 years into the program and has only used a sub once for 1 position and that,General,1
REACT,REACT,General,1
ARAT,ARAT,General,1
REACT programs fall under the same RS3,REACT programs fall under the same RS3,General,1
Alliant II GWAC,Alliant II GWAC,General,1
GWAC,GWAC,General,1
Army Program Executive Office Command,Army Program Executive Office Command,General,1
Army revelant experience and Alliant,Army revelant experience and Alliant,General,1
army gave his contract away,army gave his contract away,General,1
Prior to issuing a subcontract for the WICRD,Prior to issuing a subcontract for the WICRD,General,1
working on caputure oppotunites right now with the AIMSS,working on caputure oppotunites right now with the AIMSS,General,1
IDIQ provided for WICRD,IDIQ provided for WICRD,General,1
Clear Bridge is a subcontractor to St Onge who is the prime on the,Clear Bridge is a subcontractor to St Onge who is the prime on the,General,1
VA EHRM program back in,VA EHRM program back in,General,1
Would use us on more of a contract or,Would use us on more of a contract or,General,1
VA EHRM program but is,VA EHRM program but is,General,1
GISIMS,GISIMS,General,1
NGA and DIA side,NGA and DIA side,General,1
He is the Program Manager for Global Health,He is the Program Manager for Global Health,General,1
GARDEM,GARDEM,General,1
there are a couple of different programs even within the,there are a couple of different programs even within the,General,1
Program Manager on EHRM,Program Manager on EHRM,General,1
OPIAS,OPIAS,General,1
DHS supporting emergency communication program,DHS supporting emergency communication program,General,1
Would be interested in both just contract and,Would be interested in both just contract and,General,1
VA sites going live,VA sites going live,General,1
NCIRD,NCIRD,General,1
MUMPS,MUMPS,General,1
PTAM,PTAM,General,1
The DIA,The DIA,General,1
CAMIN,CAMIN,General,1
JP is the program manager for the NCE,JP is the program manager for the NCE,General,1
NSA uses it for robotics,NSA uses it for robotics,General,1
On CITS CENTCOM,On CITS CENTCOM,General,1
they are canceling the program and starting over with a whole new,they are canceling the program and starting over with a whole new,General,1
navy enterprise programs are multi,navy enterprise programs are multi,General,1
METSII,METSII,General,1
NASA has a,NASA has a,General,1
Maximus was just awarded this contract early March and there is 6 years left on the,Maximus was just awarded this contract early March and there is 6 years left on the,General,1
OPTIMA,OPTIMA,General,1
USOC,USOC,General,1
He let me know that SOFETOPS will be absorbed by bigger SOUTHCOM,He let me know that SOFETOPS will be absorbed by bigger SOUTHCOM,General,1
SOUTHCOM,Southern Command,General,1
asked him about the ABMS,asked him about the ABMS,General,1
TeamsNext - follow on to the Teams contract,TeamsNext - follow on to the Teams contract,General,1
Army sites,Army sites,General,1
GILE,GILE,General,1
Mentioned Golden Dome and says he thinks they will take older existing contracts and,Mentioned Golden Dome and says he thinks they will take older existing contracts and,General,1
MARVIN,MARVIN,General,1
Reconnaissance and they are an Acquisition Program Office that hits every aspect of a,Reconnaissance and they are an Acquisition Program Office that hits every aspect of a,General,1
contract wraps up its base,contract wraps up its base,General,1
SDA programs but wouldnt tell me which specific,SDA programs but wouldnt tell me which specific,General,1
Looking for a new position because contract is ending in May and everyone on that,Looking for a new position because contract is ending in May and everyone on that,General,1
Karen is leaving the contract in 2 weeks to go to an Antartic bridge,Karen is leaving the contract in 2 weeks to go to an Antartic bridge,General,1
DHS subcontractors,DHS subcontractors,General,1
GSA OASIS Small Business,GSA OASIS Small Business,General,1
NGA specific SCI during their,NGA specific SCI during their,General,1
He said they signed the contract with LM which means the,He said they signed the contract with LM which means the,General,1
Works on the INSCOM,Works on the INSCOM,General,1
His new position on this program will be,His new position on this program will be,General,1
GOMR,GOMR,General,1
DCHRMS,DCHRMS,General,1
Navy ERP Task Order,Navy ERP Task Order,General,1
ALTESS just had to rebadge 38 contractors from different subs because they needed to get their,ALTESS just had to rebadge 38 contractors from different subs because they needed to get their,General,1
All contracts for candidates would be 12 months,All contracts for candidates would be 12 months,General,1
t have any immediate needs on the ACC,t have any immediate needs on the ACC,General,1
Program is moving slowly and they are utilizing their internal resources for the groundwork on the,Program is moving slowly and they are utilizing their internal resources for the groundwork on the,General,1
MIOES,MIOES,General,1
Current has 10 subs on the program on the OASIS,Current has 10 subs on the program on the OASIS,General,1
Eagle II is the name of the,Eagle II is the name of the,General,1
USMS,USMS,General,1
of the folks on the contract are,of the folks on the contract are,General,1
Met with Brad to get a review of how our new contractor is doing on the,Met with Brad to get a review of how our new contractor is doing on the,General,1
task orders on the AF FIAR,task orders on the AF FIAR,General,1
Disappointing as this,Disappointing as this,General,1
She also gave me the name of the program director over the new Digital Bloodhound,She also gave me the name of the program director over the new Digital Bloodhound,General,1
First monthly tag up with Carrie to discuss the status of the program and how our,First monthly tag up with Carrie to discuss the status of the program and how our,General,1
Met with Matt to discuss the onboarding status of our two new contractors supporting his,Met with Matt to discuss the onboarding status of our two new contractors supporting his,General,1
contractors supporting the,contractors supporting the,General,1
contractors on the,contractors on the,General,1
Met with Walter to better understand the FIP IV program and his role with the,Met with Walter to better understand the FIP IV program and his role with the,General,1
NGA and managing the crackdown,NGA and managing the crackdown,General,1
Met with Matt to discuss the first month performance of our contractors supporting his,Met with Matt to discuss the first month performance of our contractors supporting his,General,1
NGA lost 9,NGA lost 9,General,1
NGA which sees Deloitte being,NGA which sees Deloitte being,General,1
EMACS,EMACS,General,1
DoD contract that is predicated,DoD contract that is predicated,General,1
FDA contract is an operations and maintenance,FDA contract is an operations and maintenance,General,1
Convergence is the major sub on this contract but Todd is doing his best to utilize SB on the,Convergence is the major sub on this contract but Todd is doing his best to utilize SB on the,General,1
DoD contract,DoD contract,General,1
They got 2 weeks notice to fire all of their contractors and leave the,They got 2 weeks notice to fire all of their contractors and leave the,General,1
NGRC-,NGRC-,General,1
NGRC,NGRC,General,1
supporting CDC Digital Media,supporting CDC Digital Media,General,1
Media,Media,General,1
re reaching out to other programs to see whether the,re reaching out to other programs to see whether the,General,1
MMIII,MMIII,General,1
no conversions or subcontractor support for that portion of the,no conversions or subcontractor support for that portion of the,General,1
DCCO,DCCO,General,1
global EDGE Sites,global EDGE Sites,General,1
Sites,Sites,General,1
Navy org only leverages JWCC,Navy org only leverages JWCC,General,1
METTSII,METTSII,General,1
METSSII,METSSII,General,1
VA for INSCOM earlier this,VA for INSCOM earlier this,General,1
Army INSCOM projects that we,Army INSCOM projects that we,General,1
contract pending award but is Microsoft IC specific,contract pending award but is Microsoft IC specific,General,1
nga nd Greg is the,nga nd Greg is the,General,1
NSA MPO FSP Sr,NSA MPO FSP Sr,General,1
NGA Virginia Intel Client portfolio,NGA Virginia Intel Client portfolio,General,1
NSA Maryland Client,NSA Maryland Client,General,1
He currently supports his 35 contracts through two,He currently supports his 35 contracts through two,General,1
Anthony is currently engaged in transferring his current,Anthony is currently engaged in transferring his current,General,1
ARMY Service Support Contract for,ARMY Service Support Contract for,General,1
he is the quality engineering manager for all NASA,he is the quality engineering manager for all NASA,General,1
VA revolving around Azure Sentinel,VA revolving around Azure Sentinel,General,1
SEWP,Solutions for Enterprise-Wide Procurement,Contract Vehicle,1
SEWP since it inception is a NASA,SEWP since it inception is a NASA,General,1
Follow up meeting to discuss the SEWP,Follow up meeting to discuss the SEWP,General,1
Kimberley took a new role with BAE out in Utah for their Sentinel,Kimberley took a new role with BAE out in Utah for their Sentinel,General,1
Melissa and I regrouped to discuss the programs close and how my current,Melissa and I regrouped to discuss the programs close and how my current,General,1
says he oversees alot of program managers who use more,says he oversees alot of program managers who use more,General,1
UCLASS,UCLASS,General,1
manages a team of 22 people and started on the contract as a,manages a team of 22 people and started on the contract as a,General,1
Reached out to me to help him find a Client Engagement,Reached out to me to help him find a Client Engagement,General,1
for his open Client Engagement,for his open Client Engagement,General,1
Army VMOD programs from the,Army VMOD programs from the,General,1
Engaged with full spectrum of Army VMOD,Engaged with full spectrum of Army VMOD,General,1
Discussion regarding sharing resources with CITS and other Alliant 2,Discussion regarding sharing resources with CITS and other Alliant 2,General,1
Additional PO for the IDIQ value over 10M issued to add additional,Additional PO for the IDIQ value over 10M issued to add additional,General,1
Setting up IDIQ rates for the whole,Setting up IDIQ rates for the whole,General,1
Ms on contract now and they are not in a heavy hiring position on the,Ms on contract now and they are not in a heavy hiring position on the,General,1
he is over the SOC programs and would provide infomation on CNPS,he is over the SOC programs and would provide infomation on CNPS,General,1
CNPS,CNPS,General,1
3 openings for Guardian Angle,3 openings for Guardian Angle,General,1
heavy user if IG on both Contract to hire and Longterm,heavy user if IG on both Contract to hire and Longterm,General,1
going to itroduce us to some of his program folks for buts in seats,going to itroduce us to some of his program folks for buts in seats,General,1
going after different opportunites but PORTS is a dying,going after different opportunites but PORTS is a dying,General,1
Navy contracts,Navy contracts,General,1
He has a general contractor that manages the project and he basically just manages the general,He has a general contractor that manages the project and he basically just manages the general,General,1
all of their subcontractors that support the Microsoft services that they offer as a direct,all of their subcontractors that support the Microsoft services that they offer as a direct,General,1
responses to JWCC,responses to JWCC,General,1
program within a,program within a,General,1
NSA sponsor site and the,NSA sponsor site and the,General,1
NSA site,NSA site,General,1
adding a couple new programs to the ITEMSS,adding a couple new programs to the ITEMSS,General,1
DIAMNNDSS and another,DIAMNNDSS and another,General,1
They lost contract and are closing the role out and not doing any hiring now for end of life of,They lost contract and are closing the role out and not doing any hiring now for end of life of,General,1
No program really as it is all Applied Research - falls within a branch,No program really as it is all Applied Research - falls within a branch,General,1
starting to recieve new task orders and allocate each employee to a,starting to recieve new task orders and allocate each employee to a,General,1
sister program to the POSTMAN,sister program to the POSTMAN,General,1
POSTMAN,POSTMAN,General,1
moving from Tsybo contract vehicle to individual task orders across a number of,moving from Tsybo contract vehicle to individual task orders across a number of,General,1
NUWC,NUWC,General,1
DISC -- IAC MAC Task Order,DISC -- IAC MAC Task Order,General,1
ACSS,ACSS,General,1
asked about skillsets we have on EDIS and if we have contracts on any other saic space,asked about skillsets we have on EDIS and if we have contracts on any other saic space,General,1
At this time we are not able to engage in adding new teammates to this,At this time we are not able to engage in adding new teammates to this,General,1
on their base contract year until next summer and it is a Fixed Firm price,on their base contract year until next summer and it is a Fixed Firm price,General,1
EPASS,EPASS,General,1
Tim is in Program Management but does not have any of his own,Tim is in Program Management but does not have any of his own,General,1
She helps manage the supply chain for the program but unfortunately her group does not utilize,She helps manage the supply chain for the program but unfortunately her group does not utilize,General,1
BPA with Accenture for all,BPA with Accenture for all,General,1
7 to make that happen or else our contractors will be read off from the,7 to make that happen or else our contractors will be read off from the,General,1
Our 3 contractors on her team she has listed as all must haves on the,Our 3 contractors on her team she has listed as all must haves on the,General,1
s over to us that will allow our contractors to start entering time into SETRIS for the new,s over to us that will allow our contractors to start entering time into SETRIS for the new,General,1
He has already had a couple contractors tell him they will be moving on from the,He has already had a couple contractors tell him they will be moving on from the,General,1
He said we have two contractors on the program that work on both,He said we have two contractors on the program that work on both,General,1
NGA but its unlikely,NGA but its unlikely,General,1
Discussed how the program was the first NGA program to adopt the modular,Discussed how the program was the first NGA program to adopt the modular,General,1
NGA program to adopt the,NGA program to adopt the,General,1
They are currently in year for of 5 of the contract and are on,They are currently in year for of 5 of the contract and are on,General,1
ORION,ORION,General,1
He is a hiring manager on the ORION,He is a hiring manager on the ORION,General,1
ORION is a production,ORION is a production,General,1
SLD is also a NASA program and stands for sustained lunar development,SLD is also a NASA program and stands for sustained lunar development,General,1
NGA clearance review but we,NGA clearance review but we,General,1
NGA clearance review has gone,NGA clearance review has gone,General,1
Corey reached out to express concerns regarding our one current contractor on the,Corey reached out to express concerns regarding our one current contractor on the,General,1
Also hoping to be winning another program soon that would be utilizing,Also hoping to be winning another program soon that would be utilizing,General,1
he is the quality engineering manager for most NASA,he is the quality engineering manager for most NASA,General,1
Ahmad is the only contractor on the,Ahmad is the only contractor on the,General,1
uses a 6 month contract to hire model when he has had,uses a 6 month contract to hire model when he has had,General,1
GEO-XO,GEO-XO,General,1
DOD and DISA,DOD and DISA,General,1
Army INSCOM customer,Army INSCOM customer,General,1
NGA and DIA,NGA and DIA,General,1
LMCO-CAOS-,LMCO-CAOS-,General,1
NSA will move,NSA will move,General,1
She shared that AEGIS just got a 10 year,She shared that AEGIS just got a 10 year,General,1
S for individual task orders under the,S for individual task orders under the,General,1
NGA through Lockheed,NGA through Lockheed,General,1
Navy HR program that IBM,Navy HR program that IBM,General,1
s providing my info to the LDAC and LITES III army,s providing my info to the LDAC and LITES III army,General,1
army programs down in Huntsville,army programs down in Huntsville,General,1
Program manager for IBM in Huntsville overseeing army,Program manager for IBM in Huntsville overseeing army,General,1
Contract mod will include a ceiling increase for the,Contract mod will include a ceiling increase for the,General,1
Navy SEAPORT,Navy SEAPORT,General,1
Contractors are normally a 12 month,Contractors are normally a 12 month,General,1
All of our contractors currently supporting AIC Test Harness,All of our contractors currently supporting AIC Test Harness,General,1
SCMANDER,SCMANDER,General,1
Army cyber programs out of,Army cyber programs out of,General,1
He used to work with Boyk for two PTS contractors currently supporting the Delta 6,He used to work with Boyk for two PTS contractors currently supporting the Delta 6,General,1
He is working with his subcontracting lead to get us written onto his,He is working with his subcontracting lead to get us written onto his,General,1
He is still supporting the FORGE program under the MOSSAIC,He is still supporting the FORGE program under the MOSSAIC,General,1
VA supporting the NGA for,VA supporting the NGA for,General,1
Is not working on the ASAALT or DASA DES programs but is familiar with the teams supporting the,Is not working on the ASAALT or DASA DES programs but is familiar with the teams supporting the,General,1
MFN2,MFN2,General,1
He is currently a program manager on the MFN2 program which is a state of Florida,He is currently a program manager on the MFN2 program which is a state of Florida,General,1
NGA and intel work,NGA and intel work,General,1
GEODSS,GEODSS,General,1
BETA,BETA,General,1
I also asked about our PTS contractors supporting the,I also asked about our PTS contractors supporting the,General,1
ISSOs and program manager when the,ISSOs and program manager when the,General,1
She is connecting me with Cameron Brady who is a subcontracts manager supporting the MOSSAIC,She is connecting me with Cameron Brady who is a subcontracts manager supporting the MOSSAIC,General,1
AFSTS,AFSTS,General,1
Met with Chris to discuss the funding the CAIC program received as part of the STS 2,Met with Chris to discuss the funding the CAIC program received as part of the STS 2,General,1
t have any immediate,t have any immediate,General,1
She is the intermediary for the intel,She is the intermediary for the intel,General,1
ETAC,ETAC,General,1
Erik is also the subcontracts lead on the SWIB,Erik is also the subcontracts lead on the SWIB,General,1
His ECIOSS program is undergoing integration with another,His ECIOSS program is undergoing integration with another,General,1
t an immediate need for,t an immediate need for,General,1
t have an immediate need for,t have an immediate need for,General,1
20 contractors on the SMORS,20 contractors on the SMORS,General,1
DCGS,DCGS,General,1
overseeing four contracts with 13,overseeing four contracts with 13,General,1
Did a full req qualification for the cost estimator role on the JSF FAACE,Did a full req qualification for the cost estimator role on the JSF FAACE,General,1
Navy ERP program and we,Navy ERP program and we,General,1
DoD programs including AF FIAR,DoD programs including AF FIAR,General,1
UCSA,UCSA,General,1
on work with DISA on the UCSA,on work with DISA on the UCSA,General,1
Both contractors are thriving on the new,Both contractors are thriving on the new,General,1
Navy FIP IV program,Navy FIP IV program,General,1
Navy ERP contract they won,Navy ERP contract they won,General,1
He estimated there to be 40 task orders on the FIAR,He estimated there to be 40 task orders on the FIAR,General,1
He mentioned the JWCC,He mentioned the JWCC,General,1
REMASS,REMASS,General,1
He just got a new engagement this past week and will only be using one vendor and one,He just got a new engagement this past week and will only be using one vendor and one,General,1
JEDI,JEDI,General,1
WITS,WITS,General,1
Army contracts,Army contracts,General,1
Will let me know immediately if there are any openings for,Will let me know immediately if there are any openings for,General,1
C2E and JWCC are,C2E and JWCC are,General,1
DHS program in the end,DHS program in the end,General,1
Contractors are green badges and does 6 month,Contractors are green badges and does 6 month,General,1
He is the Program Manager responsible for the entire,He is the Program Manager responsible for the entire,General,1
AFAAD,AFAAD,General,1
HACM,HACM,General,1
IMAX,IMAX,General,1
NGA and more strategic capture,NGA and more strategic capture,General,1
all 3 task orders that fall under NCTE,all 3 task orders that fall under NCTE,General,1
NCTE,NCTE,General,1
Ingalls-,Ingalls-,General,1
He has a team of 20 network engineers that support the Broadside program and GSI,He has a team of 20 network engineers that support the Broadside program and GSI,General,1
navy programs,navy programs,General,1
s I support and the various skillsets we support on this contract and throughout Leidos,s I support and the various skillsets we support on this contract and throughout Leidos,General,1
NSA in Laurel MD,NSA in Laurel MD,General,1
VA have in multiple engagements,VA have in multiple engagements,General,1
s a seat for any of the contractors that we lost on the new,s a seat for any of the contractors that we lost on the new,General,1
MCCOG,MCCOG,General,1
task orders is the best way to grow on the,task orders is the best way to grow on the,General,1
VA Suicide Prevention program he,VA Suicide Prevention program he,General,1
CIA is a big contract,CIA is a big contract,General,1
s 138 ppl between just Kansas City and Quantico on this,s 138 ppl between just Kansas City and Quantico on this,General,1
Army ECMA team that we,Army ECMA team that we,General,1
Peraton was notified by the Army ECMA team that we were not selected for the EAMM,Peraton was notified by the Army ECMA team that we were not selected for the EAMM,General,1
DoD program,DoD program,General,1
MIDS,MIDS,General,1
VA programs on the federal,VA programs on the federal,General,1
IMPACT,IMPACT,General,1
supporting MCCOG which is a SEAPORT,supporting MCCOG which is a SEAPORT,General,1
program is the main,program is the main,General,1
Subcontract,Subcontract,General,1
Lindsay took over as Subcontract,Lindsay took over as Subcontract,General,1
of the 450 ppl on program are,of the 450 ppl on program are,General,1
Army ITES experience,Army ITES experience,General,1
Dianah wants to talk to us about teaming on a JSP,Dianah wants to talk to us about teaming on a JSP,General,1
HPMS,HPMS,General,1
Quick intro and past performance on AF contracts and what bases we have,Quick intro and past performance on AF contracts and what bases we have,General,1
paints a gloomy forecast for the program adding Agency,paints a gloomy forecast for the program adding Agency,General,1
FEDCIV,FEDCIV,General,1
did the modernization sale for the C2BMC program so knows a lot of the,did the modernization sale for the C2BMC program so knows a lot of the,General,1
SPAWAR,SPAWAR,General,1
is now currently the JWCC,is now currently the JWCC,General,1
PTEMS,PTEMS,General,1
VA campus sites and will,VA campus sites and will,General,1
10B IDIQ omnibus,10B IDIQ omnibus,General,1
RAPID,RAPID,General,1
Upcoming DIA IDIQ,Upcoming DIA IDIQ,General,1
CIA has their own IDIQ,CIA has their own IDIQ,General,1
VA supporting the INSCOM Army,VA supporting the INSCOM Army,General,1
Army INSCOM portfolio for Microsoft,Army INSCOM portfolio for Microsoft,General,1
Army engagements as well but,Army engagements as well but,General,1
Army sites on VMOD,Army sites on VMOD,General,1
NGA team was interested,NGA team was interested,General,1
Other than that he has only supported SOCOM and does not have many contacts within other,Other than that he has only supported SOCOM and does not have many contacts within other,General,1
Currently they are reducing subs on the task order and have been cutting,Currently they are reducing subs on the task order and have been cutting,General,1
Kunal is still in the same positions and program director for a few small,Kunal is still in the same positions and program director for a few small,General,1
He lives in Phoenix and has an immediate opening for a Greenlake starcom resident,He lives in Phoenix and has an immediate opening for a Greenlake starcom resident,General,1
6 month contract to hire and during the,6 month contract to hire and during the,General,1
she only has one contractor through Oxford whose,she only has one contractor through Oxford whose,General,1
Deputy PM for Army ECMA,Deputy PM for Army ECMA,General,1
Program Manager for Army ECMA,Program Manager for Army ECMA,General,1
she had 3 contractors on her team and was looking to bring on 2 more instructional designers on a,she had 3 contractors on her team and was looking to bring on 2 more instructional designers on a,General,1
Orion is a,Orion is a,General,1
he does not just support one program but every space,he does not just support one program but every space,General,1
ray is the program manager on the VA,ray is the program manager on the VA,General,1
VA contract,VA contract,General,1
he said if he has to hire contract labor again it would be for a large,he said if he has to hire contract labor again it would be for a large,General,1
NGA was looking for 6,NGA was looking for 6,General,1
VA and Pensacola,VA and Pensacola,General,1
they are coming to the end of the contract but they still needs lots of,they are coming to the end of the contract but they still needs lots of,General,1
there is a a big push by nasa on their,there is a a big push by nasa on their,General,1
GOES,GOES,General,1
we have a meeting set up with the program manager and the,we have a meeting set up with the program manager and the,General,1
wayne is a program manager in a smaller,wayne is a program manager in a smaller,General,1
they are still waiting to hear about a program that they bid on that will create more,they are still waiting to hear about a program that they bid on that will create more,General,1
LTAMDS,LTAMDS,General,1
she said Jason Dupuis is the program manager on the other side of the,she said Jason Dupuis is the program manager on the other side of the,General,1
lives in texas but just got promoted to deputy program manager of a,lives in texas but just got promoted to deputy program manager of a,General,1
he told me about the C2BMC program and connecting with the a manager and the,he told me about the C2BMC program and connecting with the a manager and the,General,1
Kevin the Sr Subcontracts manager for the HIRT,Kevin the Sr Subcontracts manager for the HIRT,General,1
Brandon is in charge of subcontracts management for NGI and other,Brandon is in charge of subcontracts management for NGI and other,General,1
it is a cyber support of NASA,it is a cyber support of NASA,General,1
DHS cyber program and wants,DHS cyber program and wants,General,1
DHS contracts for Raytheon,DHS contracts for Raytheon,General,1
Gladiator,Gladiator,General,1
Charley is a lead on the rf test team for the Gladiator program that helps support the FORGE,Charley is a lead on the rf test team for the Gladiator program that helps support the FORGE,General,1
JPSS,JPSS,General,1
tight lipped about program names but does support a portfolio of cleared,tight lipped about program names but does support a portfolio of cleared,General,1
its a nasa,its a nasa,General,1
we may be able to get grandfathered in under the HIRT program,we may be able to get grandfathered in under the HIRT program,General,1
DHS program of over a,DHS program of over a,General,1
Trina is trying to get us added to the DOMINO program which is their biggest DHS,Trina is trying to get us added to the DOMINO program which is their biggest DHS,General,1
his team supports the Sentinel,his team supports the Sentinel,General,1
mentioned the program manager and multilple hiring managers on the,mentioned the program manager and multilple hiring managers on the,General,1
NOAA,NOAA,General,1
Program update and performance meeting for the HIRT,Program update and performance meeting for the HIRT,General,1
Jerry is the Chief Engineer and Program Manager for the JET,Jerry is the Chief Engineer and Program Manager for the JET,General,1
as soon as we get our contract in we will have access to every req including,as soon as we get our contract in we will have access to every req including,General,1
they have 4 immediate dp needs on three different missile defense,they have 4 immediate dp needs on three different missile defense,General,1
air force weather contract,air force weather contract,General,1
Navy program,Navy program,General,1
RAID,RAID,General,1
20 key personnel positions for both programs to demonstrate commitment to the,20 key personnel positions for both programs to demonstrate commitment to the,General,1
CACI currently has about 65 contractors supporting the,CACI currently has about 65 contractors supporting the,General,1
CACI is a subcontractor to Booz on this,CACI is a subcontractor to Booz on this,General,1
Currently they have 1 subcontractor that has 8 contractors of a total of 30 on the,Currently they have 1 subcontractor that has 8 contractors of a total of 30 on the,General,1
FDIC,FDIC,General,1
DHS program supporting the immigration,DHS program supporting the immigration,General,1
NAVWAR,NAVWAR,General,1
Essentially the seek only subs that have contractors actively working on the,Essentially the seek only subs that have contractors actively working on the,General,1
NIWC,NIWC,General,1
DARPA,DARPA,General,1
Perspecta was initially awarded a 5 year IDIQ then one this initial,Perspecta was initially awarded a 5 year IDIQ then one this initial,General,1
DHCP,DHCP,General,1
Jonas has been serving as the Interim Program Manager for various,Jonas has been serving as the Interim Program Manager for various,General,1
NGA just put a hiring,NGA just put a hiring,General,1
GTMP,GTMP,General,1
Air Force Contract that they are,Air Force Contract that they are,General,1
They intentionally left subcontracting slots open for SDVOSBs once the,They intentionally left subcontracting slots open for SDVOSBs once the,General,1
John is an analyst on the ABMS,John is an analyst on the ABMS,General,1
Yarry supports 2 different contracts in part that one of them is a small,Yarry supports 2 different contracts in part that one of them is a small,General,1
of the contract being veterans that retire then move straight to the,of the contract being veterans that retire then move straight to the,General,1
EDOS,EDOS,General,1
s group has taken their existing contracts and won some smaller proposals for,s group has taken their existing contracts and won some smaller proposals for,General,1
CCMS,CCMS,General,1
She is planning to push us onto all of the Task Orders for the NASA SENSE,She is planning to push us onto all of the Task Orders for the NASA SENSE,General,1
location of the NASA SENSE,location of the NASA SENSE,General,1
They have 110 subcontractors on the,They have 110 subcontractors on the,General,1
JTACS,JTACS,General,1
Navy program he led the,Navy program he led the,General,1
Air Force contracts between Warner Robbins,Air Force contracts between Warner Robbins,General,1
TEIS,TEIS,General,1
She has moved off of the TEIS contracts and is now the,She has moved off of the TEIS contracts and is now the,General,1
He let me know that JonDavid Black was leaving the program to support the GMD Interceptor,He let me know that JonDavid Black was leaving the program to support the GMD Interceptor,General,1
He works down the hall from PMs on NASA,He works down the hall from PMs on NASA,General,1
ICOFT,ICOFT,General,1
Since Steven is only on this program he mentioned reaching out to other pms on other,Since Steven is only on this program he mentioned reaching out to other pms on other,General,1
TACNET,TACNET,General,1
FPAC,FPAC,General,1
and disaster,and disaster,General,1
disaster,disaster,General,1
There are 10 people on the program and,There are 10 people on the program and,General,1
Talked to him about contracting services department who does the,Talked to him about contracting services department who does the,General,1
He referenced NASA,He referenced NASA,General,1
Program director for DTRA,Program director for DTRA,General,1
other NASA,other NASA,General,1
subcontracting officer for SDLC,subcontracting officer for SDLC,General,1
SDLC,SDLC,General,1
Told me to reach out to the David Dykhoff who is the program manager to see if I can get on the,Told me to reach out to the David Dykhoff who is the program manager to see if I can get on the,General,1
Usually hires on subcontractors for the,Usually hires on subcontractors for the,General,1
USCYBERCOM,USCYBERCOM,General,1
Contract lady he works with he worked with previously for last,Contract lady he works with he worked with previously for last,General,1
NGITS,NGITS,General,1
small business requirements but on OASIS so will need to be more to meet those,small business requirements but on OASIS so will need to be more to meet those,General,1
over the other Nasa,over the other Nasa,General,1
SITA,SITA,General,1
His program manager has high level degrees and his,His program manager has high level degrees and his,General,1
they are not getting a separate task order but will still be on same,they are not getting a separate task order but will still be on same,General,1
ramping down on one program and ramping up on another,ramping down on one program and ramping up on another,General,1
JETS2,JETS2,General,1
DISA is a 10 year contract they just put proposal in and they should have 45,DISA is a 10 year contract they just put proposal in and they should have 45,General,1
army and nasa testing,army and nasa testing,General,1
Sheila works below Mark Bruininga and Puneet Mehta on the TSS,Sheila works below Mark Bruininga and Puneet Mehta on the TSS,General,1
nga and Puneet Mehta on,nga and Puneet Mehta on,General,1
Program manager of four Perspecta DISA,Program manager of four Perspecta DISA,General,1
WHCA,WHCA,General,1
The current DISA account is going through a bit of a rebuild after some of their prime,The current DISA account is going through a bit of a rebuild after some of their prime,General,1
NGA with the new facility,NGA with the new facility,General,1
USCYBERCOM is an IDIQ but,USCYBERCOM is an IDIQ but,General,1
d be able to give us an immediate,d be able to give us an immediate,General,1
Army ECMO project that Ben,Army ECMO project that Ben,General,1
CIA and now NRO and,CIA and now NRO and,General,1
She ended up leaving that program because of the trend of awarding VA,She ended up leaving that program because of the trend of awarding VA,General,1
VA programs to smalls forcing,VA programs to smalls forcing,General,1
DHAGSC,DHAGSC,General,1
MASC,MASC,General,1
15 programs with 15 different,15 programs with 15 different,General,1
NGA and has supported them,NGA and has supported them,General,1
contract which has 15 current,contract which has 15 current,General,1
award IDIQ,award IDIQ,General,1
army contract that Dave mentioned,army contract that Dave mentioned,General,1
His main job is managing the Cyber Programs and,His main job is managing the Cyber Programs and,General,1
NGA but it is a,NGA but it is a,General,1
Army contracts and sounds like,Army contracts and sounds like,General,1
contract providing,contract providing,General,1
NGA experience a plus,NGA experience a plus,General,1
5Bil BPA with more,5Bil BPA with more,General,1
