budget_program_name,budget_amount,fiscal_year,budget_type
Global Combat Support System,27223000.0,2017,R-1
B-2 SQUADRONS,152458000.0,2017,R-1
Contracting Information Technology System,5782000.0,2017,R-1
Army Technical Test Instrumentation and Targets,52404000.0,2017,R-1
(U)Special Applications Program,35002000.0,2017,R-1
Industrial Preparedness,341794000.0,2017,R-1
Weather System Follow-on,118953000.0,2017,R-1
Mission Planning Systems,71785000.0,2017,R-1
RQ-7 UAV,716000.0,2017,R-1
Intelligence Advanced Development,5598000.0,2017,R-1
Global Video Surveillance Activities,3841000.0,2017,R-1
Target Systems Development,36662000.0,2017,R-1
Combat System Integration,23530000.0,2017,R-1
Intelligence Systems Development,7958000.0,2017,R-1
KC-46,261724000.0,2017,R-1
Global Combat Support Systems - Marine Corps,9128000.0,2017,R-1
Air/Ocean Tactical Applications,48536000.0,2017,R-1
Landmine Warfare/Barrier - Eng Dev,39630000.0,2017,R-1
Aerospace Propulsion and Power Technology,94594000.0,2017,R-1
Facilities Operation - Administrative,3666000.0,2017,R-1
(U)LCS Mission Modules,160058000.0,2017,R-1
(U)Next Generation Fighter,1200000.0,2017,R-1
Force Protection Advanced Technology,48438000.0,2017,R-1
MILSATCOM Terminals,2219349000.0,2017,R-1
Microelectronics Technology Development and Support  (DMEA),97826000.0,2017,R-1
Environmental Protection,20343000.0,2017,R-1
RQ-11 UAV,418000.0,2017,R-1
Environmental Quality Technology,22151000.0,2017,R-1
Electronic Warfare Development - MIP,437000.0,2017,R-1
Aegis BMD Test,95012000.0,2017,R-1
Joint Tactical Network Center (JTNC),1131000.0,2017,R-1
Advanced Technology and Sensors,34818000.0,2017,R-1
Infantry Support Weapons,66943000.0,2017,R-1
F-15 EPAWSS,37726000.0,2017,R-1
Combat Vehicle Improvement Programs,316857000.0,2017,R-1
Global Air Traffic Management (GATM),4354000.0,2017,R-1
Studies & Analysis Supt - Navy,3931000.0,2017,R-1
Aviation Improvements,120861000.0,2017,R-1
Strat War Planning System - USSTRATCOM,39148000.0,2017,R-1
NAVSTAR Global Positioning System (User Equipment) (SPACE),278147000.0,2017,R-1
Nuclear Weapons Modernization,137909000.0,2017,R-1
Night Vision Systems Advanced Development,10321000.0,2017,R-1
Marine Corps Program Wide Supt,22247000.0,2017,R-1
Strategic Technical Support,3597000.0,2017,R-1
MC Ground Cmbt Spt Arms Sys,47877000.0,2017,R-1
Warfighter Sustainment Applied Res,45467000.0,2017,R-1
Other Flight Training,1653000.0,2017,R-1
Undersea Warfare Advanced Tech,25880000.0,2017,R-1
Operational Enhancements Intelligence,11834000.0,2017,R-1
Financing for Cancelled Account Adjustments,150000.0,2017,R-1
"Command, Control, Communications Technology",37803000.0,2017,R-1
Center For Naval Analyses,46634000.0,2017,R-1
WWMCCS/Global Command and Control System,4718000.0,2017,R-1
Adv Field Artillery Tactical Data System,1224000.0,2017,R-1
Operational Test and Evaluation (OT&E),78047000.0,2017,R-1
Analysis Of Alternatives,6608000.0,2017,R-1
F-35 Squadrons,153045000.0,2017,R-1
Environmental Quality Technology Mgmt Support,2130000.0,2017,R-1
BMD Enabling Programs,401594000.0,2017,R-1
Joint Air-to-ground Missile (JAGM),17880000.0,2017,R-1
SMALL BUSINESS INNOVATION RESEARCH,85266000.0,2017,R-1
Weapons and Munitions Product Improvement Programs,14517000.0,2017,R-1
(U)Future Naval Capabilities Advanced Tech Dev,249092000.0,2017,R-1
AMF Joint Tactical Radio System (JTRS),5028000.0,2017,R-1
Combat Training Ranges,77409000.0,2017,R-1
Joint Non-Lethal Weapons Testing,27904000.0,2017,R-1
Air Crew Systems Development,13577000.0,2017,R-1
(U)Anti-Tamper Technology Support,2500000.0,2017,R-1
Missile/Air Defense Product Improvement Program,5122000.0,2017,R-1
Paladin Integrated Management (PIM),41498000.0,2017,R-1
Security and Investigative Activities,405000.0,2017,R-1
Ballistic Missile Defense Terminal Defense Segment,206834000.0,2017,R-1
Tactical Data Networks Enterprise,82380000.0,2017,R-1
Mid-tier Networking Vehicular Radio (MNVR),12172000.0,2017,R-1
Maritime Tech (MARITECH),3204000.0,2017,R-1
NATO Research and Development,2300000.0,2017,R-1
Surface ASW,1081000.0,2017,R-1
TRACTOR CAGE,12525000.0,2017,R-1
Missile and Rocket Advanced Technology,52190000.0,2017,R-1
Cyber Operations Technology Development,11980000.0,2017,R-1
Next Generation Training & Simulation Systems,18969000.0,2017,R-1
Small Business Innovative Research,172658000.0,2017,R-1
Management HQ - R&D,49885000.0,2017,R-1
Weapons and Munitions Technology,53581000.0,2017,R-1
Environmental Quality Technology Demonstrations,11137000.0,2017,R-1
Electronic Warfare Development,14425000.0,2017,R-1
Judgment Fund Reimbursement,353000.0,2017,R-1
Global Sensor Integrated on Network (GSIN),3470000.0,2017,R-1
F-15 EPAWSS,256668999.99999997,2017,R-1
(U)MANAGEMENT HQ - R&D,16254000.000000002,2017,R-1
Ship Self Def (Engage: Soft Kill/EW),114211000.0,2017,R-1
C-17 Aircraft (IF),12430000.0,2017,R-1
Live Fire Test and Evaluation (LFT&E),48316000.0,2017,R-1
DDG-1000,45642000.0,2017,R-1
(U)Science & Tech Management - ONR Headquarters,29575000.0,2017,R-1
"R&D in Support of DOD Enlistment, Testing and Evaluation",22240000.0,2017,R-1
Air-Launched Cruise Missile (ALCM),453000.0,2017,R-1
"Management, Technical & Intl Supt",87077000.0,2017,R-1
Combat Identification Technology,24418000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ATD),127941000.0,2017,R-1
Cryptologic Direct Support,1122000.0,2017,R-1
Air & Space Ops Center 10.2 RDT&E,28911000.0,2017,R-1
Conventional Munitions,8342000.000000001,2017,R-1
A-10 Squadrons,14853000.0,2017,R-1
Other Missile Product Improvement Programs,7491000.0,2017,R-1
JT Non-Lethal Wpns Applied Res,6327000.0,2017,R-1
(U)Joint Strike Fighter Follow On Develop - Navy,63387000.0,2017,R-1
Advanced Weapons Technology,39064000.0,2017,R-1
Compass Call,13723000.0,2017,R-1
DoD Enterprise Systems Development and Demonstration,12631000.0,2017,R-1
SPACE PROGRAMS AND TECHNOLOGY,175240000.0,2017,R-1
Information Systems Security Program,46388000.0,2017,R-1
Control and Reporting Center (CRC),13292000.0,2017,R-1
WHS - Mission Operations Support - IT,975000.0,2017,R-1
(U)LITTORAL COMBAT SHIP,51630000.0,2017,R-1
MQ-1 Gray Eagle UAV,13470000.0,2017,R-1
Global Combat Support System,52000.0,2017,R-1
TRACTOR ROSE,11910000.0,2017,R-1
Tank and Medium Caliber Ammunition,40096000.0,2017,R-1
Advanced IT Services Joint Program Office (AITS-JPO),18388000.0,2017,R-1
Space Test and Training Range Development,18528000.0,2017,R-1
DTRA Basic Research Initiative,35436000.0,2017,R-1
JSPOC Mission System,72889000.0,2017,R-1
Computer and Software Technology,13811000.0,2017,R-1
Precision Attack Systems Procurement,649000.0,2017,R-1
INFORMATION & COMMUNICATIONS TECHNOLOGY,353635000.0,2017,R-1
Tactical Data Links,124785000.0,2017,R-1
Combined Arms Tactical Trainer (CATT) Core,15068000.0,2017,R-1
B-52 SQUADRONS,78267000.0,2017,R-1
RQ-4 UAV,256307000.00000003,2017,R-1
Technical Information Services,903000.0,2017,R-1
AF TENCAP,28413000.0,2017,R-1
Specialized Undergraduate Flight Training,15427000.0,2017,R-1
Cyber Operations Technology Development,158002000.0,2017,R-1
Depot Maintenance (Non-IF),1518000.0,2017,R-1
Biometrics Enabled Intelligence,7104000.0,2017,R-1
MATERIALS AND BIOLOGICAL TECHNOLOGY,220456000.0,2017,R-1
MK-48 ADCAP,39134000.0,2017,R-1
Land Based SM-3 (LBSM3),43293000.0,2017,R-1
Cooperative Engagement,73786000.0,2017,R-1
Armored Systems Modernization (ASM) - Eng Dev,9678000.0,2017,R-1
Support of Operational Testing,49684000.0,2017,R-1
(U)RETRACT JUNIPER,115435000.0,2017,R-1
Tomahawk Mssn Planning Ctr,71355000.0,2017,R-1
Armored Multi-Purpose Vehicle (AMPV),184221000.0,2017,R-1
Armament/Ordnance Development,20312000.0,2017,R-1
Aerial Targets,3051000.0,2017,R-1
TRACTOR CAGE,11107000.0,2017,R-1
Nav Integrated Fire Control-Counter Air Sys Eng,25750000.0,2017,R-1
Specialized Undergraduate Flight Training,12903000.0,2017,R-1
Defense Property Accountability System (DPAS),2154000.0,2017,R-1
Advanced Weapons Technology,28803000.0,2017,R-1
Common Infrared Countermeasures (CIRCM),107877000.0,2017,R-1
Manned Reconnaissance Systems,20975000.0,2017,R-1
Electronic Warfare Advanced Technology,43416000.0,2017,R-1
Aviation Technology,65914000.0,2017,R-1
AEGIS BMD,959066000.0,2017,R-1
Threat Simulator Development,21630000.0,2017,R-1
Advanced Combat Systems Tech,57034000.0,2017,R-1
Combat Vehicle and Automotive Advanced Technology,122132000.0,2017,R-1
"Smoke, Obscurant and Target Defeating Sys-Adv Dev",28244000.0,2017,R-1
Army Missle Defense Systems Integration,9433000.0,2017,R-1
MQ-8 UAV,26518000.0,2017,R-1
SOF Advanced Technology Development,61620000.0,2017,R-1
Space and Missile Test and Evaluation Center,3989000.0,2017,R-1
Information Systems Security Program,38280000.0,2017,R-1
SMALL BUSINESS INNOVATIVE RESEARCH (SBIR),15078000.0,2017,R-1
Logistics and Engineer Equipment - Eng Dev,75098000.0,2017,R-1
Electromagnetic Systems Applied Research,118941000.0,2017,R-1
F/A-18 Squadrons,189125000.0,2017,R-1
Indirect Fire Protection Capability Increment 2,83995000.0,2017,R-1
Maritime Systems,54577000.0,2017,R-1
EA-18 Squadrons,116761000.0,2017,R-1
Joint Integrated Air & Missile Defense Organization (JIAMDO),32759000.0,2017,R-1
Operational Test Activities and Analyses,52631000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ACD&P),138187000.0,2017,R-1
Spacelift Range System  (SPACE),11867000.0,2017,R-1
E-4B National Airborne Operations Center (NAOC),30948000.0,2017,R-1
Joint Service Small Arms Program,5839000.0,2017,R-1
Pacific Disaster Centers,1754000.0,2017,R-1
Aviation Survivability,5239000.0,2017,R-1
Distributive Interactive Simulations (DIS) - Eng Dev,10487000.0,2017,R-1
Landmine Warfare and Barrier Advanced Technology,17451000.0,2017,R-1
Space & Elec War Surv/Recon,6500000.0,2017,R-1
Electronic Combat Technology,58250000.0,2017,R-1
Tactical Command System - MIP,676000.0,2017,R-1
Special Programs - MDA,321607000.0,2017,R-1
Defense Retired and Annuitant Pay System (DRAS),4949000.0,2017,R-1
Army Evaluation Center,55905000.0,2017,R-1
Elect Warfare Readiness Supt,99998000.0,2017,R-1
Standard Missile Improvements,120561000.0,2017,R-1
University Research Initiatives,69166000.0,2017,R-1
Medical Advanced Technology,68365000.0,2017,R-1
Presidential Aircraft Replacement (PAR),351220000.0,2017,R-1
MLRS Product Improvement Program,9663000.0,2017,R-1
Multi-mssn Maritime Aircraft (MMA) (P-8A),59126000.0,2017,R-1
In-House Laboratory Independent Research,12381000.0,2017,R-1
Foreign Materiel Acquisition and Exploitation,42960000.0,2017,R-1
Ocean Wrfghtg Env Applied Res,42618000.0,2017,R-1
Aviation Systems,159143000.0,2017,R-1
NATO Research and Development,4333000.0,2017,R-1
(U)LINK EVERGREEN,48116000.0,2017,R-1
Meteorological Support to RDT&E Activities,6925000.0,2017,R-1
Apache Product Improvement Program,66441000.0,2017,R-1
Advanced Hawkeye,363792000.0,2017,R-1
High Energy Laser Research Initiatives,14168000.0,2017,R-1
(U)RETRACT MAPLE,323526000.0,2017,R-1
Space Test Program (STP),27070000.0,2017,R-1
BIOLOGICAL WARFARE DEFENSE,21250000.0,2017,R-1
Maui Space Surveillance System (MSSS),11681000.0,2017,R-1
JT Military Intel Programs,6019000.0,2017,R-1
Improved Homeland Defense (HLD) Interceptors,274148000.0,2017,R-1
Life Support Systems,7520000.0,2017,R-1
Electronic Warfare Development,34642000.0,2017,R-1
Industrial Preparedness,22605000.0,2017,R-1
Countermine Systems,26497000.0,2017,R-1
(U)Joint Strike Fighter Follow On Develop - MC,74227000.0,2017,R-1
WMD Defeat Capabilities,4568000.0,2017,R-1
(U)CHALK EAGLE,367016000.0,2017,R-1
B-1B Squadrons,5830000.0,2017,R-1
Combined Advanced Applications,15336000.0,2017,R-1
High Performance Computing Modernization Program,177190000.0,2017,R-1
Environmental Quality Technology - Dem/Val,7785000.0,2017,R-1
Aircraft Engine Component Improvement Program,109859000.0,2017,R-1
Human Factors Engineering Technology,23671000.0,2017,R-1
Ballistic Missile Defense Targets,563576000.0,2017,R-1
C-130 Airlift Squadron,15599000.0,2017,R-1
Tactical Airborne Control Systems,2442000.0,2017,R-1
Ballistic Missile Defense Midcourse Defense Segment,862080000.0,2017,R-1
Special Programs,1949000.0,2017,R-1
TRACTOR CARD,20333000.0,2017,R-1
(U)MULTI-INTELLIGENCE SENSOR DEVELOPMENT,77965000.0,2017,R-1
Facilities Sustainment - Test and Evaluation Support,28091000.0,2017,R-1
Polar MILSATCOM (SPACE),50815000.0,2017,R-1
AF Defensive Cyberspace Operations,29439000.0,2017,R-1
Army Modeling & Sim X-Cmd Collaboration & Integ,7959000.0,2017,R-1
Combat Air Intelligence System Activities,10911000.0,2017,R-1
Manned Ground Vehicle,39247000.0,2017,R-1
CV-22,16702000.000000002,2017,R-1
Marine Corps Cmbt Services Supt,13194000.0,2017,R-1
Army Tactical Command & Control Hardware & Software,205590000.0,2017,R-1
Electronic Warfare Technology,25466000.0,2017,R-1
Materials Technology,31533000.0,2017,R-1
Nuclear Planning and Execution System (NPES),4059999.9999999995,2017,R-1
Multi-Mssn Helicopter Upgrade Dev,5275000.0,2017,R-1
Special Program - MDA Technology,83745000.0,2017,R-1
Long Range Discrimination Radar (LRDR),162012000.0,2017,R-1
Test & Evaluation Support,349146000.0,2017,R-1
Ballistic Missile Defense Joint Warfighter Support,47776000.0,2017,R-1
Constructive Simulation Systems Development,17887000.0,2017,R-1
Space Application Advanced Technology,3904000.0,2017,R-1
Space Security and Defense Program,32399000.0,2017,R-1
Long-Haul Communications - DCS,13994000.0,2017,R-1
Combat Vehicle and Automotive Technology,67959000.0,2017,R-1
Indirect Fire Protection Capability Increment 2-Intercept (IFPC2),155361000.0,2017,R-1
F-22 Modernization Increment 3.2B,70290000.0,2017,R-1
Night Vision Systems - Eng Dev,84519000.0,2017,R-1
Sustainment Science and Technology (S&T),20636000.0,2017,R-1
Integrated Surveillance System,58542000.0,2017,R-1
Improved Turbine Engine Program,126105000.0,2017,R-1
Joint Direct Attack Munition,2389000.0,2017,R-1
Joint Information Environment,2789000.0,2017,R-1
Advanced Materials for Weapon Systems,35137000.0,2017,R-1
JT Service Explosive Ordn Dev,46911000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (EMD),266231000.0,2017,R-1
Ballistic Missile Defense Test,293441000.0,2017,R-1
Tech Transition Program,347304000.0,2017,R-1
Air Traffic Control,3421000.0,2017,R-1
Small Diameter Bomb (SDB),97622000.0,2017,R-1
Aircraft Survivability Development,114243000.0,2017,R-1
NCMC - TW/AA System,4951000.0,2017,R-1
Defense Joint Counterintelligence Activities,339000.0,2017,R-1
Submunitions,2503000.0,2017,R-1
Small Business Innovative Research,14438000.0,2017,R-1
Satellite Communications (Space),37372000.0,2017,R-1
All Source Analysis System,3958000.0,2017,R-1
"Brigade Analysis, Integration and Evaluation",89716000.0,2017,R-1
AF Integrated Personnel and Pay System (AF-IPPS),10368000.0,2017,R-1
"Combat Feeding, Clothing, and Equipment",2053999.9999999998,2017,R-1
ENTEPRISE INFORMATION SERVICES (EIS),4410000.0,2017,R-1
(U)RQ-4 Modernization,181266000.0,2017,R-1
HC/MC-130 Recap RDT&E,163184000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (OP SYS DEV),33360999.999999996,2017,R-1
Combat Survivor Evader Locator,29253000.0,2017,R-1
B-2 Defensive Management System,315615000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (BASIC RESEARCH),44800000.0,2017,R-1
Automatic Test Equipment Development,8813000.0,2017,R-1
Multi Object Kill Vehicle,71513000.0,2017,R-1
Common Kill Vehicle Technology,61753000.0,2017,R-1
"Manpower, Personnel and Training Advanced Technology",14417000.0,2017,R-1
Manpower/Personnel/Training Technology,26045000.0,2017,R-1
Anti-Tamper Technology Executive Agency,31952000.0,2017,R-1
Distributed Common Ground/Surface Systems,32284000.0,2017,R-1
CH-53K,404810000.0,2017,R-1
Advanced EHF MILSATCOM (SPACE),259130999.99999997,2017,R-1
RDT&E Ship & Aircraft Support,106093000.0,2017,R-1
Advanced Concepts and Simulation,27688000.0,2017,R-1
Enabled Cyber Activities,15842000.0,2017,R-1
Logistics Research and Development Technology (Log R&D),11011000.0,2017,R-1
Airborne SIGINT Enterprise,90762000.0,2017,R-1
Wide Area Surveillance,85778000.0,2017,R-1
Electronic Warfare (EW) Dev,48766000.0,2017,R-1
Space Situation Awareness Systems,23945000.0,2017,R-1
(U)Manufacturing Technology Program,56712000.0,2017,R-1
Materials,126152000.0,2017,R-1
Materiel Systems Analysis,21677000.0,2017,R-1
University and Industry Research Centers,94280000.0,2017,R-1
Technical Information Activities,33323000.0,2017,R-1
(U)Remote Minehunting System (RMS),3001000.0,2017,R-1
Ballistic Missile Defense Midcourse Defense Segment Test,56481000.0,2017,R-1
Tactical Security System (TSS),2904000.0,2017,R-1
Surface & Shallow Water MCM,165775000.0,2017,R-1
Aircraft Engine Component Improvement Program,259000.0,2017,R-1
Ballistic Missile Defense Terminal Defense Segment Test,63444000.0,2017,R-1
Ground-Based Operational Surveillance System - Expeditionary (GBOSS-E),5032000.0,2017,R-1
(U)Virginia Payload Module (VPM,97920000.0,2017,R-1
Arms Control Implementation,4844000.0,2017,R-1
Navy Strategic Comms,17218000.0,2017,R-1
Air/Ocean Equipment Engineering,3875000.0,2017,R-1
Tactical Airborne Reconnaissance,3274000.0,2017,R-1
Joint Air-to-Surface Standoff Missile (JASSM),30002000.0,2017,R-1
Soldier Support and Survivability,10506000.0,2017,R-1
(U)Automated Test and Analysis,23000000.0,2017,R-1
Facilities Improvement,5458000.0,2017,R-1
V-22A,174423000.0,2017,R-1
University Research Initiatives,145044000.0,2017,R-1
Enterprise Security System,4241000.0,2017,R-1
Major T&E Investment,42109000.0,2017,R-1
Management Headquarters,826000.0,2017,R-1
ASW Systems Development,7041000.0,2017,R-1
Submarine Tactical Warfare System,43160000.0,2017,R-1
Agile Combat Support,53680000.0,2017,R-1
TROJAN - RH12,4273000.0,2017,R-1
RDT&E Science & Tech Mgmt,62811000.0,2017,R-1
Teleport Program,657000.0,2017,R-1
International Space Cooperative R&D,806000.0,2017,R-1
DEFENSE RESEARCH SCIENCES,362297000.0,2017,R-1
(U)Executive Helo Development,338357000.0,2017,R-1
TRACTOR HIKE,8074000.0,2017,R-1
Marine Corps Lndg Force Tech,51590000.0,2017,R-1
Combat Rescue and Recovery,412000.0,2017,R-1
Joint Standoff Weapon Systems,412000.0,2017,R-1
Human Effectiveness Applied Research,111647000.0,2017,R-1
JT Service EOD,7369000.0,2017,R-1
(U)ASE Self Protection Optimization,7874000.0,2017,R-1
Warrior Systems,44885000.0,2017,R-1
Chinook Product Improvement Program,91848000.0,2017,R-1
Advanced Pilot Training,12377000.0,2017,R-1
Lightweight Torpedo Development,20178000.0,2017,R-1
Army Space Systems Integration,32430999.999999996,2017,R-1
Tactical Cryptologic Systems,36747000.0,2017,R-1
F-15E Squadrons,356717000.0,2017,R-1
JT Tact Radio Sys (JTRS),2365000.0,2017,R-1
Blackhawk Product Improvement Program,46765000.0,2017,R-1
Advanced Concepts and Performance Assessment,17880000.0,2017,R-1
Concepts Experimentation Program,25596000.0,2017,R-1
Information Technology Development,11505000.0,2017,R-1
Medical Materiel/Medical Biological Defense Equipment - Eng Dev,41124000.0,2017,R-1
Surface Combatant Cmbt Sys Eng,282764000.0,2017,R-1
(U)Mission Planning,33570000.0,2017,R-1
P-3 Modernization Program,1909000.0,2017,R-1
"Chemical, Smoke and Equipment Defeating Technology",3923000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (APPLIED RESEARCH),188715000.0,2017,R-1
Operational Nuclear Power Sys,101786000.0,2017,R-1
(U)Ohio Replacement,700811000.0,2017,R-1
Joint Direct Attack Munition,9901000.0,2017,R-1
Battlespace Knowledge Development and Demonstration,58110000.0,2017,R-1
Aircraft Modifications/Product Improvement Programs,35793000.0,2017,R-1
Special Applications for Contingencies,65060000.0,2017,R-1
Rapid Technology Transition (RTT),8632000.0,2017,R-1
(U)LX (R),6354000.0,2017,R-1
Night Vision Advanced Technology,44468000.0,2017,R-1
Materials Handling Equipment,124000.0,2017,R-1
"Ballistic Missile Defense Command and Control, Battle Management & Communication",439617000.0,2017,R-1
Joint Service Provider (JSP),827000.0,2017,R-1
TACTICAL UNMANNED GROUND VEHICLE,39282000.0,2017,R-1
JT Precision Approach & Ldg Sys,104144000.0,2017,R-1
Tactical Command System,36323000.0,2017,R-1
(U)Amphibious Assault Vehicle,38020000.0,2017,R-1
Advanced Submarine System Development,100565000.0,2017,R-1
TRACTOR NAIL,2340000.0,2017,R-1
Consolidated Trng Sys Dev,38593000.0,2017,R-1
Next Generation Jammer (NGJ) Increment II,52065000.0,2017,R-1
Aircraft Certification,4665000.0,2017,R-1
JT Cntr Radio Controlled IED Elec War (JCREW),3790000.0,2017,R-1
Service Support to Other Core Missions - STRATCOM (CYBERCOM Activities),64751000.00000001,2017,R-1
GPS III Space Segment,141888000.0,2017,R-1
JT Strike Fighter (JSF) - EMD,528716000.0,2017,R-1
Tactical Air Control Party-Mod,11843000.0,2017,R-1
Directed Energy Technology,127163000.0,2017,R-1
Surface Support,21156000.0,2017,R-1
Marine Corps IT Dev/Mod,4856000.0,2017,R-1
Rapid Cyber Acquisition,4280000.0,2017,R-1
Test and Evaluation Support,661417000.0,2017,R-1
National Military Command System-Wide Support,575000.0,2017,R-1
Technology Transfer,3368000.0,2017,R-1
Requirements Analysis and Maturation,29100000.0,2017,R-1
Maneuver Control System,4030999.9999999995,2017,R-1
Information Sys Security Program,38510000.0,2017,R-1
Space Tracking and Surveillance System,32128999.999999996,2017,R-1
Joint/Allied Coalition Information Sharing,5935000.0,2017,R-1
Soldier Systems - Warrior Dem/Val,12393000.0,2017,R-1
Threat Simulator Development,25675000.0,2017,R-1
Amphibious Tactical Supt Units,13929000.0,2017,R-1
Dragon U-2,37217000.0,2017,R-1
Joint Light Tactical Vehicle - ED,11530000.0,2017,R-1
Ship Contract Design/ Live Fire T&E,65001999.99999999,2017,R-1
Integrated Broadcast Service (IBS),750000.0,2017,R-1
Space and Missile Center (SMC) Civilian Workforce,176666000.0,2017,R-1
Advanced Spacecraft Technology,61593000.0,2017,R-1
Physical Security Equipment,8458000.0,2017,R-1
Power Projection Advanced Technology,96406000.0,2017,R-1
Integrated Ground Security Surveillance Response Capability (IGSSR-C),4980000.0,2017,R-1
Deployment & Distribution Enterprise R&D,25890000.0,2017,R-1
(U)Distributed Common Ground/Surface Systems,2100000.0,2017,R-1
(U)Deployable Joint Command and Control,2970000.0,2017,R-1
(U)Future Naval Capabilities Applied Research,165103000.0,2017,R-1
Deployment and Distribution Enterprise Technology,29888000.0,2017,R-1
Wargaming and Simulation Centers,4245000.0,2017,R-1
Intercontinental Ballistic Missile - Dem/Val,108663000.0,2017,R-1
Hard and Deeply Buried Target Defeat System (HDBTDS) Program,74308000.0,2017,R-1
"Air Traffic Control, Approach, and Landing System (ATCALS)",9770000.0,2017,R-1
Surface Ship Torpedo Defense,87066000.0,2017,R-1
Distributed Training and Exercises,3886000.0,2017,R-1
Army Test Ranges and Facilities,293748000.0,2017,R-1
AF Offensive Cyberspace Operations,25025000.0,2017,R-1
Security and Intelligence Activities,11619000.0,2017,R-1
Space Based Infrared System (SBIRS) High EMD,181966000.0,2017,R-1
Standards Development,1300000.0,2017,R-1
Civilian Compensation Program,3735000.0,2017,R-1
Land Attack Tech,6015000.0,2017,R-1
"Space Innovation, Integration and Rapid Technology Development",7785000.0,2017,R-1
Integrated Broadcast Service (IBS),8833000.0,2017,R-1
Joint Personnel Recovery Agency,3663000.0,2017,R-1
Radiological Control,702000.0,2017,R-1
Advanced Above Water Sensors,85868000.0,2017,R-1
Major T&E Investment,66385000.00000001,2017,R-1
Technology Maturation Initiatives,90266000.0,2017,R-1
Common Data Link Executive Agent (CDL EA),42338000.0,2017,R-1
Overseas Humanitarian Assistance Shared Information System (OHASIS),287000.0,2017,R-1
Satellite Control Network (SPACE),15624000.0,2017,R-1
Aerostat Joint Project - COCOM Exercise,45482000.0,2017,R-1
Combating Weapons of Mass Destruction (CWMD),2089000.0,2017,R-1
Automated Test Systems,19062000.0,2017,R-1
(U)Joint Strike Fighter (JSF) - EMD,531426000.00000006,2017,R-1
Joint Tactical Radio,4546000.0,2017,R-1
Airborne Reconnaissance Systems,11799000.0,2017,R-1
New Design SSN,113013000.0,2017,R-1
Regarding Trench,8785000.0,2017,R-1
Missile Defense Integration and Operations Center (MDIOC),54750000.0,2017,R-1
Warfighter Technology,37403000.0,2017,R-1
Landmine Warfare and Barrier - Adv Dev,72117000.0,2017,R-1
BASIC OPERATIONAL MEDICAL SCIENCE,57791000.0,2017,R-1
"Munitions Standardization, Effectiveness and Safety",40545000.0,2017,R-1
(U)AIRCRAFT SYSTEMS,1519000.0,2017,R-1
Programwide Activities,51822000.0,2017,R-1
Joint Systems Integration,10214000.0,2017,R-1
Electronics and Electronic Devices,56322000.0,2017,R-1
Acoustic Search Sensors,34525000.0,2017,R-1
(U)Unmanned Aerial Systems (UAS) Payloads,11181000.0,2017,R-1
Joint Air-to-Ground Missile (JAGM),42972000.0,2017,R-1
Submarine Tactical Warfare Sys,8782000.0,2017,R-1
Small Business Innovative Research (SBIR),5711000.0,2017,R-1
Deployable JT Cmd & Control,3086000.0,2017,R-1
Operational Enhancements,64894999.99999999,2017,R-1
Net-Centric Enterprise Services (NCES),444000.0,2017,R-1
Sensors and Electronic Survivability,36109000.0,2017,R-1
Firefinder,9235000.0,2017,R-1
(U)SPECIAL PROCESSES,13619000.0,2017,R-1
Space Fence,168364000.0,2017,R-1
High Energy Laser Research,42300000.0,2017,R-1
Frigate Development,84900000.0,2017,R-1
Lower Tier Missile Defense (LTAMD) Capability,35132000.0,2017,R-1
F-35 - EMD,450467000.0,2017,R-1
Other Helicopter Development,6268000.0,2017,R-1
Worldwide Joint Strategic Communications,6042000.0,2017,R-1
Ship Prel Design & Feasibility Studies,15805000.0,2017,R-1
Minimum Essential Emergency Communications Network (MEECN),12206000.0,2017,R-1
Weapons Technology,71843000.0,2017,R-1
Joint Tactical Network Center (JTNC),15041000.0,2017,R-1
Surface ASW Cmbt Sys Integr,24583000.0,2017,R-1
(U)Ship to Shore Connector (SSC),11088000.0,2017,R-1
Region/Sector Operation Control Center Modernization Program,10868000.0,2017,R-1
Space Technology,117915000.0,2017,R-1
Tactical Network Radio Systems (Low-Tier),18824000.0,2017,R-1
RQ-11 UAV,758000.0,2017,R-1
NATO AGS,38904000.0,2017,R-1
Non-System Training Devices - Eng Dev,30807000.0,2017,R-1
Night Fist - USSTRATCOM,87000.0,2017,R-1
Agile Transportation for the 21st Century (AT21) Theater Capability,1706000.0,2017,R-1
Advanced C4ISR,3626000.0,2017,R-1
Ship Self Def (Detect & Cntrl),134619000.0,2017,R-1
DEFENSE MILITARY DECEPTION INITIATIVE,2000000.0,2017,R-1
Homeland Security Presidential Directive (HSPD-12) Initiative,1658000.0,2017,R-1
Airborne Electronic Attack,9187000.0,2017,R-1
CHEMICAL/BIOLOGICAL DEFENSE (RDT&E MGT SUPPORT),85754000.0,2017,R-1
Marine Corps Grnd Cmbt/Supt Sys,1303000.0,2017,R-1
Artillery Systems - EMD,1756000.0,2017,R-1
