source,keyword,notice_id,title,agency,recipient,amount,posted_date,response_deadline,type,url
USAspending,IT services,W91RUS17C0010,"IGF::CT::IGF IT SERVICE AND SUPPORT OPERATION, MAINTENANCE, SUPPLY - EUROPE",Department of Defense,VECTRUS SYSTEMS LLC,145395214.44,2017-03-27,2024-08-31,Award,
USAspending,IT services,GSQ0017AJ0008,"IGF::OT::IGF TASK ORDER (TO) GSQ0017AJ0008 IS HEREBY AWARDED TO FULCRUM IT SERVICES, LLC TO PROVIDE THE JOINT IMPROVISED-THREAT DEFEAT AGENCY (JIDA), WITH PROFESSIONAL SERVICES THAT RESEARCH, AND ANALYZE THE GLOBAL OPERATIONAL ENVIRONMENT TO ENABLE COMBATANT COMMANDS (CCMDS) TO RESEARCH ANTICIPATED THREATS AND DEVELOP ANALYSES TO IDENTIFY PRIORITIES TO COMBAT I-THREATS TO THE WARFIGHTER AND PARTNER ORGANIZATIONS THROUGH ADVANCED SITUATIONAL AWARENESS SERVICES AND TRAINING. THE PERIOD OF PERFORMANCE FOR THIS TO WILL BE 12/01/2016 THROUGH 11/30/2021. THE TOTAL VALUE OF THE TO WILL BE $168,155,289.",General Services Administration,HII MISSION TECHNOLOGIES CORP,140527239.94,2016-12-01,2022-03-17,Award,
USAspending,IT services,W91RUS12C0005,"OPERATIONS, MAINTENANCE, AND SUPPLY-- EUROPE (OPMAS-E). INFORMATION TECHNOLOGY (IT) SUPPORT AND IT SERVICES TO  SUPPORT THE MISSION OF THE 5TH SIGNAL COMMAND/USAREUR G6 WITHIN THE U.S. ARMY EUROPE (USAREUR), U.S. EUROPEAN COMMAND (EUCOM), AND U.S. AFRICA COMMAND (AFRICOM) AREAS OF RESPONSIBILITY (AORS). THE CONTRACTOR SHALL PROVIDE OPERATION, MAINTENANCE AND SUPPLY SUPPORT OF COMMUNICATIONS AND INFORMATION SYSTEMS UNDER THE PURVIEW OF THE 5TH SIGNAL COMMAND AND ITS SUBORDINATE UNITS, AND OTHER MILITARY SERVICES AND CUSTOMERS OF THE 5TH SIGNAL COMMAND.",Department of Defense,VECTRUS SYSTEMS LLC,137293440.87,2012-01-31,2017-05-31,Award,
USAspending,IT services,GSQ0015AJ0050,"IGF::CL::IGF TASK ORDER (TO) GSQ0015AJ0050 IS HEREBY AWARDED TO MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC. TO PROVIDE THE DEFENSE INFORMATION SYSTEMS AGENCY (DISA) AND THE UNITED STATES MARINE CORPS (USMC) IT SERVICES NECESSARY TO ENHANCE AND SUSTAIN THE DOD CYBERSECURITY RANGE AND THE USMC CYBERSECURITY RANGE.",General Services Administration,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",134851395.23,2015-09-25,2019-09-24,Award,
USAspending,IT services,47QFCA19F0038,"OPERATIONS, MODERNIZATION, EXPANSION, AND FURTHER EVOLUTION OF THE IT SERVICES FOR THE ARNG NCR DOIM.",General Services Administration,"INNOVATIVE MANAGEMENT CONCEPTS, INC",127057736.87,2018-12-10,2025-08-09,Award,
USAspending,IT services,HT001523F0011,ENTERPRISE IT SERVICES INTEGRATOR,Department of Defense,PERATON ENTERPRISE SOLUTIONS LLC,126170566.25,2022-12-16,2024-04-30,Award,
Tango,IT services,,"M--Provide Moorage in Kodiak, AK for the NOAA Ship Ra",,,0.0,,2025-04-29T12:00:00+00:00,Opportunity,
Tango,IT services,,CONTROLLED SUBSTANCE WASTE DISPOSAL SERVICE,,,0.0,,2025-04-23T17:00:00+00:00,Opportunity,
Tango,IT services,,Base Ketchikan Monthly Elevator Service,,,0.0,,2025-04-23T08:00:00+00:00,Opportunity,
Tango,IT services,,"J065--36C262-25-AP-3309 | 605-25-3-027-0115 | New Require | PM Svc, Hitachi Arietta 70 Intraoperative Ultrasound System",,,0.0,,2025-04-18T19:00:00+00:00,Opportunity,
Tango,IT services,,Snow Removal Services for Sterling WFO and FSC,,,0.0,,2025-04-25T18:00:00+00:00,Opportunity,
Tango,IT services,,US Coast Guard base Ketchikan Pest control Monthly Service Maintenance,,,0.0,,2025-04-23T20:00:00+00:00,Opportunity,
Tango,IT services,,7910--635-25-2-5406-0386 Tile Scraper (VA-25-00047582),,,0.0,,2025-04-14T21:00:00+00:00,Opportunity,
Tango,IT services,,"M--Provide Moorage in Kodiak, AK for the NOAA Ship Ra",,,0.0,,2025-04-23T16:00:00+00:00,Opportunity,
Tango,IT services,,"R--EMS, Fire, and Limited Rescue Services for YELL",,,0.0,,2025-04-23T14:00:00+00:00,Opportunity,
Tango,IT services,,J065--TEST EQUIPMENT CALIBRATIONS,,,0.0,,2025-04-14T14:00:00+00:00,Opportunity,
Tango,IT services,,MHE North Island,,,0.0,,2025-04-28T19:00:00+00:00,Opportunity,
Tango,IT services,,Pinon Health Center needs a UC MD Physician,,,0.0,,2025-04-16T23:00:00+00:00,Opportunity,
Tango,IT services,,PEO STRI AI Tools for Software Refactoring and Rearchitecting- Request for Information (RFI),,,0.0,,2025-04-30T16:00:00+00:00,Opportunity,
Tango,IT services,,Public-Facing Digital Certificate Products and Services,,,0.0,,2025-05-08T20:00:00+00:00,Opportunity,
Tango,IT services,,INTENT TO SOLE SOURCE | New Philips Dynacad Uronav Service | WASHINGTON DC VA MEDICAL CENTER | BASE PLUS FOUR OPTION YEARS | 05/15/2025 to 05/14/2026 UCD 05/14/2030,,,0.0,,2025-04-30T17:00:00+00:00,Opportunity,
USAspending,software development,NNJ09HD46C,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEVELOPMENT, MODIFICATION, SUSTAINING. MAINTENANCE, RECONFIGURATION, AND OPERATIONS FOR THE PURPOSE OF REDUCING COST WITHOUT COMPROMISING FACILITY FUNCTIONALITY AND PERFORMANCE. NASA WILL COLLABORATE WITH THE CONTRACTOR ON DEVELOPING PROCEDURAL AND TECHNICAL INNOVATIONS THAT IMPROVE QUALITY, ENSURE CUSTOMER SATISFACTION AND REDUCE COST.  MISSION OPERATIONS FACILITIES CURRENTLY SUPPORT THE SPACE SHUTTLE PROGRAMAND THE INTERNATIONAL SPACE STATION PROGRA, INCLUDING INTERNATIONAL PARTNER AND COMMMERCIAL VISITING VEHICLES. MISSION OPERATIONS FACILITIES SUPPORTING THE CNSTELLATION PROGRAM(CXP) ARE CONTINUOUSLY UNDER DEVELOPMENT IN CONCERT WITH CXP FORMULATION AND IMPLEMENTATION. FDOC APPLIES TO THE FACILITIES OF THESE THREE PROGRAMS, AND ANY OTHER HSF PROGRAM REQUIRING MISSION OPERATIONS FACILITY SUPPORT. IN ADDITION, FUTURE MISSION OPERATIONS FACILITIES AND CAPABILITIES ARE WITHIN THE TECHNICAL SCOPE OF THIS SOW, AND FDOC WORLK ASSOCIATED WITH THESE FACILITIES WILL BE ENABLED THROUGH IDIQ.",National Aeronautics and Space Administration,LEIDOS INC,1306805321.14,2008-11-07,2018-02-28,Award,
USAspending,software development,NNG09DA01C,"NASA GODDARD SPACE FLIGHT CENTER'S (GSFC) GOAL FOR THE SPACE COMMUNICATIONS NETWORKS SERVICES CONTRACT (SCNS) IS TO ENABLE MISSION SUCCESS FOR EVERY CUSTOMER USING SCNS SERVICES. KEY OBJECTIVES OF THE SCNS CONTRACT ARE TO DECREASE COST AND MAINTAIN OR IMPROVE OPERATIONAL EFFICIENCY AND RELIABILITY, WHILE MAINTAINING AN ACCEPTABLE LEVEL OF RISK AND PROVIDING FOR SAFE OPERATION OF THE MISSIONS. THE CONTRACTOR SHALL IMPLEMENT A SAFETY, HEALTH, AND MISSION ASSURANCE PROGRAM THAT PROVIDES A SAFE AND HEALTHY WORK ENVIRONMENT, MINIMIZES PROGRAM RISK, AND MAXIMIZES NASA MISSION SUCCESS. THE CONTRACTOR SHALL BE RESPONSIBLE AND ACCOUNTABLE FOR ACHIEVING THE REQUIRED RESULTS. CORE REQUIREMENT FUNCTIONS, SUCH AS CONFIGURATION MANAGEMENT, QUALITY ASSURANCE, ETC. ARE REQUIRED TO SUPPORT IDIQ TASK ORDERS. THE SPACE NETWORK (SN) IS COMPRISED OF A FLEET OF ON-ORBIT TRACKING AND DATA RELAY SATELLITES (TDRS) AND ASSOCIATED GROUND SYSTEMS THAT PROVIDE TELECOMMUNICATIONS SERVICES. THE NATURE OF THE SN ARCHITECTURE, I.E., EXTREMELY LARGE CAPITAL INVESTMENT, CONTRACTOR OPERATED FACILITIES, CONTINUOUS 24X7 REQUIREMENTS, ETC., LENDS ITSELF TO A CORE REQUIREMENTS APPROACH. THE GROUND NETWORK (GN) CONSISTS OF AN ORBITAL TRACKING NETWORK AND THE SATELLITE LASER RANGING NETWORK. THE NATURE OF THE GROUND NETWORK ARCHITECTURE, I.E., DIVERSE MIX OF COMMERCIAL AND GOVERNMENT ASSETS, EVOLVING GEOGRAPHIC AND TECHNICAL CUSTOMER REQUIREMENTS, AND LEGACY SYSTEMS, ETC. LENDS ITSELF TO AN IDIQ APPROACH. OTHER ACTIVITIES, I.E., VERY LONG BASELINE INTERFEROMETRY NETWORK OPERATIONS AND MAINTENANCE (O&M), ELECTRONIC SYSTEM TEST LABORATORY, REQUIREMENTS DEVELOPMENT, HARDWARE AND SOFTWARE DEVELOPMENT, ETC. ARE BEST SUITED TO AN IDIQ APPROACH IN THE RESOURCE-CONSTRAINED ENVIRONMENT THAT NASA OPERATES IN.",National Aeronautics and Space Administration,PERATON INC.,1200320663.04,2008-10-11,2019-10-08,Award,
USAspending,software development,HQ085622F0001,"GWS SOFTWARE DEVELOPMENT (GFC, IDT, GSS,",Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,560215072.26,2022-07-29,2027-09-30,Award,
USAspending,software development,NNG08HZ00C,"TAS::80 0110::TAS GEOSTATIONARY LIGHTNING MAPPER (GLM) INSTRUMENT THE FOR GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES (GOES) R.  THE CONTRACTOR SHALL PROVIDE THE PERSONNEL, MATERIALS, FACILITIES AND OTHER RESOURCES TO DESIGN, DEVELOP, DELIVER (TO THE DESIGNATED DESTINATION) AND SUPPORT UNDER THE BASIC CONTRACT: A) PARTS AND MATERIALS FOR AN ENGINEERING DEVELOPMENT UNIT (EDU) AND 4 FLIGHT MODELS B) ONE GLM ENGINEERING DEVELOPMENT UNIT (EDU) C) ONE GLM PROTO-FLIGHT MODEL (PFM) DESIGNATED FLIGHT MODEL-1 (FM-1) D) THREE SETS OF THE ELECTRICAL SYSTEM TEST EQUIPMENT (ESTE) E) TWO GLM EMULATORS (GLME) F) TWO FLIGHT SOFTWARE DEVELOPMENT ENVIRONMENTS (FSDES) G) ONE GROUND PROCESSING DEMONSTRATION SYSTEM (GPDS) H) SPARES FOR THE FOUR FMS I) ALL ADDITIONAL GLM MECHANICAL AND ELECTRICAL GROUND SUPPORT EQUIPMENT (MGSE AND EGSE) CALLED OUT ELSEWHERE IN THIS DOCUMENT J) ALL ITEMS AND DOCUMENTS SPECIFIED IN ALL CONTRACT DOCUMENTS",National Aeronautics and Space Administration,LOCKHEED MARTIN CORPORATION,486224471.0,2007-12-13,2039-06-25,Award,
USAspending,software development,NNG07HW20C,"TAS::80 0114::TAS SOLAR ULTRAVIOLET IMAGER (SUVI) INSTRUMENT.  THIS CONTRACT IS FOR THE DESIGN, ANALYZE, DEVELOP, FABRICATE, INTEGRATE, TEST, EVALUATE AND SUPPORT LAUNCH OF THE SOLAR ULTRAVIOLET IMAGER (SUVI) INSTRUMENT, SUPPLY AND MAINTAIN THE INSTRUMENT GROUND SUPPORT EQUIPMENT (GSE), AND SUPPORT THE SATELLITE OPERATIONS CONTROL CENTER (SOCC).  THE SUVI IS CLASSIFIED AS A NON-PRIMARY INSTRUMENT ON THE GOES-R SATELLITE AND HAS A RISK CLASSIFICATION OF B. THE SUVI INSTRUMENT PROVIDES A BROADBAND IMAGING IN THE EXTREME ULTRAVIOLET WAVELENGTH RANGE TO MONITOR THE ENTIRE DYNAMIC RANGE OF SOLAR FEATURES, FROM CORONAL HOLES TO FLARES, AS WELL AS THE ESTIMATE OF TEMPERATURE AND EMISSION MEASURE.  THESE DATA ARE USED FOR GEOMAGNETIC STORM FORECASTS AND FORECASTS OF SOLAR ENERGETIC PARTICLE EVENTS RELATED TO FLARES.  THE CONTRACTOR SHALL PROVIDE THE PERSONNEL, MATERIALS, FACILITIES AND OTHER RESOURCES TO DESIGN, DEVELOP, DELIVER AND SUPPORT UNDER THE BASIC CONTRACT: A) PARTS AND MATERIALS FOR 4 FLIGHT MODELS B) ONE SUVI FLIGHT MODEL (FM) C) THREE SETS OF THE ELECTRICAL SYSTEM TEST EQUIPMENT (ESTE) D) TWO SUVI EMULATORS (SUVIES) E) TWO FLIGHT SOFTWARE DEVELOPMENT ENVIRONMENTS (FSDES) F) ONE GROUND PROCESSING DEVELOPMENT SYSTEM (GPDS) G) SPARES FOR THE FOUR FMS H) ALL ADDITIONAL SUVI MECHANICAL AND ELECTRICAL GROUND SUPPORT EQUIPMENT (MGSE AND EGSE) CALLED OUT ELSEWHERE IN THIS DOCUMENT I) ALL ITEMS AND DOCUMENTS SPECIFIED IN ALL CONTRACT DOCUMENTS",National Aeronautics and Space Administration,LOCKHEED MARTIN CORPORATION,325409715.0,2007-09-24,2039-04-30,Award,
USAspending,software development,HQ085221F0006,"SPIRAL 8.2-7 SOFTWARE DEVELOPMENT - DEVELOP AND DEPLOY THE COMMAND AND CONTROL, BATTLE MANAGEMENT AND COMMUNICATIONS (C2BMC) CAPABILITY IN MULTIPLE PHASES THROUGH FY 2024 AND PLANNING FOR FUTURE BMDS INCREMENTS.",Department of Defense,LOCKHEED MARTIN CORPORATION,290437985.11,2021-04-09,2026-09-30,Award,
USAspending,software development,W31P4Q15C0065,"IGF::OT::IGF THIS IS A NEW 5 YEAR FOLLOW ON CONTRACT TO W31P4Q-07-C-0335 FOR CONTINUED SOFTWARE DEVELOPMENT, MAINTENANCE, AND TRAINING.",Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,245777496.43,2015-04-01,2021-03-31,Award,
USAspending,software development,NNG15HQ01C,"IGF::OT::IGF  THE CONTRACTOR SHALL SUPPORT THE HYDROSPHERIC AND BIOSPHERIC SCIENCES (HBS), CODE 610 IN THE FOLLOWING AREAS: SCIENCE RESEARCH   HYPOTHESIS VERIFICATION   MODELING AND SIMULATION  SCIENTIFIC MISSION PLANNING AND EXECUTION COMPUTING  SCIENCE PROCESSING OPERATIONS SCIENCE INSTRUMENTATION    MECHANICAL ENGINEERING (TECHNICAL AND ASSEMBLY)    ELECTRONIC DESIGN, ENGINEERING, AND ANALYSIS    OPTICAL AND LASER DESIGN, ENGINEERING, AND ANALYSIS    BENCH CHECKOUT EQUIPMENT  LABORATORY AND FIELD EXPERIMENTS ADMINISTRATION EDUCATION AND OUTREACH TECHNICAL WRITING WEB PAGE DESIGN AND SUPPORT MEDIA DEVELOPMENT PROJECTS MEETINGS, VISITS, AND CONSULTATIONS ORGANIZATION  PROPERTY SAFETY CALIBRATION&VALIDATION ALGORITHM AND SOFTWARE DEVELOPMENT CHARACTERIZATION AND MODELING DATA ANALYSIS  LABORATORY AND FIELD ACTIVITIES INSTRUMENT OPERATIONS LOGISTICS REPORTING THIS SUPPORT IS CATEGORIZED IN FIVE MAJOR AREAS: SCIENCE, COMPUTING, SCIENCE INSTRUMENTATION, ADMINISTRATION, AND CALIBRATION VALIDATION.  THE CONTRACTOR SHALL PROVIDE ALL NECESSARY RESOURCES, INCLUDING PERSONNEL, FACILITIES, EQUIPMENT, AND MATERIALS, UNLESS OTHERWISE PROVIDED BY THE GOVERNMENT, IN ORDER TO MEET THE PERFORMANCE-BASED WORK REQUIREMENTS. IN THE FOLLOWING PARAGRAPHS, SPECIFIC WORK ELEMENTS ARE FOLLOWED BY PARENTHETICAL UNDERLINED ACTIVITIES THAT ARE EXAMPLES OF WHERE THE ACTIVITIES APPLY.   IN PERFORMING WORK UNDER TASKS ISSUED ON THIS CONTRACT, WHERE ELECTRONIC AND INFORMATION TECHNOLOGY (EIT) STANDARDS APPLY, SUCH IN SOFTWARE DEVELOPMENT AND WEB SITES, THE CONTRACTOR SHALL PROVIDE THE FOLLOWING SERVICES:      SOFTWARE APPLICATIONS AND OPERATING SYSTEMS      WEB BASED INTRANET AND INTERNET INFORMATION AND APPLICATIONS      TELECOMMUNICATIONS PRODUCTS      VIDEO AND MULTIMEDIA PRODUCTS      SELF CONTAINED, CLOSED PRODUCTS      DESKTOP AND PORTABLE COMPUTERS",National Aeronautics and Space Administration,"SCIENCE SYSTEMS AND APPLICATIONS, INC.",226845379.9,2014-12-01,2020-05-31,Award,
USAspending,software development,HQ085223C0002,BOA SOFTWARE DEVELOPMENT LABOR,Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,215402182.48,2023-06-15,2028-06-14,Award,
USAspending,software development,W31P4Q07C0335,CRAM SOFTWARE DEVELOPMENT,Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,200787152.66,2007-10-01,2017-03-31,Award,
USAspending,software development,GSFC0200207DNAS502099,"TIME HISTORY OF EVENTS&MACROSCALE INTERACTIONS DURING SUBSTORMS (THEMIS) MISSION PHASE A EFFORT THE CONTRACTOR SHALL PROVIDE A CONCEPT STUDY FOR THE THEMIS MISSION IN ORDER TO PROVIDE NASA WITH MORE DEFINITIVE INFORMATION REGARDING THE COST, RISK, AND FEASIBILITY OF THE INVESTIGATION. THE CONTRACTOR SHALL PREPARE AND DELIVER A CONCEPT STUDY REPORT DETAILING THE RESULTS OF THE STUDY IN ACCORDANCE WITH ATTACHMENT B OF THE CONTRACT ENTITLED ""MEDIUM-CLASS EXPLORER PROGRAM GUIDELINES AND CRITERIA FOR THE PHASE A CONCEPT STUDY"".  THE CONTRACTOR SHALL ALSO SUPPORT A NASA SITE VISIT AT ITS FACILITY TO DISCUSS THE CONCEPT STUDY REPORT AND ATTEND A PHASE A CONCEPT STUDY REVIEW MEETING, BRIDGE PHASE OPTION:  THE CONTRACTOR SHALL COMMENCE INITIAL DEFINITION PHASE ACTIVITIES, INCLUDING LONG LEAD PARTS PROCUREMENTS. AND THE FOLLOWING ACTIVITIES: - PROVIDE PROGRAM MANAGEMENT FOR THEMIS; - BEGIN SCIENTIFIC STUDIES AND SIMULATIONS TO PROVIDE SCIENTIFIC INPUT FOR INSTRUMENT AND ORBIT DESIGN ENSURING THEY MEET SCIENCE GOALS; - BEGIN THE DESIGN AND DEVELOPMENT AND INSTRUMENTS, OTHER HARDWARE, AND ELECTRONICS; AND - BEGIN FLIGHT SOFTWARE DEVELOPMENT",National Aeronautics and Space Administration,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,196537576.69,2002-07-15,2028-09-30,Award,
USAspending,software development,HHSF22301001T,IGF::CT::IGF ORA MARCS FULL SOFTWARE DEVELOPMENT LIFECYCLE SUPPORT.,Department of Health and Human Services,"LEIDOS, INC.",194025780.31,2013-09-20,2019-09-24,Award,
USAspending,software development,M801,"IGF::OT::IGF ENGINEERING AND TECHNICAL SUPPORT SERVICES INCLUDING SOFTWARE ENGINEERING, SOFTWARE DEVELOPMENT, AND SYSTEMS INTEGRATION TESTING FOR NAVAIR 4.9.4 (FORMERLY 4.1.4). THE PERIOD OF PERFORMANCE IS FOR A BASE PERIOD AND FOUR (4) OPTION PERIODS OF PERFORMANCE.",Department of Defense,"SABRE SYSTEMS, LLC",167958721.47,2016-03-24,2021-11-30,Award,
USAspending,software development,36C10B20N0034EHRM,"TO 34 - EHRM  SOFTWARE DEVELOPMENT. THE CONTRACTOR SHALL PROVIDE SOFTWARE DEVELOPMENT TO ADDRESS REQUIREMENTS IN FUNCTIONAL AREAS SUCH AS CLINICAL, DENTAL AND REVENUE CYCLE TO MATCH EHRM CAPABILITIES TO VA-SPECIFIC REQUIREMENTS.",Department of Veterans Affairs,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",155882857.18,2020-09-01,2027-04-03,Award,
USAspending,software development,HC104719F0002,"THE GLOBAL COMMAND AND CONTROL SYSTEM JOINT IS THE DOD JOINT COMMAND AND CONTROL SYSTEM OF RECORD FOR ACHIEVING FULL SPECTRUM DOMINANCE.  THE GCCSJ SYSTEM IS A SUITE OF MISSION APPLICATIONS THAT PROVIDES CRITICAL JOINT WARFIGHTING C2 CAPABILITIES AND IS THE PRINCIPAL FOUNDATION FOR DOMINANT BATTLESPACE AWARENESS, PROVIDING AN INTEGRATED, NEAR REALTIME PICTURE OF THE BATTLESPACE NECESSARY TO CONDUCT JOINT AND MULTINATIONAL OPERATIONS.  GCCSJ PROVIDES A ROBUST AND SEAMLESS C2 CAPABILITY TO THE COMMANDER IN CHIEF, SECRETARY OF DEFENSE, NATIONAL MILITARY COMMAND CENTER, COMBATANT COMMANDERS, JOINT FORCE COMMANDERS, AND SERVICE COMPONENT COMMANDERS.  GCCSJ OFFERS VITAL CONNECTIVITY TO THE SYSTEMS THE JOINT WARFIGHTER USES TO PLAN, EXECUTE, AND MANAGE MILITARY OPERATIONS.  GCCSJ IS A MAJOR INFORMATION TECHNOLOGY INVESTMENT DESIGNATED AS AN ACQUISITION CATEGORY IAC MAJOR AUTOMATED INFORMATION SYSTEM PROGRAM.  THE GCCSJ PROGRAM MANAGEMENT OFFICE IS TASKED TO SUSTAIN AND MAINTAIN THE CURRENT CAPABILITY ENSURING CONTINUED SUPPORT OF JOINT C2 NEEDS ACROSS THE DOD TO INCLUDE THOSE OF THE GCCS FAMILY OF SYSTEMS.  THE INTENT OF THIS FOLLOW ON REQUIREMENT IS TO SUSTAIN AND MAINTAIN THE EXISTING SYSTEM BASELINES THAT THE PMO IS REQUIRED TO KEEP IN AN OPERATIONAL STATE UNTIL THE SYSTEM IS MODERNIZED.  THIS REQUIREMENT IS TO OBTAIN MISSION CRITICAL ENGINEERING, SOFTWARE DEVELOPMENT, AND CYBERSECURITY INFORMATION ASSURANCE SUPPORT FOR THE SUSTAINMENT OF THE EXISTING GCCSJ SYSTEM.  THIS SUPPORT WILL ENABLE GCCSJ TO ACHIEVE STRONGER AND MORE EFFECTIVE SOFTWARE SUSTAINMENT AND MAINTENANCE SERVICES UNDER A SINGLE CONTRACTOR WHO WILL BE RESPONSIBLE FOR EFFECTIVELY EXECUTING THE ASSOCIATED PROCESSES USING AN AGILE DEVELOPMENT METHODOLOGY.",Department of Defense,PERATON INC.,151919894.52,2018-12-07,2024-02-06,Award,
USAspending,software development,HSCG2304J2DW281,"UPGRADE OF C-130J TO A MISSIONIZED HC-130J AIRCRAFT CONFIGURATION USING A FLIGHT DECK MOUNTED SOLUTION TO INCLUDE PROGRAM MANAGEMENT, MANAGEMENT OF SUBCONTRACTORS, PROCUREMENT OF EQUIPMENT, SYSTEM DESIGN, SYSTEM INTEGRATION, SOFTWARE DEVELOPMENT, EQUIPMENT DELIVERIES, INSTALLATION, TEST, INTEGRATED LOGISTICS SUPPORT (ILS) EFFORTS, DEVELOPMENT OF TECHNICAL DOCUMENTATION, AND DELIVERY OF THE TECHNICAL DOCUMENTATION.",Department of Homeland Security,INTEGRATED COAST GUARD SYSTEMS LLC,144229872.0,2004-09-28,2009-12-14,Award,
USAspending,software development,NNG09HP18C,"THE CONTRACTOR SHALL SUPPORT THE HYDROSPHERIC AND BIOSPHERIC SCIENCES LABORATORY (HMS), CODE 614 IN THE FOLLOWING AREAS:  SCIENCE, COMPUTING, SCIENCE INSTRUMENTATION, ADMINISTRATION, AND CALIBRATION AND VALIDATION. THE CONTRACTOR SHALL PROVIDE ALL NECESSARY RESOURCES, INCLUDING PERSONNEL, FACILITIES, EQUIPMENT, AND MATERIALS, UNLESS OTHERWISE PROVIDED BY THE GOVERNMENT, IN ORDER TO MET THE PERFORMANCE-BASED WORK REQUIREMENTS.  AREAS OF SUPPORT UNDER THIS CONTRACT INCLUDE:   - - SCIENCE RESEARCH:  HYPOTHESIS VERIFICATION, MODELING AND SIMULATION - - SCIENTIFIC MISSION PLANNING AND EXECUTION:  COMPUTING SYSTEMS (COMPUTING AND NETWORK) AND SCIENCE PROCESSING OPERATIONS - - SCIENCE INSTRUMENTATION:  MECHANICAL ENGINEERING (TECHNICAL AND ASSEMBLY), ELECTRONIC DESIGN, ENGINEERING, AND ANALYSIS, OPTICAL AND LASER DESIGN, ENGINEERING, AND ANALYSIS, BENCH CHECKOUT EQUIPMENT, AND LABORATORY AND FIELD EXPERIMENTS - - ADMINISTRATION:  EDUCATION AND OUTREACH, TECHNICAL WRITING,  MEDIA DEVELOPMENT, PROJECTS, MEETINGS, VISITS, AND CONSULTATIONS ORGANIZATION, PROPERTY, SAFETY - - CALIBRATION&VALIDATION:  ALGORITHM AND SOFTWARE DEVELOPMENT CHARACTERIZATION AND MODELING, DATA ANALYSIS, LABORATORY AND FIELD ACTIVITIES, LOGISTICS, AND REPORTING",National Aeronautics and Space Administration,SIGMA SPACE LLC,140041319.74,2009-08-01,2015-01-31,Award,
USAspending,software development,SAQMMA13F2651,"IGF::OT::IGF ""VANGUARD 2.3.2"" STATE MESSAGING AND COLLABORATION. SOFTWARE DEVELOPMENT, OPERATIONS, AND MAINTENANCE FOR IT MESSAGING AND INFORMATION SHARING SYSTEMS.",Department of State,"BUCHANAN & EDWARDS, INC.",117797326.95,2013-09-29,2020-06-28,Award,
USAspending,software development,GST0110BK0047,INFORMATION TECHNOLOGY SERVICES (SOFTWARE DEVELOPMENT),General Services Administration,PERATON INC.,107319166.24,2010-08-05,2016-07-31,Award,
