acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
Donovan,TASK ORDER #1 FOR MAVEN SMART SYSTEM - USER INTERFACE/USER EXPERIENCE (UI/UX) PROTOTYPE,W911QX24F0053,PALANTIR USG INC,328877148,292680689.2,Department of the Army,Department of Defense,TS/SCI,PALO ALTO,CALIFORNIA,DoD secure enclaves,ML engineers; data labeling teams; AI DevOps,,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC35,6/18/2024,5/31/2026,69,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,"DISCOVERY,MASTER,TANGO"
LAUNCH,"LAUNCH ON REMOTE, FSC MODULAR ARCHITECTURE REDESIGN IGF::OT::IGF FOR OTHER FUNCTIONS",1,LOCKHEED MARTIN CORPORATION,295417961.7,206802818,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,J014,3/2/2018,9/9/2026,69,WARM LEAD,DEEP,86,,,S4_EXPIRING,DISCOVERY
THIS,"THIS EFFORT WILL PROVIDE SYSTEM UTILITY ANALYSIS AND COMBAT DEVELOPMENT TO UNITED STATES ARMY SPACE AND MISSILE DEFENSE COMMAND IN THE AREAS OF SPACE, SPACE CONTROL, HIGH ALTITUDE, AIR AND MISSILE DEFENSE AND ASSOCIATED CYBERSPACE OPERATIONS",W9126022FD508,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,280971934,169908782.5,Department of the Army,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541712,,AC13,9/4/2022,9/3/2026,69,WARM LEAD,PRIME ONLY,66,,,S4_EXPIRING,DISCOVERY
AGILE,AGILE SOFTWARE SERVICES,W31P4Q22F0120,PERATON INC.,279096621.6,269096621.6,Department of the Army,Department of Defense,,HERNDON,VIRGINIA,,,,541512,,DA10,4/15/2022,4/13/2026,69,WARM LEAD,PRIME ONLY,2,,,S4_EXPIRING,DISCOVERY
STRYKER,STRYKER SES/C4ISR,W56HZV19F0162,GENERAL DYNAMICS LAND SYSTEMS INC.,277726120.2,277726120.2,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,541330,,R425,2/14/2019,9/30/2026,69,WARM LEAD,DEEP,48,,,S4_EXPIRING,DISCOVERY
OVERALL,"THE OVERALL SCOPE OF THIS CONTRACT IS TO PROVIDE WALLOPS RANGE OPERATIONS AND MAINTENANCE SUPPORT SERVICES TRAINING COMMAND, CONTROL, COMMUNICATIONS, INFORMATION AND COMPUTER SYSTEMS SERVICES TESTING, MODIFYING AND INSTALLING COMMUNICATIONS AND ELECTRONIC SYSTEMS AT LAUNCH FACILITIES, LAUNCH CONTROL CENTERS AND TEST FACILITIES RANGE SUSTAINING ENGINEERING SERVICES, AND GROUND OPERATIONS SUPPORT.  THIS EFFORT PROVIDES DIRECT CUSTOMER SUPPORT TO NASA WFF'S RANGE BY PROVIDING QUALIFIED PERSONNEL, E",80GSFC19C0013,"KBR WYLE SERVICES, LLC",270000000,224307445.1,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,WALLOPS ISLAND,VIRGINIA,,,,517919,,AJ45,8/10/2019,6/30/2026,69,WARM LEAD,PRIME ONLY,160,,,S4_EXPIRING,DISCOVERY
MISSION,MISSION INFORMATION TECHNOLOGY SERVICES,HDTRA123F0021,BOOZ ALLEN HAMILTON INC,268537336,215139450.5,Defense Threat Reduction Agency,Department of Defense,,FORT BELVOIR,VIRGINIA,,,,541512,,R499,7/22/2023,7/22/2026,69,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
GLOBAL,GLOBAL POSITIONING SYSTEM MILITARY USERS EQUIPMENT MINIATURE SERIAL INTERFACE RECEIVER CARD PROGRAM WITH NEXT GENERATION APPLICATION SPECIFIC INTEGRATED CIRCUIT INCREMENT,FA880721C0005,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,267325553.6,222869789.6,Department of the Air Force,Department of Defense,,ANAHEIM,CALIFORNIA,,,,334511,,6605,11/6/2020,10/31/2026,69,WARM LEAD,PRIME ONLY,91,,,S4_EXPIRING,DISCOVERY
NEXT,NEXT GENERATION OPERATIONAL CONTROL SYSTEM BLOCK 3 FOLLOW-ON.,FA880721C0002,RAYTHEON COMPANY,262197894.3,236950477.6,Department of the Air Force,Department of Defense,,AURORA,COLORADO,,,,927110,,1677,4/29/2021,8/31/2026,69,WARM LEAD,PRIME ONLY,56,,,S4_EXPIRING,DISCOVERY
H20,H20 SYSTEM CONFIGURATION SETS,N6893623F0237,THE BOEING COMPANY,244490742.8,218947211.3,Department of the Navy,Department of Defense,,SAINT LOUIS,MISSOURI,,,,541330,,K016,3/13/2023,9/12/2026,69,WARM LEAD,DEEP,25,,,S4_EXPIRING,DISCOVERY
ENTERPRISE,ENTERPRISE AS A SERVICE ENTERPRISE SERVICE DESK-UNIFIED ENDPOINT MANAGEMENT,FA872623FB093,"CACI NSS, LLC",216898492,199987785.3,Department of the Air Force,Department of Defense,,CHANTILLY,VIRGINIA,,,,541512,,DA01,9/15/2023,8/14/2026,69,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
PURPOSE,THE PURPOSE OF THIS TASK ORDER IS TO PROCURE SMIT ENTERPRISE IT SUPPORT SERVICES FOR BASE YEAR 5.,M6785425F4200,"LEIDOS, INC.",208875289.3,151839950.5,Department of the Navy,Department of Defense,,RESTON,VIRGINIA,,,,541512,,DA01,5/1/2025,4/30/2026,69,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
PRESIDENTIAL,PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC) INTEGRATOR,FA873520C0001,Raytheon Company,199395461.6,196412360.4,Department of the Air Force,Department of Defense,,SEMINOLE,FLORIDA,,,,334220,,AC64,11/15/2019,11/15/2026,69,WARM LEAD,PRIME ONLY,86,,,S4_EXPIRING,DISCOVERY
MOBILE,MOBILE USER OBJECTIVE SYSTEM GROUND SUSTAINMENT,FA880724F0003,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",178752561.7,147278362.6,Department of the Air Force,Department of Defense,,SCOTTSDALE,ARIZONA,,,,541330,,R426,8/31/2026,8/31/2026,69,WARM LEAD,DEEP,40,,,S4_EXPIRING,DISCOVERY
ARMY,ARMY CYBER COMMANDS MICROSOFT CONSULTING SERVICES AND MICROSOFT PREMIER SUPPORT,HC102821F1170,Microsoft Corporation,172503543.6,172503499.9,Defense Information Systems Agency,Department of Defense,,FORT GORDON,GEORGIA,,,,541512,,R425,9/30/2021,3/31/2026,69,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
ACAT,"ACAT II, F-15, ADVANCED DISPLAY CORE PROCESSOR (ADCP) II PRODUCTION",FA863418C2698,THE BOEING COMPANY,159418627.3,400856210.7,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,1510,9/28/2018,12/31/2026,69,WARM LEAD,DEEP,74,,,S4_EXPIRING,DISCOVERY
ROTHR,ROTHR OPERATIONS MAINTENANCE SERVICES,N0018921CZ028,RAYTHEON COMPANY,152133542.3,147541310.6,Department of the Navy,Department of Defense,,CHESAPEAKE,VIRGINIA,,,,541990,,M1BC,5/1/2021,4/30/2026,69,WARM LEAD,PRIME ONLY,44,,,S4_EXPIRING,DISCOVERY
COUNTER,COUNTER COMMUNICATION SYSTEMS BLOCK 10.2 PRODUCTION (CCS BLOCK 10.2),FA881917C0004,"L3HARRIS TECHNOLOGIES, INC.",136728002.1,268740964.1,Department of the Air Force,Department of Defense,,PALM BAY,FLORIDA,,,,334511,,5895,11/3/2016,9/30/2026,69,WARM LEAD,PRIME ONLY,85,,,S4_EXPIRING,DISCOVERY
COMMUNICATIONS,IGF::CT::IGF  COMMUNICATIONS TECHNICAL SUPPORT SVCS,4,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",123256767.2,112735762,Defense Information Systems Agency,Department of Defense,,,,,,,541330,,D316,4/15/2016,9/7/2026,69,WARM LEAD,DEEP,13,,,S1_BIG_FISH,DISCOVERY
,IGF::OT::IGF,N0003016C0005,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",85631639.86,485654905.5,,,,,,,,Engineering Services,,,,,,69,WARM LEAD,DEEP,1342,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
CONTRACT,CONTRACT DATA REQUIREMENTS LIST (CDRLS),N0003021C1010,NORTHROP GRUMMAN SYSTEMS CORPORATION,34247191.43,236169838.3,Department of the Navy,Department of Defense,,SUNNYVALE,CALIFORNIA,,,,541330,,L020,10/1/2020,7/29/2026,69,WARM LEAD,DEEP,6,,,S4_EXPIRING,DISCOVERY
COMPREHENSIVE,IGF::OT::IGF COMPREHENSIVE F-22 VEHICLE SUSTAINMENT SERVICES,FA820518F0001,LOCKHEED MARTIN CORPORATION,3705361444,3667251156,Department of the Air Force,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,J016,1/1/2018,4/30/2027,68,WARM LEAD,DEEP,22,,,S4_EXPIRING,DISCOVERY
,"TASK ORDER TO PROVIDE PROJECT MANAGEMENT SUPPORT, TRANSITION SUPPORT, ENGINEERING AND DESIGN SUPPORT, SECURING THE INFRA",SAQMMA11F0233,"LEIDOS, INC.",3169374856,2087211598,,,TS/SCI w/ Poly,,,,,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,68,WARM LEAD,DEEP,776,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
ENGINEERING,ENGINEERING SERVICES AND SCIENCE CAPABILITY AUGMENTATION (ESSCA),80MSFC18C0011,"AMENTUM TECHNOLOGY, INC.",2268444921,1870896809,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,HUNTSVILLE,ALABAMA,,,,541715,,R425,12/1/2017,11/30/2026,68,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
LRDR,LRDR,HQ014716C0011,LOCKHEED MARTIN CORPORATION,1456307638,1316080802,Missile Defense Agency,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,334511,,5840,10/21/2015,3/31/2027,68,WARM LEAD,DEEP,18,,,S4_EXPIRING,DISCOVERY
HELIOS,"HELIOS DEVELOPMENT AND DELIVERY OF TWO TEST UNITS, AND FIXED-PRICE-INCENTIVE (FPI) STEPLADDER OPTIONS FOR UP TO FOURTEEN (14) PRODUCTION UNITS. THE CONTRACT ALSO INCLUDES COST-PLUS-FIXED-FEE (CPFF) LEVEL OF EFFORT (LOE) LINE ITEMS FOR SUSTAINMENT, TECHNICAL AND FIELD ENGINEERING SERVICES, COST ONLY LINE ITEM FOR TRAVEL, AND A FIRM-FIXED-PRICE (FFP) LINE ITEM FOR PROVISIONED ITEMS ORDERS.",N0002418C5392,LOCKHEED MARTIN ACULIGHT CORPORATION,1128393788,225364711.3,Department of the Navy,Department of Defense,,BOTHELL,WASHINGTON,,,,332994,,1095,1/26/2018,7/23/2027,68,WARM LEAD,DEEP,330,,,S4_EXPIRING,DISCOVERY
ACAT,ACAT II GREECE F-16 UPGRADE PROGRAM,FA861519C6050,LOCKHEED MARTIN CORPORATION,974442654.6,958825548.5,Department of the Air Force,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1680,12/20/2018,12/31/2027,68,WARM LEAD,DEEP,391,,,S4_EXPIRING,DISCOVERY
PURPOSE,"PURPOSE OF THIS AWARD IS A NEW OPTION CONTRACT TO GENERAL DYNAMICS LAND SYSTEMS (GDLS) FOR 5,940,169 HOURS OF SYSTEM TECHNICAL SUPPORT (STS)/SUSTAINMENT SYSTEM TECHNICAL SUPPORT (SSTS).",W56HZV22C0012,GENERAL DYNAMICS LAND SYSTEMS INC.,923263627.5,1058983802,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,336992,,K010,2/28/2022,8/26/2027,68,WARM LEAD,DEEP,78,,,S4_EXPIRING,DISCOVERY
,ESA V MANAGED SERVICES (ATF AND FCS),15A00020FAQA00189,"Leidos, Inc.",852842246.6,555756832.2,,,TS/SCI w/ Poly,,,,,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,68,WARM LEAD,DEEP,1238,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
ENCANISTERED,"ENCANISTERED MISSILES, FIRE CONTROL SUITES, LAUNCHING MECHANISMS, TEST CONFIGURED ENCANISTERED MISSILES",N0002418C5432,RAYTHEON COMPANY,791726203.8,553613746.8,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,334511,,1425,5/31/2018,12/31/2027,68,WARM LEAD,PRIME ONLY,228,,,S4_EXPIRING,DISCOVERY
,IGF::OT::IGF SENS3 AWARD,GSQ0017AJ0079,"LEIDOS, INC.",729598429,550391322.5,,,TS/SCI w/ Poly,,,,,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,68,WARM LEAD,DEEP,3237,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
GROUND,GROUND SYSTEMS AND MISSION OPERATIONS (GSMO-3),80GSFC22CA020,"KBR WYLE SERVICES, LLC",645000000,566860582,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,GREENBELT,MARYLAND,,,,541330,,R499,6/1/2022,5/31/2027,68,WARM LEAD,PRIME ONLY,348,,,S4_EXPIRING,DISCOVERY
PRECISION,PRECISION STRIKE MISSILE (PRSM) EARLY OPERATIONAL CAPACITY (EOC) LOT 3,W31P4Q23C0052,LOCKHEED MARTIN CORPORATION,579461820.1,579461820.1,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,1410,9/29/2023,10/31/2027,68,WARM LEAD,DEEP,156,,,S4_EXPIRING,DISCOVERY
ELEMENT,ELEMENT SYSTEM ENGINEERING,HQ085622F0005,THE BOEING COMPANY,538472215.3,284324921.5,Missile Defense Agency,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541715,,AC13,9/1/2022,8/31/2027,68,WARM LEAD,DEEP,145,,,S4_EXPIRING,DISCOVERY
BORDER,BORDER ENFORCEMENT APPLICATIONS FOR GOVERNMENT LEADING-EDGE INFORMATION TECHNOLOGY,70B04C24F00001129,"CACI, INC. - FEDERAL",536571362.4,467866224.6,U.S. Customs and Border Protection,Department of Homeland Security,,ASHBURN,VIRGINIA,,,IT Services,541512,,DA01,9/30/2024,9/29/2026,68,WARM LEAD,DEEP,53,,WARM,S4_EXPIRING,"DISCOVERY,GREENFIELD"
ABRAMS,"ABRAMS REQUIREMENTS CONTRACT - FOURTH DOMESTIC DELIVERY ORDER UTILIZING YEAR THREE ORDERING PERIOD, (34) VEHICLES.",W56HZV24F0030,GENERAL DYNAMICS LAND SYSTEMS INC.,433242912,433242912,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,336992,,2350,12/8/2023,4/30/2027,68,WARM LEAD,DEEP,184,,,S4_EXPIRING,DISCOVERY
FRP,FRP 18 BLOCK V TACTOM AUR,N0001922C0031,RAYTHEON COMPANY,414116188.9,414116188.9,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,5/24/2022,5/31/2027,68,WARM LEAD,PRIME ONLY,256,,,S4_EXPIRING,DISCOVERY
INTELLIGENCE,"INTELLIGENCE SYSTEMS INFRASTRUCTURE, TOOLS, AND ENHANCEMENTS (INSITE)",FA875023F0501,NORTHROP GRUMMAN SYSTEMS CORPORATION,405303598,253433047,Department of the Air Force,Department of Defense,,MCLEAN,VIRGINIA,,,,541330,,R425,12/5/2022,12/3/2027,68,WARM LEAD,DEEP,450,,,S4_EXPIRING,DISCOVERY
CH-47F,CH-47F AIRCRAFT PROCUREMENT,W58RGZ23F0395,THE BOEING COMPANY,396755001,396755001,Department of the Army,Department of Defense,,RIDLEY PARK,PENNSYLVANIA,,,,336411,,1520,6/30/2023,4/30/2027,68,WARM LEAD,DEEP,416,,,S4_EXPIRING,DISCOVERY
REQUIREMENT,REQUIREMENT IS FOR FMBT IFAMS INTERFACE DEVELOPMENT.,36C10B20F0250,"CACI NSS, LLC",385045073.8,204521256.1,Department of Veterans Affairs,Department of Veterans Affairs,,CHANTILLY,VIRGINIA,,,,541519,,D307,7/24/2020,7/23/2026,68,WARM LEAD,DEEP,27,,,S4_EXPIRING,DISCOVERY
DESIGN,"DESIGN, DEVELOP, INTEGRATE NAVY SYSTEMS",N0002419C6407,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",353371296.8,247495980.7,Department of the Navy,Department of Defense,,FAIRFAX,VIRGINIA,,,,334511,,1260,7/19/2019,7/18/2027,68,WARM LEAD,DEEP,146,,,S4_EXPIRING,DISCOVERY
AH-64,AH-64 APACHE MODERNIZED TARGET ACQUISITION DESIGNATION SIGHT/PILOT NIGHT VISION SENSOR (MTADS/PNVS) PERFORMANCE BASED LOGISTICS (PBL),W58RGZ21C0016,LOCKHEED MARTIN CORPORATION,332065783,327966109.7,Department of the Army,Department of Defense,,ORLANDO,FLORIDA,,,,541690,,R706,7/1/2021,8/31/2027,68,WARM LEAD,DEEP,216,,,S4_EXPIRING,DISCOVERY
WOMA,"THE WOMA REQUIREMENT WAS ISSUED AS A FULL AND OPEN COMPETITIVE PROCUREMENT TO DESIGN, ANALYZE, DEVELOP, FABRICATE, INTEGRATE, TEST, AND EVALUATE THE WIDE FIELD INSTRUMENT (WFI) OPTO-MECHANICAL ASSEMBLY (WOMA) FOR THE WIDE FIELD INFRARED SURVEY TELESCOPE (WFIRST) MISSION. IN ADDITION, IT DEFINES THE TASKS NECESSARY TO SUPPORT THE SUBSEQUENT INTEGRATION, TEST, EVALUATION, AND VALIDATION OF THE WFI. IT DEFINES THE POST-DELIVERY SUPPORT TO PAYLOAD AND OBSERVATORY INTEGRATION AND TEST, AND TO PRE-LAU",80GSFC18C0083,BAE SYSTEMS SPACE & MISSION SYSTEMS INC.,315478942,307899595,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,BOULDER,COLORADO,,,,336414,,1675,5/24/2018,1/31/2027,68,WARM LEAD,DEEP,300,,,S4_EXPIRING,DISCOVERY
OPERATIONAL,"OPERATIONAL, TECHNICAL, ENGINEERING, AND TRANSITION ANALYSIS FOR DEVELOPMENT AND DEPLOYMENT OF EMERGING CAPABILITIES AND PROTOTYPES FOR COUNTERING - UNMANNED SYSTEMS THREATS",FA807522F0010,"AMENTUM SERVICES, INC.",259831989,151065337,Department of the Air Force,Department of Defense,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541715,,AC32,2/14/2022,2/15/2027,68,WARM LEAD,PRIME ONLY,52,,,S4_EXPIRING,DISCOVERY
ENTERPRISE,ENTERPRISE TASK MANAGEMENT SOFTWARE SOLUTIONS (ETMS2) SOFTWARE-AS-A-SERVICE. EO 14042 INCLUDED IN THE CONTRACT.,W52P1J21C0025,ACCENTURE FEDERAL SERVICES LLC,250804311.7,185545457.7,Department of the Army,Department of Defense,,ARLINGTON,VIRGINIA,,,,511210,,DA10,6/25/2021,2/15/2027,68,WARM LEAD,PRIME ONLY,127,,,S4_EXPIRING,DISCOVERY
STARS,STARS - DELIVERY ORDER 0001 (OPS SUSTAINMENT),693KA721F00005,RAYTHEON COMPANY,235424177,214514438,Federal Aviation Administration,Department of Transportation,,MARLBOROUGH,MASSACHUSETTS,,,,541330,,K017,5/26/2021,5/31/2026,68,WARM LEAD,PRIME ONLY,42,,,S4_EXPIRING,DISCOVERY
HUMAN,"HUMAN CAPITAL OPERATION SUPPORT (HCOS) SERVICES AFTER 2ND STOP WORK WAS LIFTED, POP START DATE UPDATED TO 6/1/2023. IT CARRIES OVER, SO HAD TO BE UPDATED ON THE BASE CAR.",70T01022F7663N012,DELOITTE CONSULTING LLP,235213883.9,148507024.6,Transportation Security Administration,Department of Homeland Security,,ARLINGTON,VIRGINIA,,,,611430,,R431,6/1/2023,5/31/2026,68,WARM LEAD,PRIME ONLY,78,,,S4_EXPIRING,DISCOVERY
AGS,AGS FOR DDG 1002,N0002412C5311,BAE SYSTEMS LAND & ARMAMENTS L.P.,230268577.6,202998675.3,Department of the Navy,Department of Defense,,MINNEAPOLIS,MINNESOTA,,,,332993,,1320,10/26/2011,2/17/2027,68,WARM LEAD,DEEP,288,,,S4_EXPIRING,DISCOVERY
REMOTE,REMOTE VIDEO SURVEILLANCE SYSTEM UPGRADE,HSBP1013C00042,GENERAL DYNAMICS ONE SOURCE LLC,216530541.7,216530541.7,,,,FAIRFAX,VIRGINIA,,,,238210,,5836,7/26/2013,9/29/2026,68,WARM LEAD,DEEP,359,,,S4_EXPIRING,DISCOVERY
PLANAR,PLANAR ARRAY ANTENNA ASSEMBLY IN SUPPORT OF CEC,N0002420C5203,Raytheon Company,212645459,207540761,Department of the Navy,Department of Defense,,SEMINOLE,FLORIDA,,,,334511,,1265,5/7/2020,7/30/2027,68,WARM LEAD,PRIME ONLY,236,,,S4_EXPIRING,DISCOVERY
CONTRACT,CONTRACT TO ACQUIRE EFFICIENT AND COST EFFECTIVE ENTERPRISE CLOUD SUPPORT SERVICES UTILIZING AGILE/DEVOPS METHODOLOGIES,1333BJ21F00280055,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",190956672.1,158795915.7,U.S. Patent and Trademark Office,Department of Commerce,,FALLS CHURCH,VIRGINIA,,,,541512,,DK10,9/27/2021,9/30/2026,68,WARM LEAD,DEEP,51,,,S4_EXPIRING,DISCOVERY
BIG,BIG SAFARI,FA862024F4706,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,186990953,186990953,Department of the Air Force,Department of Defense,,NASHUA,NEW HAMPSHIRE,,,,336413,,5865,3/31/2027,3/31/2027,68,WARM LEAD,DEEP,128,,,S4_EXPIRING,DISCOVERY
CY21,CY21 B-2 SUSTAINING ENGINEERING,FA811021F0002,NORTHROP GRUMMAN SYSTEMS CORPORATION,173389655.9,173389655.9,Department of the Air Force,Department of Defense,,PALMDALE,CALIFORNIA,,,,336411,,6685,1/1/2021,5/27/2027,68,WARM LEAD,DEEP,136,,,S4_EXPIRING,DISCOVERY
SPACE,IGF::OT::IGF SPACE BASED SPACE SURVEILLANCE (SBSS) BLOCK 10 SUSTAINMENT CONTRACT,FA881915C0007,THE BOEING COMPANY,83488386.19,234026999.8,Department of the Air Force,Department of Defense,,EL SEGUNDO,CALIFORNIA,,,,541712,,R425,6/18/2015,6/20/2027,68,WARM LEAD,DEEP,296,,,S4_EXPIRING,DISCOVERY
CPFF,CPFF CLINS UNDER US01 CONTRACT.,N0003020C0003,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",17315897.05,166516223.6,Department of the Navy,Department of Defense,,PITTSFIELD,MASSACHUSETTS,,,,541330,,1230,6/10/2020,11/30/2027,68,WARM LEAD,DEEP,161,,,S4_EXPIRING,DISCOVERY
,,N0001904C0569,RAYTHEON COMPANY,290420,1723365958,,,,TUCSON,ARIZONA,,,,336414,,1410,8/18/2004,7/31/2026,68,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
INTERIM,INTERIM CRYOGENIC PROPULSION STAGE FOR SLS,NNM12AA82C,THE BOEING COMPANY,1579295332,1238636376,,,,HUNTSVILLE,ALABAMA,,,,336415,,1820,10/1/2012,12/31/2027,67,WARM LEAD,DEEP,218,,,S4_EXPIRING,DISCOVERY
USDA,USDA ENTERPRISE-SCALE FEDRAMP CERTIFIED CLOUD HOSTING SERVICES.  IGF::OT::IGF,12314418F0020,ACCENTURE FEDERAL SERVICES LLC,405752980.2,334731735.6,Office of the Chief Financial Officer,Department of Agriculture,,ARLINGTON,VIRGINIA,,,,541512,,D305,9/19/2017,5/31/2027,67,WARM LEAD,PRIME ONLY,349,,,S4_EXPIRING,DISCOVERY
BIG,BIG SAFARI,FA862025FB029,"SIERRA NEVADA COMPANY, LLC",332448249,170797707,Department of the Air Force,Department of Defense,,CENTENNIAL,COLORADO,,,,541990,,R702,11/1/2024,10/31/2026,67,WARM LEAD,PRIME ONLY,166,,,S4_EXPIRING,DISCOVERY
MULTI-SLIT,MULTI-SLIT SOLAR EXPLORER (MUSE) MISSION PHASE A,80GSFC21C0011,LOCKHEED MARTIN CORPORATION,220462628,214759526.9,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,PALO ALTO,CALIFORNIA,,,,541715,,AR13,4/26/2021,7/1/2027,67,WARM LEAD,DEEP,264,,,S4_EXPIRING,DISCOVERY
PHASED,"PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET TECHNICAL ANALYSIS FOR THE UNITED STATES ARMY PROGRAM EXECUTIVE OFFICE MISSILES AND SPACE, PATRIOT GROUND SUPPORT EQUIPMENT, SYSTEM ENGINEERING DIRECTORATE",FA807522F0001,"KBR WYLE SERVICES, LLC",207781943,204925876,Department of the Air Force,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541715,,AC32,12/26/2021,12/26/2026,67,WARM LEAD,PRIME ONLY,19,,,S4_EXPIRING,DISCOVERY
SYSTEMS,FY 21 SYSTEMS ENGINEERING/PROGRAM MGMT,N0002421F6206,Lockheed Martin Corporation,123877345,120134309.5,Department of the Navy,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5865,2/26/2021,12/1/2025,67,WARM LEAD,DEEP,233,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
SYSTEM,SYSTEM SOFTWARE LIFECYCLE ENGINEERING SSLE,47QFCA25F0009,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1766225181,376302246,Federal Acquisition Service,General Services Administration,,HUNTSVILLE,ALABAMA,,,,541330,,R499,3/13/2025,3/12/2030,66,WARM LEAD,PRIME ONLY,77,TEKSYSTEMS,,S2_STAFFING_FIRM,DISCOVERY
AWARD,AWARD OF TASK ORDER 47QFCA23F0058 FOR DATA MODERNIZATION ACCELERATOR FOR CDC (DMAC).,47QFCA23F0058,BOOZ ALLEN HAMILTON INC,1517729638,399628341.3,Federal Acquisition Service,General Services Administration,,ATLANTA,GEORGIA,,,,541512,,DF01,10/23/2023,10/22/2032,66,WARM LEAD,DEEP,60,TEKSYSTEMS,,S2_STAFFING_FIRM,DISCOVERY
PURPOSE,"THE PURPOSE OF THIS DELIVERY ORDER IS TO ESTABLISH UCA LINE ITEMS FOR LOT 15 BATCH 1B ANCILLARY MISSION EQUIPMENT REQUIREMENTS FOR USAF, USN, AND USMC.",N0001921F0398,LOCKHEED MARTIN CORPORATION,738233385,738233385,Department of the Navy,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,9/27/2021,12/31/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
,IGF::OT::IGF,W9124G17C0005,"AMENTUM SERVICES, INC.",612964388.1,579722571.3,Department of the Army,Department of Defense,,FORT NOVOSEL,ALABAMA,,,,611512,,U009,9/1/2017,1/9/2027,66,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
F-22,F-22 LABS FOLLOW ON,FA861122F0004,LOCKHEED MARTIN CORPORATION,611016009.6,286230466.9,Department of the Air Force,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,12/31/2022,3/31/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
