piid,program_name,program_description,acronym,prime_contractor,prime_uei,prime_legal_name,total_contract_value,obligated_amount,base_and_options,agency,department,agency_code,department_code,office_name,funding_office,award_date,pop_start,pop_current_end,pop_ultimate_end,recompete_date,city,state,performance_location,key_locations,task_order_locations,functional_locations,naics_code,naics_description,psc_code,psc_description,set_aside,is_dod,is_it_naics,clearance_requirements,functional_areas,typical_roles,job_titles,required_skills,tech_stack,keywords_signals,labor_rate_min,labor_rate_max,labor_rate_avg,education_requirement,experience_requirement,annual_salary_range,sub_count,sub_total_amount,staffing_firms_present,solicitation_id,parent_idv_piid,contract_vehicle,fiscal_year,discovery_strategy,prime_contact_count_crm,contact_files,key_contacts,contact_coverage,bd_score,bd_status,has_pts_jobs,pts_job_count,job_titles_matched,job_match_count,bd_priority,confidence_level,pts_involvement,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,data_sources_matched,enrichment_date,greenfield_type
FA807522F0030,DIGITAL ENGINEERING AND DIGITAL TRANSFOR,"DIGITAL ENGINEERING AND DIGITAL TRANSFORMATION RESEARCH, ANALYSIS, AND DEVELOPMENT FOR THE NAVY DIGITAL INTEGRATION SUPPORT CELL  AND NAVAL SURFACE WARFARE CENTER, CRANE DIVISION",DIGITAL,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,"$450,630,661",450630661.49000007,557826681.0,Department of the Ai,Department of Defense,5700,97.0,FA8075  774 ESS,,2022-05-04,2022-05-04,2027-05-04,2027-05-04,,ABERDEEN PROVING GROUND,MARYLAND,"ABERDEEN PROVING GROUND, MARYLAND","ABERDEEN PROVING GROUND, MARYLAND",,,541715.0,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC32,,,True,True,,,,,,,,,,,,,,174,275177924.18,,,FA807518D0006,,2022.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,71,HOT TARGET,True,13,Microsoft Copilot Studio AI SME,1,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
GSQ0017AJ0018,AWARD MADE TO GENERAL DYNAMIC INFORMATIO,"AWARD MADE TO GENERAL DYNAMIC INFORMATION TECHNOLOGY FOR NAVAIR CSM TASK ORDER, IN THE AMOUNT NOT TO EXCEED $469,751,851",,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$445,845,259",445845259.3299999,93234347.0,Federal Acquisition,,,,,,,,,,,,,"SAINT INIGOES, MARYLAND","SAINT INIGOES, MARYLAND",,,541330,Engineering Services,K058,,,False,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,,,,,,,308,122773114.28,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,59,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
75N91019F00129,NCI OPERATIONAL TASK ORDER,NCI OPERATIONAL TASK ORDER,,LEIDOS BIOMEDICAL RESEARC,HV8BH9BPG8Y9,,"$437,365,070",437365070.0,423879687.0,National Institutes,,,,,,,,,,,,,"FREDERICK, MARYLAND","FREDERICK, MARYLAND",,,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",M1HA,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,12,2484542.13,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,53,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HHSM500200900029C,TAS::75 0119 000::TAS HCQIS PHASE II: IN,TAS::75 0119 000::TAS HCQIS PHASE II: INFRASTRUCTURE SUPPORT,,General Dynamics Informat,J4NSWZYV6EE4,,"$426,462,565",426462564.97,22720994.0,,,,,,,,,,,,,,"WARRENTON, VIRGINIA","WARRENTON, VIRGINIA",,,541519,Other Computer Related Services,D307,Automated Information Systems Design and Integration Services,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,50,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
GST0013AJ0065,"IGF::CL,CT::IGF THE PURPOSE OF THIS TO I","IGF::CL,CT::IGF THE PURPOSE OF THIS TO IS TO ACQUIRE PERFORMANCE-BASED INFORMATION TECHNOLOGY (IT) TECHNICAL SUPPORT SER",,"CACI NSS, LLC",GS59ABNVD6N7,,"$424,447,051",424447050.63,5184100.0,,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,,IT Services,,,,,,,,,,,,168,64047371.47,,,,,,S3_PRIME_DEEP_DIVE,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,59,WARM LEAD,True,4,,,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFWA20F0011,CSIA DIVISION SUPPORT SERVICES,CSIA DIVISION SUPPORT SERVICES,,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,"$420,777,971",420777971.42,56299939.49,Federal Acquisition,,,,,,,,,,,,,"ABERDEEN, MARYLAND","ABERDEEN, MARYLAND",,,541512,Computer Systems Design Services,R499,Other Professional Services,,False,True,,IT Services,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,50,WARM LEAD,True,13,Microsoft Copilot Studio AI SME,1,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HT003818F0004,MRAP JOINT LOGISTIC INTEGRATOR SERVICES,"ENTERPRISE ACTIVITIES FOR MHS GENESIS STAGE 4, PROGRAM MANAGEMENT, SUSTAINMENT, REGIONAL TRAINERS, LICENSES, AND MAINTEN",,LEIDOS INC,UE9QJD4KK1L6,,"$409,077,816",474899181.94,130295929.0,Department of the Ar,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541512,Computer Systems Design Services,7030,,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,0,345054434.97,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,63,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFMA24F0014,ENTERPRISE LEVEL IT EXPERTISE ELITE,ENTERPRISE LEVEL IT EXPERTISE ELITE,,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,"$407,695,976",407695975.9,22867391.21,Federal Acquisition,,,,,,,,,,,,,"nan, nan","nan, nan",,,541512,Computer Systems Design Services,DG01,,,False,True,,IT Services,,,,,,,,,,,,538,424378328.19,,,,,,S3_PRIME_DEEP_DIVE,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,62,WARM LEAD,True,13,Microsoft Copilot Studio AI SME,1,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA21F0057,DTRA IMAX DA,DTRA IMAX DA,DTRA,"CACI NSS, LLC",GS59ABNVD6N7,,"$401,590,135",401590135.13,202463415.0,Federal Acquisition,General Services Administration,4732,47.0,GSA FAS AAS FEDSIM,,2021-06-25,2021-06-30,2023-06-29,2026-06-29,,RESTON,VIRGINIA,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541330.0,Engineering Services,R499,Other Professional Services,,False,True,,Engineering Services,,,,,,,,,,,,16,34818786.72,,47QFCA21R0070,GS00Q14OADU121,,2021.0,S4_EXPIRING,6035,CACI_Contacts.csv; CACI_Contacts_Enriched.csv,Chris Williams,DEEP,68,WARM LEAD,True,4,,,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA20F0049,THE SCOPE OF THIS REQUIREMENT INCLUDES P,"THE SCOPE OF THIS REQUIREMENT INCLUDES PROGRAM MANAGEMENT SERVICES, TRANSITION SERVICES, AND A FULL RANGE OF ENTERPRISE",,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$399,468,545",399468544.63000005,63626977.0,Federal Acquisition,,,,,,,,,,,,,"DORAL, FLORIDA","DORAL, FLORIDA",,,541512,Computer Systems Design Services,D318,IT Integrated Enterprise Architecture Services,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,,,,,,,,,,,,332,187210093.11,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,59,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
75N91024F00011,NCI FY25 OPERATIONAL TASK ORDER,NCI FY25 OPERATIONAL TASK ORDER,,LEIDOS BIOMEDICAL RESEARC,HV8BH9BPG8Y9,,"$398,925,093",398925092.88,401797653.0,National Institutes,,,,,,,,,,,,,"FREDERICK, MARYLAND","FREDERICK, MARYLAND",,,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AN12,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,29,126666542.17,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,53,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
EH02,SHIP DESIGN SERVICES,SHIP DESIGN SERVICES,,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,,"$391,197,225",391197224.83,0.0,Department of the Na,,,,,,,,,,,,,"WASHINGTON NAVY YARD, DISTRICT OF COLUMBIA","WASHINGTON NAVY YARD, DISTRICT OF COLUMBIA",,,541330,Engineering Services,R425,Engineering and Technical Services,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Ship / Maritime; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,54,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
47QFCA22F0018,"MANAGED APPLICATION, INFRASTRUCTURE, NET","MANAGED APPLICATION, INFRASTRUCTURE, NETWORKING, ENTERPRISE, AND SECURITY SERVICES (MAINES) IN SUPPORT OF THE ENVIRONMEN",,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$389,059,426",389059426.0,78311980.0,Federal Acquisition,,,,,,,,,,,,,"DURHAM, NORTH CAROLINA","DURHAM, NORTH CAROLINA",,,541512,Computer Systems Design Services,DA01,,,False,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,,,,,,,,,,,,409,360764429.57,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,59,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
GST0012AJ0127,IGF::OT::IGF   THE EFFORT WILL SUPPORT A,IGF::OT::IGF   THE EFFORT WILL SUPPORT ALL USCENTCOM C4 DIRECTORATE (CCJ6) IT PROGRAMS AND ASSETS AT THE HEADQUARTERS (H,,"LEIDOS, INC.",P1DHVE8PH2Q3,,"$387,037,579",387037578.77,35310000.0,,,,,,,,,,,,,,"TAMPA, FLORIDA","TAMPA, FLORIDA",,,541512,Computer Systems Design Services,R499,Other Professional Services,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,186,913457278.39,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,59,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
36C10B18N10040007,IGF::OT::IGF  INFRASTRUCTURE OPERATIONS,IGF::OT::IGF  INFRASTRUCTURE OPERATIONS SERVICES SUPPORT,,LEIDOS SMS INC,NPUZV84KPU17,,"$372,238,646",372238646.36,137587189.61,Department of Vetera,,,,,,,,,,,,,"AUSTIN, TEXAS","AUSTIN, TEXAS",,,541512,Computer Systems Design Services,D399,Other IT and Telecommunications,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,161,40657495.13,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,59,WARM LEAD,True,91,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
W56KGY20F0067,THIS TASK ORDER IS CREATED FOR OPERATION,THIS TASK ORDER IS CREATED FOR OPERATION AND SUSTAINMENT OF THE STAMP FOLLOW-ON REQUIREMENT.,,"LEIDOS, INC.",KTMAJCY6JXM3,,"$372,110,035",372110035.22,106939799.94,Department of the Ar,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",R425,Engineering and Technical Services,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,376,366216159.46,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,63,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
NNJ06JE86C,SAFETY AND MISSION ASSURANCE SUPPORT SER,SAFETY AND MISSION ASSURANCE SUPPORT SERVICES,,"Leidos, Inc.",MDSWM6MB1BH7,,"$360,052,100",360052099.99,148575532.0,,,,,,,,,,,,,,"HOUSTON, TEXAS","HOUSTON, TEXAS",,,541330,Engineering Services,H118,,,False,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Engineering Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,50,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HT003822F0031,ENTERPRISE ACTIVITIES FOR THE MHS GENESI,"ENTERPRISE ACTIVITIES FOR THE MHS GENESIS ELECTRONIC HEALTH RECORD INCLUDING PROGRAM MANAGEMENT, ENTERPRISE SUSTAINMENT,",,"LEIDOS, INC.",UE9QJD4KK1L6,,"$359,148,584",359148583.79,88899005.0,Defense Health Agenc,,,,,,,,,,,,,"RESTON, VIRGINIA","RESTON, VIRGINIA",,,541512,Computer Systems Design Services,7A21,,,True,True,TS/SCI w/ Poly,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,,,,,,,37,267496891.21,,,,,,S3_PRIME_DEEP_DIVE,2346,Leidos_Contacts.csv; Leidos_Contacts_Enriched.csv,Russell  spear; Fred Fritz; Chris Port,DEEP,57,WARM LEAD,True,13,(VMS) Engineering Writer and Instructor; .NET Developer - Placement; 2ND SHIFT CNC MACHINIST LEVEL 5; AEROMECHANICAL ENGINEER; AIR MOBILITY OPERATIONS SME; BLASTER / PAINTER; BUYER'S TECHNICAL WRITER - SECRET; C++ SOFTWARE ENGINEER; CAPTURE MANAGER; CBP GCP PLATFORM ENGINEER (MID-LEVEL); CLEARED ELECTRONIC WARFARE ENGINEER; CLEARED MS&A DEVELOPER; CNC PROGRAMMER; COLDFUSION DEVELOPER; CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I; COPY - TOP SECRET IAM ARCHITECT; CYBER SECURITY ENGINEER; CYBER SY,165,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
0101,LMP CORE REQUIREMENTS CY 09,LMP CORE REQUIREMENTS CY 09,,GENERAL DYNAMICS INFORMAT,Z2L7LVNEAPC3,,"$352,231,988",352231988.0,98311851.0,Department of the Ar,,,,,,,,,,,,,"MOORESTOWN, NEW JERSEY","MOORESTOWN, NEW JERSEY",,,541330,Engineering Services,R406,,,True,True,Secret,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,,,,,,,0,0.0,,,,,,S3_PRIME_DEEP_DIVE,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,54,WARM LEAD,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
HC102819F0141,ENTERPRISE TRANSPORT MANAGEMENT (ETM) -,ENTERPRISE TRANSPORT MANAGEMENT (ETM) - NEXT GENERATION - CORE SUPPORT,ENTERPRISE,GENERAL DYNAMICS INFORMAT,SMNWM6HN79X5,,"$339,111,996",339111995.99000007,27455849.4,Defense Information,Department of Defense,97AK,97.0,IT CONTRACTING DIVISION - PL83,,2019-01-24,2019-01-24,2026-02-08,2026-08-08,,ARLINGTON,VIRGINIA,"ARLINGTON, VIRGINIA","ARLINGTON, VIRGINIA",,,541519.0,Other Computer Related Services,D399,Other IT and Telecommunications,NONE,True,True,Secret,Cybersecurity / IA; Data / Analytics; IT Services; Software Development,,,,,,,,,,,,738,587465042.98,,,HC102819A0001,,2019.0,S1_BIG_FISH,55,General_Dynamics_Contacts.csv; General_Dynamics_Contacts_Enriched.csv,Tonya Barefoot; Robert Shumate; Cheryl  Pierce; Darcy  Shala; Kristin Pasternak,DEEP,81,HOT TARGET,True,1,(VMS) Engineering Writer and Instructor; Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am); RUST DEVELOPER; SENIOR POSTGRES DATABASE ENGINEER; SPECIAL EDUCATION PARAPROFESSIONAL,5,,,,,,,,,"discovery, gap_analysis, strategy3",2026-02-17,WARM
