acronym,count,contexts,possible_meaning
VTC,7,"['Leidos-AFNCR- Michelle is a new VTC PM on AFNCR, had an introduction and go over our ', 'rmaine, all is well. Nothing new to report on the VTC side of the NMCC', 'g into Phase II for the Fix IT Center. Moving all VTC, DTS, Imaging and Field Ops over to the new build']",
MOR,7,"['ng of September all at once 24x7 IB cabling & PRD MOR buildouts ; Key is good handoffs ; Reset day to n', 'ng of September all at once 24x7 IB cabling & PRD MOR buildouts ; Key is good handoffs ; Reset day to n', 'ng of September all at once 24x7 IB cabling & PRD MOR buildouts ; Key is good handoffs ; Reset day to n']",
FSP,6,"['y need 2 more positions filled in Denver. For the FSP Safety Systems position - should have experience ', ' DRFP is coming out soon for iOS and Android with FSP', ' CNI group. DRFP is being released for needs with FSP']",
IQN,6,"[' on 4 main programs. Finding a way to work around IQN. Onsite scheduled for 1/22 Mainly State college T', 'ar technicians - this spot will be posted through IQN and based out of McKinney TX or Tucson AZ - Their', 'cess to verification checks - He has no idea what IQN is - one of his peers hired some people a few mon']",
USSF,6,"['Leidos - USAF/USSF - Sr. Director of Growth - 12 year old daughter a', ""the SF. This engagement would directly support HQ USSF with work out of the Pentagon and CO. Mickey's da"", ""the SF. This engagement would directly support HQ USSF with work out of the Pentagon and CO. Mickey's da""]",
NARSIL,6,"['Peraton / NARSIL - was hiring Graphic Designers... Intro Meeting -', 'Peraton / NARSIL - Intro Mtg - following his interview with Bo Pyu', 'C. 5 days a week - used to work with Tim Hartman (NARSIL Program Manager who I work with) - former Army - ']",
HPC,6,"['HPE - HPC Service Delivery - spoke with Kejda and she has m', 'e city in December RTB: - She just took over the ""HPC"" team so she doesn\'t know too much about the team', 'about a project where they are pivoting more into HPC - They are partnered with NVIDA supporting the DO']",
CCNA,6,"['experience and certifications are always helpful (CCNA, ITL) - There are 32 people on his team, 22 peopl', 'said it was milk toast -candidate needs to have a CCNA, Sec+ and a secret clearance - a plus would be ha', 'bout the position in Philly. Senior level needs a CCNA.']",
APEX,6,"['lingotn 70 Tier 1 and Tier 2 60%IPTA / 40% TEK IG APEX Systems / Network Admin All IPTA a handful of con', 'lingotn 70 Tier 1 and Tier 2 60%IPTA / 40% TEK IG APEX Systems / Network Admin All IPTA a handful of con', 'Raytheon- APEX Jason is IPT over APEX program for Customer 1 needs 2 cyber engineers th']",
HADES,6,"['o camp this weekend -They have a BBQ on thursday -HADES - this is the name of the EDIS follow on - Hybrid', 'culty hiring and also want to try this out before HADES recompete in the event they need to do a ramp up ', 'culty hiring and also want to try this out before HADES recompete in the event they need to do a ramp up ']",
SMIT,6,"["" said that she has also spoken with some folks on SMIT and that it doesn't sound like NMCI will have sim"", 'met with Chris, Patty, and a few other members of SMIT leadership this afternoon. They let me know that ', 'ails surrounding the start of the option year for SMIT. They let us know that only NMCI contractors will']",
BAR,6,"['Tim Dodd and David Reyes, Erin confirmed that the BAR form is still processing and that Tim will not be', 'Tim Dodd and David Reyes, Erin confirmed that the BAR form is still processing and that Tim will not be', 'in Albany is because Erin made a mistake with the BAR form submittal and did not follow up with the sec']",
DISS,6,"[""s week, and that we'll be continuing to check the DISS system until we see his interim clearance activat"", 'n the interim clearance for Connor to be shown in DISS. Nothing additional for us to help with this week', ' in Wyoming. We need to transer clearance over to DISS before the customer will approve him. Targeting 9']",
CTH,6,"['of Charlotte, NC). -Most of their work is 6 month CTH or DP -They have several upcoming initiatives com', 'th Boeing Global Services, ground support They do CTH. They do use Beeline but Jeff is willing to work ', ' it was shutdown. Right now, they want to give us CTH (6 mon). Candidates will need laptops and email f']",
ISSE,6,"[' check in. Team is doing well. No needs after the ISSE.', 'Leidos-AFNCR-requalified the ISSE spot and got additional questions for candidates.', ""d doesn't seem like Laron is to eager to fill the ISSE.""]",
OCIO,6,"['us on. Getting NDA in place. They are looking for OCIO work with the FBI focused on tech strategy, IT fi', 'us on. Getting NDA in place. They are looking for OCIO work with the FBI focused on tech strategy, IT fi', ""Peraton, OCIO Meeting, Aman's doing great and catching on to th""]",
ASAALT,6,"['loitte Army team, but acknowledges our efforts on ASAALT, and wants to set up a 6 week tag-up on the calen', ""Deloitte - ASAALT - Met with Ben to discuss Joe Mitru's new found w"", 'Deloitte - ASAALT - Had a meeting with Lauren, James & Ben to discu']",
OSD,6,"[""rily in the DS&J sector. He's worked within DISA, OSD and now is focused on FedHealth. Timely coinciden"", 'Deloitte - OSD - Monthly tag up with Jeff to discuss his Agentic', ' Modern Software Delivery, Mission Data Analysis, OSD and DoD Fourth Estate Advisory & Assistance Servi']",
CDETIII,6,"['Deloitte - CDETIII - Met with Michelle to discuss the state of the p', 'Deloitte - CDETIII - Met with Michelle and Jeff to discuss the CDET ', 'Deloitte - CDETIII - met with Michelle and Jeff to discuss the CDET ']",
KSC,5,"[' engineers. Needs ""3"" AFT Structures Engineers in KSC (Kennedy Space Center). These Engineers will be d', 'ntsville 2 in Mishoud Facility (New Orleans) 1 in KSC (Titusville) They need 5-10 years CAM of Project ', 'ntsville 2 in Mishoud Facility (New Orleans) 1 in KSC (Titusville) They need 5-10 years CAM of Project ']",
PAC,5,"['h as (VC-25B, T7 Trainer, F-47, F-18, F-15, JDAM, PAC-3 and have supported SDB in the Past. He is Team ', 'enings on her team - Enterprise Voice Engineer at PAC for LCAT63 - Secret Clearance (Rob Butsman?) - DR', 'mur at Scott AFB (LCAT62) and 1 for Rob Butsma at PAC (LCAT63) - said she was going to send over the in']",
NSA,5,"['eade, State College, or Denver. Requirements: *** NSA Sponsorship & TS/SCI - Can possibly do remote - S', 'or over about 20 programs and $100m. TARPIN, NRO, NSA, NGA, DNI, Intell looking for two positions to st', 'RTX is a sub to Leidos in Ft.Meade -- Customer is NSA Currently have 18 people on the program but there']",
FBM,5,"['LMCO programs with Systems Safety Engineers. NGI, FBM? She is all staffed up in Utah and California but', 'LMCO re: below ; FBM has new staffing lead, Yolanda Carr. She is being', 'W are flat after staffing meeting. Sees growth in FBM area and need to work with Mark who is overseeing']",
TREX,5,"['e salon at TechNet Bob Peters - Program Director (TREX) (ARCYBER) - met with Denny briefly at the TechNe', 'Peraton - ARCYBER - Bob Peters - Program Manager (TREX - Training Program) - Weds, October 8th at 10am E', 'Peraton - ARCYBER - Bob Peters - Program Manager (TREX - Training Program) - Weds, October 8th at 10am E']",
IAT,5,"[""ested I CC Chris and Michelle on all submittals - IAT Level 1 cert's ARE NOT REQUIRED anymore - looking"", ' big plus. 5-7 years of exp w/ college education, IAT level II. Looking for someone that can hit the gr', 'Server Administrator Mid at Quantico. Requires an IAT III and a VCA cert, and they will need the person']",
NATO,5,"['eaming with his BD guys and in discussions with a NATO team on OCONUS contract, and I told him about Col', 'ce and past performance to target Space Force and NATO opportunities (I shared with him our recent OCONU', ""to his team right now. He did ask if we could add NATO briefs to our process so that SAARs aren't held u""]",
WORK,5,"[""ified, etc.) - BRANER SAID THE ARMY & NAT'L GUARD WORK WE'RE SUPPORTING = AGUN (sp?) - EITEMS, GCOS and "", 'EST) at EAT03 – Wenatchee DCPM Team EAT03 CURRENT WORK/GROWTH: Round table met in person Met with all of', 'EST) at EAT03 – Wenatchee DCPM Team EAT03 CURRENT WORK/GROWTH: Round table met in person Met with all of']",
SIPR,5,"['CACI - SIPR WITO Connecting on Monday to discuss remaining bi', 'CACI - SIPR WITO Still working through incumbent capture. Sho', 'CACI - SIPR WITO Dana has filled all of the billets through t']",
COMPMOD,5,"['CACI - BIM TO3 - COMPMOD Starting interviews for key personnel for TO3. ND', 'CACI - BIM TO3 - COMPMOD Meeting wiuth Kevin, David Wilson at TechNet Kevi', 'CACI - BIM TO3 & COMPMOD Expecting award in next 30 days. Expected competi']",
EOY,5,"['CACI - BIM TO3 All contractoirs will start by EOY. No guidance on DD254 or survey yet.', 'll shrink but expecting to hear final word before EOY -not sure who else is going after it ( maybe leid', 'eeting with Jeff as he asked for a tag up towards EOY. Great conversation he was in a good mood today, ']",
LCATS,5,"['e and charge codes changed in morado with updated LCATS. reporting is on his omen now. tag up next week f', 'TS ~Ben and I met with Ellen and tried to get all LCATS added right now, but it will just have to be adde', ""RITS - TT about Shurronne's openings and got new LCATS added to our existing rate card""]",
CLIN,5,"['Service Center, and they support the FAA. Part of CLIN 2, and there are other CLINs like depot, onsite, ', 'Service Center, and they support the FAA. Part of CLIN 2, and there are other CLINs like depot, onsite, ', ' coming through to bring FRD back inline to other CLIN FRDs -Draft RFP & decision to go full & open or n']",
VDI,5,"['ght now - There are 2 spots under her right now - VDI Expertise at Southcom in Dural with a secret clea', ""to SCITES 2.It's been rough because they have one VDI guy that needs support. They're on the tail end o"", 'ranvile Placed L5 Exchange Engineer Working on L3 VDI Engineer now. They just got ino their extension t']",
DOE,5,"['PC - They are partnered with NVIDA supporting the DOE, 10 years, $500mil - he said they are seeing some', ""nning or knows about. For openings, there's a few DOE Ralph's after, a Senate req he released to us dur"", 'out DOI right now, beside Noel. And something for DOE but they sub accenture there.']",
SCITES,5,"['Mantech - SCITES - Site lead RTP: grew up in Hawaii, likes the isl', 'Mantech - SCITES II - Site Lead/Database Senior Analyst Thomas did', ""ManTech - SCITES II Jack wasn't able to jump on, rescheduled to sa""]",
FBI,5,"['on the call, and they both oversee NCIS, DOJ, and FBI programs. NCIS only has 1 person on it. Locations', 'IS is stable, not a lot of growth. DOJ is steady, FBI is catching up and may have a need for some ts/sc', 'Deloitte - FBI - Had a meeting with Mark & Taufique Mazumder (Pr']",
FMS,5,"[' to chilling this weekend RTB: Dennis is over all FMS Poland. WISLA is the first phase of the IBCS cont', 'NGC - FMS Poland - IPT Deputy RTP: Dennis is on PTO next we', 'NGC - FMS Poland - IPT Deputy RTP: traveled to Jamaica and ']",
CENTCOM,5,"['ill great weather in Tampa. He started at SAIC on CENTCOM, then GDIT won it and he was the Senior Agile Adv', 'GDIT - CENTCOM Meeting 12/15/2025 TP: From Pitt, Family lives in', 'GDIT - CENTCOM, CITS - Meeting with Jagruti. She leads a group o']",
MFC,5,"['t me the BRs for THAAD for SW Thaad is managed by MFC but design work is done by Space Follow up on 20t', 'LMCO MFC re: below ; met with Hank. Large portfolio under ', ' re: below ; moved into new role as of today with MFC precision fire controls. Not sure the landscape y']",
AFMS,5,"['e Java Current outsourced C3, WCS, and Display to AFMS partner (roughly 300 developers) RTP: -just saw t', 'below ; Sr Manager, Display Systems outsources to AFMS and uses SOW for staff aug brought first line man', 'ger, Display Systems Reports to Brett Ziller uses AFMS for outsourced MSD and SOW for staff aug RTP: -ya']",
DCMA,5,"['Leidos - DES Meeting with DCMA to discuss expense reports and upcoming travel sc', 'Leidos - DES Meeting with DCMA to discuss expense reports and upcoming travel sc', 'Leidos - DES Meeting with DCMA to discuss expense reports and upcoming travel sc']",
NMCI,5,"['cuss if any similar changes should be expected on NMCI side. She does not think so. MCEN was anticipatin', ""some folks on SMIT and that it doesn't sound like NMCI will have similar changes like MCEN."", ' to pay for them to go this year. He did say that NMCI will still have a large presence at the conferenc']",
EBS,5,"["" their team. Dean let me know that it's a Exadata/EBS DBA, joan went over the specifics of the experien"", "" their team. Dean let me know that it's a Exadata/EBS DBA, joan went over the specifics of the experien"", 'day afternoon, went over the feedback for the two EBS/Exadata DBA interviews. Dean said both did well b']",
JBA,5,"["" Tori's spot at the Pentagon and Tori is going to JBA."", 'd regarding how the Surge project is going at the JBA Fix IT center. Leadership is taking a huge liking', 'd regarding how the Surge project is going at the JBA Fix IT center. Leadership is taking a huge liking']",
FIXIT,5,"['ohn will be ready to showoff the new areas of the FIXIT Center.', 'ohn will be ready to showoff the new areas of the FIXIT Center.', 'ohn will be ready to showoff the new areas of the FIXIT Center.']",
DBH,5,"['Deloitte - DBH - RTP: Dawn and her husband are still getting set', ' just with an emphasis on CDO. No new news on the DBH front, MTSI is still maintaining their internal r', ' No subk teaming partners through Deloitte on the DBH contract yet.']",
STS,5,"[' a new contract vehicle for all their work as the STS contract is no more.', ' a new contract vehicle for all their work as the STS contract is no more.', '. She also mentioned Theresa Terry who headed the STS contract vehicle is the lead. She thinks there is']",
NIST,5,"['s would have a deep knowledge and experience with NIST Risk Management Framework (RMF), DOD/IC/Defense a', 's would have a deep knowledge and experience with NIST Risk Management Framework (RMF), DOD/IC/Defense a', ', Pen Testing, Networking, Scripting, Zero Trust, NIST 800-53, cyber evaluation & capabilities. Intervie']",
DMV,5,"['fter New year, working with Ben to take a trip to DMV for F2F', 'ane. has a new need for AV engiener 24% travel in DMV. remembered Ryan Amir and interviewed for second ', ' it. responsible for the entire SE except for the DMV area, gave me the lead to the DMV roles. He has c']",
JCAB,5,"['endor Meeting Lots of reservations coming through JCAB for the Leased Sites – confirming that we are loo', 'begin sending RFQ’s as soon as those come through JCAB EAT04 UPCOMING WORK: Transitioned very quickly to', 'begin sending RFQ’s as soon as those come through JCAB EAT04 UPCOMING WORK: Transitioned very quickly to']",
TARPIN,4,"['RTX - TARPIN Met with Jack Allen (Senior Systems Engineering M', 'RTX - TARPIN - Subcontracts Manager (supply chain) Met with Pa', 'RTX - TARPIN - Space ISR (Intelligence, Space, Reconnaissance)']",
ISR,4,"['RTX - TARPIN - Space ISR (Intelligence, Space, Reconnaissance) She met wit', 'GDIT - 480th ISR - Program Manager RTP: Scott recently went elk hu', 'GDIT - 480th ISR - Program Manager RTP: Family came to him in Colo']",
GPS,4,"['k. He also gets up at 3:30-4am. Was Previously on GPS-OCX but said the program was an odd duck so they ', 'RTX - Referred from Jesse Morritt Left GPS-OCX 2 months ago and was able to refer us to Matt', ""h of our times. Said the 2 programs he supports - GPS IIF and GPS OCX aren't allowed to use subcontract""]",
NEED,4,"[' analysis, satellite systems experience, and they NEED systems safety background, particularly in Engine', 'nd roughly $4 billion business - BIGGEST STAFFING NEED = just won ESS (Evolved Strategic Satcom) Program', 'nd roughly $4 billion business - BIGGEST STAFFING NEED = just won ESS (Evolved Strategic Satcom) Program']",
HUGE,4,"[""ilt the payload off that for 50 years - so it's a HUGE win, taking away an incumbency that's been there "", 'ting RTP - originally from Louisville, Kentucky - HUGE Louisville Cardinals fan - especially basketball ', ' 16th at 3pm ET - Braner was on this call. RTP: - HUGE Detroit fan - originally from there and a huge fa']",
TDP,4,"['Denny Howell and Jimmy Boan are co-leads on ""OTCI-TDP"" for Operational Technology and Infrastructure po', ""ytics and Data Engineering - He's the PM for this TDP - reports to Chris Quick - Bryan's onsite with th"", 'and sends back. Then execution only with what the TDP says. - Important to manage the ceiling of the TD']",
FDA,4,"['Peraton - FDA (Atlanta) - Danelle Dancy - Infrastructure Projec', 'Peraton - FDA - RTP: Getting ready for his two daughters to go ', 'Peraton - FDA - RTP: Living in Tallahassee as his two daughters']",
CONUS,4,"['hat supports 4-5 different programs at once - has CONUS and OCONUS work = OCONUS work is in Hawaii, Engla', 'lp witk key personnel in preaward. Composed of 20 CONUS sties. Will have initial need for survey folks. W', 'ier 2 workloads He works remote and handles wider CONUS service Desk Ops not just huntsville He has a SEC']",
WGS,4,"['er military RTB - Program is GSCCE supporting the WGS modernization effort - Their Test Team is current', 'er military RTB - Program is GSCCE supporting the WGS modernization effort - Their Test Team is current', 'fferent pay loads and satellites supporting their WGS modernization efforts - She mentioned her peer - ']",
SATCOM,4,"['g - Dennis Gould - ESS Program (Evolved Strategic SATCOM) - Manager, Senior Payload Architects - Onsite at', "" the following skillsets = Syst Eng's, DevSecOps, SATCOM Systems, Ground Systems and Space Systems - said "", ""ts U.S. Space Force's protected anti-jam tactical SATCOM mission for satellite communications - David has ""]",
AGUN,4,"[""ID THE ARMY & NAT'L GUARD WORK WE'RE SUPPORTING = AGUN (sp?) - EITEMS, GCOS and everything that deals wi"", 'LEIDOS - AGUN Mtg with Andy and Bob Rhodes. Andy is based out o', 'Leidos - AGUN Mtg 11/13/2025 Met with Bob and Andy Studeny. Bob']",
VMOD,4,"['p?) - EITEMS, GCOS and everything that deals with VMOD (GDIT had that CACI won), Northrop Grumman - IBCS', 'CACOI - VMOD 2 Getting an SOW for us to support front end inst', 'CACI - VMOD Euro Stuttgart DECOM starting early October. We w']",
MST,4,"['op end 4 - Interview Times = Tuesday (1/20) - 8am MST, 1-2pm MST, 3-4pm MST - Int Process = 1) 30-minut', 'program keeps growing. Follow up call set for 1pm MST later today for a req qual!!!!!!!', 'o Springs. Meeting scheduled for 9/23 at 12:30 pm MST (2:30 pm EST).']",
COB,4,"['CACI - BIM TO3 Award may land this afternoon COB. Interviewing candidates on Friday and into next ', 'e exhibits completed and uploaded into Workday by COB on Wednesday, Alena will be good to start next Mo', ' time into SETRIS daily and not submitting before COB on Fridays. Has asked for us to speak with them a']",
SFB,4,"['immediately available. 1 Cape Cod, Ops Tech, 2 LA SFB, Ops engineer and Ops manager. Multiple openings ', '0 engineers/FSRs under him Mainly out at Peterson SFB Risk with FSRs is that the command is paying for ', ' well. Space Force – Vandenberg Space Force Base (SFB): Department of Homeland Security (DHS): Program ']",
WICRD,4,"['nue working with bob and Kristin/Darcy on GLO and WICRD initiatives.', 'esources. we are still in the works in getting on WICRD which. Prior to issuing a subcontract for the WIC', 'GDIT: WICRD / GLO tag up with Cheryl. lots of shit going on. ']",
TAR,4,"["" and team. travel issues need to get resolved and TAR's submitted in an appropriate time. weekly report"", "" and team. travel issues need to get resolved and TAR's submitted in an appropriate time. weekly report"", "" and team. travel issues need to get resolved and TAR's submitted in an appropriate time. weekly report""]",
TITAN,4,"['isement role now. His new role will not encompass TITAN - that is a different team. When he was over USSO', 'Palantir TITAN - Met with Mark - he lives in Southern Pines. Lov', 'Palantir - TITAN The Auriga FSR Analyst position is not the typica']",
SPACECOM,4,"['. He is the Enterprise Lead for Space Operations. SPACECOM and Space Systems Command. Responsible for execut', 'Palantir - SPACECOM Introduction meeting with Kit (meeting not did no', 'Palantir - SPACECOM Monthly reconnect with Kit. He is home in Connect']",
COMSEC,4,"[""eeds lots of help - top priority right now is the COMSEC Manager out of fort meade - it's onsite 5 days a "", 'a horse RTB - James Tubb jumped on to discuss the COMSEC role - The role is still open and he said he want', 'a horse RTB - James Tubb jumped on to discuss the COMSEC role - The role is still open and he said he want']",
SEC,4,"['Network Engineer at Fort Meade - TS Clearance and SEC+ - Team: small - this is going to be the 4th ""tra', "" - Scott AFB - working directly with the tester - SEC+ - they haven't interviewed anyone or have any go"", 'NUS service Desk Ops not just huntsville He has a SEC+ Mentioned TEK, Apex, Insight, COLSA Possible opt']",
AISR,4,"[""his team deals with circuits that supports DISA's AISR mission (airborne intelligence surveillance recon"", 'ts to Rich King, along with Paul Stancil who does AISR and ""George"" who does TRIP and ""Zach"", there is o', 'Leidos - GSMOII - AISR Operations Manager - bi-monthly check in with Pau']",
DCGS,4,"['ating like normal RTB: ADCS-4 contract supporting DCGS Air Defense Communication Services. Scott is out ', ""ns systems for the Air Force and Space Force like DCGS and other SAP programs he couldn't name b/c they'"", '1/15 Navy DCGS Norfolk - Shared PTS GDIT past performance. We un']",
ILS,4,"[""NGC - DARC - ILS Manager RTP: Just got back from PTO, but it wasn'"", ""NGC - DARC - ILS Manager Shanda wasn't able to join our meeting th"", 'NGC - DARC - ILS Manager RTP: quiet and easy holiday, they got 13 ']",
CITS,4,"['d he was the Senior Agile Advisor for GDIT on the CITS contract. He was more recently moved to this new ', ' Penn State. RTB: Contract Task Lead with GDIT on CITS. Has 10 people under him with multiple locations.', 'GDIT - CENTCOM, CITS - Meeting with Jagruti. She leads a group of 20 p']",
TEK,4,"['k Ops not just huntsville He has a SEC+ Mentioned TEK, Apex, Insight, COLSA Possible optunities in clea', 's times. Secret Clearance Sec+ Either working for TEK or Insight Tier 1 service desk Handles incoming c', ' Bart , he is pushing for on site redstone alaama TEK/insight/apex - Tier 1 and Tier 2 help desk techni']",
INDOC,4,"[': Discussed possibility of Rob starting on 11/18 (INDOC date). Robyn confirmed he cannot start on the 18t', 'n completed with the team waiting on the official INDOC notification. Nothing new on her front, still loo', ""on's CAC activated to allow him to go through his INDOC next Monday and start supporting the program at F""]",
CPS,4,"['LMCO re: below ; CPS and LRHW are flat after staffing meeting. Sees gr', ""LMCO re: below ; called me back. He's still on CPS and over platform engineering. No funding flowing"", 'reqs Follow Up next week after staffing planning. CPS is on bridge contract for production']",
BMD,4,"['LMCO- RMS new POC for BMD; meeting week of Sept 22', 'quirements across wave 1 as we prepare for wave 2 BMD- current teammate on this ID/IQ. No current SOWs ', 'LMCO- RMS GWS and BMD went over meeting with Suzanne and talked AJ Brow']",
OOC,4,"['erviewing now with Bill, top candidate Follow Up: OOC visit end of month', 'onday onboard, off Tuesday, back Wednesday Set up OOC for Thursday 12/4 in HSV before the holiday party', 'rviews Sent hawks/ celtics game date in March for OOC']",
DRFP,4,"['st released 3 openings for iOS SMEs and 2 for CNO DRFP will be released in 1 to 4 months Follow up with ', 'Keith Haddock for cyber and intel needs on recent DRFP that is coming out. Subcontracts with Amber/ Owen', 'w ; subcontracts for Keith Haddock and CNI group. DRFP is coming out soon for iOS and Android with FSP']",
CISSP,4,"['IC - RITS -5 new NE openings - must have CASP+ OR CISSP -Interviews done by Mike Purcell and Jeffrey Gast', 'perience is right, they have a preference for the CISSP cert as opposed to the CASP+/SecurityX certificat', 'perience is right, they have a preference for the CISSP cert as opposed to the CASP+/SecurityX certificat']",
SCORPION,4,"['CACI - SCORPION -offerred Kelton -Two interviews set for cleared ', 'CACI - SCORPION - Req qualed over Teams with her whole team', 'CACI - SCORPION Interviewed James and Misha for the Test Engineer']",
MES,4,"['there is more movement and completion of dafas on MES.', 'et for DOS but he is hoping that will change once MES wraps up a few more migrations.', 'an broke down the next 2 quarter outlook for DPAD/MES. Q1 2026 is when 3 big agencies will kick off']",
CTO,4,"['esterday afternoon, he let me know that he is the CTO for Leidos NASA, overseeing all NASA programs tha', ""eloitte-Introduction meeting with Chris. He's the CTO for all the AI Smartcenters that are being built "", 'Available Networks, CTO Tickle, great timing; things are progressing in t']",
CDCA,4,"["" she's travelling to Charleston this week for the CDCA conference. Discussed the ongoing issues with Pau"", ""Marc Wednesday morning, he's in Charlston for the CDCA conference. He was in the car with Brad Henry dur"", 'g her accounts set up. Told me a little about the CDCA conference she attended last week, she was there ']",
CSR,4,"['Leidos-AFNCR- IT CSR spots are getting pushed until next week.', 'nd up hearing back from John on setting up the IT CSR and LRA.', ' John is moving forward with our candidate for IT CSR and bringing Shaquon Adams for the other position']",
DOT,4,"['eeting with Doug to finalize all RFP details with DOT&E. Set up follow up for next week, to touch base ', 'Deloitte- DOT&E- Final closeout package for DOT&E.', ' to Wednesday at 4:30p. She has two open reqs for DOT right now.']",
RMT,4,"['Leidos-AFNCR- Finalized all details for RMT 3.0.', 'AFNCR- Running another week of testing in the new RMT tool.', 'ted Bethanni on issues we are having with the new RMT tool. An additional problem is not being able to ']",
GLINDA,4,"['C is working his connections on the newly awarded GLINDA 2.0...Leidos is the Prime, but Deloitte will have', ""Deloitte- GLINDA 2.0- Intro meeting to discuss Deloitte's workshar"", ""Deloitte- GLINDA 2.0- Intro meeting to discuss Deloitte's workshar""]",
NAICS,4,"[' teaming partner utilizing our R&D small business NAICS Code. The DoD Triple Crown II program focuses on ', ""n RFP with a 35% SB requirement. At the time, our NAICS didn't cover what was required so the opportunity"", 'artner for the A4 recompete. They used our SDVOSB NAICS codes and awaiting government approval. Since Del']",
INDOPACOM,4,"['. I mentioned the opportunities within NAVWAR and INDOPACOM and he said he will make some connections with th', 'ember. They also want to bring us in to a massive INDOPACOM opportunity they are crafting in California, Hawa', 'ember. They also want to bring us in to a massive INDOPACOM opportunity they are crafting in California, Hawa']",
SLED,4,"['Deloitte - SLED - FTP: Just returned from a trip to Chicago, went', 'Cisco: SLED tag up with emily. provided clarity on the submit', ""CISCO: SLED Cisco: Colton had call with Bill. Interviews won'""]",
ERM,4,"['Deloitte - DAF ERM - Met with Mike to discuss the future of the ERM ', 'Deloitte - ERM - Monthly tag-up with Mike to discuss the funding', 'Deloitte - DAF ERM - monthly tag-up with Mike to discuss the future ']",
SAF,4,"[' & Patrick. Cliff is the teaming lead for the DAF SAF/FM & AFMC/FM FIAR pursuits for Guidehouse. The RF', ' & Patrick. Cliff is the teaming lead for the DAF SAF/FM & AFMC/FM FIAR pursuits for Guidehouse. The RF', ' & Patrick. Cliff is the teaming lead for the DAF SAF/FM & AFMC/FM FIAR pursuits for Guidehouse. The RF']",
AFMC,4,"['k. Cliff is the teaming lead for the DAF SAF/FM & AFMC/FM FIAR pursuits for Guidehouse. The RFP is due o', 'k. Cliff is the teaming lead for the DAF SAF/FM & AFMC/FM FIAR pursuits for Guidehouse. The RFP is due o', 'k. Cliff is the teaming lead for the DAF SAF/FM & AFMC/FM FIAR pursuits for Guidehouse. The RFP is due o']",
ITOM,4,"['ed Site DC Site Operations Manager (equivalent to ITOM) over all of the MWH23/MWH24 build; has been hear', '11/10/2025 12:00PM (PST) – IT Operations Manager (ITOM) Leased Sites (MWH20-24, MWH25) Met w/ Devon ITOM', ' QUINCY - Colby Crawford – IT Operations Manager (ITOM) – 11/11/205 8:00AM (PST) Great to see us, really']",
UPCOMING,4,"['ng RFQ’s as soon as those come through JCAB EAT04 UPCOMING WORK: Transitioned very quickly to discuss in dep', 'ng RFQ’s as soon as those come through JCAB EAT04 UPCOMING WORK: Transitioned very quickly to discuss in dep', 'ng RFQ’s as soon as those come through JCAB EAT04 UPCOMING WORK: Transitioned very quickly to discuss in dep']",
AIMSS,4,"['I3: AIMSS tag up with Jason. NDA fully executed. working on', 'I3: AIMSS received teaming agreement from I3 for the AIMSS ', 'NGC: Tag up with AIMSS. funded original 100k for R&D and kickoff. after ']",
SABER,4,"['NGC: SABER intorudction to Lori. been with NGC 25 years in m', 'NGC: SABER / INSITE intorudction to Lori. been with NGC 25 y', 'NGC: SABER intorudction to Lori. been with NGC 25 years in m']",
BGS,3,"['BGS - Saint Louise, MO - Supplier Requirements Engine', 'Boeing - San Antionio - BGS - Sr. Quality Manager Spoke with Rene. He has 2 L', 'Boeing - BGS Meeting with Brad as new POC. Talent Development ']",
CNC,3,"['worked on Metal Fabrication Shops (Mills, Layths, CNC Machines) All Steal and Aluminum Alloy metal fabr', ""'s hobbies are engineering (Rebuild cars, Work on CNC Machines, ect) Referral: Fahad Hameed - Structure"", ""'s hobbies are engineering (Rebuild cars, Work on CNC Machines, ect) Referral: Fahad Hameed - Structure""]",
MRB,3,"['s leaving from the 9th to the 18th. RTB- He has 5 MRB positions open. We are looking to go to Purchase ', 'Steven Michael - MRB Manager - VC25B Spoke with Steven, said that he i', 'ds a sub for 6-10 month hires - Liason engineers, MRB engineers has a 6 month C130 project coming up an']",
MRAM,3,"['row. Paul Moreno is the Sr. Director over Sm3-1b, MRAM, SM6, Tomahawk and Nighthours? said they have a m', ""nitions Acceleration (SM3-1B, Tomahawk, PAC3, and MRAM) and he said tentatively they're looking to ramp "", ""nitions Acceleration (SM3-1B, Tomahawk, PAC3, and MRAM) and he said tentatively they're looking to ramp ""]",
ALIS,3,"[' compared to the dry desert in Texas. He supports ALIS & ODIN, ADP, C130, F22, F35 on Data Analytics & s', 'eg is the Field Data Systems Manager working with ALIS since 2013. He started out as an admin and has wo', ' Up: intro to engineering director, Tag Maggerd & ALIS director Brooks Steelman. Next meeting is in Jan ']",
NRO,3,"['irector over about 20 programs and $100m. TARPIN, NRO, NSA, NGA, DNI, Intell looking for two positions ', 'Arcfield, NRO/OSL Mission Assurance Support Contract Meeting, P', ""Arcfield, NRO/OSL Meeting, he's asking for approval to do c2h h""]",
OCX,3,"['e also gets up at 3:30-4am. Was Previously on GPS-OCX but said the program was an odd duck so they used', 'RTX - Referred from Jesse Morritt Left GPS-OCX 2 months ago and was able to refer us to Matt Joh', ""Said the 2 programs he supports - GPS IIF and GPS OCX aren't allowed to use subcontractors. - GPS IIF i""]",
