piid,award_id,description,obligated_amount,base_and_all_options,awarding_agency,funding_agency,recipient_name,recipient_uei,naics,psc,pop_city,pop_state,pop_start_date,pop_end_date,subaward_count,subaward_total,discovery_date
W56HZV22F0035,,MODIFCATION TO AWARD 178 MAINTENANCE AND TRAINING SQUAD LEADER DISPLAY VERSION 3 UNITS IN SUPPORT OF STRYKER PRODUCTION.,0,0,,,,HAWKSQF848W7,336992,2355,,,,,34,0,2026-01-27
N0002421C6425,,HAMMERHEAD PROTOTYPE,0,0,,,,LDUJLC79HNK5,334511,1075,,,,,59,0,2026-01-27
W15QKN21F0097,,M795 METAL PARTS,0,0,,,,V1TVADBWD4E9,332993,1320,,,,,18,0,2026-01-27
W56HZV21F0137,,FY21 CALL UP - ORDERING PERIOD #3,0,0,,,,HAWKSQF848W7,336992,2355,,,,,71,0,2026-01-27
W52P1J21F0104,,"THIS AWARD IS TO ISSUE REQUIREMENTS FOR THE MK80 SERIES GENERAL PURPOSE BOMB KITS - WHICH CONSISTS OF THE MK81-1 BOMB BODY, MK82-1 BOMB BODY, MK84-4 BOMB BODY, MK3-0 SUSPENSION LUG, MS3314 SUSPENSION LUG, TNT AND ALUMINUM POWDER.",0,0,,,,H2TPPTLN7D18,332993,1325,,,,,8,0,2026-01-27
W56HZV21F0068,,M1 ABRAMS FAMILY OF VEHICLES.,0,0,,,,HAWKSQF848W7,336992,2350,,,,,597,0,2026-01-27
W31P4Q20F0355,,IM-SHORAD DIRECTED REQUIREMENT ORDER TO MINIMUM OBLIGATION.,0,0,,,,HAWKSQF848W7,336992,2355,,,,,305,0,2026-01-27
W56HZV20F0329,,DELIVERY ORDER 0001 TO CALL-UP 143 DVH A1 ECP EXCHANGE VEHICLES.,0,0,,,,HAWKSQF848W7,336992,2355,,,,,703,0,2026-01-27
W56HZV20F0173,,CALL-UP OF ORDER PERIOD 2 (FY 20 WHOLESALE SUPPLY) TASK ORDER. THE CONTRACTOR IS TO PROVIDE THE PARTS SUPPORT AS DESCRIBED IN THE BASE CONTRACT.,0,0,,,,HAWKSQF848W7,336992,2355,,,,,266,0,2026-01-27
HT001524F0070,,ENTERPRISE IT SERVICES INTEGRATOR,0,0,,,,MBSRAWAQ9559,541512,R699,,,,,0,0,2026-01-27
47QFMA24F0012,,WWHWSW TRANSITIONOUT BRIDGE,0,0,,,,ZBPQEJVECCT4,541512,DF01,,,,,135,0,2026-01-27
47QFCA24F0006,,INFORMATION ADVANTAGE ENTERPRISE IAE,0,0,,,,ZBPQEJVECCT4,541330,R499,,,,,104,0,2026-01-27
80GSFC23CA077,,"NSROC IV CONTRACTOR SHALL DESIGN, FABRICATE, INTEGRATE, & PERFORM FLIGHT QUALIFICATION TESTING OF SUB-ORBITAL PAYLOADS, PROVIDE LAUNCH VEHICLES & ASSOCIATED HARDWARE, & PROVIDE VARIOUS ACTIVITIES ASSOCIATED WITH SUBSEQUENT MISSION LAUNCH OPERATIONS",0,0,,,,ZBPQEJVECCT4,541330,AR11,,,,,112,0,2026-01-27
HS002123F0019,,TASK ORDER FOR BACKGROUND FIELDWORK INVESTIGATIVE PRODUCTS,0,0,,,,P78LRLNYPUF4,561611,R615,,,,,2,0,2026-01-27
1332KP23CNEEJ0001,,LOW-EARTH ORBIT (LEO) GROUND SUSTAINMENT SERVICES (LGSS),0,0,,,,ZBPQEJVECCT4,517810,DG11,,,,,202,0,2026-01-27
86615423C00001,,"HITS-CS IS A MISSION CRITICAL REQUIREMENT PROVIDING THE PROVISIONING, MANAGEMENT, STORAGE, MAINTENANCE, BACKUP, AND OPERATION OF ALL INFRASTRUCTURE HARDWARE, SOFTWARE, AND SUPPORT SERVICES NEEDED FOR HUD'S ENTERPRISE INFRASTRUCTURE CORE FUNCTION",0,0,,,,MBSRAWAQ9559,518210,DC01,,,,,231,0,2026-01-27
HT001523F0011,,ENTERPRISE IT SERVICES INTEGRATOR,0,0,,,,MBSRAWAQ9559,541512,R699,,,,,8,0,2026-01-27
47QFCA22F0025,,DC3 TABO AWARD,0,0,,,,MBSRAWAQ9559,541512,R499,,,,,618,0,2026-01-27
W31P4Q22F0120,,AGILE SOFTWARE SERVICES,0,0,,,,ZBPQEJVECCT4,541512,DA10,,,,,2,0,2026-01-27
70T03022F7667N003,,"IT MANAGEMENT, PERFORMANCE ANALYSIS, AND COLLABORATIVE TECHNOLOGIES (IMPACT) II TASK ORDER 2 STOP WORK ORDERS ISSUES, POP START DATE IS 11/16/22.",0,0,,,,MBSRAWAQ9559,541512,DG01,,,,,108,0,2026-01-27
47QFCA21F0058,,OPERATIONAL PLANNING IMPLEMENTATION AND ASSESSMENT SERVICES (OPIAS) BASE AWARD.,0,0,,,,ZBPQEJVECCT4,541330,R701,,,,,176,0,2026-01-27
47QFMA21F0023,,CALL ORDER 22 ENTITLEMENTS AND BENEFITS MAINTENANCE AND MODERNIZATION SERVICES,0,0,,,,MBSRAWAQ9559,518210,DA01,,,,,27,0,2026-01-27
36C10B21C0014,,INFRASTRUCTURE AS A MANAGED SERVICE,0,0,,,,MBSRAWAQ9559,541512,DA01,,,,,16,0,2026-01-27
86615321C00007,,DATA CENTER AND END USER SERVICES,0,0,,,,MBSRAWAQ9559,518210,DC01,,,,,85,0,2026-01-27
N0003021C0016,,SYSTEM ASSESSMENT&VULNERABILITY,0,0,,,,ZBPQEJVECCT4,541330,H914,,,,,7,0,2026-01-27
47QFMA20F0023,,WORLD WORLDWIDE COTS HARDWARE SOFTWARE MAINTENANCE AND INTEGRATION SERVICES II CONTINUATION (WWHWSW II - MODIFICATION 01),0,0,,,,MBSRAWAQ9559,541512,D301,,,,,217,0,2026-01-27
47QFDA20F0017,,HUD OCIO DATA CENTER SERVICES,0,0,,,,MBSRAWAQ9559,541512,D325,,,,,160,0,2026-01-27
