award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count,Column1
1415941923.0,CONT_AWD_W31P4Q13C0129_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; 85 subs; Active prime,90,W31P4Q13C0129,UCA AWARD FY13 BLOCK 1 TACTICAL ROUNDS: US ARMY AND USMC,12/31/2022,1/21/2026,False,,,,HIGH,,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,WGB7GAKM7A68,BILLION ($1B-5B),5/17/2013,1,85,0,9,
1411581267.0,CONT_AWD_N6852022F7005_9700_N6134019D1010_9700,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 100 subs; Active prime,90,N6852022F7005,"T45 CLS CMMARS TASK ORDER, MATERIALS - AIRCRAFT MAINTENANCE",12/31/2025,1/21/2026,False,,,,HIGH,,VERTEX AEROSPACE LLC,NVC1EFKKYB93,BILLION ($1B-5B),10/15/2021,1,100,0,8,
1327248620.0,CONT_AWD_HQ014712C0006_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; $1B+; 100 subs; Active prime,90,HQ014712C0006,UCA FOR THE PRODUCTION OF ANTPY-2 RADARS #9 AND #10,12/31/2028,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,MZK8TCNF24G2,BILLION ($1B-5B),12/30/2011,1,100,0,8,
1293641358.0,CONT_AWD_FA873017C0010_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; 100 subs; Active prime,90,FA873017C0010,QATAR EARLY WARNING RADAR- CONSTRUCTION OF RADAR AND SUPPORT BUILDINGS,12/31/2027,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,MZK8TCNF24G2,BILLION ($1B-5B),2/24/2017,1,100,0,8,
1254528791.0,CONT_AWD_W31P4Q23F0177_9700_W31P4Q23D0014_9700,Department of Defense,Department of the Army,DoD; $1B+; 85 subs; Active prime,90,W31P4Q23F0177,JAVELIN WEAPONS SYSTEM PRODUCTION IDIQ DELIVERY ORDER: 6300 MISSILES & PRODUCTION RAMP UP,6/30/2028,1/21/2026,False,,,,HIGH,,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,WGB7GAKM7A68,BILLION ($1B-5B),5/3/2023,1,85,0,9,
1233025141.0,CONT_AWD_N0002419C2227_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 100 subs; Active prime,90,N0002419C2227,EXPEDITIONARY FAST TRANSPORT (EPF) 13,5/29/2030,1/21/2026,False,,,,HIGH,,"AUSTAL USA, LLC",RG6LJJM6JBS3,BILLION ($1B-5B),10/16/2018,1,100,0,6,
1231411947.0,CONT_AWD_N0002404C5340_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 100 subs; Active prime,90,N0002404C5340,,7/19/2015,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,ENC9Y8JGL3E9,BILLION ($1B-5B),4/21/2004,1,100,0,5,
1061028427.0,CONT_AWD_W15P7T07CM204_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 100 subs; Active prime,90,W15P7T07CM204,AWARD SOLE SOURCE LRAS3 MULTI-YEAR CONTRACT,4/30/2015,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,HEBCLD22EJD1,BILLION ($1B-5B),7/25/2007,1,100,0,7,
1057024778.0,CONT_AWD_N0002419C5501_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 100 subs; Active prime,90,N0002419C5501,AIR AND MISSILE DEFENSE RADAR (AMDR) INTEGRATION AND PRODUCTION SUPPORT (I&PS).,9/30/2025,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,YD6LTFVUZNG1,BILLION ($1B-5B),12/8/2018,1,100,0,8,
1054196287.0,CONT_AWD_N0002417C6259_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 100 subs; Active prime,90,N0002417C6259,ENGINEERING SERVICES (USN),10/11/2028,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,NMHFLDYJJ4C5,BILLION ($1B-5B),6/22/2017,1,100,0,6,
1014766853.0,CONT_AWD_W31P4Q24F0206_9700_W31P4Q23D0014_9700,Department of Defense,Department of the Army,DoD; $1B+; 85 subs; Active prime,90,W31P4Q24F0206,"UKRAINE JAVELIN PRODUCTION SYSTEM PRODUCTION IDIQ DELIVERY ORDER: 6,432 MISSILES AND PRODUCTION RAMP UP",6/30/2030,1/21/2026,False,,,,HIGH,,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,WGB7GAKM7A68,BILLION ($1B-5B),8/23/2024,1,85,0,9,
1006482469.0,CONT_AWD_W31P4Q09C0376_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; 85 subs; Active prime,90,W31P4Q09C0376,LETTER CONTRACT FOR FY09 LONG LEAD PARTS AND LAST TIME BUYS,8/30/2018,1/21/2026,False,,,,HIGH,,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,WGB7GAKM7A68,BILLION ($1B-5B),4/8/2009,1,85,0,9,
1005928660.0,CONT_AWD_FA872205C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; 100 subs; Active prime,90,FA872205C0001,RDTE/ELECTRONICS&COMMUNICATION EQ-ENG/MANUF DEV ELECTRONICS AND COMMUNICATION EQUIP,12/31/2014,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,ENC9Y8JGL3E9,BILLION ($1B-5B),6/23/2005,1,100,0,5,
1003264786.0,CONT_AWD_N0003904C0012_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 100 subs; Active prime,90,N0003904C0012,,9/7/2018,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,YD6LTFVUZNG1,BILLION ($1B-5B),10/29/2003,1,100,0,8,
993773458.0,CONT_AWD_N0001909C0086_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001909C0086,TIME CRITICAL PARTS (TCP) IN SUPPORT OF EA-18G FRP (LOT 33) AEA KITS,8/31/2015,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),12/23/2008,1,100,0,45,
990694528.7,CONT_AWD_N0001919C0016_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001919C0016,LOT 91 PRODUCTION LONG LEAD ITEMS,6/30/2026,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),10/30/2018,1,100,0,45,
987764702.0,CONT_AWD_N0002496C2108_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0002496C2108,200610!000131!1700!N62789!SUPERVISOR SHIPBUILDING CONVERSI!N0002496C2108  !A!N! !N!             !A01182!20060728!20041208!963737366!963737366!001381284!N!ELECTRIC BOAT CORPORATION     !75 EASTERN POINT RD       !GROTON              !CT!06340!34180!011!09!GROTON              !NEW LONDON            !C,8/26/2015,1/21/2026,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,LARGE ($500M-1B),6/15/1996,1,100,0,28,
977007863.6,CONT_AWD_W31P4Q10C0002_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W31P4Q10C0002,PAC-3 FY10 PRODUCTIO,5/17/2017,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,LARGE ($500M-1B),12/30/2009,1,100,0,42,
975510053.9,CONT_AWD_N0001907C0055_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 57 subs; Very active prime,90,N0001907C0055,UNMANNED COMBAT AIR SYSTEM,1/31/2017,1/21/2026,False,,,,HIGH,,NORTHROP GRUMMAN SYSTEMS CORPORATION,LALWKM623MU7,LARGE ($500M-1B),8/1/2007,1,57,0,17,
972439591.1,CONT_AWD_N0002403C5115_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,N0002403C5115,200304!030707!1700!BZ005 !NAVAL SEA SYSTEMS COMMAND       !N0002403C5115  !A!N! !N!                   !20021201!20120930!848028494!834951691!834951691!N!LOCKHEED MARTIN CORPORATION   !199 BORTON LANDING ROAD   !MOORESTOWN          !NJ!08057!47850!005!34!MOORESTOWN          !BURLINGTON            !NE,5/31/2019,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,LARGE ($500M-1B),12/1/2002,1,100,0,32,
968957651.8,CONT_AWD_0001_9700_W56HZV05G0005_9700,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,1,"200507!004900!2100!W56HZV!TACOM - WARREN !W56HZV05G0005 !A!Y!C!N!0001 ! !20050331!20070131!834476079!824825459!217304393!N!B A E SYSTEMS LAND&ARMAMENTS!1100 BAIRS RD !YORK !PA!17404!87048!133!42!YORK !YORK !PENN !+000071500000!N!N!000000000000!2350!COMBAT ASSAULT&TACTICAL VEH, TRACKED !A4A!COMBAT VE",12/31/2008,1/21/2026,False,,,,HIGH,,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,LARGE ($500M-1B),3/31/2005,1,100,0,22,
962251044.4,CONT_AWD_W58RGZ17C0011_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W58RGZ17C0011,"IGF::CT::IGF CONTRACT AWARD FOR CONTRACTOR LOGISTICS SUPPORT (CLS), ALSO REFERRED TO AS LIFE CYCLE SERVICES, FOR THE GOVERNMENT-OWNED FIXED WING FLEETS PERFORMING TRANSPORT AIRCRAFT (TA) MISSIONS, CURRENTLY COMPROMISED OF SMALL WEIGHT CLASS AIRCRAFT MODELS, USING FULL AND OPEN COMPETITIVE, BEST VALU",10/31/2025,1/21/2026,False,,,,HIGH,,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,LARGE ($500M-1B),6/1/2017,1,100,0,17,
958825548.5,CONT_AWD_FA861519C6050_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA861519C6050,ACAT II GREECE F-16 UPGRADE PROGRAM,12/31/2027,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,LARGE ($500M-1B),12/20/2018,1,100,0,87,
957760436.9,CONT_AWD_W58RGZ19C0025_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W58RGZ19C0025,"US ARMY CONTRACTING COMMAND-REDSTONE (ACC-REDSTONE) IS AWARDING THIS CONTRACT W58RGZ-19-C-0025 (AFM II-EAST)FOR THE U.S. ARMY AVIATION AND MISSILE COMMAND (AMCOM) AMCOM LOGISTICS CENTER (ALC) AVIATION FIELD MAINTENANCE (AFM) REQUIREMENT FOR WORLDWIDE AVIATION MAINTENANCE. THIS REQUIREMENT INCLUDES, ",11/30/2025,1/21/2026,False,,,,HIGH,,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,LARGE ($500M-1B),6/5/2019,1,100,0,17,
956764300.8,CONT_AWD_W58RGZ25F0182_9700_W58RGZ23D0011_9700,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,W58RGZ25F0182,"GEN III MODERNIZED TARGET ACQUISITION DESIGNATION SIGHT/PILOT NIGHT VISION SYSTEM (MTADS/PNVS), INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) 2",7/31/2031,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,LARGE ($500M-1B),6/6/2025,1,100,0,23,
954155583.1,CONT_AWD_N0002423C5123_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0002423C5123,AEGIS F&S CONTRACT AWARD,12/31/2029,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,LARGE ($500M-1B),1/1/2023,1,100,0,32,
953978873.5,CONT_AWD_FA861105C2851_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA861105C2851,,3/31/2013,1/21/2026,False,,,,HIGH,,RTX CORPORATION,QN1BCFY7JDJ5,LARGE ($500M-1B),3/4/2005,1,100,0,41,
948194045.0,CONT_AWD_N0001999C1175_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001999C1175,199910!1700!1047!AA427!NAVAL AIR SYSTEMS COMMAND       !N0001999C1175  !A!*!*                  !19990622!20000531!001408509!001367960!001367960!N!99207!GENERAL ELECTRIC COMPANY INC  !1000 WESTERN AVE          !LYNN                !MA!01910!37490!009!25!LYNN                !ESSEX                 !MAS,8/1/2011,1/21/2026,False,,,,HIGH,,GENERAL ELECTRIC COMPANY,E3HYKKLT5ZT1,LARGE ($500M-1B),6/22/1999,1,100,0,11,
945341283.0,CONT_AWD_N0002413C2112_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 78 subs; Very active prime,90,N0002413C2112,USS ENTERPRISE (CVN 65) INACT ACCOMPLISH,3/31/2026,1/21/2026,False,,,,HIGH,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,LARGE ($500M-1B),6/20/2013,1,78,0,27,
939926102.2,CONT_AWD_0016_9700_W56HZV05G0005_9700,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,16,LONG LEAD ITEMS FOR BRADLEY RESET,5/31/2012,1/21/2026,False,,,,HIGH,,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,LARGE ($500M-1B),1/19/2007,1,100,0,22,
936878897.0,CONT_AWD_W58RGZ17C0018_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,W58RGZ17C0018,IGF::CT::IGF FY17 GRAY EAGLE PERFORMANCE BASED LOGISTICS (PBL) EFFORT.,9/30/2022,1/21/2026,False,,,,HIGH,,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,LARGE ($500M-1B),10/24/2016,1,100,0,15,
936153936.9,CONT_AWD_FA867520C0033_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,FA867520C0033,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE PRODUCTION LOT 33,3/23/2027,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,VTEWM5QSE598,LARGE ($500M-1B),12/27/2019,1,100,0,86,
932096462.2,CONT_AWD_W56HZV20F0329_9700_W56HZV20D0005_9700,Department of Defense,Department of the Army,DoD; $500M+; 60 subs; Very active prime,90,W56HZV20F0329,DELIVERY ORDER 0001 TO CALL-UP 143 DVH A1 ECP EXCHANGE VEHICLES.,8/31/2023,1/21/2026,False,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,LARGE ($500M-1B),6/10/2020,1,60,0,35,
929677158.0,CONT_AWD_FA812423F0002_9700_FA812418D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA812423F0002,F117 ESS FY23 TASK ORDER,9/30/2023,1/21/2026,False,,,,HIGH,,RTX CORPORATION,QN1BCFY7JDJ5,LARGE ($500M-1B),11/1/2022,1,100,0,41,
923388954.8,CONT_AWD_FA821317F1001_9700_FA821315D0002_9700,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,FA821317F1001,JOINT DIRECT ATTACK MUNITION (JDAM) GUIDANCE SETS 1325-01-642-8154 1325-01-642-8158 1325-01-642-8155 1325-01-642-8156 AWARD LOT 20 DELIVERY ORDER USAF AND USN REQUIREMENTS,3/28/2023,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),2/28/2017,1,100,0,45,
922864971.2,CONT_AWD_0025_9700_W31P4Q05A0031_9700,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,25,"SYSTEMS AND COMPUTER RESOURCES SUPPORT (SCRS) FOR THE SOFTWARE ENGINEERING DIRECTORATE (SED), U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND (USA RDECOM)",9/14/2014,1/21/2026,False,,,,HIGH,,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,LARGE ($500M-1B),9/30/2009,1,100,0,14,
921664216.0,CONT_AWD_N0002414C2104_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0002414C2104,SUBMARINE PLANNING YARD,6/30/2023,1/21/2026,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,LARGE ($500M-1B),9/11/2014,1,100,0,28,
920534132.0,CONT_AWD_W31P4Q23C0006_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W31P4Q23C0006,FULL RATE PRODUCTION (FRP) 14A HIGH MOBILITY ARTILLERY ROCKET LAUNCHERS FOR THE UNITED STATES ARMY AND FOREIGN MILITARY SALES CUSTOMERS.,6/30/2027,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,LARGE ($500M-1B),12/1/2022,1,100,0,42,
917557582.5,CONT_AWD_W56HZV23F0395_9700_W56HZV22D0083_9700,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W56HZV23F0395,THE BRADLEY A4 FOLLOW-ON PRODUCTION EFFORT WILL DELIVER M2A4 AND M7A4 VEHICLES FROM VARIOUS INDUCTED LEGACY SOURCE VARIANTS BASED ON THE TDP DEVELOPED UNDER CONTRACT W56HZV-12-C-0358 BRADLEY A4 ECP AND THE TOP-LEVEL VEHICLE DRAWINGS.,2/28/2027,1/21/2026,False,,,,HIGH,,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,LARGE ($500M-1B),8/31/2023,1,100,0,22,
913358953.0,CONT_AWD_N0002411C2111_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0002411C2111,FY11,5/31/2026,1/21/2026,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,LARGE ($500M-1B),10/1/2010,1,100,0,28,
911290873.5,CONT_AWD_FA863421C2702_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA863421C2702,F-15 EAGLE PASSIVE/ACTIVE WARNING & SURVIVABILITY SYSTEM (EPAWSS) LOW RATE ININITIAL PRODUCTION (LRIP),12/31/2026,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),12/16/2020,1,100,0,45,
908508399.9,CONT_AWD_0050_9700_F3365798D0019_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,50,CY12-17 RSAF ENGINES/EMSCS,2/20/2018,1/21/2026,False,,,,HIGH,,GENERAL ELECTRIC COMPANY,J1T1FEN3PWX6,LARGE ($500M-1B),6/29/2012,1,100,0,10,
907819438.3,CONT_AWD_FA861506C6003_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA861506C6003,"PEACE XENIA IV (GREECE) F-16 C/D BLOCK 52M AIRCRAFT, FERRY PREPARATION, AND ALTERNATE MISSION EQUIPMENT",1/31/2016,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,LARGE ($500M-1B),12/27/2005,1,100,0,87,
907396228.2,CONT_AWD_N6134020F0040_9700_N6134019D1006_9700,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N6134020F0040,T-6 AIRCRAFT MAINTENANCE,3/31/2026,1/21/2026,False,,,,HIGH,,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,LARGE ($500M-1B),2/1/2020,1,100,0,17,
898495397.7,CONT_AWD_FA861508C6050_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA861508C6050,F-16 MOROCCO PRODUCTION PROGRAM,4/30/2020,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,LARGE ($500M-1B),6/5/2008,1,100,0,87,
896584290.6,CONT_AWD_FA861718F8001_9700_FA861718D6219_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA861718F8001,ADVANCED PILOT TRAINING,7/30/2026,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),9/27/2018,1,100,0,45,
894388941.7,CONT_AWD_N0001918F0584_9700_N0001914G0020_9700,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001918F0584,F-35 LIGHTNING II COMMON SPARES PARTS,8/13/2027,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,LARGE ($500M-1B),3/8/2018,1,100,0,87,
892369912.7,CONT_AWD_N0002407C4013_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0002407C4013,F07 EXECUTION PLANNING FOR USS BOXER (LHD 4) FY 07 NON DRY-DOCKING CNO SCHEDULED AVAILABILITY.,5/19/2020,1/21/2026,False,,,,HIGH,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,LARGE ($500M-1B),1/29/2007,1,100,0,12,
892326074.5,CONT_AWD_0004_9700_W56HZV09D0111_9700,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,4,"MRAP ALL-TERRAIN VEHICLES, D.O. 0004 ADDS 1,460 EACH M-ATVS AND BASIC ISSUE ITEMS TO THE CONTRACT",10/10/2012,1/21/2026,False,,,,HIGH,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,LARGE ($500M-1B),2/22/2010,1,100,0,20,
890455993.3,CONT_AWD_W31P4Q12C0002_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W31P4Q12C0002,FY12 PAC-3 PRODUCTION CONTRACT,5/31/2017,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,LARGE ($500M-1B),12/15/2011,1,100,0,42,
881904663.7,CONT_AWD_0002_9700_FA870215D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 69 subs; Very active prime,90,2,IGF::OT::IGF TASK ORDER 0002,7/31/2029,1/21/2026,False,,,,HIGH,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,SN5KKUDR9LY8,LARGE ($500M-1B),5/20/2015,1,69,0,18,
881657348.3,CONT_AWD_FA821319F1002_9700_FA821315D0002_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA821319F1002,JOINT DIRECT ATTACK MUNITION (JDAM) TAIL KITS.,4/30/2024,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),6/17/2019,1,100,0,45,
878984353.5,CONT_AWD_N0002497C5178_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,N0002497C5178,199710!1700!8976!BZ005!NAVAL SEA SYSTEMS COMMAND       !N0002497C5178  !A!*!*                  !19970711!20050201!834951691!834951691!834951691!N!02769!LOCKHEED MARTIN CORPORATION   !6801 ROCKLEDGE DR         !BETHESDA            !MD!20817!47850!005!34!MOORESTOWN          !BURLINGTON            !NEW,6/30/2009,1/21/2026,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,LARGE ($500M-1B),7/11/1997,1,100,0,32,
869146265.4,CONT_AWD_N0001915C0092_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001915C0092,AIM-9X-2 BLK II TACTICAL MISSILE PARTS,3/2/2026,1/21/2026,False,,,,HIGH,,RAYTHEON COMPANY,VTEWM5QSE598,LARGE ($500M-1B),3/26/2015,1,100,0,86,
858117972.0,CONT_AWD_FA860922F0001_9700_FA860919D0007_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 100 subs; Very active prime,90,FA860922F0001,KC-46 FMS ISRAEL AIRCRAFT 1-4,12/31/2026,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,WZWRLY4G3PL8,LARGE ($500M-1B),9/1/2022,1,100,0,15,
852399189.0,CONT_AWD_FA870217F0001_9700_FA870215D0001_9700,Department of Defense,Department of the Air Force,DoD; $500M+; 69 subs; Very active prime,90,FA870217F0001,IGF::OT::IGF MASSACHUSETTS INSTITUTE OF TECHNOLOGY LINCOLN LABORATORY RESEARCH AND DEVELOPMENT,2/28/2030,1/21/2026,False,,,,HIGH,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,SN5KKUDR9LY8,LARGE ($500M-1B),10/18/2016,1,69,0,18,
852009180.2,CONT_AWD_N0002418C2106_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 78 subs; Very active prime,90,N0002418C2106,PLANNING YEAR 1 OF CVN 74 RCOH ADVANCE PLANNING AND CVN 74 RCOH MATERIAL,12/31/2025,1/21/2026,False,,,,HIGH,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,LARGE ($500M-1B),7/16/2018,1,78,0,27,
849367985.0,CONT_AWD_N0001900C0183_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $500M+; 100 subs; Very active prime,90,N0001900C0183,200012!1700!001421!AC5J0 !NAVAL AIR SYSTEMS COMMAND       !N0001900C0183  !A!*!*                  !20000620!20031031!172316432!009256819!009256819!N!77272!THE BOEING COMPANY            !ROUTE 291 & STEWART AVE.  !RIDLEY PARK         !PA!19078!03000!375!48!AMARILLO            !POTTER                !,1/5/2010,1/21/2026,False,,,,HIGH,,THE BOEING COMPANY,E466BXU4KJH8,LARGE ($500M-1B),6/20/2000,1,100,0,14,
837794459.5,CONT_AWD_FA881113C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $500M+; 75 subs; Very active prime,90,FA881113C0001,EELV FY13 LAUNCH CABABILITY,2/3/2014,1/21/2026,False,,,,HIGH,,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,LARGE ($500M-1B),10/1/2012,1,75,0,11,
836004255.0,CONT_AWD_W58RGZ19C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W58RGZ19C0003,"REQUIREMENT IS TO DESIGN, DEVELOP, QUALIFY AND INTEGRATE AN IMPROVED TURBINE ENGINE (ITE) FOR THE EMD PHASE.",12/31/2029,1/21/2026,False,,,,HIGH,,GENERAL ELECTRIC COMPANY,E3HYKKLT5ZT1,LARGE ($500M-1B),2/1/2019,1,100,0,11,
