bd_score,bd_reasons,piid,recipient_name,lifecycle_phase,is_base_year,runway_years,competitor_present,competitors,job_activity,award_amount,description,naics_code,awarding_agency,sub_agency,pop_city,pop_state,start_date,end_date,source
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,-3.1,False,,8,34173959111.96,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,,Department of Defense,Defense Contract Management Agency,,TX,2001-10-26,2022-12-16,USAspending
53,DoD; $500M+; 8 Jobs,,"HEALTH NET FEDERAL SERVICES, LLC",Late Stage,False,-0.4,False,,8,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",,Department of Defense,Defense Health Agency,,CA,2010-05-13,2025-08-25,USAspending
53,DoD; $500M+; 8 Jobs,,RTX CORPORATION,Late Stage,False,-1.1,False,,8,8688654906.89,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,,Department of Defense,Department of the Navy,,CT,2018-03-23,2024-12-30,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,1.9,False,,8,7953264130.5,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,,Department of Defense,Defense Contract Management Agency,,TX,2020-12-31,2027-12-30,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-0.1,False,,8,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",,Department of Defense,Missile Defense Agency,,AL,2011-12-30,2025-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,OSHKOSH DEFENSE LLC,Late Stage,False,-0.3,False,,8,6104259192.82,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",,Department of Defense,Department of the Army,,WI,2015-08-25,2025-09-25,USAspending
53,DoD; $500M+; 8 Jobs,,NORTHROP GRUMMAN SYSTEMS CORPORATION,Late Stage,False,0.9,False,,8,5369740355.12,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),,Department of Defense,Department of the Navy,,FL,2013-05-13,2026-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,-3.7,False,,8,4993929468.3,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,,Department of Defense,Defense Contract Management Agency,,TX,2010-07-06,2022-05-04,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORP,Late Stage,False,1.5,False,,8,4538050444.83,GLOBAL POSITIONING SYSTEM (GPS) IIIA,,Department of Defense,Department of the Air Force,,PA,2008-05-15,2027-07-23,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-0.1,False,,8,4438727467.75,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,,Department of Defense,Missile Defense Agency,,AL,2019-03-18,2025-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,RAYTHEON COMPANY,Late Stage,False,0.2,False,,8,4401448778.9,GPS ADVANCED CONTROL SEGMENT (OCX) PHASE B BLOCKS 1 AND 2,,Department of Defense,Department of the Air Force,,CO,2010-02-25,2026-03-31,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,-3.1,False,,8,34173959111.96,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,,Department of Defense,Defense Contract Management Agency,,TX,2001-10-26,2022-12-16,USAspending
53,DoD; $500M+; 8 Jobs,,"HEALTH NET FEDERAL SERVICES, LLC",Late Stage,False,-0.4,False,,8,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",,Department of Defense,Defense Health Agency,,CA,2010-05-13,2025-08-25,USAspending
53,DoD; $500M+; 8 Jobs,,SIKORSKY AIRCRAFT CORPORATION,Late Stage,False,-2.5,False,,8,11602480135.21,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUDE SAUDI ARABIAN NATIONAL GUARD (SANG), TAIWAN, THAILAND AND ROYAL AUSTRALIAN NAVY (RAN).",,Department of Defense,Department of the Army,,CT,2012-06-06,2023-07-21,USAspending
53,DoD; $500M+; 8 Jobs,,SIKORSKY AIRCRAFT CORPORATION,Late Stage,False,-9.3,False,,8,9971085290.49,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,,Department of Defense,Department of the Army,,CT,2007-12-12,2016-09-30,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MISSILES & SPACE COMP,Late Stage,False,-4.2,False,,8,9458382765.59,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CALIFORNIA!+000003570337!N!N!000000000000!AC23!RDTE/MISSILE AND SPACE SYSTEMS-ADV TECH DEV       !A2 ,,Department of Defense,Department of the Air Force,,CA,1995-11-08,2021-10-29,USAspending
53,DoD; $500M+; 8 Jobs,,RTX CORPORATION,Late Stage,False,-1.1,False,,8,8688654906.89,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,,Department of Defense,Department of the Navy,,CT,2018-03-23,2024-12-30,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,1.9,False,,8,7953264130.5,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,,Department of Defense,Defense Contract Management Agency,,TX,2020-12-31,2027-12-30,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-0.1,False,,8,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",,Department of Defense,Missile Defense Agency,,AL,2011-12-30,2025-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,OSHKOSH DEFENSE LLC,Late Stage,False,-0.3,False,,8,6104259192.82,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",,Department of Defense,Department of the Army,,WI,2015-08-25,2025-09-25,USAspending
53,DoD; $500M+; 8 Jobs,,NORTHROP GRUMMAN SYSTEMS CORPORATION,Late Stage,False,0.9,False,,8,5369740355.12,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),,Department of Defense,Department of the Navy,,FL,2013-05-13,2026-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,-3.7,False,,8,4993929468.3,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,,Department of Defense,Defense Contract Management Agency,,TX,2010-07-06,2022-05-04,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORP,Late Stage,False,1.5,False,,8,4538050444.83,GLOBAL POSITIONING SYSTEM (GPS) IIIA,,Department of Defense,Department of the Air Force,,PA,2008-05-15,2027-07-23,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-0.1,False,,8,4438727467.75,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,,Department of Defense,Missile Defense Agency,,AL,2019-03-18,2025-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,-3.1,False,,8,34173959111.96,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,,Department of Defense,Defense Contract Management Agency,,TX,2001-10-26,2022-12-16,USAspending
53,DoD; $500M+; 8 Jobs,,"HEALTH NET FEDERAL SERVICES, LLC",Late Stage,False,-0.4,False,,8,19414789943.3,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",,Department of Defense,Defense Health Agency,,CA,2010-05-13,2025-08-25,USAspending
53,DoD; $500M+; 8 Jobs,,SIKORSKY AIRCRAFT CORPORATION,Late Stage,False,-2.5,False,,8,11602480135.21,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUDE SAUDI ARABIAN NATIONAL GUARD (SANG), TAIWAN, THAILAND AND ROYAL AUSTRALIAN NAVY (RAN).",,Department of Defense,Department of the Army,,CT,2012-06-06,2023-07-21,USAspending
53,DoD; $500M+; 8 Jobs,,SIKORSKY AIRCRAFT CORPORATION,Late Stage,False,-9.3,False,,8,9971085290.49,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,,Department of Defense,Department of the Army,,CT,2007-12-12,2016-09-30,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MISSILES & SPACE COMP,Late Stage,False,-4.2,False,,8,9458382765.59,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CALIFORNIA!+000003570337!N!N!000000000000!AC23!RDTE/MISSILE AND SPACE SYSTEMS-ADV TECH DEV       !A2 ,,Department of Defense,Department of the Air Force,,CA,1995-11-08,2021-10-29,USAspending
53,DoD; $500M+; 8 Jobs,,"ENERGY, DEPARTMENT OF",Late Stage,False,1.7,False,,8,9438254579.0,"199712!1700!1276!BZ004!NAVAL SEA SYSTEMS COMMAND       !N0002496F4060  !A!*!P00005             !19961104!20060930!087689394!161906078!161906193!Y!0C2Y9!ENERGY, UNITED STATES DEPT OF !1000 INDEPENDENCE AVE SW  !WASHINGTON          !DC!20585!50000!001!11!WASHINGTON          !DISTRICT OF COLUMBIA  !D.C.      !0001!+000169262376!N!N!000000000000!4470!NUCLEAR REACTORS                                  !",,Department of Defense,Department of the Navy,,DC,1996-11-04,2027-09-30,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-8.1,False,,8,8997913572.42,199908!1700!0757!AA4E0!NAVAL AIR SYSTEMS COMMAND       !N0001999C1226  !A!*!*                  !19990212!20000930!161213269!006265946!009256819!N!76301!MCDONNELL DOUGLAS CORPORATION !P.O. BOX 516              !SAINT LOUIS         !MO!63166!65000!510!29!ST. LOUIS           !ST. LOUIS (CITY)      !MISSOURI  !0001!+000040000000!N!N!000000000000!1510!AIRCRAFT FIXED WING                               !,,Department of Defense,Defense Contract Management Agency,,MO,1999-02-12,2017-12-06,USAspending
53,DoD; $500M+; 8 Jobs,,RTX CORPORATION,Late Stage,False,-1.1,False,,8,8688654906.89,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,,Department of Defense,Department of the Navy,,CT,2018-03-23,2024-12-30,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,1.9,False,,8,7953264130.5,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,,Department of Defense,Defense Contract Management Agency,,TX,2020-12-31,2027-12-30,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-0.1,False,,8,6466627868.26,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",,Department of Defense,Missile Defense Agency,,AL,2011-12-30,2025-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,OSHKOSH DEFENSE LLC,Late Stage,False,-0.3,False,,8,6104259192.82,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",,Department of Defense,Department of the Army,,WI,2015-08-25,2025-09-25,USAspending
53,DoD; $500M+; 8 Jobs,,NORTHROP GRUMMAN SYSTEMS CORPORATION,Late Stage,False,0.9,False,,8,5369740355.12,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),,Department of Defense,Department of the Navy,,FL,2013-05-13,2026-12-31,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORPORATION,Late Stage,False,-3.7,False,,8,4993929468.3,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,,Department of Defense,Defense Contract Management Agency,,TX,2010-07-06,2022-05-04,USAspending
53,DoD; $500M+; 8 Jobs,,LOCKHEED MARTIN CORP,Late Stage,False,1.5,False,,8,4538050444.83,GLOBAL POSITIONING SYSTEM (GPS) IIIA,,Department of Defense,Department of the Air Force,,PA,2008-05-15,2027-07-23,USAspending
53,DoD; $500M+; 8 Jobs,,THE BOEING COMPANY,Late Stage,False,-0.1,False,,8,4438727467.75,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,,Department of Defense,Missile Defense Agency,,AL,2019-03-18,2025-12-31,USAspending
50,DoD; $500M+; 5 Jobs,,THE BOEING COMPANY,Late Stage,False,1.5,False,,5,29485980901.28,KC-X MODERNIZATION PROGRAM,,Department of Defense,Department of the Air Force,,WA,2011-02-24,2027-07-31,USAspending
50,DoD; $500M+; 5 Jobs,,"HEALTH NET FEDERAL SERVICES, LLC",Late Stage,False,-0.1,False,,5,23493303927.12,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,,Department of Defense,Defense Health Agency,,CA,2016-08-01,2025-12-31,USAspending
50,DoD; $500M+; 5 Jobs,,"FLUOR INTERCONTINENTAL, INC",Late Stage,False,-0.3,False,,5,12568636130.95,LOGCAP IV SERVICES AFGHANISTAN,,Department of Defense,Department of the Army,,,2009-07-07,2025-09-30,USAspending
50,DoD; $500M+; 5 Jobs,,THE BOEING COMPANY,Late Stage,False,-2.6,False,,5,11204226412.65,RSAF F-15 FLEET MODERNIZATION PROGRAM,,Department of Defense,Department of the Air Force,,MO,2012-03-08,2023-05-31,USAspending
50,DoD; $500M+; 5 Jobs,,THE AEROSPACE CORPORATION,Late Stage,False,-0.0,False,,5,7631436146.72,FY19 ENGINEERING SERVICES,,Department of Defense,Department of the Air Force,,CA,2018-10-01,2026-01-20,USAspending
50,DoD; $500M+; 5 Jobs,,"AMENTUM SERVICES, INC.",Late Stage,False,-3.6,False,,5,7377629917.55,LOGCAP IV SERVICES IN AFGHANISTAN,,Department of Defense,Department of the Army,,,2009-07-07,2022-06-30,USAspending
50,DoD; $500M+; 5 Jobs,,THE BOEING COMPANY,Late Stage,False,1.5,False,,5,29485980901.28,KC-X MODERNIZATION PROGRAM,,Department of Defense,Department of the Air Force,,WA,2011-02-24,2027-07-31,USAspending
50,DoD; $500M+; 5 Jobs,,"HEALTH NET FEDERAL SERVICES, LLC",Late Stage,False,-0.1,False,,5,23493303927.12,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,,Department of Defense,Defense Health Agency,,CA,2016-08-01,2025-12-31,USAspending
50,DoD; $500M+; 5 Jobs,,"FLUOR INTERCONTINENTAL, INC",Late Stage,False,-0.3,False,,5,12568636130.95,LOGCAP IV SERVICES AFGHANISTAN,,Department of Defense,Department of the Army,,,2009-07-07,2025-09-30,USAspending
50,DoD; $500M+; 5 Jobs,,THE BOEING COMPANY,Late Stage,False,-2.6,False,,5,11204226412.65,RSAF F-15 FLEET MODERNIZATION PROGRAM,,Department of Defense,Department of the Air Force,,MO,2012-03-08,2023-05-31,USAspending
50,DoD; $500M+; 5 Jobs,,THE AEROSPACE CORPORATION,Late Stage,False,-0.0,False,,5,7631436146.72,FY19 ENGINEERING SERVICES,,Department of Defense,Department of the Air Force,,CA,2018-10-01,2026-01-20,USAspending
50,DoD; $500M+; 5 Jobs,,"AMENTUM SERVICES, INC.",Late Stage,False,-3.6,False,,5,7377629917.55,LOGCAP IV SERVICES IN AFGHANISTAN,,Department of Defense,Department of the Army,,,2009-07-07,2022-06-30,USAspending
50,DoD; $500M+; 5 Jobs,,THE BOEING COMPANY,Late Stage,False,1.5,False,,5,29485980901.28,KC-X MODERNIZATION PROGRAM,,Department of Defense,Department of the Air Force,,WA,2011-02-24,2027-07-31,USAspending
50,DoD; $500M+; 5 Jobs,,"HEALTH NET FEDERAL SERVICES, LLC",Late Stage,False,-0.1,False,,5,23493303927.12,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,,Department of Defense,Defense Health Agency,,CA,2016-08-01,2025-12-31,USAspending
50,DoD; $500M+; 5 Jobs,,"FLUOR INTERCONTINENTAL, INC",Late Stage,False,-0.3,False,,5,12568636130.95,LOGCAP IV SERVICES AFGHANISTAN,,Department of Defense,Department of the Army,,,2009-07-07,2025-09-30,USAspending
50,DoD; $500M+; 5 Jobs,,THE BOEING COMPANY,Late Stage,False,-2.6,False,,5,11204226412.65,RSAF F-15 FLEET MODERNIZATION PROGRAM,,Department of Defense,Department of the Air Force,,MO,2012-03-08,2023-05-31,USAspending
50,DoD; $500M+; 5 Jobs,,THE AEROSPACE CORPORATION,Late Stage,False,-0.0,False,,5,7631436146.72,FY19 ENGINEERING SERVICES,,Department of Defense,Department of the Air Force,,CA,2018-10-01,2026-01-20,USAspending
50,DoD; $500M+; 5 Jobs,,"AMENTUM SERVICES, INC.",Late Stage,False,-3.6,False,,5,7377629917.55,LOGCAP IV SERVICES IN AFGHANISTAN,,Department of Defense,Department of the Army,,,2009-07-07,2022-06-30,USAspending
47,DoD; $500M+; 2 Jobs,,"KBR SERVICES, LLC",Late Stage,False,-13.1,False,,2,7865825758.15,"200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DRY          !HOUSTON             !TX!77020!00000!   !IZ!                    !                      !IRAQ      !+000400000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !S",,Department of Defense,Department of the Army,,,2006-08-22,2012-12-30,USAspending
47,DoD; $500M+; 2 Jobs,,VECTRUS SYSTEMS LLC,Late Stage,False,-2.4,False,,2,4815722935.22,KUWAIT BASE OPERATIONS AND SECURITY SUPPORT SERVICES,,Department of Defense,Department of the Army,,,2010-09-29,2023-08-28,USAspending
47,DoD; $500M+; 2 Jobs,,"KBR SERVICES, LLC",Late Stage,False,-13.1,False,,2,4609561500.42,"200509!001151!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0089         !      !20050613!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DR           !HOUSTON             !TX!77020!00000!   !IZ!*                   !*                     !IRAQ      !+000135000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !S",,Department of Defense,Department of the Army,,,2005-06-13,2012-12-31,USAspending
47,DoD; $500M+; 2 Jobs,,"KBR SERVICES, LLC",Late Stage,False,-13.1,False,,2,7865825758.15,"200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DRY          !HOUSTON             !TX!77020!00000!   !IZ!                    !                      !IRAQ      !+000400000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !S",,Department of Defense,Department of the Army,,,2006-08-22,2012-12-30,USAspending
47,DoD; $500M+; 2 Jobs,,VECTRUS SYSTEMS LLC,Late Stage,False,-2.4,False,,2,4815722935.22,KUWAIT BASE OPERATIONS AND SECURITY SUPPORT SERVICES,,Department of Defense,Department of the Army,,,2010-09-29,2023-08-28,USAspending
47,DoD; $500M+; 2 Jobs,,"KBR SERVICES, LLC",Late Stage,False,-13.1,False,,2,4609561500.42,"200509!001151!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0089         !      !20050613!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DR           !HOUSTON             !TX!77020!00000!   !IZ!*                   !*                     !IRAQ      !+000135000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !S",,Department of Defense,Department of the Army,,,2005-06-13,2012-12-31,USAspending
47,DoD; $500M+; 2 Jobs,,"KBR SERVICES, LLC",Late Stage,False,-13.1,False,,2,7865825758.15,"200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DRY          !HOUSTON             !TX!77020!00000!   !IZ!                    !                      !IRAQ      !+000400000000!N!N!000000000000!R706!LOGISTICS SUPPORT SERVICES                        !S1 !S",,Department of Defense,Department of the Army,,,2006-08-22,2012-12-30,USAspending
47,DoD; $500M+; 2 Jobs,,VECTRUS SYSTEMS LLC,Late Stage,False,-2.4,False,,2,4815722935.22,KUWAIT BASE OPERATIONS AND SECURITY SUPPORT SERVICES,,Department of Defense,Department of the Army,,,2010-09-29,2023-08-28,USAspending
