award_amount,award_id,awarding_agency,bd_reasons,bd_score,competitor_present,competitors,description,end_date,fiscal_year,is_base_year,job_activity,lifecycle_phase,naics_code,piid,pop_city,pop_state,psc_code,recipient_name,recipient_uei,runway_years,source,start_date,sub_agency
6568172820.67,N0001917C0015,Department of Defense,DoD; 2.0yr Runway; $500M+; 1 Jobs,56,False,,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,2028-01-31,2022,False,1,Late Stage,,,,TX,,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,2.0,USAspending,2016-12-28,Department of the Navy
5286196424.87,FA861520F0001,Department of Defense,DoD; 2.9yr Runway; $500M+; 1 Jobs,56,False,,TAIWAN/MOROCCO F-16 PRODUCTION BLOCK 70/72,2028-12-31,2022,False,1,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,2.9,USAspending,2020-08-14,Defense Contract Management Agency
4980576178.6,W52P1J09C0013,Department of Defense,DoD; 2.2yr Runway; $500M+; 1 Jobs,56,False,,"THE PURPOSE OF MODIFICATION P00003 - CLIN 0002 CONSTRUCTION IS TO DO THE FOLLOWING:  1. FY 09 RDTE FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $1,518,599.00 TO SUPPORT CONTINUED EFFORTS FOR PHASE IV LONG LEAD EQUIPMENT UNDER ESTABLISHED CLIN 0002AA.       MIPR: W91CPT90770019 01      PRON: DE9R0019DE AMD 02   2. FY 08 MCD FUNDS ARE HEREBY OBLIGATED IN THE AMOUNT OF $43,020,072.00 TO SUPPORT CONTIN",2028-04-03,2022,False,1,Late Stage,,,,KY,,"BECHTEL PARSONS BLUE GRASS, A JOINT VENTURE",DS75LBB3UZJ6,2.2,USAspending,2009-03-19,Department of the Army
12644083637.5,N0002418C2130,Department of Defense,DoD; 2.7yr Runway; $500M+,55,False,,NAVAL NUCLEAR LABORATORY,2028-09-30,2024,False,0,Late Stage,,,,PA,,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,2.7,USAspending,2018-07-12,Department of the Navy
5812593038.64,N0002416C2229,Department of Defense,DoD; 2.2yr Runway; $500M+,55,False,,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,2028-03-22,2024,False,0,Late Stage,,,,CA,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,2.2,USAspending,2016-06-30,Department of the Navy
5496533530.53,N0001918C1046,Department of Defense,DoD; 2.6yr Runway; $500M+,55,False,,F/A-18E AIRCRAFT,2028-08-31,2024,False,0,Late Stage,,,,MO,,THE BOEING COMPANY,JJM4FRDZJDX1,2.6,USAspending,2018-05-08,Department of the Navy
12644083637.5,N0002418C2130,Department of Defense,DoD; 2.7yr Runway; $500M+,55,False,,NAVAL NUCLEAR LABORATORY,2028-09-30,2023,False,0,Late Stage,,,,PA,,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,2.7,USAspending,2018-07-12,Department of the Navy
5812593038.64,N0002416C2229,Department of Defense,DoD; 2.2yr Runway; $500M+,55,False,,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,2028-03-22,2023,False,0,Late Stage,,,,CA,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,2.2,USAspending,2016-06-30,Department of the Navy
5496533530.53,N0001918C1046,Department of Defense,DoD; 2.6yr Runway; $500M+,55,False,,F/A-18E AIRCRAFT,2028-08-31,2023,False,0,Late Stage,,,,MO,,THE BOEING COMPANY,JJM4FRDZJDX1,2.6,USAspending,2018-05-08,Department of the Navy
12644083637.5,N0002418C2130,Department of Defense,DoD; 2.7yr Runway; $500M+,55,False,,NAVAL NUCLEAR LABORATORY,2028-09-30,2022,False,0,Late Stage,,,,PA,,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,2.7,USAspending,2018-07-12,Department of the Navy
5812593038.64,N0002416C2229,Department of Defense,DoD; 2.2yr Runway; $500M+,55,False,,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,2028-03-22,2022,False,0,Late Stage,,,,CA,,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,2.2,USAspending,2016-06-30,Department of the Navy
5496533530.53,N0001918C1046,Department of Defense,DoD; 2.6yr Runway; $500M+,55,False,,F/A-18E AIRCRAFT,2028-08-31,2022,False,0,Late Stage,,,,MO,,THE BOEING COMPANY,JJM4FRDZJDX1,2.6,USAspending,2018-05-08,Department of the Navy
34173959111.96,N0001902C3002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,2022-12-16,2024,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,-3.1,USAspending,2001-10-26,Defense Contract Management Agency
19414789943.3,HT940210C0002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",2025-08-25,2024,False,8,Late Stage,,,,CA,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,-0.4,USAspending,2010-05-13,Defense Health Agency
8688654906.89,N0001918C1021,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,2024-12-30,2024,False,8,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,-1.1,USAspending,2018-03-23,Department of the Navy
7953264130.5,N0001921C0020,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,2027-12-30,2024,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,1.9,USAspending,2020-12-31,Defense Contract Management Agency
6466627868.26,HQ014712C0004,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",2025-12-31,2024,False,8,Late Stage,,,,AL,,THE BOEING COMPANY,SML4NN2CT556,-0.1,USAspending,2011-12-30,Missile Defense Agency
6104259192.82,W56HZV15C0095,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",2025-09-25,2024,False,8,Late Stage,,,,WI,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,-0.3,USAspending,2015-08-25,Department of the Army
5369740355.12,N0001913C9999,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),2026-12-31,2024,False,8,Late Stage,,,,FL,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,0.9,USAspending,2013-05-13,Department of the Navy
4993929468.3,N0001910C0002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,2022-05-04,2024,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,-3.7,USAspending,2010-07-06,Defense Contract Management Agency
4538050444.83,FA880708C0010,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GLOBAL POSITIONING SYSTEM (GPS) IIIA,2027-07-23,2024,False,8,Late Stage,,,,PA,,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,1.5,USAspending,2008-05-15,Department of the Air Force
4438727467.75,HQ014719C0004,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,2025-12-31,2024,False,8,Late Stage,,,,AL,,THE BOEING COMPANY,SML4NN2CT556,-0.1,USAspending,2019-03-18,Missile Defense Agency
4401448778.9,FA880710C0001,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GPS ADVANCED CONTROL SEGMENT (OCX) PHASE B BLOCKS 1 AND 2,2026-03-31,2024,False,8,Late Stage,,,,CO,,RAYTHEON COMPANY,JLWLJXQ3M995,0.2,USAspending,2010-02-25,Department of the Air Force
34173959111.96,N0001902C3002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,2022-12-16,2023,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,-3.1,USAspending,2001-10-26,Defense Contract Management Agency
19414789943.3,HT940210C0002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",2025-08-25,2023,False,8,Late Stage,,,,CA,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,-0.4,USAspending,2010-05-13,Defense Health Agency
11602480135.21,W58RGZ12C0008,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUDE SAUDI ARABIAN NATIONAL GUARD (SANG), TAIWAN, THAILAND AND ROYAL AUSTRALIAN NAVY (RAN).",2023-07-21,2023,False,8,Late Stage,,,,CT,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,-2.5,USAspending,2012-06-06,Department of the Army
9971085290.49,W58RGZ08C0003,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,2016-09-30,2023,False,8,Late Stage,,,,CT,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,-9.3,USAspending,2007-12-12,Department of the Army
9458382765.59,F0470195C0017,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CALIFORNIA!+000003570337!N!N!000000000000!AC23!RDTE/MISSILE AND SPACE SYSTEMS-ADV TECH DEV       !A2 ,2021-10-29,2023,False,8,Late Stage,,,,CA,,LOCKHEED MISSILES & SPACE COMP,YVH9AL7JT6Y3,-4.2,USAspending,1995-11-08,Department of the Air Force
8688654906.89,N0001918C1021,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,2024-12-30,2023,False,8,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,-1.1,USAspending,2018-03-23,Department of the Navy
7953264130.5,N0001921C0020,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,2027-12-30,2023,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,1.9,USAspending,2020-12-31,Defense Contract Management Agency
6466627868.26,HQ014712C0004,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",2025-12-31,2023,False,8,Late Stage,,,,AL,,THE BOEING COMPANY,SML4NN2CT556,-0.1,USAspending,2011-12-30,Missile Defense Agency
6104259192.82,W56HZV15C0095,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",2025-09-25,2023,False,8,Late Stage,,,,WI,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,-0.3,USAspending,2015-08-25,Department of the Army
5369740355.12,N0001913C9999,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),2026-12-31,2023,False,8,Late Stage,,,,FL,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,0.9,USAspending,2013-05-13,Department of the Navy
4993929468.3,N0001910C0002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,2022-05-04,2023,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,-3.7,USAspending,2010-07-06,Defense Contract Management Agency
4538050444.83,FA880708C0010,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GLOBAL POSITIONING SYSTEM (GPS) IIIA,2027-07-23,2023,False,8,Late Stage,,,,PA,,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,1.5,USAspending,2008-05-15,Department of the Air Force
4438727467.75,HQ014719C0004,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,2025-12-31,2023,False,8,Late Stage,,,,AL,,THE BOEING COMPANY,SML4NN2CT556,-0.1,USAspending,2019-03-18,Missile Defense Agency
34173959111.96,N0001902C3002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!,2022-12-16,2022,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,-3.1,USAspending,2001-10-26,Defense Contract Management Agency
19414789943.3,HT940210C0002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF THE MILITARY'S DIRECT MEDICAL CARE SYSTEM AND THE CONTRACTORS MANAGED CARE SUPPORT TO PROVIDE HEALTH, MEDICAL AND ADMINISTRATIVE SUPPORT SERVICES TO ELIGIBLE BENEFICIARIES IN THE NORTH REGION.",2025-08-25,2022,False,8,Late Stage,,,,CA,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,-0.4,USAspending,2010-05-13,Defense Health Agency
11602480135.21,W58RGZ12C0008,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUDE SAUDI ARABIAN NATIONAL GUARD (SANG), TAIWAN, THAILAND AND ROYAL AUSTRALIAN NAVY (RAN).",2023-07-21,2022,False,8,Late Stage,,,,CT,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,-2.5,USAspending,2012-06-06,Department of the Army
9971085290.49,W58RGZ08C0003,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE FORCE; TOOLING; PROGRAM SYSTEMS MANAGEMENT; TECHNICAL PUBLICATIONS.,2016-09-30,2022,False,8,Late Stage,,,,CT,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,-9.3,USAspending,2007-12-12,Department of the Army
9458382765.59,F0470195C0017,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CALIFORNIA!+000003570337!N!N!000000000000!AC23!RDTE/MISSILE AND SPACE SYSTEMS-ADV TECH DEV       !A2 ,2021-10-29,2022,False,8,Late Stage,,,,CA,,LOCKHEED MISSILES & SPACE COMP,YVH9AL7JT6Y3,-4.2,USAspending,1995-11-08,Department of the Air Force
9438254579.0,N0002496F4060,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"199712!1700!1276!BZ004!NAVAL SEA SYSTEMS COMMAND       !N0002496F4060  !A!*!P00005             !19961104!20060930!087689394!161906078!161906193!Y!0C2Y9!ENERGY, UNITED STATES DEPT OF !1000 INDEPENDENCE AVE SW  !WASHINGTON          !DC!20585!50000!001!11!WASHINGTON          !DISTRICT OF COLUMBIA  !D.C.      !0001!+000169262376!N!N!000000000000!4470!NUCLEAR REACTORS                                  !",2027-09-30,2022,False,8,Late Stage,,,,DC,,"ENERGY, DEPARTMENT OF",SUWNFSEM8P15,1.7,USAspending,1996-11-04,Department of the Navy
8997913572.42,N0001999C1226,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,199908!1700!0757!AA4E0!NAVAL AIR SYSTEMS COMMAND       !N0001999C1226  !A!*!*                  !19990212!20000930!161213269!006265946!009256819!N!76301!MCDONNELL DOUGLAS CORPORATION !P.O. BOX 516              !SAINT LOUIS         !MO!63166!65000!510!29!ST. LOUIS           !ST. LOUIS (CITY)      !MISSOURI  !0001!+000040000000!N!N!000000000000!1510!AIRCRAFT FIXED WING                               !,2017-12-06,2022,False,8,Late Stage,,,,MO,,THE BOEING COMPANY,JJM4FRDZJDX1,-8.1,USAspending,1999-02-12,Defense Contract Management Agency
8688654906.89,N0001918C1021,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,2024-12-30,2022,False,8,Late Stage,,,,CT,,RTX CORPORATION,QN1BCFY7JDJ5,-1.1,USAspending,2018-03-23,Department of the Navy
7953264130.5,N0001921C0020,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,2027-12-30,2022,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,1.9,USAspending,2020-12-31,Defense Contract Management Agency
6466627868.26,HQ014712C0004,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; 3) TEST; 4) SYSTEMS ENGINEERING, INTEGRATION AND CONFIGURATION MANAGEMENT; 5) EQUIPMENT MANUFACTURING AND REFURBISHMENT; 6) TRAINING; AND 7) OPERATIONS AND SUSTAINMENT SUPPORT FOR THE GMD WEAPON SYSTE",2025-12-31,2022,False,8,Late Stage,,,,AL,,THE BOEING COMPANY,SML4NN2CT556,-0.1,USAspending,2011-12-30,Missile Defense Agency
6104259192.82,W56HZV15C0095,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERING/ PROGRAM MANAGEMENT (SEPM), STORAGE AND MAINTENANCE OF VEHICLES, VEHICLE REFURBISHMENT, INTEGRATED PRODUCT SUPPORT (IPS), AND A TECHNICAL DATA PACKAGE (TDP).  THE CONTRACT ALSO INCLUDES COST PLUS F",2025-09-25,2022,False,8,Late Stage,,,,WI,,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,-0.3,USAspending,2015-08-25,Department of the Army
5369740355.12,N0001913C9999,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-2),2026-12-31,2022,False,8,Late Stage,,,,FL,,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,0.9,USAspending,2013-05-13,Department of the Navy
4993929468.3,N0001910C0002,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,LOW RATE INTITIAL PRODUCTION (LRIP) LOT 5 ADVANCED ACQUISITION CONTRACT.,2022-05-04,2022,False,8,Late Stage,,,,TX,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,-3.7,USAspending,2010-07-06,Defense Contract Management Agency
4538050444.83,FA880708C0010,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GLOBAL POSITIONING SYSTEM (GPS) IIIA,2027-07-23,2022,False,8,Late Stage,,,,PA,,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,1.5,USAspending,2008-05-15,Department of the Air Force
4438727467.75,HQ014719C0004,Department of Defense,DoD; $500M+; 8 Jobs,53,False,,GBI/AUR PROGRAM MANAGEMENT/SYSTEMS ENG,2025-12-31,2022,False,8,Late Stage,,,,AL,,THE BOEING COMPANY,SML4NN2CT556,-0.1,USAspending,2019-03-18,Missile Defense Agency
29485980901.28,FA862511C6600,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,KC-X MODERNIZATION PROGRAM,2027-07-31,2024,False,5,Late Stage,,,,WA,,THE BOEING COMPANY,WZWRLY4G3PL8,1.5,USAspending,2011-02-24,Department of the Air Force
23493303927.12,HT940216C0002,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,2025-12-31,2024,False,5,Late Stage,,,,CA,,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,-0.1,USAspending,2016-08-01,Defense Health Agency
12568636130.95,0005,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,LOGCAP IV SERVICES AFGHANISTAN,2025-09-30,2024,False,5,Late Stage,,,,,,"FLUOR INTERCONTINENTAL, INC",XMJWLE5WFT29,-0.3,USAspending,2009-07-07,Department of the Army
11204226412.65,FA863412C2651,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,RSAF F-15 FLEET MODERNIZATION PROGRAM,2023-05-31,2024,False,5,Late Stage,,,,MO,,THE BOEING COMPANY,JJM4FRDZJDX1,-2.6,USAspending,2012-03-08,Department of the Air Force
7631436146.72,FA880219C0001,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,FY19 ENGINEERING SERVICES,2026-01-20,2024,False,5,Late Stage,,,,CA,,THE AEROSPACE CORPORATION,YA8LJBJCND19,-0.0,USAspending,2018-10-01,Department of the Air Force
7377629917.55,0004,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,LOGCAP IV SERVICES IN AFGHANISTAN,2022-06-30,2024,False,5,Late Stage,,,,,,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,-3.6,USAspending,2009-07-07,Department of the Army
29485980901.28,FA862511C6600,Department of Defense,DoD; $500M+; 5 Jobs,50,False,,KC-X MODERNIZATION PROGRAM,2027-07-31,2023,False,5,Late Stage,,,,WA,,THE BOEING COMPANY,WZWRLY4G3PL8,1.5,USAspending,2011-02-24,Department of the Air Force
