Job Number,Job Title,Job Location,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Match Score
483878,TS/SCI SOFTWARE ENGINEER (AFSIM),"Beavercreek, Ohio","DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
480804,CLEARED MS&A DEVELOPER,"Sunset, Utah",Aegis Ballistic Missile Defense / Aegis Program; Global Command and Control System – Joint; Integrated Base Defense Security System,Lockheed Martin; Leidos; Northrop Grumman,"FORT WORTH, TEXAS; RESTON, VIRGINIA; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
421667,TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,"Jessup, Maryland",Intelligence Systems Enterprise Operations; DC3 – Defense Cyber Crime Center; Defense Cyber Crime Center,Peraton; Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Analytics Manager, Program Manager, Team Lead, Hiring Manager",9
477411,SECRET RF SYSTEM ENGINEER,"Salt Lake City, Utah",DIA Information Systems Engineering Office; DoD High Performance Computing Modernization Program – HITS / HITS-U Support; Integrated Digital Engineering Environment,Northrop Grumman; SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
482591,MAINTENANCE DATA SPECIALIST,"Atlanta, Georgia","Army Enterprise Service Management Framework; Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",6
481991,REGISTERED NURSE,"Muscatine, Iowa",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
481690,SECRET TECHNICAL EDITOR,"Rivanna, Virginia",Army Integrated Battle Command System Support; Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System,Northrop Grumman (prime); CACI (support); GDIT; CACI,"SPRINGFIELD, VIRGINIA; ARLINGTON, VIRGINIA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
476216,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)","Colorado Springs, Colorado",Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; Advanced Battle Management System; AFCENT SCORPION Cyber Task (ISSO/ISSM Support),Multi (SAIC supports parts); SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); CACI,"COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",12
482242,PYTHON TESTER - V&V,"Sainte-Anne-De-Bellevue, Quebec",Defense Enclave Services; Defense Enclave Services – Fourth Estate IT Consolidation; DISA Global Service Mgmt – Ops II,Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",10
371817,HOSPITAL SECURITY OFFICER,"Tarpon Springs, Florida","Global Service Management – Operations II; Global Solutions Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",8
479796,TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California","EDIS – Engineering, Development, Integration & Sustainment; Global Service Management – Operations II; GBS (Global Broadcast Service)",L3Harris (historical); SAIC; Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
456635,SOFTWARE ENGINEER (C++),"Dayton, Ohio","DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
473918,PROGRAM MANAGER,"Deerfield Beach, Florida",Battlefield Information Collection & Exploitation System; DIA Information Systems Engineering Office; Global Service Management – Operations II,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director",6
480397,KUBERNETES ADMINISTRATOR,"Dayton, Ohio","Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Enterprise Service Management Framework",SAIC; Leidos,"COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
483118,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,"Wilmington, Delaware",Global Service Management – Operations II; Army Enterprise Service Management Framework; Global Solutions Management – Operations II,SAIC; Leidos,"HOUSTON, TEXAS; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager",8
480826,NONDESTRUCTIVE EVALUATION ENGINEER (NDE),"Berkeley, Missouri","DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",4
470275,C++ SOFTWARE ENGINEER,"Huntsville, Alabama",Battlefield Information Collection & Exploitation System; DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",4
478314,TOP SECRET HARDWARE TECH,"Monroeville, Pennsylvania",Project Convergence (JADC2 Experiments); Global Service Management – Operations II; DIA Information Systems Engineering Office,SAIC; Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
479791,VERIFICATION & VALIDATION ENGINEER,"El Segundo, California","Next-Generation Overhead Persistent Infrared; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Leidos; Multiple: SAIC, Leidos, Booz Allen Hamilton; Northrop Grumman","HERNDON, VIRGINIA; REDONDO BEACH, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",13
452489,WELDER,"Huntsville, Alabama",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
480530,SPECIAL EDUCATION PARAPROFESSIONAL,"Salem, Massachusetts","ARCYBER Information Advantage / Mission Support (general); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Poland WISŁA – Patriot + IBCS Foreign Military Sales",Raytheon & Northrop Grumman; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"ANDOVER, MASSACHUSETTS; FORT GEORGE G MEADE, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
477052,MARINE ELECTRICIAN,"Kings Bay, Georgia",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
477076,STRUCTURAL WELDER,"Kings Bay, Georgia",Global Service Management – Operations II; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
470335,SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",SPICE (Space Payload Integration & Cyber Eng); Global Command and Control System – Joint; DIA Information Systems Engineering Office,Leidos; SAIC / LinQuest (indicative); Northrop Grumman,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",14
479486,2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
466413,IDENTITY ACCESS MANAGER / SME ARCHITECT,"Austin, Texas",Aegis Ballistic Missile Defense / Aegis Program; Global Network Operations (DISA GSM-O II); DISA Global Service Mgmt – Ops II,Lockheed Martin; Leidos,"HOUSTON, TEXAS; FORT WORTH, TEXAS; MORGANTOWN, WEST VIRGINIA","Chief Architect, Technical Director, Engineering VP, CTO",7
481890,COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",BICES Defense Intelligence Agency Variant; DISA Global Service Mgmt – Ops II; Army Enterprise Service Management Framework,CACI + Leidos + Peraton + SAIC (various subs); SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Chief Architect, Technical Director, Engineering VP, CTO",7
479148,"MECHANICAL ENGINEER, PE - DESIGNER","San Antonio, Texas",Army AESD Enterprise Service Desk; Army Enterprise Service Desk; DoD High Performance Computing Modernization Program – HITS / HITS-U Support,SAIC,"SAN ANTONIO, TEXAS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
477111,PIPEFITTER,"Kings Bay, Georgia",Global Command and Control System – Joint; Global Command and Control System – Joint (Variant); Integrated Base Defense Security System,Leidos; Northrop Grumman,"FREDERICK, MARYLAND; RESTON, VIRGINIA; ROY, UTAH","Hiring Manager, Program Manager, Team Lead, Recruiter",6
479487,GNC ENGINEER (FIXED WING),"Huntsville, Alabama",Army Missile & Space R&D Support (Huntsville); DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Dynetics; Northrop teams; Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",4
459815,MECHANICAL SYSTEMS ENGINEER,"New London, Connecticut","EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",11
482968,PROGRAM INTEGRATOR,"Huntsville, Alabama",Global Service Management – Operations II; Army Enterprise Service Management Framework; DISA Global Service Mgmt – Ops II,SAIC; Leidos,"COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
476961,UT INSPECTOR,"Kings Bay, Georgia",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; DoD High Performance Computing Modernization Program – HITS / HITS-U Support,SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
481903,TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",BICES Defense Intelligence Agency Variant; DISA Global Service Mgmt – Ops II; Army Enterprise Service Management Framework,CACI + Leidos + Peraton + SAIC (various subs); SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Chief Architect, Technical Director, Engineering VP, CTO",7
474049,TOP SECRET ISSO,"Quantico, Virginia",Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System; 16th Air Force Mission IT Support,ManTech; GDIT; Leidos,"QUANTICO, VIRGINIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",9
455774,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
479845,TOP SECRET RESEARCH PHYSICIST 1,"Washington, District Of Columbia","Advanced Battle Management System; DLA J6 Enterprise Technology Services 2.0; EDIS – Engineering, Development, Integration & Sustainment",Multi (SAIC supports parts); SAIC; Leidos; GDIT; Booz Allen; CACI; Peraton,"WASHINGTON, DISTRICT OF COLUMBIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",7
481941,PRICING MANAGER,"Huntsville, Alabama",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director",4
467723,SECRET SECURITY ENGINEER (BOUNDARY),"Montgomery, Alabama",Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract); Global Service Management – Operations II,Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
478776,OPERATING ENGINEER 2,"Springfield, Virginia",Battlefield Information Collection & Exploitation System; Battlefield Info Collection & Exploitation System (BICES-X); BICES-X / Mission Partner Environment,GDIT (incumbent pre-MPE); GDIT,"SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
469723,TS/SCI SYSTEMS ADMINISTRATOR,"Dayton, Ohio","DIA Information Systems Engineering Office; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army AESD Enterprise Service Desk",SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
479894,SECRET CUSTOMER SUPPORT ADMIN,"Vista, California",GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
482552,RUST DEVELOPER,"Camden, New Jersey","DIA Information Systems Engineering Office; ARCYBER Information Advantage / Mission Support (general); Command and Control, Battle Management & Communications (MDA)",Northrop Grumman; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND; CHANDLER, ARIZONA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
482978,DIGITAL HARDWARE ENGINEER,"Greece, New York","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); DIA Information Systems Engineering Office; Global Service Management – Operations II",Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
474207,SENIOR POSTGRES DATABASE ENGINEER,"Windsor Mill, Maryland",Global Command and Control System – Joint (Variant); AF National Capital Region IT Support (AFNCR); ARCYBER Information Advantage / Mission Support (general),Leidos (historical incumbent); Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
483547,SALES SUPPORT SPECIALIST,"Sully, Virginia",Army Backbone Infrastructure Modernization – Task Order 2; Army Backbone Infrastructure Modernization – Task Order 3; Battlefield Information Collection & Exploitation System,GDIT; CACI,"SPRINGFIELD, VIRGINIA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",5
455777,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
455721,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
478637,SECRET ISSO,"Albuquerque, New Mexico",Global Service Management – Operations II; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; DIA Information Systems Engineering Office,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
477119,BLASTER / PAINTER,"Kings Bay, Georgia",Global Service Management – Operations II; CDAO Advanced AI Tools (Scale AI OTA); DISA Global Service Mgmt – Ops II,Scale AI; Leidos,"PALO ALTO, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
448756,LINUX SYSTEMS ENGINEER (TS),"Chantilly, Virginia",Army Integrated Battle Command System Support; GENMOD / VMOD 2 – Field Service Technicians; ITEMSS (IT Enterprise Mgmt Systems Solution),Northrop Grumman (prime); CACI (support); CACI,"CHANTILLY, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
482299,DATA ENGINEER,"Norfolk, Virginia",MSS Smart Systems (Palantir contract); Army IT Enterprise Mgmt Systems Solution; HHS Advanced Secure Data Repository,Palantir; GDIT / SAIC (indicative); CACI,"PALO ALTO, CALIFORNIA; SPRINGFIELD, VIRGINIA; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",14
471207,TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,"Hanover, Maryland",DIA Information Systems Engineering Office; Global Command and Control System – Joint (Variant); Intelligence Systems Enterprise Operations,Leidos,"FREDERICK, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
476051,TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,"Norfolk, Virginia",Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System; DIA Information Systems Engineering Office,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
480435,TOP SECRET SOFTWARE ENGINEER,"Washington, District Of Columbia",Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; Global Service Management – Operations II; Global Solutions Management – Operations II,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
476874,SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,"Palmdale, California",GBS (Global Broadcast Service); Global Broadcast Service; CDAO Advanced AI Tools (Scale AI OTA),L3Harris; L3Harris (historical); Scale AI,"PALO ALTO, CALIFORNIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
456010,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
480030,SUPPLY CHAIN SYSTEMS ENGINEER,"Mclean, Virginia",Defense Enterprise Office 365 Migration / DoD365; Global Service Management – Operations II; DISA Supply Chain Mgmt (GDIT),Leidos; GDIT; Microsoft,"MCLEAN, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
479781,SCHEDULER,"Colorado Springs, Colorado","EDIS – Engineering, Development, Integration & Sustainment; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; Engineering Development & Integration Support",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",16
464764,POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Data Center & Cloud Optimization; DHS Data Center 2; SOCOM Digital Applications Data Science Support,Peraton / Leidos (indicative); GDIT / Peraton (indicative); Iron Eagle X (now GDIT),"MC LEAN, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
478959,TS/SCI ENGINEERING TECHNICIAN,"San Antonio, Texas",Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Justified (SAP Security),SAIC (inferred); SAIC,"SAN ANTONIO, TEXAS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
483058,SOFTWARE ENGINEER,"Dayton, Ohio",Cloud One (USAF Cloud Program); DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",4
483246,TSSCI TIER 1 NETWORK MONITOR (EAST COAST),"Hampton, Virginia",Battlefield Information Collection & Exploitation System; CMS Enterprise Cloud Infrastructure Services; DLA J6 Enterprise Technology Services,CACI; Deloitte; SAIC; GDIT; GDIT; Peraton / SAIC (indicative),"STERLING, VIRGINIA; HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
480214,TS/SCI LOGISTICS SPECIALIST,"San Antonio, Texas",Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Justified (SAP Security),SAIC (inferred); SAIC,"SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter",12
483336,TOP SECRET SPLUNK ENGINEER,"Vienna, Virginia","Army Enterprise Service Management Framework; Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
478414,TOP SECRET AWS ENGINEER,"Vienna, Virginia",CMS Enterprise Cloud Infrastructure Services; Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System,Leidos; GDIT; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
313138,ELECTRICAL ENGINEER,"Cockeysville, Maryland",Global Command and Control System – Joint (Variant); DIA Information Systems Engineering Office; Global Command and Control System – Joint,Northrop Grumman; Leidos,"FREDERICK, MARYLAND; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
479108,TS/SCI PROGRAM MANAGER,"San Antonio, Texas",Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Cloud One (USAF Cloud Program),SAIC,"SAN ANTONIO, TEXAS","Director, VP, Senior Manager, Program Director",10
480003,TRANSPORTATION AND SHIPPING COORDINATOR,"Mclean, Virginia",Defense Enterprise Office 365 Migration / DoD365; Global Service Management – Operations II; DISA Supply Chain Mgmt (GDIT),Leidos; GDIT; Microsoft,"MCLEAN, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",10
480203,TS/SCI CI POLY SOFTWARE ENGINEER,"Colorado Springs, Colorado","Army Enterprise Service Management Framework; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
461070,TS/SCI C++ SOFTWARE ENGINEER,"Redondo Beach, California",Next-Gen OPIR (Ground + Payload); NextGen GEO (Network/Ops); Next-Generation Overhead Persistent Infrared,Northrop Grumman,"REDONDO BEACH, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
478425,TS/SCI SYSTEM ADMINISTRATOR,"Grand Forks, North Dakota",Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract); Global Service Management – Operations II,Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
481705,SYSTEMS ENGINEER - LEVEL 3,"Anaheim, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
464235,SR NETWORK DESIGN ENGINEER,"'Aiea, Hawaii",Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract); Global Service Management – Operations II,Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
481743,SECRET KNOWLEDGE MANAGEMENT SPECIALIST,"Suffolk, Virginia",Global Service Management – Operations II; DLA J6 Enterprise Technology Services; JGLASS II – Shared Services,Peraton / SAIC (indicative); CACI; Deloitte; SAIC; GDIT; Leidos,"STERLING, VIRGINIA; MC LEAN, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",8
479588,DATA ENGINEER,"Scott Air Force Base, Illinois",DIA Information Systems Engineering Office; MSS Smart Systems (Palantir contract); Data Center & Cloud Optimization,Palantir; Peraton / Leidos (indicative); Leidos,"PALO ALTO, CALIFORNIA; FREDERICK, MARYLAND; MC LEAN, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
