Job Source,Job Number,Job Title,Job Location,Security Clearance,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Search Keywords (ZoomInfo),LinkedIn Search,Match Score,Match Reasons
Insight Global,461214,ELECTRICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Aegis Ballistic Missile Defense / Aegis Program; DIA Information Systems Engineering Office; Global Command and Control System – Joint,Northrop Grumman; Lockheed Martin; Leidos,"FORT WORTH, TEXAS; FREDERICK, MARYLAND; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","ELECTRICAL ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Leidos) AND (Huntsville)",6,"Keywords: missile, program, defense"
Insight Global,479177,SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,"Niskayuna, New York",,"DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Niskayuna)",6,"Keywords: engineering, information, systems"
Insight Global,460819,SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Aegis Ballistic Missile Defense / Aegis Program; DIA Information Systems Engineering Office; Army Enterprise Service Management Framework,Lockheed Martin; SAIC; Leidos,"FORT WORTH, TEXAS; FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Leidos) AND (Huntsville)",6,"Keywords: missile, program, defense"
Insight Global,482039,FPGA DESIGN ENGINEER - SECRET CLEARANCE,"Plymouth, Minnesota",Secret,"EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; DIA Information Systems Engineering Office",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","FPGA DESIGN ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Plymouth)",6,"Keywords: engineering, integration, development"
Insight Global,447166,SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE),"Tucson, Arizona",Secret,GMD Weapon System (Ground C2); GMD Weapon System Modernization; Advanced Battle Management System,Multi (SAIC supports parts); Northrop Grumman,"CHANDLER, ARIZONA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE), Secret, federal contractor","""Engineering Manager"" AND (Northrop Grumman) AND (Tucson)",7,"Keywords: system, weapon; State: AZ"
Insight Global,239418,HELP DESK SUPPORT SPEC I,"Detroit, Michigan",Secret,Battlefield Information Collection & Exploitation System; Global Command and Control System – Joint; Global Command and Control System – Joint (Variant),Leidos; GDIT; Northrop Grumman,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; ROY, UTAH","Hiring Manager, Program Manager, Team Lead, Recruiter","HELP DESK SUPPORT SPEC I, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Northrop Grumman) AND (Detroit)",4,"Keywords: system, information"
Insight Global,443211,SECRET/INTERIM CLEARED OUTSIDE MACHINIST,"Chesapeake, Virginia",Secret,Battlefield Information Collection & Exploitation System; DIA Battlefield Information Networks / BICES-X; DoD Joint Service Provider – Pentagon IT & ICAM,CACI (incumbent); GDIT; CACI,"ARLINGTON, VIRGINIA; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET/INTERIM CLEARED OUTSIDE MACHINIST, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR CACI) AND (Chesapeake)",5,Keywords: information; State: VA
Insight Global,432633,CLEARED MARINE ELECTRICIAN,"Norfolk, Virginia",Secret,Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System; DIA Battlefield Information Networks / BICES-X,GDIT; CACI,"SPRINGFIELD, VIRGINIA; ARLINGTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","CLEARED MARINE ELECTRICIAN, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR CACI) AND (Norfolk)",5,Keywords: systems; State: VA
Insight Global,449881,SECRET VULNERABILITY PENETRATION TESTER,"Aberdeen Proving Ground, Maryland",TS/SCI,DISA JWCC – Joint Warfighting Cloud Capability; Joint Warfighting Cloud Capability; JWCC – ATAT Expansion Path,AWS; Microsoft; Google; Oracle; Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET VULNERABILITY PENETRATION TESTER, TS/SCI, federal contractor","""Hiring Manager"" AND (AWS; Microsoft; Google; Oracle OR Amazon; Microsoft; Google; Oracle) AND (Aberdeen Proving Ground)",8,State: MD; City: ABERDEEN PROVING GROUND
Insight Global,468846,MODEL BASED DEFINITION ENGINEER,"Middletown, Connecticut",,Army Enterprise Service Management Framework; Global Service Management – Operations II; Advanced Battle Management System,Multi (SAIC supports parts); SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","MODEL BASED DEFINITION ENGINEER, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Middletown)",7,"Keywords: service, management; State: CO"
Insight Global,482286,SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,"Aurora, Colorado",Secret,"GPS Next-Gen Operational Control System; GPS Operational Control System (sustainment); EDIS – Engineering, Development, Integration & Sustainment",Raytheon Intelligence & Space; SAIC; Raytheon,"AURORA, COLORADO; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4, Secret, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Raytheon) AND (Aurora)",8,State: CO; City: AURORA
Insight Global,450628,SYSTEMS ADMINISTRATOR,"San Diego, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; MSS Smart Systems (Palantir contract),L3Harris; L3Harris (historical); Palantir,"PALO ALTO, CALIFORNIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SYSTEMS ADMINISTRATOR, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7,"Keywords: service, global; State: CA"
Insight Global,480992,TOP SECRET SYSTEM ADMIN,"Niskayuna, New York",Top Secret,Battlefield Information Collection & Exploitation System; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); GDIT; Leidos,"ANAHEIM, CALIFORNIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TOP SECRET SYSTEM ADMIN, Top Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Leidos) AND (Niskayuna)",4,"Keywords: system, information"
Insight Global,474313,SECRET DEPLOYED SUPPORT SPECIALIST,"Norfolk, Virginia",Secret,Battlefield Information Collection & Exploitation System; SOCOM Software Solutions IDIQ; Global Network Operations (DISA GSM-O II),GDIT; Iron Eagle X (now GDIT); Leidos,"HOUSTON, TEXAS; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET DEPLOYED SUPPORT SPECIALIST, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Iron Eagle X (now GDIT)) AND (Norfolk)",7,"Keywords: system, information; State: VA"
Insight Global,480738,FIELD ENGINEER (CENTRAL US),"Salt Lake City, Utah",,GRASP (Raytheon/Peraton); GENMOD / VMOD 2 – Field Service Technicians; Global Command and Control System – Joint,Northrop Grumman; Peraton; CACI,"HERNDON, VIRGINIA; ROY, UTAH; CHANTILLY, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","FIELD ENGINEER (CENTRAL US), None, federal contractor","""Engineering Manager"" AND (Peraton OR CACI) AND (Salt Lake City)",12,Acronym: GRASP; Keywords: grasp
Insight Global,451448,ESS HELPDESK TECHNICIAN,"Braddock, Virginia",Secret,Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Leidos","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","ESS HELPDESK TECHNICIAN, Secret, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR GDIT) AND (Braddock)",7,"Keywords: system, management; State: VA"
Insight Global,482086,SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",Secret,CMS Enterprise Cloud Infrastructure Services; Data Center & Cloud Optimization; SOCOM Digital Applications Data Science Support,Peraton / Leidos (indicative); Iron Eagle X (now GDIT); Peraton / SAIC (indicative),"MC LEAN, VIRGINIA; HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET FULL STACK DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR Peraton / SAIC (indicative)) AND (Dahlgren)",7,"Keywords: infrastructure, cloud; State: VA"
Insight Global,438003,INFORMATION SYSTEMS SECURITY OFFICER (ISSO),"Sterling Heights, Michigan",Secret,DIA Information Systems Engineering Office; Global Service Management – Operations II; Integrated Base Defense Security System,Leidos,"FREDERICK, MARYLAND; RESTON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","INFORMATION SYSTEMS SECURITY OFFICER (ISSO), Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (Sterling Heights)",6,"Keywords: engineering, information, systems"
Insight Global,483609,BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",Secret,Army Enterprise Service Management Framework; BICES Defense Intelligence Agency Variant; Protected Satcom & Tactical Waveform Communications,L3Harris; CACI + Leidos + Peraton + SAIC (various subs); SAIC,"COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","BUYER'S TECHNICAL WRITER - SECRET, Secret, federal contractor","""Hiring Manager"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR SAIC) AND (Colorado Springs)",12,"Keywords: service, management; State: CO; City: COLORADO SPRINGS"
Insight Global,483170,SECRET SENIOR ELASTIC ENGINEER,"Colorado Springs, Colorado",Top Secret,Advanced Battle Management System; Army Enterprise Service Management Framework; ARNG G-2 Intelligence IT Support,Multi (SAIC supports parts); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET SENIOR ELASTIC ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (Colorado Springs)",12,"Keywords: advanced, management; State: CO; City: COLORADO SPRINGS"
Insight Global,458210,TS/SCI SR. NETWORK ENGINEER,"Mount Vernon, Virginia",TS/SCI,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Battlefield Information Collection & Exploitation System; CMS Enterprise Cloud Infrastructure Services",Peraton / SAIC (indicative); GDIT; Leidos,"HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI SR. NETWORK ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (GDIT OR Leidos) AND (Mount Vernon)",10,"Keywords: next, generation, service"
Insight Global,480691,SECRET MICROSOFT SYSTEMS ENGINEER,"Goose Creek, South Carolina",Secret,CDAO Advanced AI Tools (Scale AI OTA); GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; Scale AI; L3Harris (historical),"PALO ALTO, CALIFORNIA; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET MICROSOFT SYSTEMS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Scale AI OR L3Harris (historical)) AND (Goose Creek)",7,"Keywords: advanced, tools; State: CA"
Insight Global,479729,SECRET NETWORK ADMINISTRATOR II (DAYS),"Montgomery, Alabama",Secret,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET NETWORK ADMINISTRATOR II (DAYS), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,239366,SALES ENGINEER,"Colorado Springs, Colorado",,Advanced Battle Management System; Army “Project Convergence”; Army Futures Command – Project Convergence,Multi (SAIC supports parts); SAIC; SAIC (major integrator; autonomy & AI work),"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SALES ENGINEER, None, federal contractor","""Engineering Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (Colorado Springs)",10,Keywords: system; State: CO; City: COLORADO SPRINGS
Insight Global,480429,SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia",Secret,Air Force Advanced Battle Management System; Integrated Base Defense Security System; DIA Information Systems Engineering Office,"Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","FREDERICK, MARYLAND; HERNDON, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET WINDOWS SYSTEMS ADMINISTRATOR, Secret, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Dahlgren)",9,"Keywords: system, advanced, management; State: VA"
Insight Global,480693,SECRET DEVOPS ENGINEER,"Goose Creek, South Carolina",Secret,Army Enterprise Service Management Framework; CMS Enterprise Cloud Infrastructure Services; Global Service Management – Operations II,Leidos; SAIC; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET DEVOPS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Peraton / SAIC (indicative)) AND (Goose Creek)",8,"Keywords: framework, service, enterprise"
Insight Global,476947,TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,"Wilmington, Massachusetts",TS/SCI,DIA Information Systems Engineering Office; Integrated Air & Missile Defense; Mark-48 Torpedo (sub-program reference),Raytheon (indicative); Raytheon; Leidos,"FREDERICK, MARYLAND; ANDOVER, MASSACHUSETTS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Raytheon OR Leidos) AND (Wilmington)",6,"Keywords: engineering, information, systems"
Insight Global,478024,SR PROJECT ENGINEER,"Tampa, Florida",Secret,SITEC III – Enterprise Operations & Maintenance; DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,Peraton; Leidos,"TAMPA, FLORIDA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SR PROJECT ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Peraton OR Leidos) AND (Tampa)",8,State: FL; City: TAMPA
Insight Global,480900,TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia",Top Secret,"CMS Enterprise Cloud Infrastructure Services; Integrated Base Defense Security System; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Leidos; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET VIRTUALIZATION/STORAGE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (Leidos OR Peraton / SAIC (indicative)) AND (Dahlgren)",9,"Keywords: infrastructure, enterprise, services; State: VA"
Insight Global,483878,TS/SCI SOFTWARE ENGINEER (AFSIM),"Beavercreek, Ohio",TS/SCI,"DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI SOFTWARE ENGINEER (AFSIM), TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Beavercreek)",6,"Keywords: engineering, information, systems"
Insight Global,480804,CLEARED MS&A DEVELOPER,"Sunset, Utah",Top Secret,Aegis Ballistic Missile Defense / Aegis Program; Global Command and Control System – Joint; Integrated Base Defense Security System,Lockheed Martin; Leidos; Northrop Grumman,"FORT WORTH, TEXAS; RESTON, VIRGINIA; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","CLEARED MS&A DEVELOPER, Top Secret, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Northrop Grumman) AND (Sunset)",8,"Keywords: missile, program, defense"
Insight Global,421667,TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,"Jessup, Maryland",TS/SCI Poly,Intelligence Systems Enterprise Operations; DC3 – Defense Cyber Crime Center; Defense Cyber Crime Center,Peraton; Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Analytics Manager, Program Manager, Team Lead, Hiring Manager","TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST, TS/SCI Poly, federal contractor","""Analytics Manager"" AND (Peraton OR Leidos) AND (Jessup)",9,"Keywords: intelligence, operations, systems; State: MD"
Insight Global,477411,SECRET RF SYSTEM ENGINEER,"Salt Lake City, Utah",Secret,DIA Information Systems Engineering Office; DoD High Performance Computing Modernization Program – HITS / HITS-U Support; Integrated Digital Engineering Environment,Northrop Grumman; SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET RF SYSTEM ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Salt Lake City)",6,"Keywords: engineering, information, systems"
Insight Global,482591,MAINTENANCE DATA SPECIALIST,"Atlanta, Georgia",,"Army Enterprise Service Management Framework; Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","MAINTENANCE DATA SPECIALIST, None, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Atlanta)",6,"Keywords: service, enterprise, management"
Insight Global,481991,REGISTERED NURSE,"Muscatine, Iowa",,DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","REGISTERED NURSE, None, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Muscatine)",4,"Keywords: service, global"
Insight Global,481690,SECRET TECHNICAL EDITOR,"Rivanna, Virginia",Top Secret,Army Integrated Battle Command System Support; Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System,Northrop Grumman (prime); CACI (support); GDIT; CACI,"SPRINGFIELD, VIRGINIA; ARLINGTON, VIRGINIA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET TECHNICAL EDITOR, Top Secret, federal contractor","""Hiring Manager"" AND (Northrop Grumman (prime); CACI (support) OR CACI) AND (Rivanna)",7,"Keywords: army, system; State: VA"
Insight Global,476216,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)","Colorado Springs, Colorado",Top Secret,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; Advanced Battle Management System; AFCENT SCORPION Cyber Task (ISSO/ISSM Support),Multi (SAIC supports parts); SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); CACI,"COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO), Top Secret, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1)) AND (Colorado Springs)",12,"Keywords: operations, cyber; State: CO; City: COLORADO SPRINGS"
Insight Global,482242,PYTHON TESTER - V&V,"Sainte-Anne-De-Bellevue, Quebec",,Defense Enclave Services; Defense Enclave Services – Fourth Estate IT Consolidation; DISA Global Service Mgmt – Ops II,Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","PYTHON TESTER - V&V, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Sainte-Anne-De-Bellevue)",10,Acronym: DES
Insight Global,371817,HOSPITAL SECURITY OFFICER,"Tarpon Springs, Florida",,"Global Service Management – Operations II; Global Solutions Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","HOSPITAL SECURITY OFFICER, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Tarpon Springs)",8,"Keywords: service, global, operations"
Insight Global,479796,TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment; Global Service Management – Operations II; GBS (Global Broadcast Service)",L3Harris (historical); SAIC; Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TRANSITION TO OPERATIONS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (El Segundo)",8,"Keywords: engineering, integration, sustainment"
Insight Global,456635,SOFTWARE ENGINEER (C++),"Dayton, Ohio",,"DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SOFTWARE ENGINEER (C++), None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Dayton)",6,"Keywords: engineering, information, systems"
Insight Global,473918,PROGRAM MANAGER,"Deerfield Beach, Florida",Secret,Battlefield Information Collection & Exploitation System; DIA Information Systems Engineering Office; Global Service Management – Operations II,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director","PROGRAM MANAGER, Secret, federal contractor","""Director"" AND (GDIT OR Leidos) AND (Deerfield Beach)",6,"Keywords: system, information, collection"
Insight Global,480397,KUBERNETES ADMINISTRATOR,"Dayton, Ohio",TS/SCI,"Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Enterprise Service Management Framework",SAIC; Leidos,"COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","KUBERNETES ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Dayton)",6,"Keywords: service, global, management"
Insight Global,483118,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,"Wilmington, Delaware",,Global Service Management – Operations II; Army Enterprise Service Management Framework; Global Solutions Management – Operations II,SAIC; Leidos,"HOUSTON, TEXAS; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager","SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA, None, federal contractor","""Analytics Manager"" AND (SAIC OR Leidos) AND (Wilmington)",8,"Keywords: service, global, operations"
Insight Global,480826,NONDESTRUCTIVE EVALUATION ENGINEER (NDE),"Berkeley, Missouri",,"DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","NONDESTRUCTIVE EVALUATION ENGINEER (NDE), None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Berkeley)",4,"Keywords: engineering, information"
Insight Global,470275,C++ SOFTWARE ENGINEER,"Huntsville, Alabama",Secret,Battlefield Information Collection & Exploitation System; DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","C++ SOFTWARE ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (GDIT OR Leidos) AND (Huntsville)",4,"Keywords: system, information"
Insight Global,478314,TOP SECRET HARDWARE TECH,"Monroeville, Pennsylvania",Top Secret,Project Convergence (JADC2 Experiments); Global Service Management – Operations II; DIA Information Systems Engineering Office,SAIC; Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","TOP SECRET HARDWARE TECH, Top Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Monroeville)",10,Acronym: PC
Insight Global,479791,VERIFICATION & VALIDATION ENGINEER,"El Segundo, California",TS/SCI,"Next-Generation Overhead Persistent Infrared; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Leidos; Multiple: SAIC, Leidos, Booz Allen Hamilton; Northrop Grumman","HERNDON, VIRGINIA; REDONDO BEACH, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","VERIFICATION & VALIDATION ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Leidos OR Northrop Grumman) AND (El Segundo)",13,"Keywords: next, generation, overhead; State: CA"
Insight Global,452489,WELDER,"Huntsville, Alabama",Secret,DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","WELDER, Secret, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Huntsville)",4,"Keywords: service, global"
