Job Number,Job Title,Job Location,Prime Contractors,Search Keywords (ZoomInfo),LinkedIn Search,Match Score
466413,IDENTITY ACCESS MANAGER / SME ARCHITECT,"Austin, Texas",Lockheed Martin; Leidos,"IDENTITY ACCESS MANAGER / SME ARCHITECT, TS/SCI Poly, federal contractor","""Chief Architect"" AND (Lockheed Martin OR Leidos) AND (Austin)",7
481890,COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",CACI + Leidos + Peraton + SAIC (various subs); SAIC; Leidos,"COPY - TOP SECRET IAM ARCHITECT, TS/SCI Poly, federal contractor","""Chief Architect"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR Leidos) AND (Washington)",7
479148,"MECHANICAL ENGINEER, PE - DESIGNER","San Antonio, Texas",SAIC,"MECHANICAL ENGINEER, PE - DESIGNER, None, federal contractor","""Engineering Manager"" AND (SAIC) AND (San Antonio)",10
477111,PIPEFITTER,"Kings Bay, Georgia",Leidos; Northrop Grumman,"PIPEFITTER, None, federal contractor","""Hiring Manager"" AND (Leidos OR Northrop Grumman) AND (Kings Bay)",6
479487,GNC ENGINEER (FIXED WING),"Huntsville, Alabama",L3Harris (historical); Dynetics; Northrop teams; Leidos,"GNC ENGINEER (FIXED WING), Secret, federal contractor","""Engineering Manager"" AND (Dynetics; Northrop teams OR Leidos) AND (Huntsville)",4
459815,MECHANICAL SYSTEMS ENGINEER,"New London, Connecticut",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); SAIC (via Engility); SAIC,"MECHANICAL SYSTEMS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (New London)",11
482968,PROGRAM INTEGRATOR,"Huntsville, Alabama",SAIC; Leidos,"PROGRAM INTEGRATOR, Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Huntsville)",6
476961,UT INSPECTOR,"Kings Bay, Georgia",SAIC; Leidos,"UT INSPECTOR, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6
481903,TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",CACI + Leidos + Peraton + SAIC (various subs); SAIC; Leidos,"TOP SECRET ICAM ARCHITECT, TS/SCI Poly, federal contractor","""Chief Architect"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR Leidos) AND (Washington)",7
474049,TOP SECRET ISSO,"Quantico, Virginia",ManTech; GDIT; Leidos,"TOP SECRET ISSO, Top Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Leidos) AND (Quantico)",9
455774,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON), TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
479845,TOP SECRET RESEARCH PHYSICIST 1,"Washington, District Of Columbia",Multi (SAIC supports parts); SAIC; Leidos; GDIT; Booz Allen; CACI; Peraton,"TOP SECRET RESEARCH PHYSICIST 1, Top Secret, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR Leidos; GDIT; Booz Allen; CACI; Peraton) AND (Washington)",7
481941,PRICING MANAGER,"Huntsville, Alabama",L3Harris; L3Harris (historical); Leidos,"PRICING MANAGER, Secret, federal contractor","""Director"" AND (L3Harris (historical) OR Leidos) AND (Huntsville)",4
467723,SECRET SECURITY ENGINEER (BOUNDARY),"Montgomery, Alabama",Leidos,"SECRET SECURITY ENGINEER (BOUNDARY), Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Montgomery)",6
478776,OPERATING ENGINEER 2,"Springfield, Virginia",GDIT (incumbent pre-MPE); GDIT,"OPERATING ENGINEER 2, None, federal contractor","""Engineering Manager"" AND (GDIT (incumbent pre-MPE) OR GDIT) AND (Springfield)",10
469723,TS/SCI SYSTEMS ADMINISTRATOR,"Dayton, Ohio",SAIC; Leidos,"TS/SCI SYSTEMS ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Dayton)",6
479894,SECRET CUSTOMER SUPPORT ADMIN,"Vista, California",L3Harris; L3Harris (historical); Leidos,"SECRET CUSTOMER SUPPORT ADMIN, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Vista)",7
482552,RUST DEVELOPER,"Camden, New Jersey",Northrop Grumman; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"RUST DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work) OR Leidos) AND (Camden)",6
482978,DIGITAL HARDWARE ENGINEER,"Greece, New York",Leidos,"DIGITAL HARDWARE ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Greece)",10
474207,SENIOR POSTGRES DATABASE ENGINEER,"Windsor Mill, Maryland",Leidos (historical incumbent); Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"SENIOR POSTGRES DATABASE ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos (historical incumbent) OR Leidos) AND (Windsor Mill)",7
483547,SALES SUPPORT SPECIALIST,"Sully, Virginia",GDIT; CACI,"SALES SUPPORT SPECIALIST, Public Trust, federal contractor","""Hiring Manager"" AND (CACI) AND (Sully)",5
455777,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON), TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
455721,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT), TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
478637,SECRET ISSO,"Albuquerque, New Mexico",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"SECRET ISSO, Secret, federal contractor","""Hiring Manager"" AND (SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1) OR Leidos) AND (Albuquerque)",6
477119,BLASTER / PAINTER,"Kings Bay, Georgia",Scale AI; Leidos,"BLASTER / PAINTER, None, federal contractor","""Hiring Manager"" AND (Scale AI OR Leidos) AND (Kings Bay)",6
448756,LINUX SYSTEMS ENGINEER (TS),"Chantilly, Virginia",Northrop Grumman (prime); CACI (support); CACI,"LINUX SYSTEMS ENGINEER (TS), Top Secret, federal contractor","""Engineering Manager"" AND (Northrop Grumman (prime); CACI (support) OR CACI) AND (Chantilly)",10
482299,DATA ENGINEER,"Norfolk, Virginia",Palantir; GDIT / SAIC (indicative); CACI,"DATA ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Palantir OR CACI) AND (Norfolk)",14
471207,TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,"Hanover, Maryland",Leidos,"TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER, TS/SCI Poly, federal contractor","""Engineering Manager"" AND (Leidos) AND (Hanover)",7
476051,TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,"Norfolk, Virginia",GDIT; Leidos,"TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM, Top Secret, federal contractor","""Engineering Manager"" AND (GDIT OR Leidos) AND (Norfolk)",7
480435,TOP SECRET SOFTWARE ENGINEER,"Washington, District Of Columbia",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"TOP SECRET SOFTWARE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1) OR Leidos) AND (Washington)",7
476874,SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,"Palmdale, California",L3Harris; L3Harris (historical); Scale AI,"SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Palmdale)",7
456010,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
480030,SUPPLY CHAIN SYSTEMS ENGINEER,"Mclean, Virginia",Leidos; GDIT; Microsoft,"SUPPLY CHAIN SYSTEMS ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos OR Microsoft) AND (Mclean)",8
479781,SCHEDULER,"Colorado Springs, Colorado",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); SAIC (via Engility); SAIC,"SCHEDULER, TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1) OR SAIC) AND (Colorado Springs)",16
464764,POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Peraton / Leidos (indicative); GDIT / Peraton (indicative); Iron Eagle X (now GDIT),"POWER PLATFORM DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR GDIT / Peraton (indicative)) AND (Alexandria)",7
478959,TS/SCI ENGINEERING TECHNICIAN,"San Antonio, Texas",SAIC (inferred); SAIC,"TS/SCI ENGINEERING TECHNICIAN, TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC) AND (San Antonio)",10
483058,SOFTWARE ENGINEER,"Dayton, Ohio",SAIC; Leidos,"SOFTWARE ENGINEER, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Dayton)",4
483246,TSSCI TIER 1 NETWORK MONITOR (EAST COAST),"Hampton, Virginia",CACI; Deloitte; SAIC; GDIT; GDIT; Peraton / SAIC (indicative),"TSSCI TIER 1 NETWORK MONITOR (EAST COAST), TS/SCI, federal contractor","""Hiring Manager"" AND (GDIT OR Peraton / SAIC (indicative)) AND (Hampton)",7
480214,TS/SCI LOGISTICS SPECIALIST,"San Antonio, Texas",SAIC (inferred); SAIC,"TS/SCI LOGISTICS SPECIALIST, TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC) AND (San Antonio)",12
483336,TOP SECRET SPLUNK ENGINEER,"Vienna, Virginia",SAIC; Leidos,"TOP SECRET SPLUNK ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Vienna)",8
478414,TOP SECRET AWS ENGINEER,"Vienna, Virginia",Leidos; GDIT; Peraton / SAIC (indicative),"TOP SECRET AWS ENGINEER, Top Secret Poly, federal contractor","""Engineering Manager"" AND (GDIT OR Peraton / SAIC (indicative)) AND (Vienna)",9
313138,ELECTRICAL ENGINEER,"Cockeysville, Maryland",Northrop Grumman; Leidos,"ELECTRICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Cockeysville)",9
479108,TS/SCI PROGRAM MANAGER,"San Antonio, Texas",SAIC,"TS/SCI PROGRAM MANAGER, TS/SCI, federal contractor","""Director"" AND (SAIC) AND (San Antonio)",10
480003,TRANSPORTATION AND SHIPPING COORDINATOR,"Mclean, Virginia",Leidos; GDIT; Microsoft,"TRANSPORTATION AND SHIPPING COORDINATOR, None, federal contractor","""Hiring Manager"" AND (Leidos OR Microsoft) AND (Mclean)",10
480203,TS/SCI CI POLY SOFTWARE ENGINEER,"Colorado Springs, Colorado",SAIC (via Engility); SAIC,"TS/SCI CI POLY SOFTWARE ENGINEER, TS/SCI Poly, federal contractor","""Engineering Manager"" AND (SAIC) AND (Colorado Springs)",12
461070,TS/SCI C++ SOFTWARE ENGINEER,"Redondo Beach, California",Northrop Grumman,"TS/SCI C++ SOFTWARE ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Northrop Grumman) AND (Redondo Beach)",10
478425,TS/SCI SYSTEM ADMINISTRATOR,"Grand Forks, North Dakota",Leidos,"TS/SCI SYSTEM ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Grand Forks)",6
481705,SYSTEMS ENGINEER - LEVEL 3,"Anaheim, California",L3Harris; L3Harris (historical); Leidos,"SYSTEMS ENGINEER - LEVEL 3, Secret, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Anaheim)",12
464235,SR NETWORK DESIGN ENGINEER,"'Aiea, Hawaii",Leidos,"SR NETWORK DESIGN ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND ('Aiea)",6
481743,SECRET KNOWLEDGE MANAGEMENT SPECIALIST,"Suffolk, Virginia",Peraton / SAIC (indicative); CACI; Deloitte; SAIC; GDIT; Leidos,"SECRET KNOWLEDGE MANAGEMENT SPECIALIST, Secret, federal contractor","""Hiring Manager"" AND (CACI; Deloitte; SAIC; GDIT OR Leidos) AND (Suffolk)",8
479588,DATA ENGINEER,"Scott Air Force Base, Illinois",Palantir; Peraton / Leidos (indicative); Leidos,"DATA ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (Palantir OR Leidos) AND (Scott Air Force Base)",6
479717,SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
483603,DATA ANALYST,"O'fallon, Illinois",Peraton; Iron Eagle X (now GDIT); Leidos,"DATA ANALYST, Secret, federal contractor","""Analytics Manager"" AND (Peraton OR Leidos) AND (O'fallon)",8
479003,FULL STACK ENGINEER,"Arlington, Virginia",CACI,"FULL STACK ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (CACI) AND (Arlington)",10
482779,PRE-DEPLOYMENT MANAGER,"Frederick, Maryland",Leidos,"PRE-DEPLOYMENT MANAGER, None, federal contractor","""Director"" AND (Leidos) AND (Frederick)",16
477171,SOFTWARE ARCHITECT,"Alexandria, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; CACI","SOFTWARE ARCHITECT, Secret, federal contractor","""Chief Architect"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR CACI) AND (Alexandria)",7
483240,TSSCI TIER 1 NETWORK MONITOR,"Beale AFB, California",L3Harris; L3Harris (historical); Leidos,"TSSCI TIER 1 NETWORK MONITOR, TS/SCI, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Beale AFB)",7
477104,SHIPWRIGHT,"Kings Bay, Georgia",L3Harris; L3Harris (historical); Leidos,"SHIPWRIGHT, None, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Kings Bay)",4
436063,PROJECT MANAGER,"Madison, Alabama",Leidos,"PROJECT MANAGER, None, federal contractor","""Director"" AND (Leidos) AND (Madison)",6
296131,SECRET CLEARED SOLUTIONS ARCHITECT,"Saint Louis, Missouri",CACI; SAIC; Leidos,"SECRET CLEARED SOLUTIONS ARCHITECT, Secret, federal contractor","""Chief Architect"" AND (SAIC OR Leidos) AND (Saint Louis)",6
461572,SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia","Peraton / Leidos (indicative); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","SENIOR INTEGRATION SPECIALIST, Top Secret, federal contractor","""Hiring Manager"" AND (Peraton / Leidos (indicative) OR Leidos) AND (Manassas)",9
453512,SECRET APPLICATION DEVELOPER,"Fairfax, Virginia",Leidos; Peraton / SAIC (indicative); CACI,"SECRET APPLICATION DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / SAIC (indicative) OR CACI) AND (Fairfax)",9
239458,EMBEDDED SOFTWARE ENGINEER,"Broomfield, Colorado",SAIC (via Engility); SAIC; Leidos,"EMBEDDED SOFTWARE ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Broomfield)",7
483067,TSSCI CYBER ANALYST,"Hampton, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Leidos","TSSCI CYBER ANALYST, TS/SCI, federal contractor","""Analytics Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Hampton)",8
481235,ISSO- TOP SECRET- ON SITE,"Oakton, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; CACI","ISSO- TOP SECRET- ON SITE, Top Secret, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR CACI) AND (Oakton)",7
481938,CYBER SECURITY ENGINEER,"Groton, Connecticut",L3Harris; SAIC; Leidos,"CYBER SECURITY ENGINEER, None, federal contractor","""Engineering Manager"" AND (L3Harris OR SAIC) AND (Groton)",9
479788,SAFETY ENGINEER,"El Segundo, California",L3Harris; L3Harris (historical); Leidos,"SAFETY ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (El Segundo)",7
483098,TSSCI CYBER CAPABILITIES TRAINER,"Hampton, Virginia",ManTech; Leidos,"TSSCI CYBER CAPABILITIES TRAINER, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Hampton)",6
479181,HARDWARE LAB STRING ENGINEER,"Woburn, Massachusetts",Leidos,"HARDWARE LAB STRING ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Woburn)",8
479672,TS/SCI PROGRAM ADMINISTRATOR,"San Antonio, Texas",SAIC,"TS/SCI PROGRAM ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC) AND (San Antonio)",10
479037,SUPPORT COUNSELOR,"Santa Cruz, California",L3Harris; L3Harris (historical); GDIT,"SUPPORT COUNSELOR, None, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Santa Cruz)",7
467119,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)","Washington, District Of Columbia",Multi (SAIC supports parts); SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos; GDIT; Booz Allen; CACI; Peraton,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY), Top Secret, federal contractor","""Analytics Manager"" AND (Multi (SAIC supports parts) OR SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1)) AND (Washington)",7
468922,SYSTEM ADMINISTRATOR II (BIG IP F5),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","SYSTEM ADMINISTRATOR II (BIG IP F5), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
478431,SECRET CLEARED WINDOWS AND LINUX ADMIN,"Pearl City, Hawaii","Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","SECRET CLEARED WINDOWS AND LINUX ADMIN, Secret, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Pearl City)",6
482651,UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",L3Harris; L3Harris (historical); Leidos,"UH-60 SHEET METAL AIRCRAFT MECHANIC IIII, Secret, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Meridianville)",4
402196,PROJECT CONTROLS,"Dhs, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT","PROJECT CONTROLS, Public Trust, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR GDIT) AND (Dhs)",7
474162,DEPUTY PROGRAM MANAGER,"Chambersburg, Pennsylvania",Northrop Grumman; SAIC; Leidos,"DEPUTY PROGRAM MANAGER, Secret, federal contractor","""Director"" AND (SAIC OR Leidos) AND (Chambersburg)",8
474958,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN","Sterling Heights, Michigan",GDIT; Leidos,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN, None, federal contractor","""Director"" AND (GDIT OR Leidos) AND (Sterling Heights)",6
476039,AEROMECHANICAL ENGINEER,"Solana Beach, California",L3Harris; L3Harris (historical); Leidos,"AEROMECHANICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Solana Beach)",7
476770,CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",L3Harris (historical); Leidos,"CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I, Top Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (Wailuku)",4
482180,SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",Microsoft; GDIT; Peraton / SAIC (indicative),"SR. SOFTWARE ENGINEER W/ POLYGRAPH, TS/SCI Poly, federal contractor","""Engineering Manager"" AND (GDIT OR Peraton / SAIC (indicative)) AND (Sully)",9
477098,SHIPFITTER,"Kings Bay, Georgia",L3Harris (historical); Leidos,"SHIPFITTER, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6
483144,QUALITY ENGINEER,"Cleveland, Ohio",Lockheed Martin; Leidos,"QUALITY ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Cleveland)",6
453521,SECRET SATELLITE SYSTEMS ENGINEER,"Grand Forks, North Dakota",GDIT; Leidos,"SECRET SATELLITE SYSTEMS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Grand Forks)",6
459677,TOP SECRET OPERATIONS SUPPORT ENGINEER,"Huntsville, Alabama",SAIC; Leidos,"TOP SECRET OPERATIONS SUPPORT ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Huntsville)",10
479699,SECRET DATABASE ENGINEER,"Herndon, Virginia","Peraton; Multiple: SAIC, Leidos, Booz Allen Hamilton; Peraton / SAIC (indicative)","SECRET DATABASE ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Peraton OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Herndon)",18
436233,SECRET DATACENTER SME,"Suffolk, Virginia",Peraton / Leidos (indicative); SAIC; Peraton / SAIC (indicative),"SECRET DATACENTER SME, Secret, federal contractor","""Hiring Manager"" AND (Peraton / Leidos (indicative) OR Peraton / SAIC (indicative)) AND (Suffolk)",9
454385,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)","San Francisco, California",L3Harris; L3Harris (historical); Leidos,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK), Secret, federal contractor","""Analytics Manager"" AND (L3Harris (historical) OR Leidos) AND (San Francisco)",8
483590,AIR MOBILITY OPERATIONS SME,"O'fallon, Illinois","Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","AIR MOBILITY OPERATIONS SME, Top Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (O'fallon)",8
477769,ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,"San Diego, California",L3Harris; L3Harris (historical); Leidos,"ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
350529,SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"Seattle, Washington",SAIC (via Engility); SAIC; Northrop Grumman,"SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Seattle)",6
475841,SUPERINTENDENT - MILCON,"Fort Bliss, Texas",SAIC; Leidos,"SUPERINTENDENT - MILCON, Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Fort Bliss)",9
479753,V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,"San Diego, California",L3Harris; L3Harris (historical); Northrop Grumman,"V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
482139,SECRET LEAD F-16 SIMULATOR TECHNICIAN,"Sunset, Utah",Northrop Grumman (assumed); Northrop Grumman,"SECRET LEAD F-16 SIMULATOR TECHNICIAN, Secret, federal contractor","""Director"" AND (Northrop Grumman) AND (Sunset)",7
460481,TS/SCI - SENIOR SURVIVABILITY ENGINEER,"Huntsville, Alabama",Lockheed Martin; Leidos,"TS/SCI - SENIOR SURVIVABILITY ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Leidos) AND (Huntsville)",6
483792,SECRET SOFTWARE ENGINEER,"Colorado Springs, Colorado",SAIC (via Engility); SAIC,"SECRET SOFTWARE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Colorado Springs)",14
314201,CLEARED ELECTRONIC WARFARE ENGINEER,"Manchester, New Hampshire",SAIC (via Engility); SAIC; Leidos,"CLEARED ELECTRONIC WARFARE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Manchester)",8
455231,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,"Lincoln, Massachusetts","Multiple: SAIC, Leidos, Booz Allen Hamilton; Raytheon; Leidos","CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS, Top Secret, federal contractor","""Hiring Manager"" AND (Raytheon OR Leidos) AND (Lincoln)",10
462446,SECRET AMPHIBIOUS RAIDS INSTRUCTOR,"Jacksonville, North Carolina",L3Harris; L3Harris (historical); Leidos,"SECRET AMPHIBIOUS RAIDS INSTRUCTOR, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Jacksonville)",7
479658,TS/SCI SENIOR DEVSECOPS ENGINEER,"Hanahan, South Carolina",L3Harris; L3Harris (historical); Peraton / SAIC (indicative),"TS/SCI SENIOR DEVSECOPS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Hanahan)",7
449101,CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Peraton / SAIC (indicative)","CBP GCP PLATFORM ENGINEER (MID-LEVEL), Top Secret, federal contractor","""Engineering Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Peraton / SAIC (indicative)) AND (Broad Run)",9
437999,TS/SCI - GCCS SYSTEMS ENGINEER,"Colorado Springs, Colorado",L3Harris; SAIC,"TS/SCI - GCCS SYSTEMS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (L3Harris OR SAIC) AND (Colorado Springs)",12
